EG	GN	ECK	SP	WISC	CG	GI	JW	ASAP	EB	Type	Status	Len	Ori	LeftEnd	RightEnd	Cs	Syn	MN	Description	Comments	MW		EG	GN	ECK	SP	WISC	CG	GI	JW	ASAP	EB	Type	Status	Len	Ori	LeftEnd	RightEnd	Cs	Syn	MN	Description	Comments	MW	
EG13559	paoA	ECK0285	P77165	b0286	Null	g1786480	JW0280	992	EB3329	aa	OK	229	Counterclockwise	301108	301797	6.49	yagT	Periplasmic aldehyde oxidoreductase	PaoABC aldehyde oxidoreductase, 2Fe-2S subunit; periplasmic	yagTSRQ have been renamed as paoABCD (S. Leimkuhler, personal communication, 2010). Mutant cells lacking PaoABC are growth-inhibited in the presence of the the aromatic aldehydes cinnamaldehyde, vanillin, or benzaldehyde at pH 4.0, indicating that PaoABC detoxifies aromatic aldehydes (Neumann, 2009). PaoABC has a broad in vitro specificity for aldehyde substrates, but has a preferences for aromatic aldehydes (Neumann, 2009). The active PaoABC heterotrimer, with all cofactors attached, is transported to the periplasm via the Tat translocase, mediated by a single Tat signal peptide on the PaoC subunit; periplasmic proteins PaoB and PaoA do not have their own signal peptides (Neumann, 2009). MocA is the CTP:molybdopterin cytidylyltransferase responsible for the conversion of the Mo-molybdopterin (Mo-MPT) cofactor to the molybdopterin cytosine dinucleotide (MCD) cofactor (Neumann, 2009). Verified Tat substrate: PaoA(YagT) has a predicted Tat-only (Class I) 49 aa signal peptide (Tullman-Ercek, 2007). The internal TTG at codon 23 could alternatively be utilized to make a protein with a predicted 26 aa signal peptide.	24342.65		EG13559	paoA	ECK0285	P77165	b0286	Null	g1786480	JW0280	992	EB3329	aa	OK	229	Counterclockwise	301108	301797	6.49	yagT	Periplasmic aldehyde oxidoreductase	PaoABC aldehyde oxidoreductase, 2Fe-2S subunit; periplasmic	yagTSRQ have been renamed as paoABCD (S. Leimkuhler, personal communication, 2010). Mutant cells lacking PaoABC are growth-inhibited in the presence of the the aromatic aldehydes cinnamaldehyde, vanillin, or benzaldehyde at pH 4.0, indicating that PaoABC detoxifies aromatic aldehydes (Neumann, 2009). PaoABC has a broad in vitro specificity for aldehyde substrates, but has a preferences for aromatic aldehydes (Neumann, 2009). The active PaoABC heterotrimer, with all cofactors attached, is transported to the periplasm via the Tat translocase, mediated by a single Tat signal peptide on the PaoC subunit; periplasmic proteins PaoB and PaoA do not have their own signal peptides (Neumann, 2009). MocA is the CTP:molybdopterin cytidylyltransferase responsible for the conversion of the Mo-molybdopterin (Mo-MPT) cofactor to the molybdopterin cytosine dinucleotide (MCD) cofactor (Neumann, 2009). Verified Tat substrate: PaoA(YagT) has a predicted Tat-only (Class I) 49 aa signal peptide (Tullman-Ercek, 2007). The internal TTG at codon 23 could alternatively be utilized to make a protein with a predicted 26 aa signal peptide.	24342.65	
EG13571	wcaC	ECK2051	P71237	b2057	Null	g1788370	JW2042	6811	EB3341	aa	OK	405	Counterclockwise	2128877	2130094	45.88	Null	Systematic nomenclature	Putative colanic acid biosynthesis glycosyl transferase	Null	45259.94		EG13571	wcaC	ECK2051	P71237	b2057	Null	g1788370	JW2042	6811	EB3341	aa	OK	405	Counterclockwise	2128877	2130094	45.88	Null	Systematic nomenclature	Putative colanic acid biosynthesis glycosyl transferase	Null	45259.94	
EG13573	wcaE	ECK2049	P71239	b2055	Null	g1788368	JW2040	6807	EB3343	aa	OK	248	Counterclockwise	2126928	2127674	45.84	Null	Systematic nomenclature	Predicted colanic acid biosynthesis glycosyl transferase; required for swarming phenotype	Null	27894.08		EG13573	wcaE	ECK2049	P71239	b2055	Null	g1788368	JW2040	6807	EB3343	aa	OK	248	Counterclockwise	2126928	2127674	45.84	Null	Systematic nomenclature	Predicted colanic acid biosynthesis glycosyl transferase; required for swarming phenotype	Null	27894.08	
EG13574	wcaF	ECK2048	P0ACD2	b2054	Null	g1788367	JW2039	6805	EB3344	aa	OK	182	Counterclockwise	2126364	2126912	45.83	Null	Systematic nomenclature	Predicted colanic acid biosynthesis acetyltransferase	WcaF contains hexapeptide repeats.	19962.09		EG13574	wcaF	ECK2048	P0ACD2	b2054	Null	g1788367	JW2039	6805	EB3344	aa	OK	182	Counterclockwise	2126364	2126912	45.83	Null	Systematic nomenclature	Predicted colanic acid biosynthesis acetyltransferase	WcaF contains hexapeptide repeats.	19962.09	
EG13577	wcaK	ECK2039	P71242	b2045	Null	g1788358	JW2030	6780	EB3347	aa	OK	426	Counterclockwise	2115148	2116428	45.59	Null	Systematic nomenclature	Colanic acid biosynthesis protein	Overexpression causes a decrease in the amount of biofilm formed.	47343.52		EG13577	wcaK	ECK2039	P71242	b2045	Null	g1788358	JW2030	6780	EB3347	aa	OK	426	Counterclockwise	2115148	2116428	45.59	Null	Systematic nomenclature	Colanic acid biosynthesis protein	Overexpression causes a decrease in the amount of biofilm formed.	47343.52	
EG13579	ykgB	ECK0301	P75685	b0301	Null	g87081715	JW5038	1038	EB3349	aa	ALT_INIT[-3]	197	Counterclockwise	316950	317543	6.83	Null	Systematic nomenclature	Inner membrane protein, DUF417 family, function unknown	Null	21899.47		EG13579	ykgB	ECK0301	P75685	b0301	Null	g87081715	JW5038	1038	EB3349	aa	ALT_INIT[-3]	197	Counterclockwise	316950	317543	6.83	Null	Systematic nomenclature	Inner membrane protein, DUF417 family, function unknown	Null	21899.47	
EG13580	ykgC	ECK0303	P77212	b0304	Null	g87081717	JW5040	1048	EB3350	aa	ALT_INIT[-9]	441	Counterclockwise	317900	319225	6.85	Null	Systematic nomenclature	Predicted pyridine nucleotide-disulfide oxidoreductase	AFMB Structural Genomics target No. 2 (http://afmb.cnrs-mrs.fr/article171.html).	48244.20		EG13580	ykgC	ECK0303	P77212	b0304	Null	g87081717	JW5040	1048	EB3350	aa	ALT_INIT[-9]	441	Counterclockwise	317900	319225	6.85	Null	Systematic nomenclature	Predicted pyridine nucleotide-disulfide oxidoreductase	AFMB Structural Genomics target No. 2 (http://afmb.cnrs-mrs.fr/article171.html).	48244.20	
EG13582	ykgE	ECK0305	P77252	b0306	Null	g1786497	JW5041	1058	EB3352	aa	OK	239	Clockwise	320832	321551	6.91	Null	Systematic nomenclature	Function unknown	AFMB Structural Genomics target No. 40 (http://afmb.cnrs-mrs.fr/article171.html).	26004.29		EG13582	ykgE	ECK0305	P77252	b0306	Null	g1786497	JW5041	1058	EB3352	aa	OK	239	Clockwise	320832	321551	6.91	Null	Systematic nomenclature	Function unknown	AFMB Structural Genomics target No. 40 (http://afmb.cnrs-mrs.fr/article171.html).	26004.29	
EG13583	ykgF	ECK0306	P77536	b0307	Null	g1786498	JW0300	1060	EB3353	aa	OK	475	Clockwise	321562	322989	6.93	Null	Systematic nomenclature	Predicted electron transport protein with ferridoxin-like domain, function unknown	AFMB Structural Genomics target No. (http://afmb.cnrs-mrs.fr/article171.html).	53051.90		EG13583	ykgF	ECK0306	P77536	b0307	Null	g1786498	JW0300	1060	EB3353	aa	OK	475	Clockwise	321562	322989	6.93	Null	Systematic nomenclature	Predicted electron transport protein with ferridoxin-like domain, function unknown	AFMB Structural Genomics target No. (http://afmb.cnrs-mrs.fr/article171.html).	53051.90	
EG13584	ykgG	ECK0307	P77433	b0308	Null	g87081718	JW5042	1062	EB3354	aa	ALT_INIT[-51]	231	Clockwise	322982	323677	6.96	Null	Systematic nomenclature	Function unknown	Null	25212.71		EG13584	ykgG	ECK0307	P77433	b0308	Null	g87081718	JW5042	1062	EB3354	aa	ALT_INIT[-51]	231	Clockwise	322982	323677	6.96	Null	Systematic nomenclature	Function unknown	Null	25212.71	
EG13587	yahC	ECK0315	P77219	b0317	Null	g1786509	JW0309	1091	EB3357	aa	OK	165	Counterclockwise	333749	334246	7.19	Null	Systematic nomenclature	Predicted inner membrane protein, function unknown	Null	17311.07		EG13587	yahC	ECK0315	P77219	b0317	Null	g1786509	JW0309	1091	EB3357	aa	OK	165	Counterclockwise	333749	334246	7.19	Null	Systematic nomenclature	Predicted inner membrane protein, function unknown	Null	17311.07	
EG13588	yahD	ECK0316	P77736	b0318	Null	g1786511	JW0310	1095	EB3358	aa	OK	201	Clockwise	334504	335109	7.21	Null	Systematic nomenclature	Ankyrin repeat protein, function unknown	Null	21687.07		EG13588	yahD	ECK0316	P77736	b0318	Null	g1786511	JW0310	1095	EB3358	aa	OK	201	Clockwise	334504	335109	7.21	Null	Systematic nomenclature	Ankyrin repeat protein, function unknown	Null	21687.07	
EG13589	yahE	ECK0317	P77297	b0319	Null	g1786512	JW0311	1097	EB3359	aa	OK	287	Clockwise	335149	336012	7.22	Null	Systematic nomenclature	Function unknown	Null	32265.73		EG13589	yahE	ECK0317	P77297	b0319	Null	g1786512	JW0311	1097	EB3359	aa	OK	287	Clockwise	335149	336012	7.22	Null	Systematic nomenclature	Function unknown	Null	32265.73	
EG13590	yahF	ECK0318	P77187	b0320	Null	g1786513	JW0312	1099	EB3360	aa	OK	515	Clockwise	336002	337549	7.24	Null	Systematic nomenclature	Function unknown	Null	55580.71		EG13590	yahF	ECK0318	P77187	b0320	Null	g1786513	JW0312	1099	EB3360	aa	OK	515	Clockwise	336002	337549	7.24	Null	Systematic nomenclature	Function unknown	Null	55580.71	
EG13591	yahG	ECK0319	P77221	b0321	Null	g1786514	JW0313	1101	EB3361	aa	OK	472	Clockwise	337549	338967	7.28	Null	Systematic nomenclature	Function unknown	yahG and ylbE are paralogs; YahG has a 50 aa N-terminal domain missing from YlbE.	50373.92		EG13591	yahG	ECK0319	P77221	b0321	Null	g1786514	JW0313	1101	EB3361	aa	OK	472	Clockwise	337549	338967	7.28	Null	Systematic nomenclature	Function unknown	yahG and ylbE are paralogs; YahG has a 50 aa N-terminal domain missing from YlbE.	50373.92	
EG13593	yahI	ECK0321	P77624	b0323	Null	g1786516	JW0315	1107	EB3362	aa	OK	316	Clockwise	339389	340339	7.31	Null	Systematic nomenclature	Carbonate kinase homolog, function unknown	yqeA, yahI and ybcF are paralogs. AFMB Structural Genomics target No. 76 (http://afmb.cnrs-mrs.fr/article171.html).	33930.86		EG13593	yahI	ECK0321	P77624	b0323	Null	g1786516	JW0315	1107	EB3362	aa	OK	316	Clockwise	339389	340339	7.31	Null	Systematic nomenclature	Carbonate kinase homolog, function unknown	yqeA, yahI and ybcF are paralogs. AFMB Structural Genomics target No. 76 (http://afmb.cnrs-mrs.fr/article171.html).	33930.86	
EG13594	yahJ	ECK0322	P77554	b0324	Null	g1786517	JW0316	1109	EB3363	aa	OK	460	Clockwise	340349	341731	7.34	Null	Systematic nomenclature	Function unknown, related to cytosine deaminase	Verified Tat substrate: YahJ has a Tat/Sec (Class II) predicted 33 aa signal peptide (Tullman-Ercek, 2007). M38 peptidase family.	50548.75		EG13594	yahJ	ECK0322	P77554	b0324	Null	g1786517	JW0316	1109	EB3363	aa	OK	460	Clockwise	340349	341731	7.34	Null	Systematic nomenclature	Function unknown, related to cytosine deaminase	Verified Tat substrate: YahJ has a Tat/Sec (Class II) predicted 33 aa signal peptide (Tullman-Ercek, 2007). M38 peptidase family.	50548.75	
EG13616	allR	ECK0499	P0ACN4	b0506	CG75909	g1786715	JW0494	1750	EB3382	aa	OK	271	Clockwise	532235	533050	11.47	glxA3;ybbU	Allantoin	Repressor for all (allantoin) and gcl (glyoxylate) operons; glyoxylate-induced	IclR family.	29269.67		EG13616	allR	ECK0499	P0ACN4	b0506	CG75909	g1786715	JW0494	1750	EB3382	aa	OK	271	Clockwise	532235	533050	11.47	glxA3;ybbU	Allantoin	Repressor for all (allantoin) and gcl (glyoxylate) operons; glyoxylate-induced	IclR family.	29269.67	
EG13618	ybbW	ECK0504	P75712	b0511	Null	g87081749	JW0499	1764	EB3383	aa	ALT_INIT[+47]	484	Clockwise	536857	538311	11.57	allP;glxB2	Systematic nomenclature	Probable allantoin permease, glyoxylate-inducible or allantoin-inducible (anaerobic)	Null	52456.08		EG13618	ybbW	ECK0504	P75712	b0511	Null	g87081749	JW0499	1764	EB3383	aa	ALT_INIT[+47]	484	Clockwise	536857	538311	11.57	allP;glxB2	Systematic nomenclature	Probable allantoin permease, glyoxylate-inducible or allantoin-inducible (anaerobic)	Null	52456.08	
EG13619	allB	ECK0505	P77671	b0512	CG81460	g1786722	JW0500	1768	EB3384	aa	OK	453	Clockwise	538371	539732	11.60	glxB3;ybbX	Allantoin	Allantoinase: allantoin for anaerobic nitrogen; tetrameric	Null	49601.60		EG13619	allB	ECK0505	P77671	b0512	CG81460	g1786722	JW0500	1768	EB3384	aa	OK	453	Clockwise	538371	539732	11.60	glxB3;ybbX	Allantoin	Allantoinase: allantoin for anaerobic nitrogen; tetrameric	Null	49601.60	
EG13620	ybbY	ECK0506	P77328	b0513	Null	g87081750	JW0501	1771	EB3385	aa	ALT_INIT[-2]	433	Clockwise	539789	541090	11.63	glxB4	Systematic nomenclature	Predicted xanthine/uracil permease, function unknown; glyoxylate-inducible	Null	47239.37		EG13620	ybbY	ECK0506	P77328	b0513	Null	g87081750	JW0501	1771	EB3385	aa	ALT_INIT[-2]	433	Clockwise	539789	541090	11.63	glxB4	Systematic nomenclature	Predicted xanthine/uracil permease, function unknown; glyoxylate-inducible	Null	47239.37	
EG13622	ylbA	ECK0508	P75713	b0515	Null	g1786725	JW0503	1775	EB3387	aa	OK	261	Counterclockwise	542485	543270	11.69	glxB6	Systematic nomenclature	Function unknown, allantoin- and glyoxylate-inducible anaerobically	15/58 YlbA peptide masses from MS analysis confirm this start codon and indicate that the initial Met is removed (Maillet, 2007).	28730.43		EG13622	ylbA	ECK0508	P75713	b0515	Null	g1786725	JW0503	1775	EB3387	aa	OK	261	Counterclockwise	542485	543270	11.69	glxB6	Systematic nomenclature	Function unknown, allantoin- and glyoxylate-inducible anaerobically	15/58 YlbA peptide masses from MS analysis confirm this start codon and indicate that the initial Met is removed (Maillet, 2007).	28730.43	
EG13623	allC	ECK0509	P77425	b0516	CG81464	g1786726	JW0504	1777	EB3388	aa	OK	411	Counterclockwise	543281	544516	11.71	glxB7;ylbB	Allantoin	Allantoate amidohydrolase: allantoin for anaerobic nitrogen	Null	45693.99		EG13623	allC	ECK0509	P77425	b0516	CG81464	g1786726	JW0504	1777	EB3388	aa	OK	411	Counterclockwise	543281	544516	11.71	glxB7;ylbB	Allantoin	Allantoate amidohydrolase: allantoin for anaerobic nitrogen	Null	45693.99	
EG13624	allD	ECK0510	P77555	b0517	CG81468	g1786727	JW0505	1780	EB3389	aa	OK	349	Counterclockwise	544538	545587	11.74	glxB8;ylbC	Allantoin	Ureidoglycolate dehydrogenase: allantoin for anaerobic nitrogen	Null	37967.12		EG13624	allD	ECK0510	P77555	b0517	CG81468	g1786727	JW0505	1780	EB3389	aa	OK	349	Counterclockwise	544538	545587	11.74	glxB8;ylbC	Allantoin	Ureidoglycolate dehydrogenase: allantoin for anaerobic nitrogen	Null	37967.12	
EG13626	ylbF	ECK0513	P0AAS5	b0520	Null	g1786731	JW0509	1789	EB3391	aa	OK	271	Clockwise	548850	549665	11.83	Null	Systematic nomenclature	Function unknown	Null	29597.10		EG13626	ylbF	ECK0513	P0AAS5	b0520	Null	g1786731	JW0509	1789	EB3391	aa	OK	271	Clockwise	548850	549665	11.83	Null	Systematic nomenclature	Function unknown	Null	29597.10	
EG13645	citC	ECK0611	P77390	b0618	Null	g87081765	JW0610	2126	EB3409	aa	ALT_INIT[-29]	352	Counterclockwise	650021	651079	14.01	ybeO	Citrate	[Citrate [pro-3S]-lyase] ligase	Null	40077.21		EG13645	citC	ECK0611	P77390	b0618	Null	g87081765	JW0610	2126	EB3409	aa	ALT_INIT[-29]	352	Counterclockwise	650021	651079	14.01	ybeO	Citrate	[Citrate [pro-3S]-lyase] ligase	Null	40077.21	
EG13646	dpiB	ECK0612	P77510	b0619	CG18469	g1786837	JW0611	2129	EB3410	aa	OK	552	Clockwise	651458	653116	14.04	citA;mpdB;ybeP	Destabilizer of plasmid inheritance	Two-component system histidine protein kinase; DpiA is cognate sensor; regulates citCDEFXGT operon; represses appY; periplasmic domain functions as a high-affinity citrate receptor; destabilizes plasmid inheritance	ChiX(RybC,MicM) regulates dpiBA mRNA; dpiBA mRNA may be another ChiX trap-mRNA (also called an RNA decoy) as well (Mandin, 2009).	61684.09		EG13646	dpiB	ECK0612	P77510	b0619	CG18469	g1786837	JW0611	2129	EB3410	aa	OK	552	Clockwise	651458	653116	14.04	citA;mpdB;ybeP	Destabilizer of plasmid inheritance	Two-component system histidine protein kinase; DpiA is cognate sensor; regulates citCDEFXGT operon; represses appY; periplasmic domain functions as a high-affinity citrate receptor; destabilizes plasmid inheritance	ChiX(RybC,MicM) regulates dpiBA mRNA; dpiBA mRNA may be another ChiX trap-mRNA (also called an RNA decoy) as well (Mandin, 2009).	61684.09	
EG13648	ybeR	ECK0638	P77627	b0645	Null	g1786865	JW0640	2208	EB3412	aa	OK	235	Clockwise	675934	676641	14.57	Null	Systematic nomenclature	Function unknown	Null	27736.12		EG13648	ybeR	ECK0638	P77627	b0645	Null	g1786865	JW0640	2208	EB3412	aa	OK	235	Clockwise	675934	676641	14.57	Null	Systematic nomenclature	Function unknown	Null	27736.12	
EG13649	djlB	ECK0639	P77381	b0646	Null	g1786866	JW0641	2210	EB3413	aa	OK	475	Clockwise	676638	678065	14.58	ybeS	DnaJ-like	DnaJ homolog near hscC; not cognate to HscC	Null	55256.33		EG13649	djlB	ECK0639	P77381	b0646	Null	g1786866	JW0641	2210	EB3413	aa	OK	475	Clockwise	676638	678065	14.58	ybeS	DnaJ-like	DnaJ homolog near hscC; not cognate to HscC	Null	55256.33	
EG13651	ybeU	ECK0641	P77427	b0648	Null	g1786868	JW0643	2220	EB3415	aa	OK	235	Clockwise	678731	679438	14.63	Null	Systematic nomenclature	Function unknown, DUF1266 family	Null	27022.43		EG13651	ybeU	ECK0641	P77427	b0648	Null	g1786868	JW0643	2220	EB3415	aa	OK	235	Clockwise	678731	679438	14.63	Null	Systematic nomenclature	Function unknown, DUF1266 family	Null	27022.43	
EG13652	djlC	ECK0642	P77359	b0649	CG75405	g1786869	JW0644	2222	EB3416	aa	OK	483	Clockwise	679435	680886	14.64	hscD;ybeV	DnaJ-like	Hsc56, DnaJ-like co-chaperone of HscC; stimulates the ATPase activity of HscC(Hsc62), which binds to and inhibits RpoD	Null	55682.15		EG13652	djlC	ECK0642	P77359	b0649	CG75405	g1786869	JW0644	2222	EB3416	aa	OK	483	Clockwise	679435	680886	14.64	hscD;ybeV	DnaJ-like	Hsc56, DnaJ-like co-chaperone of HscC; stimulates the ATPase activity of HscC(Hsc62), which binds to and inhibits RpoD	Null	55682.15	
EG13653	hscC	ECK0643	P77319	b0650	Null	g1786870	JW0645	2225	EB3417	aa	OK	556	Counterclockwise	680946	682616	14.68	ybeW	Heat shock cognate	Hsc62, DnaK-like chaperone; binds to RpoD and inhibits transcription; inhibits growth when overexpressed; Hsc56(DjlC) is DnaJ-like co-chaperone; ATPase activity is stimulated by GrpE, DjlC; mutant grows slow and is hypersensitive to Cd(II) and UV	dnaK, hscA, hscC and yegD are paralogs.	61986.30		EG13653	hscC	ECK0643	P77319	b0650	Null	g1786870	JW0645	2225	EB3417	aa	OK	556	Counterclockwise	680946	682616	14.68	ybeW	Heat shock cognate	Hsc62, DnaK-like chaperone; binds to RpoD and inhibits transcription; inhibits growth when overexpressed; Hsc56(DjlC) is DnaJ-like co-chaperone; ATPase activity is stimulated by GrpE, DjlC; mutant grows slow and is hypersensitive to Cd(II) and UV	dnaK, hscA, hscC and yegD are paralogs.	61986.30	
EG13666	ybhJ	ECK0760	P75764	b0771	Null	g87081781	JW5103	2626	EB3430	aa	ALT_INIT[-8]	753	Clockwise	802726	804987	17.30	Null	Systematic nomenclature	AcnA homolog, function unknown; not responsible for the residual aconitase activity in acnAB double mutants	AFMB Structural Genomics target No. 96 (http://afmb.cnrs-mrs.fr/article171.html).	81504.53		EG13666	ybhJ	ECK0760	P75764	b0771	Null	g87081781	JW5103	2626	EB3430	aa	ALT_INIT[-8]	753	Clockwise	802726	804987	17.30	Null	Systematic nomenclature	AcnA homolog, function unknown; not responsible for the residual aconitase activity in acnAB double mutants	AFMB Structural Genomics target No. 96 (http://afmb.cnrs-mrs.fr/article171.html).	81504.53	
EG13667	ybhK	ECK0769	P75767	b0780	Null	g1786997	JW0763	2661	EB3431	aa	OK	302	Counterclockwise	814962	815870	17.57	Null	Systematic nomenclature	Complements B. subtilis yvcK mutant, function unknown; Yvck, and perhaps YbhK, has a role in carbon metabolism	Null	32787.92		EG13667	ybhK	ECK0769	P75767	b0780	Null	g1786997	JW0763	2661	EB3431	aa	OK	302	Counterclockwise	814962	815870	17.57	Null	Systematic nomenclature	Complements B. subtilis yvcK mutant, function unknown; Yvck, and perhaps YbhK, has a role in carbon metabolism	Null	32787.92	
EG13668	ybhL	ECK0775	P0AAC4	b0786	Null	g1787004	JW0769	2685	EB3432	aa	OK	234	Clockwise	819107	819811	17.65	Null	Systematic nomenclature	Inner membrane protein, UPF0005 family, function unknown	Null	25901.87		EG13668	ybhL	ECK0775	P0AAC4	b0786	Null	g1787004	JW0769	2685	EB3432	aa	OK	234	Clockwise	819107	819811	17.65	Null	Systematic nomenclature	Inner membrane protein, UPF0005 family, function unknown	Null	25901.87	
EG13669	ybhM	ECK0776	P75769	b0787	Null	g1787005	JW0770	2688	EB3433	aa	OK	237	Clockwise	820016	820729	17.67	Null	Systematic nomenclature	Inner membrane protein, UPF0005 family, function unknown	Null	26123.30		EG13669	ybhM	ECK0776	P75769	b0787	Null	g1787005	JW0770	2688	EB3433	aa	OK	237	Clockwise	820016	820729	17.67	Null	Systematic nomenclature	Inner membrane protein, UPF0005 family, function unknown	Null	26123.30	
EG13670	ybhN	ECK0777	P75770	b0788	Null	g1787006	JW0771	2690	EB3434	aa	OK	318	Counterclockwise	820765	821721	17.69	Null	Systematic nomenclature	Function unknown	Null	35860.39		EG13670	ybhN	ECK0777	P75770	b0788	Null	g1787006	JW0771	2690	EB3434	aa	OK	318	Counterclockwise	820765	821721	17.69	Null	Systematic nomenclature	Function unknown	Null	35860.39	
EG13671	ybhO	ECK0778	P0AA84	b0789	Null	g1787007	JW0772	2692	EB3435	aa	OK	413	Counterclockwise	821721	822962	17.71	Null	Systematic nomenclature	Cardiolipin synthase 2, activity detected in vitro but not in vivo; physiological significance of in vitro activity unclear	Null	47633.51		EG13671	ybhO	ECK0778	P0AA84	b0789	Null	g1787007	JW0772	2692	EB3435	aa	OK	413	Counterclockwise	821721	822962	17.71	Null	Systematic nomenclature	Cardiolipin synthase 2, activity detected in vitro but not in vivo; physiological significance of in vitro activity unclear	Null	47633.51	
EG13673	ybhQ	ECK0780	P0AAW5	b0791	Null	g1787009	JW0774	2699	EB3437	aa	OK	136	Clockwise	823853	824263	17.76	Null	Systematic nomenclature	Inner membrane protein, function unknown	Null	15464.69		EG13673	ybhQ	ECK0780	P0AAW5	b0791	Null	g1787009	JW0774	2699	EB3437	aa	OK	136	Clockwise	823853	824263	17.76	Null	Systematic nomenclature	Inner membrane protein, function unknown	Null	15464.69	
EG13675	ybhS	ECK0782	P0AFQ2	b0793	Null	g1787011	JW0777	2703	EB3439	aa	OK	377	Counterclockwise	825342	826475	17.79	Null	Systematic nomenclature	Predicted ABC transporter permease, function unknown; probable exporter YbhGFSR	The putative ybiHybhGFSR operon encodes a predicted transcriptional regulator (YbiH) and four proteins of a predicted ABC-type transporter complex YbhGFSR, containing two ABC permease family members (YbhSR), a predicted ATP-binding cassette protein (YbhF), and a predicted membrane fusion protein (YbhG) usually associated with RND-type efflux pumps. No predicted periplasmic binding protein is associated with this predicted ABC transporter YbhGFSR, suggesting that it is an exporter, which is consistent with the presence of a membrane fusion protein (YbhG) allowing for export transit across the periplasm. YbhG (f332) was mistakenly predicted to be a periplasmic binding protein, leading to the mis-classification of YbhGFSR as a putative importer (Linton, 1998). YadH, YbhR, YbhS, YhhJ, and the RbbA C-terminal domain are paralogous ABC2-membrane permease family members (pfam01061/COG0842).	42059.83		EG13675	ybhS	ECK0782	P0AFQ2	b0793	Null	g1787011	JW0777	2703	EB3439	aa	OK	377	Counterclockwise	825342	826475	17.79	Null	Systematic nomenclature	Predicted ABC transporter permease, function unknown; probable exporter YbhGFSR	The putative ybiHybhGFSR operon encodes a predicted transcriptional regulator (YbiH) and four proteins of a predicted ABC-type transporter complex YbhGFSR, containing two ABC permease family members (YbhSR), a predicted ATP-binding cassette protein (YbhF), and a predicted membrane fusion protein (YbhG) usually associated with RND-type efflux pumps. No predicted periplasmic binding protein is associated with this predicted ABC transporter YbhGFSR, suggesting that it is an exporter, which is consistent with the presence of a membrane fusion protein (YbhG) allowing for export transit across the periplasm. YbhG (f332) was mistakenly predicted to be a periplasmic binding protein, leading to the mis-classification of YbhGFSR as a putative importer (Linton, 1998). YadH, YbhR, YbhS, YhhJ, and the RbbA C-terminal domain are paralogous ABC2-membrane permease family members (pfam01061/COG0842).	42059.83	
EG13678	ybjI	ECK0834	P75809	b0844	Null	g87081790	JW5113	2877	EB3442	aa	ALT_INIT[+9]	271	Counterclockwise	884539	885354	19.06	Null	Systematic nomenclature	FMN and erythrose-4-P phosphatase; physiological role unknown; HAD15	HAD superfamily. In vitro activities demonstrated by Kuznetsova et al. (2005, 2006).	30196.21		EG13678	ybjI	ECK0834	P75809	b0844	Null	g87081790	JW5113	2877	EB3442	aa	ALT_INIT[+9]	271	Counterclockwise	884539	885354	19.06	Null	Systematic nomenclature	FMN and erythrose-4-P phosphatase; physiological role unknown; HAD15	HAD superfamily. In vitro activities demonstrated by Kuznetsova et al. (2005, 2006).	30196.21	
EG13679	ybjJ	ECK0835	P75810	b0845	Null	g1787068	JW0829	2880	EB3443	aa	OK	402	Counterclockwise	885354	886562	19.08	Null	Systematic nomenclature	Putative transporter, function unknown	Major Facilitator Superfamily (MFS).	41852.48		EG13679	ybjJ	ECK0835	P75810	b0845	Null	g1787068	JW0829	2880	EB3443	aa	OK	402	Counterclockwise	885354	886562	19.08	Null	Systematic nomenclature	Putative transporter, function unknown	Major Facilitator Superfamily (MFS).	41852.48	
EG13680	ybjK	ECK0836	P75811	b0846	Null	g1787069	JW5114	2885	EB3444	aa	OK	178	Clockwise	886646	887182	19.11	Null	Systematic nomenclature	Predicted transcriptional regulator, function unknown	TetR family.	20307.38		EG13680	ybjK	ECK0836	P75811	b0846	Null	g1787069	JW5114	2885	EB3444	aa	OK	178	Clockwise	886646	887182	19.11	Null	Systematic nomenclature	Predicted transcriptional regulator, function unknown	TetR family.	20307.38	
EG13688	ybjS	ECK0859	P75821	b0868	Null	g87081792	JW5819	2949	EB3452	aa	ALT_INIT[-12]	337	Counterclockwise	904963	905976	19.50	Null	Systematic nomenclature	Function unknown; predicted enzyme with a nucleoside diphosphate sugar substrate and an NAD(P) cofactor	Null	38085.68		EG13688	ybjS	ECK0859	P75821	b0868	Null	g87081792	JW5819	2949	EB3452	aa	ALT_INIT[-12]	337	Counterclockwise	904963	905976	19.50	Null	Systematic nomenclature	Function unknown; predicted enzyme with a nucleoside diphosphate sugar substrate and an NAD(P) cofactor	Null	38085.68	
EG13689	ybjT	ECK0860	P75822	b0869	Null	g87081793	JW5116	2951	EB3453	aa	ALT_INIT[-10]	476	Counterclockwise	906075	907505	19.53	Null	Systematic nomenclature	Function unknown	Null	53707.08		EG13689	ybjT	ECK0860	P75822	b0869	Null	g87081793	JW5116	2951	EB3453	aa	ALT_INIT[-10]	476	Counterclockwise	906075	907505	19.53	Null	Systematic nomenclature	Function unknown	Null	53707.08	
