Entry name (Uniprot)	Accession (UNIPROT)	Gene	Locus_Tag	Subcellular Location(this study)	Name of deletion Island (Posfai 2006)	Mobile Element	Mobile from paper	Pseudogene/Mobile Element Notes	Common Core	Deletion	Subcellular Location (UNIPROT)	Subcellular Location (EchoLOCATION)	1st Secr Sys	2nd Secr Sys	Uniprot Link	Total Length (aa)	Gene_Type	Left End	Right End	Strand	Comments/Annotation	Description (UNIPROT)
REQ2_ECOLI	P76161	ydfT	b1559	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8		-			P76161	250	CDS	1640513	1641265	-		Antitermination protein Q homolog from lambdoid prophage Qin
YDFU_ECOLI	P76162	ydfU	b1560	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8		-			P76162	349	CDS	1641279	1642328	-		Uncharacterized protein ydfU
REM_ECOLI	P07010	rem	b1561	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8		-			P07010	83	CDS	1642675	1642926	-		Uncharacterized protein rem
HOKD_ECOLI	P0ACG6	hokD	b1562	G	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8		-	SEC		P0ACG6	51	CDS	1643143	1643298	-		Protein hokD (Protein relF)
RELE_ECOLI	P0C077	relE	b1563	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8		-			P0C077	95	CDS	1643370	1643657	-		Toxin relE
RELB_ECOLI	P0C079	relB	b1564	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8		-			P0C079	79	CDS	1643657	1643896	-		Antitoxin RelB
YDFV_ECOLI	P76163	ydfV	b1565	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8		-			P76163	101	CDS	1643921	1644226	+		Uncharacterized protein ydfV
FLXA_ECOLI	P77609	flxA	b1566	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8		-			P77609	110	CDS	1644429	1644761	+		Protein flxA
YDFW_ECOLI	P76164	ydfW	b1567	A		2	0	pseudogene (Uniprot)		del-MD8		Cytoplasmic			P76164	75	CDS	1645198	1645347	-		Uncharacterized protein ydfW in Qin prophage region
YDFX_ECOLI	P76165	ydfX	b1568	A		2	0	pseudogene (Uniprot)		del-MD8		Cytoplasmic			P76165	96	CDS	1645370	1645660	-		Uncharacterized protein ydfX
DICC_ECOLI	P06965	dicC	b1569	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8		-			P06965	76	CDS	1645644	1645874	-		Repressor protein of division inhibition gene dicB
DICA_ECOLI	P06966	dicA	b1570	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8		-			P06966	135	CDS	1645958	1646365	+		HTH-type transcriptional regulator dicA (Repressor protein of division inhibition gene dicA)
YDFA_ECOLI	P0ACW8	ydfA	b1571	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8		-			P0ACW8	51	CDS	1646532	1646687	+		Uncharacterized protein ydfA
YDFB_ECOLI	P29009	ydfB	b1572	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8		-			P29009	42	CDS	1646689	1646817	+		Uncharacterized protein ydfB
YDFC_ECOLI	P21418	ydfC	b1573	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8		-			P21418	72	CDS	1646847	1647065	+		Uncharacterized protein ydfC
DICB_ECOLI	P09557	dicB	b1575	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8		-			P09557	62	CDS	1647633	1647821	+		Division inhibition protein dicB
YDFD_ECOLI	P29010	ydfD	b1576	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8		-			P29010	63	CDS	1647818	1648009	+		Uncharacterized protein ydfD
YDFE_ECOLI	Q47138	ydfE	b1577	A		0	0			del-MD8		Cytoplasmic			Q47138	255	CDS	1648102	1649022	+		Putative uncharacterized protein ydfE (ORF6) (Fragment)
INSD8_ECOLI	P0CF60	insD-7	b1578	A	MD18	2	2	"pseudogene (Ecogene/Uniprot);Insertion Sequence;Insertion Element ;Transposase;Rhs Element;Prophage Integrase"		del-MD8		-			P0CF60	218	CDS	1648905	1649561	+	new id	Putative transposase insD for insertion element IS2E
INTQ_ECOLI	P76168	intQ	b1579	A		2	0	"Rhs Element;Prophage Integrase"		del-MD8		-			P76168	385	CDS	1649536	1650732	+		Putative lambdoid prophage Qin defective integrase (Fragment)
YEAJ_ECOLI	P76237	yeaJ	b1786	B		0	0			del-MD40		Cytoplasmic	SEC		P76237	496	CDS	1870065	1871555	+		Putative diguanylate cylase YeaJ (DGC) (EC 2.7.7.65)
FLHE_ECOLI	P76297	flhE	b1878	G	MD27	0	2		Common Core	del-MD27		Cytoplasmic	SEC		P76297	130	CDS	1960604	1960996	-		Flagellar protein flhE
FLHA_ECOLI	P76298	flhA	b1879	B	MD27	0	2			del-MD27		Cytoplasmic	SEC		P76298	692	CDS	1960996	1963074	-		Flagellar biosynthesis protein flhA
FLHB_ECOLI	P76299	flhB	b1880	B	MD27	0	2			del-MD27	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	SEC		P76299	382	CDS	1963067	1964215	-		Flagellar biosynthetic protein flhB
CHEZ_ECOLI	P0A9H9	cheZ	b1881	A	MD27	0	2		Common Core	del-MD27	Cytoplasm. 	Cytoplasmic			P0A9H9	214	CDS	1964417	1965061	-		Protein phosphatase CheZ (EC 3.1.3.-) (Chemotaxis protein CheZ)
CHEY_ECOLI	P0AE67	cheY	b1882	A	MD27	0	2			del-MD27		Periplasmic			P0AE67	129	CDS	1965072	1965461	-		Chemotaxis protein CheY
CHEB_ECOLI	P07330	cheB	b1883	A	MD27	0	2		Common Core	del-MD27	Cytoplasm. 	Cytoplasmic			P07330	349	CDS	1965476	1966525	-		Chemotaxis response regulator protein-glutamate methylesterase (EC 3.1.1.61)
CHER_ECOLI	P07364	cheR	b1884	A	MD27	0	2		Common Core	del-MD27	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein >EXP<			P07364	286	CDS	1966528	1967388	-		Chemotaxis protein methyltransferase (EC 2.1.1.80)
MCP4_ECOLI	P07018	tap	b1885	B	MD27	0	2			del-MD27		Cytoplasmic >EXP<	SEC		P07018	533	CDS	1967407	1969008	-		Methyl-accepting chemotaxis protein IV (MCP-IV) (Dipeptide chemoreceptor protein)
MCP2_ECOLI	P07017	tar	b1886	B	MD27	0	2			del-MD27		Cytoplasmic	SEC		P07017	553	CDS	1969054	1970715	-		Methyl-accepting chemotaxis protein II (MCP-II) (Aspartate chemoreceptor protein)
CHEW_ECOLI	P0A964	cheW	b1887	A	MD27	0	2			del-MD27		Cytoplasmic			P0A964	167	CDS	1970860	1971363	-		Chemotaxis protein CheW
CHEA_ECOLI	P07363	cheA	b1888	A	MD27	0	2			del-MD27	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein >EXP<	SEC		P07363	654	CDS	1971384	1973348	-	"Notes: Inner Membrane predicted (Bernsel 2009) ; function suggest otherwise Refs: (http://www.ncbi.nlm.nih.gov/pubmed/19766000)"	Chemotaxis protein CheA (EC 2.7.13.3)
MOTB_ECOLI	P0AF06	motB	b1889	B	MD27	0	2		Common Core	del-MD27	"Cell inner membrane; Single-pass membrane protein. "	Membrane anchored	SEC		P0AF06	308	CDS	1973353	1974279	-		Motility protein B (Chemotaxis protein MotB)
MOTA_ECOLI	P09348	motA	b1890	B	MD27	0	2		Common Core	del-MD27	Periplasm. 	Membrane anchored	SEC		P09348	295	CDS	1974276	1975163	-		Motility protein A (Chemotaxis protein MotA)
FLHC_ECOLI	P0ABY7	flhC	b1891	A	MD27	0	2			del-MD27	Cytoplasm. 	Cytoplasmic			P0ABY7	192	CDS	1975290	1975868	-		Flagellar transcriptional activator flhC
FLHD_ECOLI	P0A8S9	flhD	b1892	A	MD27	0	2			del-MD27	Cytoplasm. 	Cytoplasmic			P0A8S9	116	CDS	1975871	1976230	-		Transcriptional activator FlhD
INSB5_ECOLI	P0CF28	insB-5	b1893	A	MD38	2	2	"Insertion Element ;Transposase"		del-MD27		Cytoplasmic			P0CF28	167	CDS	1976542	1977045	-	new id	Insertion element IS1 5 protein insB (IS1h)
INSA5_ECOLI	P0CF11	insA-5	b1894	A	MD38	2	2	Insertion Element 		del-MD27		Cytoplasmic			P0CF11	91	CDS	1976964	1977239	-	new id	Insertion element IS1 5 protein insA (IS1h)
YECC_ECOLI	P37774	yecC	b1917	F1		0	0			del-MD28		-			P37774	250	CDS	1995086	1995838	-		Uncharacterized amino-acid ABC transporter ATP-binding protein yecC
YECS_ECOLI	P0AFT2	yecS	b1918	B	MD28	0	2			del-MD28		Cytoplasmic	SEC		P0AFT2	222	CDS	1995835	1996503	-		Inner membrane amino-acid ABC transporter permease protein yecS
DCYD_ECOLI	P76316	yedO	b1919	A	MD28	0	2			del-MD28	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P76316	328	CDS	1996518	1997504	-		D-cysteine desulfhydrase (EC 4.4.1.15)
FLIY_ECOLI	P0AEM9	fliY	b1920	G	MD28	0	2			del-MD28		Cytoplasmic	SEC		P0AEM9	266	CDS	1997609	1998409	-		Cystine-binding periplasmic protein (CBP) (Protein fliY) (Sulfate starvation-induced protein 7) (SSI7)
FLIZ_ECOLI	P52627	fliZ	b1921	A	MD28	2	2	Prophage Integrase		del-MD28	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P52627	183	CDS	1998497	1999048	-		Regulator of sigma S factor FliZ
FLIA_ECOLI	P0AEM6	fliA	b1922	A	MD28	0	2			del-MD28		Cytoplasmic			P0AEM6	239	CDS	1999094	1999813	-		RNA polymerase sigma factor for flagellar operon (Sigma-27) (Sigma-28) (Sigma-F factor)
FLIC_ECOLI	P04949	fliC	b1923	F4	MD28	0	2			del-MD28		Cytoplasmic	T3S		P04949	498	CDS	2000134	2001630	-		Flagellin
FLID_ECOLI	P24216	fliD	b1924	F4	MD28	0	2			del-MD28		Cytoplasmic	T3S		P24216	468	CDS	2001896	2003302	+		Flagellar hook-associated protein 2 (HAP2) (Filament cap protein) (Flagellar cap protein)
FLIS_ECOLI	P26608	fliS	b1925	A	MD28	0	2			del-MD28		Cytoplasmic			P26608	136	CDS	2003327	2003737	+		Flagellar protein fliS
FLIT_ECOLI	P0ABY2	fliT	b1926	A	MD28	0	2			del-MD28	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P0ABY2	121	CDS	2003737	2004102	+		Flagellar protein fliT
AMY2_ECOLI	P26612	amyA	b1927	A	MD28	0	2			del-MD28	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P26612	495	CDS	2004180	2005667	+		Cytoplasmic alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)
YEDD_ECOLI	P31063	yedD	b1928	I	MD28	0	2			del-MD28		Cytoplasmic	SEC	LOL	P31063	137	CDS	2005701	2006114	-		Uncharacterized lipoprotein yedD
YEDE_ECOLI	P31064	yedE	b1929	B	MD28	0	2			del-MD28		Periplasmic	SEC		P31064	401	CDS	2006301	2007506	+		UPF0394 inner membrane protein yedE
YEDF_ECOLI	P0AA31	yedF	b1930	A	MD28	0	2			del-MD28	"Cell outer membrane; Multi-pass membrane protein. "	Outer Membrane &#223-barrel protein >EXP<			P0AA31	77	CDS	2007503	2007736	+		UPF0033 protein yedF
YEDK_ECOLI	P76318	yedK	b1931	A	MD28	0	2			del-MD28		Cytoplasmic			P76318	222	CDS	2007845	2008513	+		Uncharacterized protein yedK
YEDL_ECOLI	P76319	yedL	b1932	A	MD28	0	2			del-MD28	"Membrane; Single-pass membrane protein. "	Cytoplasmic			P76319	159	CDS	2008624	2009103	+		Uncharacterized N-acetyltransferase yedL (EC 2.3.1.-)
YEDN_ECOLI	P76321	yedN	b4495	A		2	0	pseudogene (Uniprot)		del-MD28		Cytoplasmic			P76321	173	pseudogene	2009372	2009893	-		Putative uncharacterized protein yedN
YEDM_ECOLI	P76322	yedM	b1935	A		0	0			del-MD28	"Cytoplasm. Cell inner membrane; Peripheral membrane protein; Cytoplasmic side. "	Cytoplasmic			P76322	116	CDS	2010025	2010375	-		Lipopolysaccharide core biosynthesis protein rfaS
INTG_ECOLI	P76323	intG	b1936	A		2	0	"pseudogene (Uniprot);Rhs Element;Prophage Integrase"		del-MD28	"Membrane; Single-pass membrane protein. "	-			P76323	92	pseudogene	2010526	2010804	+		Putative lambdoid prophage defective integrase
FLIE_ECOLI	P0A8T5	fliE	b1937	B	MD28	0	2			del-MD28		Cytoplasmic			P0A8T5	104	CDS	2010724	2011038	-	Localization: although it does not have any transmembrane regions it is located in the inner membrane plane as part of the flagellar basal body provides physical connection to the FlgB component of the rod. Refs: (http://www.ncbi.nlm.nih.gov/pubmed/10809679)	Flagellar hook-basal body complex protein fliE
FLIF_ECOLI	P25798	fliF	b1938	B	MD28	0	2			del-MD28		Cytoplasmic	SEC		P25798	552	CDS	2011253	2012911	+		Flagellar M-ring protein
FLIG_ECOLI	P0ABZ1	fliG	b1939	F1	MD28	0	2			del-MD28	Cytoplasm. 	Cytoplasmic			P0ABZ1	331	CDS	2012904	2013899	+	Notes: Flaggelar C-ring proteins - FliG, FliM, and FliN	Flagellar motor switch protein FliG
FLIH_ECOLI	P31068	fliH	b1940	A	MD28	0	2			del-MD28		Cytoplasmic			P31068	228	CDS	2013892	2014578	+		Flagellar assembly protein fliH
FLII_ECOLI	P52612	fliI	b1941	A	MD28	0	2			del-MD28	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P52612	457	CDS	2014578	2015951	+		Flagellum-specific ATP synthase (EC 3.6.3.14)
FLIJ_ECOLI	P52613	fliJ	b1942	F1	MD28	0	2			del-MD28		Periplasmic			P52613	147	CDS	2015970	2016413	+		Flagellar fliJ protein
FLIK_ECOLI	P52614	fliK	b1943	A	MD28	0	2			del-MD28		Periplasmic			P52614	375	CDS	2016410	2017537	+		Flagellar hook-length control protein
FLIL_ECOLI	P0ABX8	fliL	b1944	F1	MD28	0	2			del-MD28		Cytoplasmic			P0ABX8	154	CDS	2017642	2018106	+		Flagellar protein FliL
FLIM_ECOLI	P06974	fliM	b1945	F1	MD28	0	2			del-MD28	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P06974	334	CDS	2018111	2019115	+	Notes: Flaggelar C-ring proteins - FliG, FliM, and FliN	Flagellar motor switch protein FliM
FLIN_ECOLI	P15070	fliN	b1946	F1	MD28	0	2			del-MD28		Cytoplasmic			P15070	137	CDS	2019112	2019525	+	Flaggelar C-ring proteins - FliG, FliM, and FliN	Flagellar motor switch protein FliN
FLIO_ECOLI	P22586	fliO	b1947	B	MD28	0	2			del-MD28		Cytoplasmic	SEC		P22586	121	CDS	2019528	2019893	+		Flagellar protein fliO
FLIP_ECOLI	P0AC05	fliP	b1948	B	MD28	0	2			del-MD28		Cytoplasmic	SEC		P0AC05	245	CDS	2019893	2020630	+		Flagellar biosynthetic protein fliP
FLIQ_ECOLI	P0AC07	fliQ	b1949	B	MD28	0	2			del-MD28	Cytoplasm. 	-	SEC		P0AC07	89	CDS	2020640	2020909	+		Flagellar biosynthetic protein FliQ
FLIR_ECOLI	P33135	fliR	b1950	B	MD28	0	2			del-MD28	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein >EXP<	SEC		P33135	261	CDS	2020917	2021702	+		Flagellar biosynthetic protein fliR
INSH6_ECOLI	P0CE53	insH-6	b1994	A	MD21	2	2	"Insertion Sequence;Transposase"		del-MD5	Cell outer membrane. 	Cytoplasmic			P0CE53	338	CDS	2064329	2065345	-	new id	Transposase insH for insertion sequence element IS5H
YOEA_ECOLI	P76356	yoeA	b4582	H		2	0	pseudogene (Uniprot)		del-MD5		Cytoplasmic	SEC	BAM	P76356	167	pseudogene	2066659	2068498	+		Putative uncharacterized protein yoeA
INSD3_ECOLI	P0CF55	insD-3	b1996	A		2	0	"Insertion Sequence;Insertion Element ;Transposase;Rhs Element;Prophage Integrase"		del-MD5	"Cell inner membrane; Multi-pass membrane protein. "	Cytoplasmic			P0CF55	301	CDS	2066976	2067881	-	new id	Transposase insD for insertion element IS2F
INSC3_ECOLI	P0CF42	insC-3	b1997	A		2	0	"Insertion Sequence;Insertion Element ;Transposase"		del-MD5		-			P0CF42	121	CDS	2067839	2068249	-	new id	Transposase insC for insertion element IS2F
YEEP_ECOLI	P76359	yeeP	b1999	A		2	0	pseudogene (Uniprot)		del-MD5		Cytoplasmic			P76359	236	pseudogene	2068810	2069235	+		Putative uncharacterized protein yeeP
AG43_ECOLI	P39180	flu	b2000	H	MD5	2	2	Prophage Integrase (EcoGene)		del-MD5		Cytoplasmic	SEC	T5S	P39180	1039	CDS	2069563	2072682	+	autotransporter	"Antigen 43 (AG43) (Fluffing protein) [Cleaved into: Antigen 43 alpha chain; Antigen 43 beta chain]"
YEER_ECOLI	P76361	yeeR	b2001	B	MD5	2	2	Prophage Integrase (EcoGene)		del-MD5		-	SEC		P76361	510	CDS	2072803	2074335	+		Inner membrane protein yeeR
YEES_ECOLI	P76362	yeeS	b2002	A	MD5	2	2	"pseudogene (Ohman 2006) ; Prophage Integrase (EcoGene)"		del-MD5		Cytoplasmic			P76362	148	CDS	2074332	2074778	+		UPF0758 protein yeeS
YEET_ECOLI	P64521	yeeT	b2003	A	MD5	2	2	Prophage Integrase (EcoGene)		del-MD5		-			P64521	73	CDS	2074841	2075062	+		Uncharacterized protein yeeT
YEEU_ECOLI	P76364	yeeU	b2004	A	MD5	2	2	Prophage Integrase (EcoGene)		del-MD5		Cytoplasmic			P76364	122	CDS	2075136	2075504	+		Uncharacterized protein yeeU
YEEV_ECOLI	P64524	yeeV	b2005	A	MD5	2	2	Prophage Integrase (EcoGene)		del-MD5		-			P64524	124	CDS	2075593	2075967	+		Uncharacterized protein yeeV
YEEW_ECOLI	P64526	yeeW	b2006	A		2	0	pseudogene (Uniprot) 		del-MD5		Periplasmic			P64526	64	CDS	2075964	2076158	+		Putative uncharacterized protein yeeW
YOEF_ECOLI	Q2EES3	yoeF	b4538	A		2	0	pseudogene (Uniprot)		del-MD5		Cytoplasmic			Q2EES3	118	CDS	2076599	2076955	+		Putative uncharacterized protein yoeF
YEEX_ECOLI	P0A8M6	yeeX	b2007	A	MD5	0	2		Common Core	del-MD5		Cytoplasmic			P0A8M6	109	CDS	2077056	2077451	-		UPF0265 protein yeeX
YEEA_ECOLI	P33011	yeeA	b2008	B	MD5	0	2		Common Core	del-MD5		Cytoplasmic	SEC		P33011	352	CDS	2077557	2078615	-		Inner membrane protein yeeA
WBBL_ECOLI	P36667	wbbL	b4571	A		0	0			del-MD22	Periplasm. 	Periplasmic >EXP<			P36667	264	pseudogene	2099420	2101413	-		Small toxic protein ibsA
INSH7_ECOLI	P0CE54	insH-7	b2030	A		2	0	"Insertion Sequence;Transposase"		del-MD22		Cytoplasmic			P0CE54	338	CDS	2099919	2100935	-	new id	Transposase insH for insertion sequence element IS5I
YEFI_ECOLI	P37751	wbbK	b2032	F1	MD22	0	2			del-MD22		Periplasmic			P37751	372	CDS	2101415	2102533	-		Uncharacterized protein yefI
WBBJ_ECOLI	P37750	wbbJ	b2033	A	MD22	0	2			del-MD22		Cytoplasmic			P37750	196	CDS	2102518	2103108	-		Putative lipopolysaccharide biosynthesis O-acetyl transferase wbbJ (EC 2.3.1.-)
YEFG_ECOLI	P37749	wbbI	b2034	A	MD22	0	2			del-MD22		Cytoplasmic			P37749	330	CDS	2103089	2104081	-		L-fuculose phosphate aldolase (EC 4.1.2.17) (L-fuculose-1-phosphate aldolase)
RFC_ECOLI	P37748	wbbH	b2035	B	MD22	0	2			del-MD22		Cytoplasmic	SEC		P37748	388	CDS	2104084	2105250	-		Uncharacterized protein yjjJ
GLF_ECOLI	P37747	glf	b2036	B	MD22	0	2			del-MD22		Cytoplasmic	SEC		P37747	367	CDS	2105250	2106353	-		Uncharacterized permease yjhF
RFBX_ECOLI	P37746	rfbX	b2037	B	MD22	0	2			del-MD22	Cytoplasm. 	Cytoplasmic	SEC		P37746	415	CDS	2106361	2107608	-		Uncharacterized protein yjiS
RMLC_ECOLI	P37745	rfbC	b2038	A	MD22	0	2			del-MD22		Periplasmic			P37745	185	CDS	2107605	2108162	-		dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13) (Thymidine diphospho-4-keto-rhamnose 3,5-epimerase) (dTDP-4-keto-6-deoxyglucose 3,5-epimerase) (dTDP-6-deoxy-D-xylo-4-hexulose 3,5-epimerase) (dTDP-L-rhamnose synthase)
RMLA1_ECOLI	P37744	rfbA	b2039	B	MD22	0	2			del-MD22	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein >EXP<	SEC		P37744	293	CDS	2108162	2109043	-		Glucose-1-phosphate thymidylyltransferase 1 (G1P-TT 1) (EC 2.7.7.24) (dTDP-glucose pyrophosphorylase 1) (dTDP-glucose synthase 1)
RMLD_ECOLI	P37760	rfbD	b2040	A	MD22	0	2			del-MD22		Periplasmic			P37760	299	CDS	2109101	2110000	-		dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133) (dTDP-4-keto-L-rhamnose reductase) (dTDP-6-deoxy-L-lyxo-4-hexulose reductase) (dTDP-6-deoxy-L-mannose dehydrogenase) (dTDP-L-rhamnose synthase)
RMLB1_ECOLI	P37759	rfbB	b2041	A	MD22	0	2			del-MD22		Periplasmic			P37759	361	CDS	2110000	2111085	-		dTDP-glucose 4,6-dehydratase 1 (EC 4.2.1.46)
GALF_ECOLI	P0AAB6	galF	b2042	B	MD22	0	2		Common Core	del-MD22	"Cell inner membrane; Peripheral membrane protein. "	Cytoplasmic >EXP<	SEC		P0AAB6	297	CDS	2111458	2112351	-		UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (Alpha-D-glucosyl-1-phosphate uridylyltransferase) (UDP-glucose pyrophosphorylase) (UDPGP) (Uridine diphosphoglucose pyrophosphorylase)
WCAM_ECOLI	P71244	wcaM	b2043	G	MD22	0	2		Common Core	del-MD22	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	TAT		P71244	464	CDS	2112526	2113920	-	Notes: TAT secretion system Refs: (http://www.jbc.org/content/282/11/8309.abstract)	Colanic acid biosynthesis protein wcaM
WCAL_ECOLI	P71243	wcaL	b2044	A	MD22	0	2		Common Core	del-MD22	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P71243	406	CDS	2113931	2115151	-		Putative colanic acid biosynthesis glycosyltransferase wcaL (EC 2.4.-.-)
WCAK_ECOLI	P71242	wcaK	b2045	A	MD22	0	2		Common Core	del-MD22	Cytoplasm. 	Cytoplasmic			P71242	426	CDS	2115148	2116428	-		Colanic acid biosynthesis protein wcaK (EC 2.-.-.-)
WZXC_ECOLI	P77377	wzxC	b2046	B	MD22	0	2		Common Core	del-MD22		-	SEC		P77377	492	CDS	2116704	2118182	-		Lipopolysaccharide biosynthesis protein wzxC
WCAJ_ECOLI	P71241	wcaJ	b2047	B	MD22	0	2		Common Core	del-MD22	Cytoplasm. 	Cytoplasmic	SEC		P71241	464	CDS	2118184	2119578	-		Putative colanic biosynthesis UDP-glucose lipid carrier transferase
MANB_ECOLI	P24175	cpsG	b2048	A	MD22	0	2		Common Core	del-MD22	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P24175	456	CDS	2119633	2121003	-		Phosphomannomutase (PMM) (EC 5.4.2.8)
MANC_ECOLI	P24174	cpsB	b2049	A	MD22	0	2		Common Core	del-MD22		Cytoplasmic			P24174	478	CDS	2121108	2122544	-		Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13) (GDP-mannose pyrophosphorylase) (GMP) (GMPP)
WCAI_ECOLI	P32057	wcaI	b2050	B	MD22	0	2		Common Core	del-MD22	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	SEC		P32057	407	CDS	2122547	2123770	-		Putative colanic acid biosynthesis glycosyl transferase wcaI
NUDD_ECOLI	P32056	nudD	b2051	A	MD22	0	2		Common Core	del-MD22	"Cell outer membrane; Lipid-anchor. "	Cytoplasmic			P32056	159	CDS	2123767	2124246	-		GDP-mannose mannosyl hydrolase (GDPMH) (EC 3.6.1.-) (Colanic acid biosynthesis protein wcaH)
FCL_ECOLI	P32055	fcl	b2052	A	MD22	0	2		Common Core	del-MD22	"Cell outer membrane; Lipid-anchor. "	-			P32055	321	CDS	2124249	2125214	-		GDP-L-fucose synthase (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase)
GM4D_ECOLI	P0AC88	gmd	b2053	A	MD22	0	2		Common Core	del-MD22		Cytoplasmic			P0AC88	373	CDS	2125217	2126338	-		GDP-mannose 4,6-dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase)
WCAF_ECOLI	P0ACD2	wcaF	b2054	A	MD22	0	2		Common Core	del-MD22	Cytoplasm. 	-			P0ACD2	182	CDS	2126364	2126912	-		Putative colanic acid biosynthesis acetyltransferase wcaF (EC 2.3.1.-)
WCAE_ECOLI	P71239	wcaE	b2055	A	MD22	0	2		Common Core	del-MD22	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P71239	248	CDS	2126928	2127674	-		Putative colanic acid biosynthesis glycosyl transferase wcaE
WCAD_ECOLI	P71238	wcaD	b2056	B	MD22	0	2			del-MD22		Cytoplasmic	SEC		P71238	405	CDS	2127685	2128902	-		Putative colanic acid polymerase
WCAC_ECOLI	P71237	wcaC	b2057	A	MD22	0	2		Common Core	del-MD22	Cytoplasm. 	Cytoplasmic			P71237	405	CDS	2128877	2130094	-		Putative colanic acid biosynthesis glycosyl transferase wcaC
WCAB_ECOLI	P0ACC9	wcaB	b2058	A	MD22	0	2		Common Core	del-MD22		Cytoplasmic			P0ACC9	162	CDS	2130091	2130579	-		Putative colanic acid biosynthesis acetyltransferase wcaB (EC 2.3.1.-)
WCAA_ECOLI	P77414	wcaA	b2059	A	MD22	0	2		Common Core	del-MD22	Cytoplasm. 	Cytoplasmic			P77414	279	CDS	2130582	2131421	-		Putative colanic acid biosynthesis glycosyl transferase wcaA
WZC_ECOLI	P76387	wzc	b2060	B	MD22	0	2		Common Core	del-MD22	"Cell inner membrane; Multi-pass membrane protein. "	-	SEC		P76387	720	CDS	2131514	2133676	-		Tyrosine-protein kinase wzc (EC 2.7.10.-)
WZB_ECOLI	P0AAB2	wzb	b2061	A	MD22	0	2		Common Core	del-MD22		Cytoplasmic			P0AAB2	147	CDS	2133679	2134122	-		Low molecular weight protein-tyrosine-phosphatase wzb (EC 3.1.3.48)
WZA_ECOLI	P0A930	wza	b2062	I	MD22	0	2		Common Core	del-MD22	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	SEC	LOL	P0A930	379	CDS	2134128	2135267	-	Localization: outer membrane but also lipoprotein Notes: has a helical structure that crosses membrane	Putative polysaccharide export protein wza
YEGP_ECOLI	P76402	yegP	b2080	A	MD37	0	2		Common Core	del-MD37		Cytoplasmic			P76402	110	CDS	2163213	2163545	+		UPF0339 protein yegP
YEGQ_ECOLI	P76403	yegQ	b2081	A	MD37	0	2		Common Core	del-MD37		Cytoplasmic			P76403	453	CDS	2163692	2165053	+		Uncharacterized protease yegQ (EC 3.4.-.-)
OGRK_ECOLI	P37057	ogrK	b2082	A	MD37	2	2	Prophage Integrase (EcoGene)		del-MD37		-			P37057	72	CDS	2165326	2165544	-		Prophage P2 OGR protein
YEGR_ECOLI	P76406	yegR	b2085	I	MD37	0	2		Common Core	del-MD37		Cytoplasmic	SEC	LOL	P76406	105	CDS	2166013	2166330	-		Uncharacterized protein yegR
YEGS_ECOLI	P76407	yegS	b2086	A	MD37	0	2			del-MD37		Cytoplasmic			P76407	299	CDS	2166736	2167635	+		Lipid kinase yegS (EC 2.7.1.-)
