Accession	ECK	Gene	Protein name	emPAI	mRNA	Copy number	Sequence	Number of	Mascot	Number of	GRAVY	GO cellular component
JW1633	ECK1637	slyB	outer membrane lipoprotein	3,64	4,84	165,27	38,71	4	358	0	0,114	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW0861	ECK0868	ybjX	conserved protein	3,33	1,79	152	38,18	10	358	0	-0,345	0
JW3134	ECK3154	rpsO	30S ribosomal subunit protein S15	18,31	2,94	791,36	69,66	8	357	0	-0,673	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW3820	ECK3836	fre	flavin reductase	2,98	3,27	136,13	049	8	357	0	-0,123	0
JW1808	ECK1817	manZ	mannose-specific enzyme IID component of PTS	2,46	009	113,03	29,72	7	357	2	0,407	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3198	ECK3218	sspA	stringent starvation protein A	3,92	003	177,58	35,38	7	356	0	-0,265	GO:0005737 cytoplasm
JW3937	ECK3957	trmA	tRNA (uracil-5-)-methyltransferase	1,23	0,15	57,72	31,97	8	356	0	-0,322	GO:0005737 cytoplasm
JW5854	ECK3820	yigL	predicted hydrolase	1,58	-	73,59	37,22	7	356	0	-0,185	0
JW3275	ECK3300	rplP	50S ribosomal subunit protein L16	12,89	5,43	563,11	44,85	5	355	0	-0,384	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW2515	ECK2528	iscR	DNA-binding transcriptional activator	4,34	1,72	196	58,64	7	355	0	-0,256	0
JW0794	ECK0798	glnQ	glutamine transporter subunit -!- ATP-binding component of ABC superfamily	3,92	001	177,58	51,25	7	355	0	-0,138	GO:0005737 cytoplasm
JW1100	ECK1100	mfd	transcription-repair coupling factor	0,58	0,36	27,85	13,85	12	355	0	-0,292	GO:0005737 cytoplasm
JW1269	ECK1272	ribA	GTP cyclohydrolase II	7,25	0,89	322,33	46,43	9	354	0	-0,181	0
JW3264	ECK3289	rpmD	50S ribosomal subunit protein L30	157,49	7,55	6374,36	76,27	8	352	0	-0,137	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW0141	ECK0144	dksA	transcriptional regulator of rRNA transcription, DnaK suppressor protein	009	11,17	398	62,25	7	352	0	-0,866	GO:0005737 cytoplasm
JW0906	ECK0914	mukE	protein involved in chromosome partitioning	1,68	0,97	078	34,67	6	351	0	-0,495	0
JW0661	ECK0663	nagD	UMP phosphatase	2,51	0,25	115,26	038	5	350	0	0,109	0
JW1913	ECK1927	yedD	predicted protein	2,16	0,25	99,64	46,72	5	350	0	-0,195	0
JW3563	ECK3579	selB	selenocysteinyl-tRNA-specific translation factor	0,68	-	033	18,89	9	350	0	-0,354	GO:0005737 cytoplasm
JW2287	ECK2284	yfbQ	predicted aminotransferase	1,02	0,49	48,14	19,26	6	349	0	-0,163	0
JW0229	ECK0240	frsA	hydrolase, binds to enzyme IIA(Glc)	0,63	0,66	30,18	20,05	7	349	0	0.000	0
JW4030	ECK4062	acs	bifunctional acetyl-CoA synthetase -!- propionyl-CoA synthetase	0,93	001	44,02	20,09	10	348	0	-0,291	0
JW3933	ECK3953	oxyR	DNA-binding transcriptional dual regulator	3,64	0,41	165,27	032	8	347	0	-0,088	GO:0005737 cytoplasm
JW2921	ECK2949	yggV	dITP/XTP pyrophosphatase	3,33	0,52	152	48,22	6	347	0	-0,122	0
JW2385	ECK2384	glk	glucokinase	1,58	2,39	73,59	30,84	7	347	0	0,154	GO:0005737 cytoplasm
JW4131	ECK4169	hflX	predicted GTPase	0,98	1,24	46,31	21,36	7	347	0	-0,332	0
JW2235	ECK2233	glpA	sn-glycerol-3-phosphate dehydrogenase (anaerobic), large subunit, FAD/NAD(P)-binding	0,47	-	22,71	14,39	6	347	0	-0,134	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW2234	ECK2232	glpT	sn-glycerol-3-phosphate transporter	6,02	000	269,17	15,04	8	346	12	0,493	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW1220	ECK1227	purU	formyltetrahydrofolate hydrolase	1,74	0,98	081	28,93	6	346	0	-0,166	GO:0005737 cytoplasm
JW5756	ECK4245	yjgK	conserved protein	6,94	-	308,96	076	7	346	0	-0,249	0
JW3116	ECK3135	yraM	conserved protein	1,01	0,91	47,69	23,16	9	345	0	-0,272	0
JW1605	ECK1608	manA	mannose-6-phosphate isomerase	001	0,96	47,23	24,04	6	345	0	-0,126	GO:0030113 capsule (sensu Bacteria) -!- GO:0005737 cytoplasm
JW5158	ECK1094	ycfP	conserved protein	7,38	3,02	327,93	68,89	10	344	0	-0,591	0
JW1238	ECK1240	oppD	oligopeptide transporter subunit -!- ATP-binding component of ABC superfamily	1,82	3,76	084	34,42	9	342	0	-0,009	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
JW2904	ECK2932	speB	agmatinase	5,11	001	229,62	53,27	9	340	0	-0,105	0
JW0050	ECK0052	ksgA	S-adenosylmethionine-6-N',N'-adenosyl (rRNA) dimethyltransferase	3,39	1,64	154,25	40,66	8	340	0	-0,101	GO:0005737 cytoplasm
JW1812	ECK1821	cspC	stress protein, member of the CspA-family	099	007	4064,14	89,86	6	337	0	0.000	0
JW1119	ECK1119	trmU	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase	1,78	1,75	083	27,99	6	336	0	-0,285	GO:0005737 cytoplasm
JW1297	ECK1299	pspA	regulatory protein for phage-shock-protein operon	1,68	4,17	078	40,09	8	336	0	-0,722	GO:0005737 cytoplasm
JW2081	ECK2087	gatA	galactitol-specific enzyme IIA component of PTS	14,85	-	645,93	66,35	5	336	0	-0,025	0
JW3774	ECK3796	hemY	predicted protoheme IX synthesis protein	1,23	0,62	57,72	22,36	8	335	2	-0,362	0
JW0618	ECK0616	cspE	DNA-binding transcriptional repressor	062	5,23	2585,84	78,26	7	334	0	-0,213	GO:0005737 cytoplasm
JW2590	ECK2606	rpsP	30S ribosomal subunit protein S16	67,13	11,84	2788,66	58,54	7	333	0	-0,329	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW2795	ECK2823	thyA	thymidylate synthetase	4,88	0,28	220	34,85	8	333	0	-0,382	GO:0005737 cytoplasm
JW0742	ECK0748	galE	UDP-galactose-4-epimerase	2,65	1,71	121,49	29,59	7	332	0	-0,311	GO:0030113 capsule (sensu Bacteria) -!- GO:0005737 cytoplasm
JW2343	ECK2340	vacJ	predicted lipoprotein	2,46	0,24	113,03	45,02	7	331	0	-0,291	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW0765	ECK0771	moaB	molybdopterin biosynthesis protein B	4,01	-	181,53	47,65	7	331	0	-0,225	0
JW4114	ECK4149	frdB	fumarate reductase (anaerobic), Fe-S subunit	4,88	1,57	220	046	8	330	0	-0,224	GO:0005737 cytoplasm
JW3403	ECK3425	yhhX	predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain	1,51	0,43	70,42	26,67	7	329	0	-0,346	0
JW2291	ECK2288	yfbU	conserved protein	7,38	1,36	327,93	68,29	10	328	0	-0,579	0
JW0646	ECK0644	rihA	ribonucleoside hydrolase 1	6,74	3,29	300,32	26,69	6	328	0	0,105	0
JW2548	ECK2562	pdxJ	pyridoxine 5'-phosphate synthase	1,93	0,44	89,34	44,44	7	328	0	-0,091	GO:0005737 cytoplasm
JW4345	ECK4374	deoA	thymidine phosphorylase	1,33	0,85	62,27	30,91	9	328	0	0,011	0
JW5185	ECK1186	dhaH	fused predicted dihydroxyacetone-specific PTS enzyme HPr component -!- EI component	1,23	0,23	57,72	23,31	6	327	0	-0,017	0
JW4171	ECK4209	cpdB	2':3'-cyclic-nucleotide 2'-phosphodiesterase	000	0,42	19,43	014	6	327	0	-0,285	GO:0005737 cytoplasm
JW3377	ECK3401	gntY	predicted gluconate transport associated protein	009	1,43	398	47,64	6	326	0	-0,256	0
JW5067	ECK0486	ybbN	predicted thioredoxin domain-containing protein	009	3,83	398	37,68	8	325	0	-0,242	0
JW2181	ECK2185	narP	DNA-binding response regulator in two-component regulatory system with NarQ or NarX	2,51	1,31	115,26	33,49	5	325	0	-0,014	GO:0005737 cytoplasm
JW2601	ECK2616	smpB	trans-translation protein	4,99	1,04	224,39	21,25	6	324	0	-0,581	0
JW1176	ECK1175	fadR	DNA-binding transcriptional dual regulator	2,38	1,84	109,47	46,86	8	324	0	-0,283	GO:0005737 cytoplasm
JW3393	ECK3416	glgC	glucose-1-phosphate adenylyltransferase	1,15	0,79	54,08	22,04	8	324	0	-0,267	GO:0005737 cytoplasm
JW2300	ECK2297	folX	D-erythro-7,8-dihydroneopterin triphosphate 2'-epimerase and dihydroneopterin aldolase	3,33	2,38	152	060	6	323	0	-0,426	0
JW2903	ECK2931	yggG	predicted peptidase	1,51	1,88	70,42	34,13	6	323	0	-0,204	0
JW3026	ECK3044	ygiF	predicted adenylate cyclase	1,42	1,15	66,35	025	8	322	0	0.000	0
JW3069	ECK3089	yqjD	conserved protein	12,89	3,84	563,11	69,31	7	321	1	-0,545	0
JW1116	ECK1116	phoP	DNA-binding response regulator in two-component regulatory system with PhoQ	2,46	2,47	113,03	38,57	7	321	0	-0,257	GO:0005737 cytoplasm
JW3274	ECK3299	rpmC	50S ribosomal subunit protein L29	16,78	6,28	727,17	49,21	3	320	0	-0,657	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW3176	ECK3198	elbB	isoprenoid biosynthesis protein with amidotransferase-like domain	2,59	0,93	118,82	36,87	5	320	0	0,267	0
JW1654	ECK1658	ribC	riboflavin synthase, alpha subunit	3,64	0,79	165,27	37,56	6	318	0	0.000	0
JW1964	ECK1978	yeeN	conserved protein	2,46	1,44	113,03	34,03	6	314	0	-0,258	0
JW2066	ECK2077	yegQ	predicted peptidase	1,65	0,75	76,75	30,46	10	314	0	0.000	0
JW1653	ECK1657	cfa	cyclopropane fatty acyl phospholipid synthase (unsaturated-phospholipid methyltransferase)	0,86	3,37	041	18,32	6	313	0	-0,313	0
JW3153	ECK3175	rplU	50S ribosomal subunit protein L21	18,31	6,88	791,36	070	7	311	0	-0,369	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW2309	ECK2306	purF	amidophosphoribosyltransferase	0,86	5,63	041	18,42	6	311	0	-0,243	GO:0005737 cytoplasm
JW2194	ECK2198	napA	nitrate reductase, periplasmic, large subunit	0,36	-	17,54	013	7	311	0	-0,438	GO:0042597 periplasmic space
JW1212	ECK1215	narL	DNA-binding response regulator in two-component regulatory system with NarX (or NarQ)	11,92	1,57	521,98	55,09	10	310	0	-0,153	GO:0005737 cytoplasm
JW2516	ECK2529	yfhQ	predicted methyltransferase	2,83	004	129,48	30,89	6	310	0	-0,133	0
JW2484	ECK2495	purM	phosphoribosylaminoimidazole synthetase	1,89	2,74	87,54	26,96	5	310	0	0,034	GO:0005737 cytoplasm
JW3907	ECK3928	rpmE	50S ribosomal subunit protein L31	45,42	18,13	1909,42	72,86	6	308	0	-0,649	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW3351	ECK3375	damX	predicted protein	1,68	1,13	078	25,93	9	306	1	-0,935	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW2512	ECK2525	iscA	FeS cluster assembly protein	009	006	398	80,37	7	305	0	-0,103	0
JW0895	ECK0903	ihfB	integration host factor (IHF), DNA-binding protein, beta subunit	25,83	8,45	1104,73	073	7	304	0	-0,784	GO:0005737 cytoplasm
JW3311	ECK3336	slyD	FKBP-type peptidyl prolyl cis-trans isomerase (rotamase)	16,78	3,43	727,17	35,71	4	304	0	-0,383	0
JW2755	ECK2778	relA	(p)ppGpp synthetase I/GTP pyrophosphokinase	0,46	0,26	22,25	17,07	9	304	0	-0,337	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW1818	ECK1828	htpX	predicted endopeptidase	2,51	0,63	115,26	27,65	6	303	4	0,344	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW2424	ECK2426	yfeX	conserved protein	001	-	65,44	35,45	7	302	0	-0,322	0
JW0083	ECK0086	murE	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase	1,22	0,41	57,27	23,23	8	301	0	-0,051	GO:0009274 cell wall (sensu Bacteria)
JW2408	ECK2410	ptsH	phosphohistidinoprotein-hexose phosphotransferase component of PTS system (Hpr)	55,23	22,92	2308,02	78,82	5	300	0	-0,166	0
JW0897	ECK0905	msbA	fused lipid transporter subunits -!- membrane component and ATP-binding component of ABC superfamily	0,91	0,45	043	20,62	9	300	5	0,113	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3381	ECK3405	malT	DNA-binding transcriptional activator, maltotriose-ATP-binding	0,33	3,32	16,12	11,21	6	300	0	-0,273	GO:0005737 cytoplasm
JW3269	ECK3294	rpsN	30S ribosomal subunit protein S14	50,79	15,83	2.128	47,52	8	299	0	-0,795	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW2501	ECK2513	yfgB	predicted enzyme	1,15	0,47	54,08	21,09	8	299	0	-0,291	0
JW0146	ECK0149	fhuA	ferrichrome outer membrane transporter	0,56	0,94	26,92	22,89	10	299	0	-0,481	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
JW2660	ECK2679	emrA	multidrug efflux system	0,86	1,13	041	23,85	7	297	1	-0,129	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW5362	ECK2165	yeiP	predicted elongtion factor	4,01	1,78	181,53	34,21	6	296	0	-0,379	0
JW2636	ECK2655	gabD	succinate-semialdehyde dehydrogenase I, NADP-dependent	1,35	8,84	63,18	033	9	296	0	-0,071	0
JW1646	ECK1650	ydhD	conserved protein	5,31	2,24	238,33	46,09	4	295	0	-0,272	0
JW1051	ECK1049	grxB	glutaredoxin 2 (Grx2)	2,65	1,82	121,49	47,44	8	294	0	-0,264	0
JW0849	ECK0856	ybjP	predicted lipoprotein	1,85	3,63	85,75	36,84	4	294	0	-0,459	0
JW2051	ECK2060	udk	uridine/cytidine kinase	2,73	1,34	125,04	31,92	7	293	0	-0,258	0
JW3160	ECK3182	yrbD	predicted ABC-type organic solvent transporter	7,11	0,59	316,29	57,38	7	292	1	-0,068	0
JW2226	ECK2224	ubiG	bifunctional 3-demethylubiquinone-9 3-methyltransferase -!- 2-octaprenyl-6-hydroxy phenol methylase	2,16	0,22	99,64	37,08	6	289	0	-0,226	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW5522	ECK3103	tdcE	pyruvate formate-lyase 4/2-ketobutyrate formate-lyase	000	0,17	19,43	14,01	7	287	0	-0,294	GO:0005737 cytoplasm
JW3584	ECK3599	secB	protein export chaperone	062	9,85	2585,84	64,52	6	286	0	-0,188	GO:0005737 cytoplasm
JW3280	ECK3305	rplW	50S ribosomal subunit protein L23	38,81	9,98	1639,38	059	7	286	0	-0,373	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW3963	ECK3991	yjaG	conserved protein	3,33	1,74	152	42,35	6	286	0	-0,241	0
JW3679	ECK3694	dnaA	chromosomal replication initiator protein DnaA, DNA-binding transcriptional dual regulator	0,48	2,49	23,18	17,13	6	286	0	-0,364	GO:0005737 cytoplasm
JW2403	ECK2406	ligA	DNA ligase, NAD(+)-dependent	0,28	0,57	13,75	8,64	5	286	0	-0,137	GO:0005737 cytoplasm
JW0162	ECK0165	glnD	uridylyltransferase	0,26	0,45	12,79	9,21	6	286	0	-0,294	GO:0005737 cytoplasm
JW3525	ECK3543	cspA	major cold shock protein	009	0,67	398	81,43	5	284	0	-0,251	GO:0005737 cytoplasm
JW0230	ECK0241	crl	DNA-binding transcriptional regulator	4,01	1,44	181,53	49,62	7	284	0	-0,511	GO:0009289 fimbria -!- GO:0005737 cytoplasm
JW2924	ECK2952	ansB	periplasmic L-asparaginase II	1,24	6,61	58,18	27,87	7	284	1	-0,114	GO:0042597 periplasmic space
JW2550	ECK2564	era	membrane-associated, 16S rRNA-binding GTPase	1,96	001	90,69	32,23	7	282	0	-0,192	0
JW3152	ECK3174	rpmA	50S ribosomal subunit protein L27	214,44	4,59	8598,07	48,24	6	281	0	-0,638	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW1018	ECK1021	ycdY	conserved protein	4,99	0,25	224,39	35,33	5	281	0	-0,166	0
JW3009	ECK3032	ribB	3,4 dihydroxy-2-butanone-4-phosphate synthase	4,01	0,54	181,53	52,53	7	281	0	-0,147	0
JW3623	ECK3638	gmk	guanylate kinase	2,83	1,36	129,48	32,37	7	280	0	0.000	GO:0005737 cytoplasm
JW0755	ECK0761	ybhC	predicted pectinesterase	1,51	2,15	70,42	017	6	280	0	-0,358	GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
JW3006	ECK3029	ygiC	predicted enzyme	1,46	1,14	68,16	21,76	8	280	0	-0,389	0
JW1074	ECK1074	yceD	conserved protein	20,54	5,11	884,64	36,42	7	279	0	-0,192	0
JW0885	ECK0893	pflA	pyruvate formate lyase activating enzyme 1	1,57	1,29	73,13	32,52	7	279	0	-0,361	GO:0005737 cytoplasm
JW0145	ECK0148	mrcB	fused glycosyl transferase -!- transpeptidase	0,32	0,86	15,65	10,66	6	279	1	-0,419	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3349	ECK3373	rpe	D-ribulose-5-phosphate 3-epimerase	4,88	1,36	220	47,11	7	277	0	0,066	0
JW2171	ECK2177	rsuA	16S rRNA pseudouridylate 516 synthase	2,51	-	115,26	39,39	5	277	0	-0,363	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW0732	ECK0731	ybgF	predicted protein	1,15	1,51	54,08	24,71	4	276	0	-0,468	GO:0042597 periplasmic space
JW0028	ECK0031	rihC	ribonucleoside hydrolase 3	2,59	1,59	118,82	29,28	5	275	0	0,289	0
JW4291	ECK4319	iadA	isoaspartyl dipeptidase	1,98	0,55	91,58	26,15	7	275	0	0,127	0
JW1667	ECK1673	lpp	murein lipoprotein	009	17,76	398	57,69	4	274	0	-0,314	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW5280	ECK1721	pfkB	6-phosphofructokinase II	1,05	3,08	49,52	18,77	5	274	0	0,012	GO:0005737 cytoplasm
JW4286	ECK4314	uxuB	D-mannonate oxidoreductase, NAD-binding	0,91	0,31	043	19,96	6	274	0	-0,141	0
JW0005	ECK0006	yaaA	conserved protein	1,25	0,69	58,63	39,15	6	273	0	-0,403	0
JW3702	ECK3717	phoU	DNA-binding transcriptional regulator	1,15	0,43	54,08	29,46	6	273	0	-0,272	0
JW1728	ECK1737	osmE	DNA-binding transcriptional regulator	16,78	3,11	727,17	038	4	272	1	-0,265	GO:0005737 cytoplasm
JW3709	ECK3724	atpC	F1 sector of membrane-bound ATP synthase, epsilon subunit	009	3,67	398	58,99	5	271	0	-0,095	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW2918	ECK2946	yggS	predicted enzyme	3,39	0,31	154,25	44,87	7	271	0	0.000	0
JW2280	ECK2279	nuoE	NADH:ubiquinone oxidoreductase, chain E	12,89	9,83	563,11	42,77	6	270	0	-0,392	GO:0005737 cytoplasm
JW2659	ECK2678	mprA	DNA-binding transcriptional regulator	4,34	1,29	196	038	6	270	0	-0,638	GO:0005737 cytoplasm
JW0914	ECK0922	pncB	nicotinate phosphoribosyltransferase	0,74	0,63	35,27	18,75	6	269	0	-0,298	GO:0042597 periplasmic space
JW3838	ECK3860	hemN	coproporphyrinogen III oxidase, SAM and NAD(P)H dependent, oxygen-independent	0,71	1,02	33,88	18,82	7	269	0	-0,346	0
JW4359	ECK4388	rob	DNA-binding transcriptional activator	4,41	0,81	199,06	34,26	9	268	0	-0,355	GO:0005737 cytoplasm
JW1754	ECK1763	ydjA	predicted oxidoreductase	2,51	0,56	115,26	35,52	6	268	0	-0,168	0
JW5740	ECK4158	orn	oligoribonuclease	2,83	-	129,48	35,36	7	268	0	-0,372	0
JW1716	ECK1725	yniC	predicted hydrolase	1,93	0,41	89,34	35,14	6	267	0	0,102	0
JW0250	ECK0261	insH	"CP4-6 prophage; IS5 transposase and trans-activator"	1,24	002	58,18	16,86	5	267	0	-0,534	0
JW5377	ECK2294	yfcE	predicted phosphatase	13,68	1,61	596,53	54,89	6	266	0	0,024	0
JW5090	ECK0630	ybeB	predicted protein	009	0,65	398	078	5	266	0	0,034	0
JW1200	ECK1197	lolB	chaperone for lipoproteins	1,05	1,52	49,52	38,65	5	266	0	-0,644	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
JW1267	ECK1269	cysB	DNA-binding transcriptional dual regulator, O-acetyl-L-serine-binding	1,08	0,32	50,89	23,77	6	265	0	-0,077	GO:0005737 cytoplasm
JW0987	ECK0993	agp	glucose-1-phosphatase/inositol phosphatase	1,02	4,94	48,14	28,57	7	265	0	-0,325	GO:0042597 periplasmic space
JW1772	ECK1781	yeaG	conserved protein with nucleoside triphosphate hydrolase domain	0,58	2,07	27,85	14,44	9	265	0	-0,529	0
JW2078	ECK2087	gatA	galactitol-specific enzyme IIA component of PTS	13,68	24,44	596,53	62,26	4	264	0	-0,056	0
JW5060	ECK0429	bolA	regulator of penicillin binding proteins and beta lactamase transcription (morphogene)	009	0,75	398	57,14	4	264	0	0.000	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
JW3585	ECK3600	grxC	glutaredoxin 3	009	5,67	398	85,54	6	264	0	-0,314	0
JW2500	ECK2512	yfgA	conserved protein	4,01	2,61	181,53	23,15	7	263	1	-0,391	0
JW5668	ECK3511	kdgK	ketodeoxygluconokinase	1,68	-	078	25,24	5	263	0	-0,195	0
JW1755	ECK1764	sppA	protease IV (signal peptide peptidase)	0,42	0,08	20,37	9,22	4	261	1	-0,111	0
JW2674	ECK2700	srlD	sorbitol-6-phosphate dehydrogenase	1,15	-	54,08	20,85	4	261	0	0.000	0
JW2322	ECK2319	yfcL	predicted protein	16,78	0,62	727,17	066	4	259	0	-0,148	0
JW1767	ECK1776	yeaA	methionine sulfoxide reductase B	12,34	2,97	540	61,31	7	259	0	-0,738	0
JW3883	ECK3905	cpxR	DNA-binding response regulator in two-component regulatory system with CpxA	7,11	0,59	316,29	34,91	7	258	0	-0,344	GO:0005737 cytoplasm
JW0411	ECK0415	ispA	geranyltranstransferase	2,16	0,31	99,64	24,08	5	258	0	-0,121	GO:0005737 cytoplasm
JW0628	ECK0626	rlpA	minor lipoprotein	0,93	0,64	44,02	17,68	4	258	0	-0,245	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3496	ECK3513	dctA	C4-dicarboxylic acid, orotate and citrate transporter	1,78	2,35	083	10,05	4	257	8	0,872	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW4019	ECK4050	uvrA	ATPase and DNA damage recognition protein of nucleotide excision repair excinuclease UvrABC	0,23	001	11,36	010	5	257	0	-0,289	GO:0005737 cytoplasm
JW5130	ECK0956	yccU	predicted CoA-binding protein with NAD(P)-binding Rossmann-fold domain	3,64	1,38	165,27	58,39	5	256	0	0,096	0
JW3903	ECK3924	hslV	peptidase component of the HslUV protease	3,22	2,43	146,75	28,41	4	256	0	-0,034	GO:0005737 cytoplasm
JW0047	ECK0049	folA	dihydrofolate reductase	4,62	0,85	208,24	54,72	6	255	0	-0,294	0
JW3164	ECK3186	kdsD	D-arabinose 5-phosphate isomerase	1,25	0,37	58,63	031	6	255	0	0,223	GO:0030113 capsule (sensu Bacteria)
JW3159	ECK3181	yrbC	predicted ABC-type organic solvent transporter	1,25	0,49	58,63	35,55	6	254	0	-0,416	GO:0005737 cytoplasm
JW3192	ECK3212	nanE	predicted N-acetylmannosamine-6-P epimerase	3,33	0,59	152	44,98	7	253	0	0,162	GO:0005737 cytoplasm
JW2580	ECK2596	pheA	fused chorismate mutase P -!- prephenate dehydratase	0,96	0,11	045	18,13	6	252	0	-0,168	GO:0005737 cytoplasm
JW2243	ECK2242	yfaY	conserved protein	0,52	000	25,05	017	4	252	0	-0,055	0
JW0099	ECK0102	yacF	conserved protein	1,68	-	078	34,82	6	252	0	-0,155	0
JW5253	ECK1544	gnsB	"Qin prophage; predicted protein"	009	0,82	398	71,93	5	251	0	-0,481	0
JW3140	ECK3161	argG	argininosuccinate synthetase	0,65	0,29	031	19,69	7	251	0	-0,371	GO:0005737 cytoplasm
JW1627	ECK1631	gst	glutathionine S-transferase	2,83	0,89	129,48	54,23	6	250	0	0.000	0
JW0029	ECK0032	dapB	dihydrodipicolinate reductase	0,67	1,11	32,03	18,68	4	250	0	0,019	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
JW2156	ECK2162	fruB	fused fructose-specific PTS enzyme IIA component -!- HPr component	0,62	001	29,71	15,69	4	249	0	-0,029	GO:0005737 cytoplasm
JW2197	ECK2201	eco	ecotin, a serine protease inhibitor	2,59	-	118,82	31,48	5	249	0	-0,257	GO:0042597 periplasmic space
JW5427	ECK2653	ygaT	predicted protein	1,07	-	50,43	23,38	5	249	0	-0,375	0
JW0421	ECK0425	cyoB	cytochrome o ubiquinol oxidase subunit I	3,92	5,12	177,58	12,22	7	246	14	0,658	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW5642	ECK3629	dfp	fused 4'-phosphopantothenoylcysteine decarboxylase -!- phosphopantothenoylcysteine synthetase, FMN-binding	1,24	1,92	58,18	030	7	246	0	0.000	GO:0005737 cytoplasm
JW0027	ECK0030	ispH	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase, 4Fe-4S protein	1,07	0,49	50,43	24,37	6	246	0	-0,173	GO:0005737 cytoplasm
JW5063	ECK0452	ylaC	predicted inner membrane protein	2,98	0,51	136,13	37,18	5	245	2	0,103	0
JW3611	ECK3626	rpmG	50S ribosomal subunit protein L33	176,83	5,67	7.132	61,82	6	244	0	-0,804	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW0867	ECK0875	infA	translation initiation factor IF-1	55,23	002	2308,02	088	5	243	0	-0,354	GO:0005737 cytoplasm
JW1089	ECK1089	hinT	purine nucleoside phosphoramidase	009	4,03	398	66,39	5	243	0	-0,062	0
JW0727	ECK0726	tolQ	membrane spanning protein in TolA-TolQ-TolR complex	1,85	0,86	85,75	030	5	243	3	0,226	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW1963	ECK1977	amn	AMP nucleosidase	0,58	0,39	27,85	019	5	243	0	-0,295	GO:0042597 periplasmic space
JW3564	ECK3580	selA	selenocysteine synthase	0,47	-	22,71	20,73	5	243	0	-0,055	GO:0005737 cytoplasm
JW1431	ECK1429	ydcP	predicted peptidase	0,32	-	15,65	12,56	5	243	0	-0,311	0
JW4107	ECK4141	efp	Elongation factor EF-P	4,62	2,74	208,24	32,98	6	242	0	-0,221	GO:0005737 cytoplasm
JW0347	ECK0353	frmA	alcohol dehydrogenase class III/glutathione-dependent formaldehyde dehydrogenase	1,58	0,87	73,59	30,35	7	242	0	-0,012	GO:0005737 cytoplasm
JW0152	ECK0155	yadR	conserved protein	5,31	2,68	238,33	42,98	4	241	0	-0,089	0
