Accession number	OLN	ECK	Gene	Protein name	emPAI Value	Copy number per cell	mRNA	ABS_CALL	Sequence coverage (%)	Number of unique peptides	Mascot protein score	Number of TMDs	GRAVY score	GO cellular component
P10121	JW3429	ECK3448	ftsY	fused Signal Recognition Particle (SRP) receptor	6.02	269.17	1.41	2	42.86	18	1054	0	-0.335	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P00954	JW3347	ECK3371	trpS	tryptophanyl-tRNA synthetase	7.86	348.59	1.39	2	56.29	13	598	0	0.000	GO:0005737 cytoplasm
P11349	JW1216	ECK1219	narH	nitrate reductase 1. beta (Fe-S) subunit	1.41	66	1.39	2	24.41	11	456	0	-0.477	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A8J8	JW3753	ECK3772	rhlB	ATP-dependent RNA helicase	1.21	56.81	1.39	2	29.93	10	414	0	-0.346	0
P0AC84	JW0202	ECK0212	gloB	predicted hydroxyacylglutathione hydrolase	0.52	25.05	1.39	2	15.54	2	145	0	-0.227	0
P0A7A5	JW2713	ECK2738	pcm	L-isoaspartate protein carboxylmethyltransferase type II	0.87	41.26	1.39	2	10.58	3	74	0	-0.158	0
P75874	JW5130	ECK0956	yccU	predicted CoA-binding protein with NAD(P)-binding Rossmann-fold domain	3.64	165.27	1.38	2	58.39	5	256	0	0.096	0
P0A759	JW0664	ECK0666	nagB	glucosamine-6-phosphate deaminase	3.22	146.75	1.37	2	51.13	9	596	0	-0.185	0
P0AFR4	JW5196	ECK1261	yciO	conserved protein	2.59	118.82	1.37	2	24.76	4	163	0	-0.311	0
P00968	JW0031	ECK0034	carB	carbamoyl-phosphate synthase large subunit	30.62	1302.81	1.36	2	67.29	71	3749	0	-0.162	0
P27298	JW3465	ECK3483	prlC	oligopeptidase A	3.56	161.74	1.36	2	44.71	23	1166	0	-0.416	0
P0A8W8	JW2291	ECK2288	yfbU	conserved protein	7.38	327.93	1.36	2	68.29	10	328	0	-0.579	0
P60546	JW3623	ECK3638	gmk	guanylate kinase	2.83	129.48	1.36	2	32.37	7	280	0	0.000	GO:0005737 cytoplasm
P0AG07	JW3349	ECK3373	rpe	D-ribulose-5-phosphate 3-epimerase	4.88	220	1.36	2	47.11	7	277	0	0.066	0
P06610	JW1700	ECK1708	btuE	predicted glutathione peroxidase	1.15	54.08	1.36	2	22	4	159	0	-0.131	GO:0042597 periplasmic space
P46837	JW3370	ECK3394	yhgF	predicted transcriptional accessory protein	1.73	80.35	1.35	2	35.96	23	1044	0	-0.334	0
P0A8J4	JW0626	ECK0624	ybeD	conserved protein	14.85	645.93	1.35	2	55.17	3	152	0	-0.166	0
P62707	JW0675	ECK0676	pgm	phosphoglucomutase	9.86	253.16	1.34	2	54.03	24	1229	0	-0.168	GO:0005737 cytoplasm
P04951	JW0901	ECK0909	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	2.87	131.26	1.34	2	52.02	9	438	0	-0.145	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria) -!- GO:0030113 capsule (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A8F4	JW2051	ECK2060	udk	uridine/cytidine kinase	2.73	125.04	1.34	2	31.92	7	293	0	-0.258	0
P0A8X0	JW4193	ECK4229	yjgA	conserved protein	2.16	99.64	1.34	2	27.87	5	234	0	-0.905	0
P0AAZ7	JW0900	ECK0908	ycaR	conserved protein	5.81	260.06	1.34	2	46.67	4	169	0	-0.127	0
P0AFG0	JW3945	ECK3973	nusG	transcription termination factor	11.12	487.98	1.32	2	69.61	9	607	0	-0.391	GO:0005737 cytoplasm
P05459	JW2317	ECK2314	pdxB	erythronate-4-phosphate dehydrogenase	3.92	177.58	1.32	2	42.59	15	587	0	-0.037	0
P76015	JW5187	ECK1188	dhaK	dihydroxyacetone kinase. N-terminal domain	1.58	73.59	1.32	2	25.84	5	216	0	-0.113	0
P0AF18	JW0663	ECK0665	nagA	N-acetylglucosamine-6-phosphate deacetylase	0.78	37.12	1.32	2	16.23	4	202	0	0.000	0
P46118	JW1842	ECK1854	yebK	predicted DNA-binding transcriptional regulator	0.72	34.35	1.32	2	13	3	115	0	-0.129	0
P0A7E5	JW2751	ECK2774	pyrG	CTP synthetase	13.03	569.03	1.31	2	61.65	33	1696	1	-0.139	0
P0A991	JW5344	ECK2090	fbaB	fructose-bisphosphate aldolase class I	1.64	76.29	1.31	2	38	8	412	0	-0.148	0
P31802	JW2181	ECK2185	narP	DNA-binding response regulator in two-component regulatory system with NarQ or NarX	2.51	115.26	1.31	2	33.49	5	325	0	-0.014	GO:0005737 cytoplasm
P0AG63	JW3273	ECK3298	rpsQ	30S ribosomal subunit protein S17	99	4064.14	1.31	2	70.24	6	216	0	-0.293	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0AB61	JW1265	ECK1267	yciN	predicted protein	5.81	260.06	1.31	2	75	5	192	0	0.000	0
P0A6R3	JW3229	ECK3248	fis	global DNA-binding transcriptional dual regulator	9	398	1.31	2	32.65	2	133	0	-0.531	GO:0005737 cytoplasm
P0A6U8	JW3392	ECK3415	glgA	glycogen synthase	0.72	34.35	1.31	2	13.42	4	63	0	0.003	GO:0005737 cytoplasm
P77581	JW1737	ECK1746	astC	succinylornithine transaminase. PLP-dependent	1.42	66.35	1.29	2	30.79	9	483	0	-0.064	0
P0A9N4	JW0885	ECK0893	pflA	pyruvate formate lyase activating enzyme 1	1.57	73.13	1.29	2	32.52	7	279	0	-0.361	GO:0005737 cytoplasm
P0ACR9	JW2659	ECK2678	mprA	DNA-binding transcriptional regulator	4.34	196	1.29	2	38	6	270	0	-0.638	GO:0005737 cytoplasm
P0AFJ1	JW4069	ECK4101	phnA	predicted phosphonate metabolizing protein	2.16	99.64	1.29	2	17.12	2	52	0	-0.532	0
P15034	JW2876	ECK2903	pepP	proline aminopeptidase P II	7.19	319.74	1.28	2	46.71	15	713	0	-0.308	0
P0AA39	JW1072	ECK1071	rluC	23S rRNA pseudouridylate synthase	2.48	113.93	1.28	2	35.11	11	451	0	-0.461	GO:0005737 cytoplasm
P52647	JW1372	ECK1374	ydbK	fused predicted Fe-S subunit of pyruvate-flavodoxin oxidoreductase	0.25	12.32	1.28	2	9.54	6	198	0	-0.191	0
P0ADV1	JW3167	ECK3189	yhbN	predicted transporter subunit -!- periplasmic-binding component of ABC superfamily	1.15	54.08	1.28	2	13.51	2	59	0	-0.444	0
P76268	JW1816	ECK1826	kdgR	predicted DNA-binding transcriptional regulator	1.85	85.75	1.27	2	35.74	9	468	0	-0.278	GO:0005737 cytoplasm
P0A8P3	JW2929	ECK2957	yggX	protein that protects iron-sulfur proteins against oxidative damage	30.62	1302.81	1.27	2	97	11	414	0	-0.857	0
P0AD05	JW1896	ECK1907	yecA	conserved metal-binding protein	1.31	61.36	1.27	2	21.72	3	198	0	-0.392	0
P32144	JW5567	ECK3877	yihW	predicted DNA-binding transcriptional regulator	0.54	25.99	1.27	2	15.33	3	131	0	-0.054	0
P25519	JW4131	ECK4169	hflX	predicted GTPase	0.98	46.31	1.24	2	21.36	7	347	0	-0.332	0
P63228	JW0196	ECK0200	gmhB	D.D-heptose 1.7-bisphosphate phosphatase	1	47.23	1.23	2	25.13	3	98	0	-0.251	0
P06149	JW2121	ECK2126	dld	D-lactate dehydrogenase. FAD-binding. NADH independent	0.78	37.12	1.22	2	25.74	11	509	0	-0.445	GO:0005737 cytoplasm
P0A9Q9	JW3396	ECK3419	asd	aspartate-semialdehyde dehydrogenase. NAD(P)-binding	7.73	343	1.21	2	65.12	14	745	0	-0.029	0
P0AEB2	JW0627	ECK0625	dacA	D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5)	8.12	359.76	1.19	2	59.31	21	1229	0	-0.137	GO:0019866 inner membrane
P36566	JW0904	ECK0912	smtA	S-adenosylmethionine-dependent methyltransferase	1.03	49	1.19	2	16.86	4	94	0	-0.402	0
P29217	JW1054	ECK1052	yceH	conserved protein	1.15	54.08	1.18	2	27.44	4	233	0	-0.424	0
P0A8D0	JW0403	ECK0407	ybaD	conserved protein	3.33	152	1.18	2	53.02	6	232	0	-0.395	0
P77781	JW1676	ECK1683	ydiI	conserved protein	0.93	44.02	1.18	2	24.26	2	31	0	-0.064	0
P65556	JW2296	ECK2293	yfcD	predicted NUDIX hydrolase	16.78	727.17	1.17	2	45.56	7	442	0	-0.427	0
P39173	JW1769	ECK1778	yeaD	conserved protein	7.48	332.24	1.16	2	52.72	12	571	0	-0.249	0
P00934	JW0003	ECK0004	thrC	threonine synthase	1.75	81.25	1.16	2	42.29	10	438	0	-0.097	GO:0005737 cytoplasm
P30871	JW3026	ECK3044	ygiF	predicted adenylate cyclase	1.42	66.35	1.15	2	25	8	322	0	0.000	0
P0AB38	JW5157	ECK1091	ycfM	predicted outer membrane lipoprotein	1.68	78	1.15	2	22.54	3	137	0	-0.215	0
P75958	JW1104	ECK1104	lolE	outer membrane-specific lipoprotein transporter subunit -!- membrane component of ABC superfamily	0.33	16.12	1.15	2	7.73	2	24	4	0.411	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P37759	JW2026	ECK2035	rfbB	dTDP-glucose 4.6 dehydratase. NAD(P)-binding	11.33	496.91	1.14	2	57.34	21	1131	0	-0.449	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
P0ADT5	JW3006	ECK3029	ygiC	predicted enzyme	1.46	68.16	1.14	2	21.76	8	280	0	-0.389	0
P23839	JW3619	ECK3634	yicC	conserved protein	3.96	179.34	1.13	2	49.48	15	795	0	-0.442	0
P0AFI7	JW1630	ECK1634	pdxH	pyridoxine 5'-phosphate oxidase	3.08	140.56	1.13	2	54.13	10	492	0	-0.621	0
P45578	JW2662	ECK2681	luxS	S-ribosylhomocysteinase	13.68	596.53	1.13	2	78.36	10	464	0	-0.323	0
P0AEC3	JW5536	ECK3200	arcB	hybrid sensory histidine kinase in two-component regulatory system with ArcA	0.66	31.57	1.13	2	14	9	365	2	-0.251	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P11557	JW3351	ECK3375	damX	predicted protein	1.68	78	1.13	2	25.93	9	306	1	-0.935	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P27303	JW2660	ECK2679	emrA	multidrug efflux system	0.86	41	1.13	2	23.85	7	297	1	-0.129	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0ADP9	JW3830	ECK3850	yihD	conserved protein	9	398	1.13	2	64.04	4	193	0	-0.424	0
P0A7B1	JW2486	ECK2497	ppk	polyphosphate kinase. component of RNA degradosome	0.14	7.02	1.13	2	5.38	3	178	0	-0.341	0
P0AAR3	JW0470	ECK0475	ybaK	conserved protein	1.51	70.42	1.13	2	38.36	4	169	0	-0.083	0
P00959	JW2101	ECK2107	metG	methionyl-tRNA synthetase	9	398	1.12	2	64.84	36	1899	0	-0.303	GO:0005737 cytoplasm
P0ABZ6	JW0052	ECK0054	surA	peptidyl-prolyl cis-trans isomerase (PPIase)	2.43	112	1.12	2	43.93	14	760	0	-0.382	GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0A7C2	JW4003	ECK4035	lexA	DNA-binding transcriptional repressor	1	33.42	1.12	2	15.84	2	56	0	-0.241	GO:0005737 cytoplasm
P0AG90	JW0398	ECK0402	secD	SecYEG protein translocase auxillary subunit	2.73	125.04	1.11	2	34	18	800	6	0.116	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A993	JW4191	ECK4227	fbp	fructose-1.6-bisphosphatase I	22.71	975.11	1.11	2	62.35	15	724	0	-0.222	GO:0005737 cytoplasm
P0A9C9	JW3896	ECK3917	glpX	fructose 1.6-bisphosphatase II	2.36	108.58	1.11	2	30.36	9	431	0	-0.016	GO:0005737 cytoplasm
P04036	JW0029	ECK0032	dapB	dihydrodipicolinate reductase	0.67	32.03	1.11	2	18.68	4	250	0	0.019	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
P14900	JW0086	ECK0089	murD	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase	0.22	10.88	1.11	2	10.05	2	84	1	0.005	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
P0AAF6	JW0848	ECK0855	artP	arginine transporter subunit -!- ATP-binding component of ABC superfamily	1.15	54.08	1.09	2	12.81	3	91	0	-0.134	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
P77804	JW1606	ECK1609	ydgA	conserved protein	4.62	208.24	1.08	2	55.18	18	832	1	-0.299	0
P23865	JW1819	ECK1829	prc	carboxy-terminal protease for penicillin-binding protein 3	2.16	99.64	1.07	2	34.75	19	871	0	-0.482	GO:0009274 cell wall (sensu Bacteria)
P0A9D4	JW3582	ECK3597	cysE	serine acetyltransferase	0.93	44.02	1.07	2	17.95	4	209	0	0.002	GO:0005737 cytoplasm
P0A9T0	JW2880	ECK2909	serA	D-3-phosphoglycerate dehydrogenase	1.64	76.29	1.07	2	18.78	6	201	0	0.025	GO:0005737 cytoplasm
P00393	JW1095	ECK1095	ndh	respiratory NADH dehydrogenase 2/cupric reductase	4.74	213.48	1.06	2	55.99	19	783	0	-0.129	GO:0005737 cytoplasm
P0ACC7	JW3708	ECK3723	glmU	fused N-acetyl glucosamine-1-phosphate uridyltransferase -!- glucosamine-1-phosphate acetyl transferase	3.79	171.87	1.06	2	35.75	14	656	0	-0.176	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
P08373	JW3940	ECK3964	murB	UDP-N-acetylenolpyruvoylglucosamine reductase. FAD-binding	2.16	99.64	1.06	2	31.58	8	399	0	-0.204	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
P0AB52	JW1210	ECK1213	ychN	conserved protein	9	398	1.05	2	57.26	4	203	0	0.000	0
P37745	JW2023	ECK2032	rfbC	dTDP-4-deoxyrhamnose-3.5-epimerase	1	33.42	1.05	2	20	3	199	0	-0.204	GO:0005737 cytoplasm -!- GO:0005737 cytoplasm
P0A6D0	JW3206	ECK3226	argR	DNA-binding transcriptional dual regulator. L-arginine-binding	13.68	596.53	1.05	2	64	6	197	0	-0.007	GO:0005737 cytoplasm
P0A8F8	JW0762	ECK0768	uvrB	excinulease of nucleotide excision repair. DNA damage recognition component	0.18	8.96	1.05	2	5.65	3	80	0	-0.358	GO:0005737 cytoplasm
P0AE06	JW0452	ECK0457	acrA	multidrug efflux system	3.81	172.75	1.04	2	49.12	13	656	0	-0.256	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A832	JW2601	ECK2616	smpB	trans-translation protein	4.99	224.39	1.04	2	21.25	6	324	0	-0.581	0
P0AET8	JW1611	ECK1614	hdhA	7alpha-hydroxysteroid dehydrogenase. NAD-dependent	1.61	74.94	1.04	2	23.53	5	229	0	0.139	GO:0005737 cytoplasm
P75867	JW0938	ECK0946	ycbZ	predicted peptidase	0.53	25.52	1.04	2	10.24	4	192	0	-0.162	0
P0AEM0	JW0026	ECK0029	fkpB	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	2.16	99.64	1.04	2	35.57	3	145	0	-0.095	GO:0005737 cytoplasm
P21513	JW1071	ECK1069	rne	fused ribonucleaseE endoribonuclease -!- scaffold for formation of degradosome	5.71	255.72	1.03	2	44.58	35	1697	0	-0.645	GO:0005737 cytoplasm
P0AFZ3	JW3197	ECK3217	sspB	ClpXP protease specificity-enhancing factor	2.73	125.04	1.03	2	29.09	4	162	0	-0.432	0
P0A6K3	JW3248	ECK3273	def	peptide deformylase	1.37	64.08	1.03	2	19.53	3	98	0	0.000	0
P00864	JW3928	ECK3947	ppc	phosphoenolpyruvate carboxylase	2.29	57.65	1.02	2	38.28	27	1303	0	-0.277	GO:0005737 cytoplasm
P45523	JW3309	ECK3334	fkpA	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	9	398	1.02	2	48.52	13	613	0	-0.458	GO:0042597 periplasmic space
P32131	JW3838	ECK3860	hemN	coproporphyrinogen III oxidase. SAM and NAD(P)H dependent. oxygen-independent	0.71	33.88	1.02	2	18.82	7	269	0	-0.346	0
P75736	JW0673	ECK0674	ybfF	conserved protein	0.58	27.85	1.02	2	13.78	2	141	0	-0.213	0
P0ADY1	JW0431	ECK0435	ppiD	peptidyl-prolyl cis-trans isomerase (rotamase D)	5.38	241.38	1.01	2	60.51	29	1516	1	-0.405	0
P0AGG8	JW3213	ECK3233	tldD	predicted peptidase	1.37	64.08	1.01	2	28.48	8	448	0	-0.123	0
P0A790	JW0127	ECK0130	panD	aspartate 1-decarboxylase	16.78	727.17	0.99	2	21.43	3	136	0	-0.063	GO:0005737 cytoplasm
P45577	JW5300	ECK1830	proQ	predicted structural transport element	10.45	459.44	0.98	2	64.66	14	755	0	-0.776	0
P0ADS6	JW2889	ECK2918	yggE	conserved protein	34.11	1446.53	0.98	2	48.37	13	569	0	-0.252	0
P37051	JW1220	ECK1227	purU	formyltetrahydrofolate hydrolase	1.74	81	0.98	2	28.93	6	346	0	-0.166	GO:0005737 cytoplasm
P75914	JW1017	ECK1020	ycdX	predicted zinc-binding hydrolase	1.05	49.52	0.98	2	24.49	5	165	0	-0.118	0
P11875	JW1865	ECK1877	argS	arginyl-tRNA synthetase	5	216	0.97	2	59.27	27	1427	0	-0.258	GO:0005737 cytoplasm
P0A780	JW0406	ECK0410	nusB	transcription antitermination protein	9	398	0.97	2	67.63	9	457	0	-0.219	GO:0005737 cytoplasm
P77552	JW1656	ECK1660	ydhQ	conserved protein	1.96	90.69	0.97	2	24.88	8	413	0	0.025	0
P22524	JW0906	ECK0914	mukE	protein involved in chromosome partitioning	1.68	78	0.97	2	34.67	6	351	0	-0.495	0
P0AEZ3	JW1164	ECK1163	minD	membrane ATPase of the MinC-MinD-MinE system	14.01	610.48	0.96	2	62.59	15	932	0	-0.118	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A955	JW1839	ECK1851	eda	multifunctional 2-keto-3-deoxygluconate 6-phosphate aldolase -!- 2-keto-4-hydroxyglutarate aldolase -!- oxaloacetate decarboxylase	9	2108.45	0.96	2	61.03	9	522	0	0.322	GO:0005737 cytoplasm
P00550	JW3573	ECK3588	mtlA	fused mannitol-specific PTS enzyme IIABC components	1.21	56.81	0.96	2	22.29	10	465	8	0.329	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P00946	JW1605	ECK1608	manA	mannose-6-phosphate isomerase	1	47.23	0.96	2	24.04	6	345	0	-0.126	GO:0030113 capsule (sensu Bacteria) -!- GO:0005737 cytoplasm
P0ADC1	JW0636	ECK0634	rlpB	minor lipoprotein	2.16	99.64	0.96	2	30.05	6	221	0	-0.252	GO:0019866 inner membrane
P07001	JW1595	ECK1598	pntA	pyridine nucleotide transhydrogenase. alpha subunit	0.58	27.85	0.96	2	10	4	194	5	0.273	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A8A8	JW5533	ECK3159	yhbC	conserved protein	2.16	99.64	0.96	2	16.67	3	90	0	0.047	0
P0AES6	JW0451	ECK0456	acrB	multidrug efflux system protein	1	56.36	0.95	2	18.49	14	735	11	0.266	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AGE6	JW3691	ECK3706	yieF	chromate reductase. Class I. flavoprotein	4.62	208.24	0.95	2	44.68	6	365	0	0.000	0
P25397	JW1426	ECK1423	tehB	predicted S-adenosyl-L-methionine-dependent methyltransferase	0.97	45.85	0.95	2	24.87	5	170	0	-0.376	0
P0A998	JW4122	ECK4157	rsgA	ribosome small subunit-dependent GTPase A	0.83	39.42	0.95	2	17.43	4	136	0	-0.405	0
P0A738	JW0766	ECK0772	moaC	molybdopterin biosynthesis. protein C	1	47.23	0.95	2	19.25	3	115	0	-0.037	0
P06971	JW0146	ECK0149	fhuA	ferrichrome outer membrane transporter	0.56	26.92	0.94	2	22.89	10	299	0	-0.481	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0A6K1	JW5592	ECK3804	dapF	diaminopimelate epimerase	0.47	22.71	0.94	2	7	2	70	0	0.000	GO:0005737 cytoplasm
P21499	JW5741	ECK4175	rnr	exoribonuclease R. RNase R	1.09	51.34	0.93	2	25.71	16	656	0	-0.551	0
P0ABU5	JW3176	ECK3198	elbB	isoprenoid biosynthesis protein with amidotransferase-like domain	2.59	118.82	0.93	2	36.87	5	320	0	0.267	0
P17115	JW5431	ECK2703	gutQ	predicted phosphosugar-binding protein	1.64	76.29	0.93	2	37.69	8	231	0	0.144	GO:0030113 capsule (sensu Bacteria)
P68767	JW4217	ECK4253	pepA	aminopeptidase A. a cyteinylglycinase	2.56	117.49	0.92	2	34.39	14	683	0	-0.217	GO:0005737 cytoplasm
P0A7F6	JW0116	ECK0119	speD	S-adenosylmethionine decarboxylase	4.82	216.98	0.92	2	70.08	11	570	0	-0.313	0
P0ACA7	JW0822	ECK0828	yliJ	predicted glutathione S-transferase	16.01	695	0.92	2	61.06	11	480	0	-0.198	0
P0ADK8	JW3577	ECK3592	yibL	conserved protein	3.22	146.75	0.92	2	54.17	5	221	0	-0.628	0
P64624	JW5703	ECK3333	yheO	predicted DNA-binding transcriptional regulator	0.85	40.34	0.92	2	23.33	4	163	0	-0.163	0
P0AG99	JW3142	ECK3164	secG	preprotein translocase membrane subunit	9	398	0.92	2	27.27	2	127	2	0.375	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P77318	JW5243	ECK1492	ydeN	conserved protein	0.75	35.73	0.91	2	21.61	8	447	0	-0.575	0
P45464	JW3116	ECK3135	yraM	conserved protein	1.01	47.69	0.91	2	23.16	9	345	0	-0.272	0
P0ADF8	JW3645	ECK3661	ilvN	acetolactate synthase I. small subunit	2.73	125.04	0.91	2	45.83	3	160	0	-0.201	0
P08192	JW2312	ECK2309	folC	bifunctional folylpolyglutamate synthase -!- dihydrofolate synthase	2.16	99.64	0.89	2	34.83	10	497	0	0.004	0
P0A7I7	JW1269	ECK1272	ribA	GTP cyclohydrolase II	7.25	322.33	0.89	2	46.43	9	354	0	-0.181	0
P0A9D2	JW1627	ECK1631	gst	glutathionine S-transferase	2.83	129.48	0.89	2	54.23	6	250	0	0.000	0
P60390	JW0080	ECK0083	mraW	S-adenosyl-dependent methyltransferase activity on membrane-located substrates	0.39	18.96	0.89	2	15.34	3	224	0	-0.397	0
Q46851	JW2970	ECK2995	yghZ	aldo-keto reductase	0.73	34.81	0.89	2	27.17	5	194	0	-0.389	0
P36771	JW2284	ECK2283	lrhA	DNA-binding transcriptional repressor	0.36	17.54	0.88	2	9.62	2	111	0	-0.011	GO:0005737 cytoplasm
P0A8K5	JW0185	ECK0189	yaeP	conserved protein	9	398	0.88	2	80	3	105	0	0.026	0
P21177	JW3822	ECK3838	fadB	fused 3-hydroxybutyryl-CoA epimerase/delta(3)-cis-delta(2)-trans-enoyl-CoA isomerase/enoyl-CoA hydratase -!- 3-hydroxyacyl-CoA dehydrogenase	0.19	9.44	0.88	2	6.31	3	94	0	-0.094	0
P77774	JW2496	ECK2508	yfgL	protein assembly complex. lipoprotein component	3.08	140.56	0.87	2	50.77	11	669	0	0.009	0
P0A6Y5	JW5692	ECK3388	hslO	heat shock protein Hsp33	3.92	177.58	0.87	2	43.15	9	478	0	-0.313	0
P25437	JW0347	ECK0353	frmA	alcohol dehydrogenase class III/glutathione-dependent formaldehyde dehydrogenase	1.58	73.59	0.87	2	30.35	7	242	0	-0.012	GO:0005737 cytoplasm
P76569	JW2480	ECK2491	yfgD	predicted oxidoreductase	4.18	188.99	0.87	2	46.22	4	111	0	-0.361	0
P0C0R7	JW3146	ECK3168	rrmJ	23S rRNA methyltransferase	0.43	20.84	0.87	2	13	2	83	0	-0.244	0
P23830	JW2569	ECK2583	pssA	phosphatidylserine synthase (CDP-diacylglycerol-serine O-phosphatidyltransferase)	2.16	99.64	0.86	2	36	15	605	0	-0.429	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P02919	JW0145	ECK0148	mrcB	fused glycosyl transferase -!- transpeptidase	0.32	15.65	0.86	2	10.66	6	279	1	-0.419	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0ABU9	JW0727	ECK0726	tolQ	membrane spanning protein in TolA-TolQ-TolR complex	1.85	85.75	0.86	2	30	5	243	3	0.226	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P39172	JW5831	ECK1858	znuA	zinc transporter subunit -!- periplasmic-binding component of ABC superfamily	0.36	17.54	0.86	2	13.87	2	110	0	-0.211	GO:0042597 periplasmic space
P30011	JW0105	ECK0108	nadC	quinolinate phosphoribosyltransferase	0.44	21.31	0.86	2	10	3	93	0	-0.234	0
P0AE18	JW0163	ECK0166	map	methionine aminopeptidase	6.63	295.57	0.85	2	59.85	12	650	0	-0.162	0
P77258	JW1642	ECK1646	nemA	N-ethylmaleimide reductase. FMN-linked	2.51	115.26	0.85	2	36.99	10	403	0	-0.311	0
P07650	JW4345	ECK4374	deoA	thymidine phosphorylase	1.33	62.27	0.85	2	30.91	9	328	0	0.011	0
P0ABQ4	JW0047	ECK0049	folA	dihydrofolate reductase	4.62	208.24	0.85	2	54.72	6	255	0	-0.294	0
P0A8W5	JW2915	ECK2943	yqgE	predicted protein	1.15	54.08	0.85	2	27.27	3	194	0	-0.072	0
P0AGD7	JW5414	ECK2607	ffh	Signal Recognition Particle (SRP) component with 4.5S RNA (ffs)	7.48	332.24	0.84	2	56.73	22	1083	0	-0.243	0
P0AC02	JW2577	ECK2593	yfiO	predicted lipoprotein	3.64	165.27	0.84	2	53.47	11	609	0	-0.484	0
P0A894	JW3172	ECK3194	yhbJ	predicted protein with nucleoside triphosphate hydrolase domain	2.59	118.82	0.84	2	49.65	9	447	0	-0.316	0
P31475	JW5608	ECK3749	yieP	predicted transcriptional regulator	2.16	99.64	0.84	2	29.13	4	217	0	-0.079	0
P05637	JW0048	ECK0050	apaH	diadenosine tetraphosphatase	1	33.42	0.84	2	16.43	3	132	0	-0.246	GO:0005737 cytoplasm
P02916	JW3993	ECK4025	malF	maltose transporter subunit -!- membrane component of ABC superfamily	1	24.12	0.83	2	7.59	3	135	8	0.000	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AFJ7	JW3460	ECK3478	pitA	phosphate transporter. low-affinity	2.98	136.13	0.83	2	9.62	5	104	10	0.523	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AB18	JW0952	ECK0960	yccK	predicted sulfite reductase subunit	0.93	44.02	0.83	2	37.61	2	75	0	-0.304	0
P06612	JW1266	ECK1268	topA	DNA topoisomerase I. omega subunit	1.18	55.45	0.82	2	32.02	19	801	0	-0.609	GO:0005737 cytoplasm
P77695	JW5253	ECK1544	gnsB	"Qin prophage; predicted protein"	9	398	0.82	2	71.93	5	251	0	-0.481	0
P0A8I5	JW2927	ECK2955	yggH	tRNA (m7G46) methyltransferase. SAM-dependent	1.37	64.08	0.82	2	10.04	3	106	0	-0.397	0
P0A8N0	JW0939	ECK0947	ycbG	conserved protein	0.78	37.12	0.82	2	18.67	2	88	0	-0.779	0
P0A8N3	JW2858	ECK2885	lysS	lysine tRNA synthetase. constitutive	21.64	930.53	0.81	2	70.89	32	1759	0	-0.396	GO:0005737 cytoplasm
P09030	JW1738	ECK1747	xthA	exonuclease III	2.98	136.13	0.81	2	52.61	11	591	0	-0.555	0
