SwissProt accession	SwissProt Entry	Protein description	Observed parent ions	Protein score	Observable peptides	PAI lysate	emPAI	emPAI-derived copy no/cell (see Figure 2)	Detection Frequency	Molecular mass (Da)	Isoelectric point (pI)	GRAVY (Kyte-Doolittle)	number of alternating hydrophobic/hydrophilic stretches	CAI	Essentiality	hgt	Expr_value	FunCat (v.1.3) top level classification	FunCat (v.1.3) complete classification	FunCat class description	SCOP Fold	SCOP Family	SCOP Class	SCOP Fold Description	TMHMM 2.0 number of transmembrane segments	PSORT localisation	Experimentally derived localization	Group	Operon	Running Number	ribosomal protein	log copynumber
P0AG14	SOHB_ECOLI	Possible protease sohB (EC 3.4.21.-)	2	73	18	0.11	2.92E-01	1.41E+02	0.004784689	39368	10.02	-0.35	8					6	"06.07;06.13;06;06.07.11;"	"PROTEIN FATE (folding. modification. destination); "					2	Unknown	IM	low	sohB	993	no	2.149219113
P21170	SPEA_ECOLI	Biosynthetic arginine decarboxylase (EC 4.1.1.19) (ADC)	23	982	22	1.05	1.01E+01	1.11E+03	0.016642397	73900	4.67	-0.3	21					01.63.40.06	"01;63.17;63;01.01.10;40.28;01.01.10.01;01.01.10.01.03;63.21.17;06;01.20;01.01;06.10;63.11;63.01;63.17.07;40;63.21;01.20.36;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN FATE (folding. modification. destination); "					0	Periplasmic		low	speAB	171	no	3.045322979
P60651	SPEB_ECOLI	Agmatinase (EC 3.5.3.11) (Agmatine ureohydrolase) (AUH)	15	731	8	1.88	7.40E+01	3.53E+03	0.017862839	33558	5.07	-0.11	7					1.63	"01.01.01;01.01;01;63.17;63;63.17.09;01.01.01.03;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); "	c.42	"c.42.1;"	Alpha and beta proteins (a/b)	Arginase/deacetylase	0	Cytoplasmic		high	speAB	281	no	3.547774705
P0A7F6	SPED_ECOLI	S-adenosylmethionine decarboxylase proenzyme (EC 4.1.1.50) (AdoMetDC) (SamDC) [Contains: S	10	419	13	0.77	4.88E+00	7.27E+02	0.005263158	30386	5.15	-0.31	8	0.4	N			1.06	"01;06.10;01.20.17;01.20.17.03;01.20;06;"	"METABOLISM; PROTEIN FATE (folding. modification. destination); "					0	Cytoplasmic		low	speED	410	no	2.861534411
P09158	SPEE_ECOLI	Spermidine synthase (EC 2.5.1.16) (Putrescine aminopropyltransferase) (SPDSY)	6	290	7	0.86	6.20E+00	8.35E+02	0.007177033	32191	5.49	-0.18	5					1	"01;01.20.17;01.20.17.03;01.20;"	"METABOLISM; "	c.66	"c.66.1;"	Alpha and beta proteins (a/b)	S-adenosyl-L-methionine-dependent methyltransferases	0	Unknown	C	low	speED	581	no	2.921686475
P0AG24	SPOT_ECOLI	Guanosine-3'.5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2) ((ppGpp)ase) (Penta-	2	53	34	0.06	1.45E-01	9.43E+01	0.007177033	79344	9.14	-0.33	18	0.38	?			11.01.63.40	"11.01;01;01.03;63.17;01.04;63;40.03;63.17.07;11;40;"	"CELL RESCUE. DEFENSE AND VIRULENCE; METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; "					0	Cytoplasmic		low	rpoZ-spoTU-recG	781	no	1.974511693
P0AGD7	SR54_ECOLI	Signal recognition particle protein (Fifty-four homolog) (P48)	7	329	18	0.39	1.45E+00	3.59E+02	0.004784689	49789	10.3	-0.24	12	0.44	E			63.08	"63.19.05;63.19;08.16.99;63;08.16;63.03.03;63.03;08;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); CELLULAR TRANSPORT AND TRANSPORT MECHANISMS; "	c.37.a.24.a.36	"c.37.1;a.24.13;a.36.1;"	Alpha and beta proteins (a/b).All alpha proteins	P-loop containing nucleotide triphosphate hydrolases.Four-helical up-and-down bundle.Signal peptide-binding domain	0	Unknown (This protein may have multiple localization sites.)		low		493	no	2.555094449
P21507	SRMB_ECOLI	ATP-dependent RNA helicase srmB	3	101	23	0.13	3.50E-01	1.57E+02	0.004784689	49915	10.03	-0.56	15	0.42	?			63.05	"63.19;63;05;63.03.03;63.03;05.01;05.01.99;63.19.03;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN SYNTHESIS; "	c.37	"c.37.1;"	Alpha and beta proteins (a/b)	P-loop containing nucleotide triphosphate hydrolases	0	Cytoplasmic		low		874	no	2.195899652
P0AGE0	SSB_ECOLI	Single-strand binding protein (SSB) (Helix-destabilizing protein)	8	397	7	1.14	1.29E+01	1.28E+03	0.031698565	18845	5.34	-0.72	6					63.03	"63.03.01;03;63;63.03;03.01.05;03.01;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); CELL CYCLE AND DNA PROCESSING; "	b.40	"b.40.4;"	All beta proteins	OB-fold	0	Unknown		low	ssb	459	no	3.10720997
P0ACA3	SSPA_ECOLI	Stringent starvation protein A	13	624	9	1.44	2.68E+01	1.96E+03	0.015090173	24175	5.1	-0.28	4				1.38	11.63.40.13.04.62	"62.01;63;62.01.07;04.05;40.03;04.05.01.04;13.11;13.11.03.01;11.01;13.11.03;04;11.01.11;13;63.01;11;40;62;"	"CELL RESCUE. DEFENSE AND VIRULENCE; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; REGULATION OF / INTERACTION WITH CELLULAR ENVIRONMENT; TRANSCRIPTION; PROTEIN ACTIVITY REGULATION; "	c.47	"c.47.1;c.47.1;"	Alpha and beta proteins (a/b)	Thioredoxin fold	0	Cytoplasmic	C	low	sspAB	309	no	3.292256071
P0AFZ3	SSPB_ECOLI	Stringent starvation protein B	4	193	4	1	9.00E+00	1.04E+03	0.01076555	18263	4.22	-0.43	8	0.36	N			11.63.40.05.13.06	"63;05.99;05.04;06.13;40.03;13.11;13.11.03.01;06;11.01;13.11.03;05;11.01.11;13;63.01;11;40;"	"CELL RESCUE. DEFENSE AND VIRULENCE; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; REGULATION OF / INTERACTION WITH CELLULAR ENVIRONMENT; PROTEIN FATE (folding. modification. d"					0	Unknown	C	low	sspAB	709	no	3.017033339
P0A832	SSRP_ECOLI	SsrA-binding protein (Small protein B)	4	128	5	0.8	5.31E+00	7.63E+02	0.004784689	18139	10.7	-0.6	5					63.05	"63;05;05.04;63.03.03;63.03;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN SYNTHESIS; "	b.111	"b.111.1;"	All beta proteins	Small protein B (SmpB)	0	Cytoplasmic		low		689	no	2.882524538
P27306	STHA_ECOLI	Soluble pyridine nucleotide transhydrogenase (EC 1.6.1.1) (STH) (NAD(P)(+) transhydrogenase [B-speci	4	153	22	0.18	5.20E-01	1.98E+02	0.007177033	51430	6.55	-0.23	14					67.63.02	"63;63.21.07;02;63.01;67.15;63.21;02.11.99;02.11;63.21.05;67;"	"TRANSPORT FACILITATION; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); ENERGY; "	c.4.c.3.d.87	"c.4.1;d.87.1;c.3.1;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b)	CO dehydrogenase flavoprotein C-domain-like.Nucleotide-binding domain.FAD/NAD(P)-binding domain	0	Cytoplasmic		low		745	no	2.29666519
P0ACG1	STPA_ECOLI	DNA-binding protein stpA (H-NS homolog stpA)	12	635	8	1.5	3.06E+01	2.11E+03	0.035885167	15349	9.08	-0.79	6	0.47	N		1.15	63.06	"63.03.01;63;63.03;06;06.01;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN FATE (folding. modification. destination); "	a.55	"a.55.1;"	All alpha proteins	IHF-like DNA-binding proteins	0	Cytoplasmic		high	stpA	341	no	3.324282455
P0A836	SUCC_ECOLI	Succinyl-CoA synthetase beta chain (EC 6.2.1.5) (SCS-beta)	24	1325	23	1.04	1.01E+01	1.11E+03	0.045055821	41394	5.28	0.02	15				1.74	63.01.40.02	"01;63.19;02.10;63;40.03;02;01.05;40;01.05.01;63.19.03;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); METABOLISM; SUBCELLULAR LOCALISATION; ENERGY; "	c.23.d.142	"d.142.1;c.23.4;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b)	ATP-grasp.Flavodoxin-like	0	Cytoplasmic		low	sdhCDAB-b0725-sucABCD	150	no	3.045322979
P0AGE9	SUCD_ECOLI	Succinyl-CoA synthetase alpha chain (EC 6.2.1.5) (SCS-alpha)	24	1052	15	1.6	3.88E+01	2.42E+03	0.03608453	29647	6.77	0.16	7	0.63	N		1.73	63.01.40.02	"01;63.19;02.10;63;40.03;02;01.05;40;01.05.01;63.19.03;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); METABOLISM; SUBCELLULAR LOCALISATION; ENERGY; "	c.23.c.2	"c.23.4;c.2.1;"	Alpha and beta proteins (a/b)	NAD(P)-binding Rossmann-fold domains.Flavodoxin-like	0	Unknown	C	high	sdhCDAB-b0725-sucABCD	136	no	3.383815366
P77499	SUFC_ECOLI	Probable ATP-dependent transporter sufC	2	80	13	0.15	4.25E-01	1.76E+02	0.004784689	27583	4.68	-0.21	14		N			67.63.01.40	"67.50;01.01;01;63.19;63;67.10;01.01.07;67.50.25;40;40.30;63.19.03;67;"	"TRANSPORT FACILITATION; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); METABOLISM; SUBCELLULAR LOCALISATION; "	c.37	"c.37.1;"	Alpha and beta proteins (a/b)	P-loop containing nucleotide triphosphate hydrolases	0	Unknown (This protein may have multiple localization sites.)	C	low	sufABCDSE	875	no	2.245512668
P26648	SUFI_ECOLI	Protein sufI precursor	2	67	20	0.1	2.59E-01	1.32E+02	0.004784689	51859	6.28	-0.17	20	0.31	N			40.03	"03;40.28;03.03;03.03.03;40;"	"SUBCELLULAR LOCALISATION; CELL CYCLE AND DNA PROCESSING; "	b.6	"b.6.1;"	All beta proteins	Cupredoxin-like	0	Periplasmic	P	low		1012	no	2.120573931
P0ADG4	SUHB_ECOLI	Inositol-1-monophosphatase (EC 3.1.3.25) (IMPase) (Inositol-1-phosphatase) (I-1-Pase)	27	1213	15	1.8	6.21E+01	3.19E+03	0.021619706	29173	6.96	-0.17	8	0.62	E		1.85	1.1	"01.06;01;01.04;10;10.01;10.01.09;10.01.09.11;01.04.99;"	"METABOLISM; CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION MECHANISM; "	e.7	"e.7.1;"	Multi-domain proteins (alpha and beta)	Sugar phosphatases	0	Cytoplasmic	C	high		116	no	3.503790683
P0ABZ6	SURA_ECOLI	Survival protein surA precursor (Peptidyl-prolyl cis-trans isomerase surA) (EC 5.2.1.8) (P	26	1216	17	1.53	3.28E+01	2.20E+03	0.007913139	47285	6.99	-0.38	11	0.48	N		1.1	63.40.06	"63.02;63;06.07;40.28;40;06.07.09;06;06.01;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN FATE (folding. modification. destination); "	d.26	"d.26.1;"	Alpha and beta proteins (a+b)	FKBP-like	0	Periplasmic	P	high	surA-pdxA-ksgA-apaGH	126	no	3.342422681
P00957	SYA_ECOLI	Alanyl-tRNA synthetase (EC 6.1.1.7) (Alanine--tRNA ligase) (AlaRS)	67	3363	48	1.4	2.39E+01	1.83E+03	0.024137685	96034	5.64	-0.3	30					63.40.05	"63.17;63;05;40.03;05.10;63.17.09;40;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; "					0	Cytoplasmic	C	low		17	no	3.26245109
P21888	SYC_ECOLI	Cysteinyl-tRNA synthetase (EC 6.1.1.16) (Cysteine--tRNA ligase) (CysRS)	12	583	19	0.63	3.28E+00	5.77E+02	0.013955343	52203	5.33	-0.41	13					63.40.05	"63.17;63;05;40.03;05.10;63.17.09;40;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; "	c.26.a.27	"a.27.1;c.26.1;"	Alpha and beta proteins (a/b).All alpha proteins	Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases.Adenine nucleotide alpha hydrolase-like	0	Cytoplasmic		low		358	no	2.761175813
P21889	SYD_ECOLI	Aspartyl-tRNA synthetase (EC 6.1.1.12) (Aspartate--tRNA ligase) (AspRS)	33	1475	32	1.03	9.75E+00	1.09E+03	0.018848775	65915	5.44	-0.26	20					63.40.05	"63;05;40.03;05.10;63.03.03;63.03;40;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; "	b.40.d.104.d.74	"d.74.4;b.40.4;d.104.1;"	Alpha and beta proteins (a+b).All beta proteins	Class II aaRS and biotin synthetases.DCoH-like.OB-fold	0	Cytoplasmic		low		96	no	3.037426498
P04805	SYE_ECOLI	Glutamyl-tRNA synthetase (EC 6.1.1.17) (Glutamate--tRNA ligase) (GluRS)	34	1749	22	1.55	3.41E+01	2.25E+03	0.020968196	53817	5.83	-0.53	12					5	"05;05.10;"	"PROTEIN SYNTHESIS; "	a.97.c.26	"a.97.1;c.26.1;"	Alpha and beta proteins (a/b).All alpha proteins	Adenine nucleotide alpha hydrolase-like.An anticodon-binding domain of class I aminoacyl-tRNA synthetases	0	Cytoplasmic	C	high		88	no	3.352182518
P08312	SYFA_ECOLI	Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20) (Phenylalanine--tRNA ligase alpha c	23	1047	17	1.35	2.15E+01	1.72E+03	0.021011026	36833	6.15	-0.32	13					63.40.05	"63.19;63.17;63;05;40.03;05.10;63.17.07;40;63.19.03;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; "	d.104.a.2	"a.2.7;d.104.1;"	Alpha and beta proteins (a+b).All alpha proteins	Long alpha-hairpin.Class II aaRS and biotin synthetases	0	Cytoplasmic	C	low	pheST-himA	145	no	3.235528447
P07395	SYFB_ECOLI	Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20) (Phenylalanine--tRNA ligase beta cha	43	2186	34	1.26	1.74E+01	1.52E+03	0.02180928	87379	5.04	-0.1	29					63.40.05	"63.19;63.17;63;05;40.03;05.10;63.17.07;40;63.19.03;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; "	d.138.b.40.a.6.d.104.d.58	"a.6.1;d.58.13;b.40.4;d.138.1;d.104.1;"	Alpha and beta proteins (a+b).All beta proteins.All alpha proteins	Putative DNA-binding domain.B3/B4 domain of PheRS. PheT.Class II aaRS and biotin synthetases.Ferredoxin-like.OB-fold	0	Cytoplasmic		low	pheST-himA	52	no	3.181843588
P00960	SYGA_ECOLI	Glycyl-tRNA synthetase alpha chain (EC 6.1.1.14) (Glycine--tRNA ligase alpha chain) (GlyRS	18	892	10	1.8	6.21E+01	3.19E+03	0.018607124	34775	4.73	-0.39	8					40.05	"05;40.03;05.10;40;"	"SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; "	d.104	"d.104.1;"	Alpha and beta proteins (a+b)	Class II aaRS and biotin synthetases	0	Cytoplasmic		high	glyQS	216	no	3.503790683
P00961	SYGB_ECOLI	Glycyl-tRNA synthetase beta chain (EC 6.1.1.14) (Glycine--tRNA ligase beta chain) (GlyRS)	56	2897	35	1.6	3.88E+01	2.42E+03	0.02050581	76683	5.18	-0.22	22					40.05	"05;40.03;05.10;40;"	"SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; "					0	Cytoplasmic	C	high	glyQS	30	no	3.383815366
P60906	SYH_ECOLI	Histidyl-tRNA synthetase (EC 6.1.1.21) (Histidine--tRNA ligase) (HisRS)	17	744	23	0.74	4.48E+00	6.92E+02	0.014916972	46899	5.78	-0.28	12					40.05	"05;40.03;05.10;40;"	"SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; "	c.51.d.104	"c.51.1;d.104.1;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b)	Class II aaRS and biotin synthetases.Anticodon-binding domain-like	0	Cytoplasmic	C	low		188	no	2.840106094
P00956	SYI_ECOLI	Isoleucyl-tRNA synthetase (EC 6.1.1.5) (Isoleucine--tRNA ligase) (IleRS)	65	3012	43	1.51	3.15E+01	2.15E+03	0.021126242	104167	5.89	-0.26	38				1.17	63.40.05	"63.19;63;05;40.03;05.10;63.03.03;63.03;40;63.19.03;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; "	b.51.c.26.a.27	"a.27.1;b.51.1;c.26.1;"	Alpha and beta proteins (a/b).All beta proteins.All alpha proteins	Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases.ValRS/IleRS editing domain.Adenine nucleotide alpha hydrolase-like	0	Cytoplasmic		high	ribF-ileS-lspA-slpA-lytB	21	no	3.33243846
P0A8N3	SYK1_ECOLI	Lysyl-tRNA synthetase (EC 6.1.1.6) (Lysine--tRNA ligase) (LysRS)	47	2140	27	1.74	5.40E+01	2.94E+03	0.032169398	57501	4.98	-0.4	17				1.84	63.40.05	"63.19;63.17;63;05;05.04;63.11;40.03;63.03.03;63.03;63.17.07;40;63.19.03;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; "	b.40.d.104	"b.40.4;d.104.1;"	Alpha and beta proteins (a+b).All beta proteins	Class II aaRS and biotin synthetases.OB-fold	0	Cytoplasmic		high	prfB-lysS	44	no	3.46834733
P0A8N5	SYK2_ECOLI	Lysyl-tRNA synthetase. heat inducible (EC 6.1.1.6) (Lysine--tRNA ligase) (LysRS)	17	699	24	0.71	4.11E+00	6.58E+02	0.016042781	57725	5.02	-0.41	17					11.63.05	"11.01;63.17;63;05;05.10;63.17.07;11;11.01.05;"	"CELL RESCUE. DEFENSE AND VIRULENCE; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN SYNTHESIS; "	b.40.d.104	"b.40.4;d.104.1;"	Alpha and beta proteins (a+b).All beta proteins	Class II aaRS and biotin synthetases.OB-fold	0	Cytoplasmic		low	lysU	233	no	2.818225894
P0A8N7	SYK3_ECOLI	Putative lysyl-tRNA synthetase (EC 6.1.1.6) (Lysine--tRNA ligase) (LysRS) (GX)	5	163	13	0.38	1.42E+00	3.56E+02	0.004784689	36977	4.95	-0.29	10					5	"05;05.10;"	"PROTEIN SYNTHESIS; "	d.104	"d.104.1;"	Alpha and beta proteins (a+b)	Class II aaRS and biotin synthetases	0	Cytoplasmic		low		683	no	2.551449998
P07813	SYL_ECOLI	Leucyl-tRNA synthetase (EC 6.1.1.4) (Leucine--tRNA ligase) (LeuRS)	64	3193	39	1.64	4.28E+01	2.56E+03	0.016073565	97235	5.03	-0.37	21					63.40.05	"63.19;63;05;63.11;40.03;05.10;63.03.03;63.03;40;63.19.03;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; "	b.51.c.26.a.27	"a.27.1;b.51.1;c.26.1;"	Alpha and beta proteins (a/b).All beta proteins.All alpha proteins	Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases.ValRS/IleRS editing domain.Adenine nucleotide alpha hydrolase-like	0	Cytoplasmic		high		19	no	3.408239965
P00959	SYM_ECOLI	Methionyl-tRNA synthetase (EC 6.1.1.10) (Methionine--tRNA ligase) (MetRS)	39	1895	33	1.18	1.42E+01	1.35E+03	0.014476751	76125	5.7	-0.31	23					5	"05;05.10;"	"PROTEIN SYNTHESIS; "	b.40.g.41.c.26.a.27	"a.27.1;c.26.1;b.40.4;g.41.1;"	Alpha and beta proteins (a/b).All beta proteins.All alpha proteins.Small proteins	Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases.Adenine nucleotide alpha hydrolase-like.Rubredoxin-like.OB-fold	0	Cytoplasmic	OM	low		71	no	3.130333768
P0A8M0	SYN_ECOLI	Asparaginyl-tRNA synthetase (EC 6.1.1.22) (Asparagine--tRNA ligase) (AsnRS)	35	1871	23	1.52	3.22E+01	2.18E+03	0.045933014	52440	5.04	-0.26	14					5	"05;05.10;"	"PROTEIN SYNTHESIS; "	d.104	"d.104.1;"	Alpha and beta proteins (a+b)	Class II aaRS and biotin synthetases	0	Cytoplasmic		high		80	no	3.338456494
P16659	SYP_ECOLI	Prolyl-tRNA synthetase (EC 6.1.1.15) (Proline--tRNA ligase) (ProRS) (Global RNA synthesis	41	2047	26	1.58	3.68E+01	2.35E+03	0.019605555	63694	4.98	-0.24	16				1.64	63.40.05.06	"63.19;06.10;63;05;63.11;40.03;05.10;40;63.19.03;06;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; PROTEIN FATE (folding. modification. destination); "	c.51.d.104	"c.51.1;d.104.1;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b)	Class II aaRS and biotin synthetases.Anticodon-binding domain-like	0	Cytoplasmic	C	high		59	no	3.371067862
P00962	SYQ_ECOLI	Glutaminyl-tRNA synthetase (EC 6.1.1.18) (Glutamine--tRNA ligase) (GlnRS)	40	1862	30	1.33	2.05E+01	1.68E+03	0.016626794	63348	6.23	-0.52	20					63.40.05	"63.19;63;05;63.11;40.03;05.10;63.03.03;63.03;40;63.19.03;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; "	b.53.c.26	"b.53.1;c.26.1;"	Alpha and beta proteins (a/b).All beta proteins	Ribosomal protein L25-like.Adenine nucleotide alpha hydrolase-like	0	Unknown	C	low		65	no	3.225309282
P11875	SYR_ECOLI	Arginyl-tRNA synthetase (EC 6.1.1.19) (Arginine--tRNA ligase) (ArgRS)	18	829	27	0.67	3.64E+00	6.13E+02	0.013822435	64684	5.26	-0.26	18					40.05	"05;40.03;05.10;40;"	"SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; "	c.26.a.27	"a.27.1;c.26.1;"	Alpha and beta proteins (a/b).All alpha proteins	Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases.Adenine nucleotide alpha hydrolase-like	0	Cytoplasmic		low		224	no	2.787460475
P0A8L1	SYS_ECOLI	Seryl-tRNA synthetase (EC 6.1.1.11) (Serine--tRNA ligase) (SerRS)	30	1438	21	1.43	2.58E+01	1.91E+03	0.025837321	48415	5.28	-0.45	22				1.64	63.40.05	"63.19;63;05;40.03;05.10;63.03.03;63.03;40;63.19.03;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; "	d.104	"d.104.1;"	Alpha and beta proteins (a+b)	Class II aaRS and biotin synthetases	0	Cytoplasmic	C	low		108	no	3.281033367
P0A8M3	SYT_ECOLI	Threonyl-tRNA synthetase (EC 6.1.1.3) (Threonine--tRNA ligase) (ThrRS)	32	1424	34	0.94	7.73E+00	9.50E+02	0.016447368	74016	6.13	-0.49	18					63.40.05	"63.17;63;05;05.04;40.03;05.10;63.03.03;63.03;63.17.09;40;05.07;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; "	c.51.d.66.d.104.d.67	"d.67.1;d.66.1;c.51.1;d.104.1;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b)	RRF/tRNA synthetase additional domain-like.Class II aaRS and biotin synthetases.Anticodon-binding domain-like.Alpha-L RNA-binding motif	0	Cytoplasmic		low	thrS-infC-rpmI-rplT	99	no	2.977723605
P07118	SYV_ECOLI	Valyl-tRNA synthetase (EC 6.1.1.9) (Valine--tRNA ligase) (ValRS)	55	2420	42	1.31	1.94E+01	1.62E+03	0.020356677	108194	5.07	-0.38	34	0.61	E		1.81	63.05	"63.19;63;05;05.04;63.11;05.10;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN SYNTHESIS; "	b.51.a.27.c.26	"a.27.1;b.51.1;c.26.1;"	Alpha and beta proteins (a/b).All beta proteins.All alpha proteins	Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases.ValRS/IleRS editing domain.Adenine nucleotide alpha hydrolase-like	0	Cytoplasmic		low		31	no	3.209515015
P00954	SYW_ECOLI	Tryptophanyl-tRNA synthetase (EC 6.1.1.2) (Tryptophan--tRNA ligase) (TrpRS)	20	920	12	1.67	4.54E+01	2.66E+03	0.013636364	37439	6.72	-0.32	7					63.40.05	"63.19;63;05;63.11;40.03;05.10;63.03.03;63.03;40;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; "	c.26	"c.26.1;"	Alpha and beta proteins (a/b)	Adenine nucleotide alpha hydrolase-like	0	Cytoplasmic	C	high	aroKB-damX-dam-rpe-gph-trpS	183	no	3.424881637
P0AGJ9	SYY_ECOLI	Tyrosyl-tRNA synthetase (EC 6.1.1.1) (Tyrosine--tRNA ligase) (TyrRS)	21	1044	16	1.31	1.95E+01	1.63E+03	0.01367054	47397	5.62	-0.34	15				1.4	63.40.05	"63;05;40.03;05.10;63.03.03;63.03;40;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; "	d.66.c.26	"c.26.1;d.66.1;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b)	Adenine nucleotide alpha hydrolase-like.Alpha-L RNA-binding motif	0	Cytoplasmic		low		165	no	3.212187604
P08957	T1MK_ECOLI	Type I restriction enzyme EcoKI M protein (EC 2.1.1.72) (M.EcoKI)	12	551	32	0.38	1.37E+00	3.48E+02	0.01076555	59308	4.93	-0.53	12	0.47	N			63.03.40.06	"03;06.10;63;40.03;63.01;03.01.09;03.01.09.01;40;03.01.09.03;03.01;06;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); CELL CYCLE AND DNA PROCESSING; SUBCELLULAR LOCALISATION; PROTEIN FATE (folding. modification. destination); "					0	Unknown		low	hsdMS	292	no	2.541579244
