Accession number	OLN	ECK	Gene	Protein name	emPAI Value	Normalized And Descr Itensity	Copy number per cell	mRNA expression level	mRNA expression level	Sequence coverage (%)	Number of unique peptides	Mascot protein score	Number of TMDs	GRAVY score	GO cellular component
P29745	JW1113	ECK1113	pepT	peptidase T	0.58	1	27.85	8,81	8.81	14.22	5	198	0	-0.215	0
P0A7A9	JW4185	ECK4222	ppa	inorganic pyrophosphatase	37.31	1	1577.92	8,83	8.83	69.89	15	728	0	-0.272	GO:0005737 cytoplasm
P0A7A9	JW4185	ECK4222	ppa	inorganic pyrophosphatase	3.64	1	1577.92	8,83	8.83	32.95	8	334	0	-0.272	GO:0005737 cytoplasm
P25526	JW2636	ECK2655	gabD	succinate-semialdehyde dehydrogenase I. NADP-dependent	1.35	1	63.18	8,84	8.84	33	9	296	0	-0.071	0
P0A9B2	JW1768	ECK1777	gapA	glyceraldehyde-3-phosphate dehydrogenase A	109.07	1	20789.62	8,91	8.91	90.33	34	1959	0	-0.133	GO:0005737 cytoplasm
P0A9B2	JW1768	ECK1777	gapA	glyceraldehyde-3-phosphate dehydrogenase A	9	1	20789.62	8,91	8.91	69.79	22	962	0	-0.133	GO:0005737 cytoplasm
P0AC38	JW4099	ECK4133	aspA	aspartate ammonia-lyase	9	1	398	9	9	55	23	1259	0	-0.066	GO:0005737 cytoplasm
P69805	JW1808	ECK1817	manZ	mannose-specific enzyme IID component of PTS	2.46	1	113.03	9	9	29.72	7	357	2	0.407	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AC38	JW4099	ECK4133	aspA	aspartate ammonia-lyase	6	1	398	9	9	49.79	23	1202	0	-0.066	GO:0005737 cytoplasm
P69805	JW1808	ECK1817	manZ	mannose-specific enzyme IID component of PTS	6.02	1	2.05	9	9	26.57	10	352	2	0.407	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AGA2	JW3262	ECK3287	secY	preprotein translocase membrane subunit	4.88	1	220	9,13	9.13	15.12	8	407	10	0.602	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AGA2	JW3262	ECK3287	secY	preprotein translocase membrane subunit	7.38	1	2.34	9,13	9.13	21.44	12	456	10	0.602	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A7V3	JW3276	ECK3301	rpsC	30S ribosomal subunit protein S3	30.62	1	1302.81	9,43	9.43	79.83	21	1129	0	-0.422	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A7V3	JW3276	ECK3301	rpsC	30S ribosomal subunit protein S3	67.13	1	1302.81	9,43	9.43	71.24	24	1020	0	-0.422	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P09169	JW0554	ECK0557	ompT	"DLP12 prophage; outer membrane protease VII (outer membrane protein 3b)"	2.16	1	99.64	9,44	9.44	31	9	397	0	-0.645	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P09169	JW0554	ECK0557	ompT	"DLP12 prophage; outer membrane protease VII (outer membrane protein 3b)"	1.15	1	99.64	9,44	9.44	17.98	6	242	0	-0.645	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0A6Z3	JW0462	ECK0467	htpG	molecular chaperone HSP90 family	20.13	1	867.51	9,48	9.48	72.92	42	2182	0	-0.524	0
P0A836	JW0717	ECK0716	sucC	succinyl-CoA synthetase. beta subunit	10.72	1	2324.65	9,48	9.48	67.27	24	1647	0	0.024	0
P0ADY3	JW3272	ECK3297	rplN	50S ribosomal subunit protein L14	50.79	1	2.128	9,48	9.48	69.92	9	526	0	-0.128	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A6Z3	JW0462	ECK0467	htpG	molecular chaperone HSP90 family	4.31	1	867.51	9,48	9.48	55.29	28	1257	0	-0.524	0
P0A836	JW0717	ECK0716	sucC	succinyl-CoA synthetase. beta subunit	3.89	1	2324.65	9,48	9.48	52.06	20	1107	0	0.024	0
P0ADY3	JW3272	ECK3297	rplN	50S ribosomal subunit protein L14	192.07	1	2.128	9,48	9.48	67.48	11	495	0	-0.128	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0AC81	JW1643	ECK1647	gloA	glyoxalase I. Ni-dependent	0.67	1	32.03	9,54	9.54	10.37	2	80	0	-0.346	0
P0A7R1	JW4161	ECK4199	rplI	50S ribosomal subunit protein L9	17.74	1	767.47	9,55	9.55	87.92	14	846	0	0.091	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A7R1	JW4161	ECK4199	rplI	50S ribosomal subunit protein L9	122.28	1	767.47	9,55	9.55	87.25	18	1018	0	0.091	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P36683	JW0114	ECK0117	acnB	bifunctional aconitate hydratase 2 -!- 2-methylisocitrate dehydratase	33.55	1	739.77	9,64	9.64	73.53	56	2995	0	-0.117	0
P36683	JW0114	ECK0117	acnB	bifunctional aconitate hydratase 2 -!- 2-methylisocitrate dehydratase	7.01	1	739.77	9,64	9.64	49.36	39	2012	0	-0.117	0
P31142	JW2505	ECK2517	sseA	3-mercaptopyruvate sulfurtransferase	4.41	1	199.06	9,73	9.73	54.45	10	451	0	-0.083	0
P31142	JW2505	ECK2517	sseA	3-mercaptopyruvate sulfurtransferase	1.15	1	199.06	9,73	9.73	23.49	5	195	0	-0.083	0
P0ABA0	JW3714	ECK3729	atpF	F0 sector of membrane-bound ATP synthase. subunit b	198.53	1	7978.89	9,77	9.77	75.64	18	1219	1	-0.213	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0ABA0	JW3714	ECK3729	atpF	F0 sector of membrane-bound ATP synthase. subunit b	2510.89	1	4	9,77	9.77	76.92	31	1661	1	-0.213	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AFD6	JW2276	ECK2275	nuoI	NADH:ubiquinone oxidoreductase. chain I	6	1	276.96	9,81	9.81	77.78	11	508	0	-0.327	GO:0005737 cytoplasm
P0AFD6	JW2276	ECK2275	nuoI	NADH:ubiquinone oxidoreductase. chain I	15.38	1	276.96	9,81	9.81	63.33	13	633	0	-0.327	GO:0005737 cytoplasm
P02413	JW3263	ECK3288	rplO	50S ribosomal subunit protein L15	24.12	1	1033.75	9,82	9.82	63.19	11	613	0	0.000	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P02413	JW3263	ECK3288	rplO	50S ribosomal subunit protein L15	24.12	1	1033.75	9,82	9.82	67.36	11	630	0	0.000	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0AFD1	JW2280	ECK2279	nuoE	NADH:ubiquinone oxidoreductase. chain E	12.89	1	563.11	9,83	9.83	42.77	6	270	0	-0.392	GO:0005737 cytoplasm
P0AFD1	JW2280	ECK2279	nuoE	NADH:ubiquinone oxidoreductase. chain E	0.93	1	563.11	9,83	9.83	12.65	2	54	0	-0.392	GO:0005737 cytoplasm
P0AG86	JW3584	ECK3599	secB	protein export chaperone	62	1	2585.84	9,85	9.85	64.52	6	286	0	-0.188	GO:0005737 cytoplasm
P0AG86	JW3584	ECK3599	secB	protein export chaperone	2.98	1	2585.84	9,85	9.85	20	3	143	0	-0.188	GO:0005737 cytoplasm
P0C018	JW3266	ECK3291	rplR	50S ribosomal subunit protein L18	30.62	1	1302.81	9,88	9.88	74	10	540	0	-0.395	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0C018	JW3266	ECK3291	rplR	50S ribosomal subunit protein L18	4.62	1	1302.81	9,88	9.88	52.14	6	374	0	-0.395	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P30744	JW2768	ECK2792	sdaB	L-serine deaminase II	15.68	1	680.91	9,92	9.92	39.34	19	788	0	0.052	0
P30744	JW2768	ECK2792	sdaB	L-serine deaminase II	4.99	1	680.91	9,92	9.92	23.74	10	601	0	0.052	0
P0ADZ0	JW3280	ECK3305	rplW	50S ribosomal subunit protein L23	38.81	1	1639.38	9,98	9.98	59	7	286	0	-0.373	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0ADZ0	JW3280	ECK3305	rplW	50S ribosomal subunit protein L23	1.51	1	1639.38	9,98	9.98	19	2	85	0	-0.373	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P76558	JW2447	ECK2458	maeB	fused malic enzyme predicted oxidoreductase -!- predicted phosphotransacetylase	8.47	1	374.79	10,06	10.06	58.37	30	1348	0	0.054	0
P76558	JW2447	ECK2458	maeB	fused malic enzyme predicted oxidoreductase -!- predicted phosphotransacetylase	7	1	374.79	10,06	10.06	47.83	28	1407	0	0.054	0
P04128	JW4277	ECK4305	fimA	major type 1 subunit fimbrin (pilin)	1.51	1	1.45	10,44	10.44	26.92	2	61	1	0.000	GO:0009289 fimbria
P0A6Y8	JW0013	ECK0014	dnaK	chaperone Hsp70. co-chaperone with DnaJ	42.75	1	1.801	10,49	10.49	76.18	48	2708	0	-0.409	GO:0005737 cytoplasm
P0A6Y8	JW0013	ECK0014	dnaK	chaperone Hsp70. co-chaperone with DnaJ	3.38	1	1.801	10,49	10.49	39.66	23	1279	0	-0.409	GO:0005737 cytoplasm
P0ACD4	JW2513	ECK2526	iscU	scaffold protein	11.92	1	521.98	10,56	10.56	84.38	8	433	0	-0.355	0
P02931	JW0912	ECK0920	ompF	"outer membrane porin 1a (Ia;b;F)"	37.75	1	1595.96	10,57	10.57	78.45	21	1144	0	-0.398	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P02931	JW0912	ECK0920	ompF	"outer membrane porin 1a (Ia;b;F)"	10.45	1	1595.96	10,57	10.57	45.03	16	927	0	-0.398	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0A7Z4	JW3257	ECK3282	rpoA	RNA polymerase. alpha subunit	70.97	1	2943.18	10,58	10.58	79.64	27	1437	0	-0.228	GO:0005737 cytoplasm
P0A7Z4	JW3257	ECK3282	rpoA	RNA polymerase. alpha subunit	25.83	1	2943.18	10,58	10.58	77.81	22	1188	0	-0.228	GO:0005737 cytoplasm
P0A7U3	JW3278	ECK3303	rpsS	30S ribosomal subunit protein S19	397.11	1	15625.86	10,63	10.63	70.65	8	465	0	-0.001	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A7U3	JW3278	ECK3303	rpsS	30S ribosomal subunit protein S19	2.98	1	15625.86	10,63	10.63	36.96	3	150	0	-0.001	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P60422	JW3279	ECK3304	rplB	50S ribosomal subunit protein L2	28.76	1	1226.02	11	11	67.77	19	868	0	-0.699	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P60422	JW3279	ECK3304	rplB	50S ribosomal subunit protein L2	15.24	1	1226.02	11	11	57.51	15	654	0	-0.699	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P61175	JW3277	ECK3302	rplV	50S ribosomal subunit protein L22	9.999	1	356580.75	11,05	11.05	69.09	14	903	0	-0.349	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P61175	JW3277	ECK3302	rplV	50S ribosomal subunit protein L22	315.23	1	356580.75	11,05	11.05	67.27	12	730	0	-0.349	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A968	JW0864	ECK0871	cspD	cold shock protein homolog	20.54	1	884.64	11,08	11.08	78.38	3	117	0	-0.197	GO:0005737 cytoplasm
P0A7S9	JW3260	ECK3285	rpsM	30S ribosomal subunit protein S13	137.95	1	5606.09	11,13	11.13	68	13	705	0	-0.424	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A7S9	JW3260	ECK3285	rpsM	30S ribosomal subunit protein S13	192.07	1	5606.09	11,13	11.13	69.49	12	619	0	-0.424	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0ABS1	JW0141	ECK0144	dksA	transcriptional regulator of rRNA transcription. DnaK suppressor protein	9	1	398	11,17	11.17	62.25	7	352	0	-0.866	GO:0005737 cytoplasm
P69913	JW2666	ECK2691	csrA	pleiotropic regulatory protein for carbon source metabolism	1.51	1	70.42	11,23	11.23	31.15	2	92	0	-0.257	GO:0005737 cytoplasm
P69913	JW2666	ECK2691	csrA	pleiotropic regulatory protein for carbon source metabolism	1.51	1	70.42	11,23	11.23	31.15	2	50	0	-0.257	GO:0005737 cytoplasm
P0A7W7	JW3268	ECK3293	rpsH	30S ribosomal subunit protein S8	16.78	1	727.17	11,32	11.32	73.85	10	477	0	0.000	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A7W7	JW3268	ECK3293	rpsH	30S ribosomal subunit protein S8	1.61	1	727.17	11,32	11.32	33.08	4	146	0	0.000	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0ABH7	JW0710	ECK0709	gltA	citrate synthase	24.12	1	1577.84	11,49	11.49	77.52	26	1453	0	-0.231	0
P0ABH7	JW0710	ECK0709	gltA	citrate synthase	4.25	1	1577.84	11,49	11.49	38	16	757	0	-0.231	0
P0CE47	JW3301	ECK3326	tufA	protein chain elongation factor EF-Tu (duplicate of tufB)	118	1	4802.42	11,71	11.71	90	30	1741	0	-0.196	GO:0005737 cytoplasm
P0CE47	JW3301	ECK3326	tufA	protein chain elongation factor EF-Tu (duplicate of tufB)	58.95	1	4802.42	11,71	11.71	87.06	32	1537	0	-0.196	GO:0005737 cytoplasm
P08200	JW1122	ECK1122	icd	"e14 prophage; isocitrate dehydrogenase. specific for NADP+"	77.14	1	3190.93	11,81	11.81	71.15	34	1553	0	-0.154	0
P08200	JW1122	ECK1122	icd	"e14 prophage; isocitrate dehydrogenase. specific for NADP+"	2.16	1	3190.93	11,81	11.81	43.99	14	642	0	-0.154	0
P0A7T3	JW2590	ECK2606	rpsP	30S ribosomal subunit protein S16	67.13	1	2788.66	11,84	11.84	58.54	7	333	0	-0.329	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A7W1	JW3265	ECK3290	rpsE	30S ribosomal subunit protein S5	40.25	1	1698.32	11,95	11.95	79.04	13	803	0	-0.101	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A7W1	JW3265	ECK3290	rpsE	30S ribosomal subunit protein S5	33.55	1	1698.32	11,95	11.95	79.04	13	751	0	-0.101	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A7D4	JW4135	ECK4173	purA	adenylosuccinate synthetase	17.59	1	761.18	12	12	74.77	27	1783	0	0.000	GO:0005737 cytoplasm
P0A6B7	JW2514	ECK2527	iscS	cysteine desulfurase (tRNA sulfurtransferase). PLP-dependent	18.57	1	802.26	12	12	65.84	25	1575	0	-0.273	0
P0A6B7	JW2514	ECK2527	iscS	cysteine desulfurase (tRNA sulfurtransferase). PLP-dependent	7	1	802.26	12	12	57.92	20	919	0	-0.273	0
P0A7D4	JW4135	ECK4173	purA	adenylosuccinate synthetase	1.89	1	761.18	12	12	37.73	12	512	0	0.000	GO:0005737 cytoplasm
P68066	JW2563	ECK2577	yfiD	pyruvate formate lyase subunit	78.43	1	3242.65	12,04	12.04	81.89	13	746	0	-0.332	0
P68066	JW2563	ECK2577	yfiD	pyruvate formate lyase subunit	2.16	1	3242.65	12,04	12.04	55.91	5	206	0	-0.332	0
P0ABQ2	JW5526	ECK3113	garR	tartronate semialdehyde reductase	5.16	1	232	12,19	12.19	81.76	15	773	0	0.264	0
P0ABQ2	JW5526	ECK3113	garR	tartronate semialdehyde reductase	0.44	1	232	12,19	12.19	21.28	3	97	0	0.264	0
P02358	JW4158	ECK4196	rpsF	30S ribosomal subunit protein S6	176.83	1	7.132	12,28	12.28	87.79	13	799	0	-0.745	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A8M6	JW1989	ECK2001	yeeX	conserved protein	3.22	1	146.75	12,28	12.28	49.62	4	172	0	-0.694	0
P02358	JW4158	ECK4196	rpsF	30S ribosomal subunit protein S6	4.62	1	7.132	12,28	12.28	46.56	6	335	0	-0.745	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P09373	JW0886	ECK0894	pflB	pyruvate formate lyase I	19.59	1	641.14	12,47	12.47	73.68	48	2739	0	0.000	GO:0005737 cytoplasm
P09373	JW0886	ECK0894	pflB	pyruvate formate lyase I	5.37	1	641.14	12,47	12.47	49.87	35	1651	0	0.000	GO:0005737 cytoplasm
P0A7V0	JW0164	ECK0168	rpsB	30S ribosomal subunit protein S2	340.45	1	13.459	12,55	12.55	83	22	1280	0	-0.268	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A7V0	JW0164	ECK0168	rpsB	30S ribosomal subunit protein S2	38.81	1	13.459	12,55	12.55	61.83	19	966	0	-0.268	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A6F9	JW4102	ECK4136	groS	Cpn10 chaperonin GroES. small subunit of GroESL	99	1	4064.14	12,56	12.56	88.66	9	385	0	-0.004	GO:0005737 cytoplasm
P0A6F9	JW4102	ECK4136	groS	Cpn10 chaperonin GroES. small subunit of GroESL	1.15	1	4064.14	12,56	12.56	28.87	2	44	0	-0.004	GO:0005737 cytoplasm
P69831	JW2076	ECK2085	gatC	galactitol-specific enzyme IIC component of PTS	2.59	1	118.82	12,75	12.75	6.87	4	220	11	0.824	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P69831	JW2076	ECK2085	gatC	galactitol-specific enzyme IIC component of PTS	26.83	1	2.07	12,75	12.75	13.53	11	388	11	0.824	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P77173	JW2404	ECK2407	zipA	cell division protein involved in Z ring assembly	0.67	1	32.03	12,88	12.88	8.54	2	108	1	-0.606	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P77173	JW2404	ECK2407	zipA	cell division protein involved in Z ring assembly	2.59	1	1.51	12,88	12.88	6.71	3	263	1	-0.606	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P37689	JW3587	ECK3602	gpmI	phosphoglycero mutase III. cofactor-independent	4.18	1	188.99	12,92	12.92	49.42	17	770	0	-0.195	GO:0005737 cytoplasm
P0A7J3	JW3948	ECK3976	rplJ	50S ribosomal subunit protein L10	19.31	1	833.23	12,93	12.93	70.91	12	652	0	0.045	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A7J3	JW3948	ECK3976	rplJ	50S ribosomal subunit protein L10	19.31	1	833.23	12,93	12.93	71.52	15	800	0	0.045	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A6M8	JW3302	ECK3327	fusA	protein chain elongation factor EF-G	48.03	1	2.016	12,97	12.97	74.72	43	2995	0	-0.286	GO:0005737 cytoplasm
P0A6M8	JW3302	ECK3327	fusA	protein chain elongation factor EF-G	45.42	1	2.016	12,97	12.97	74.15	53	3113	0	-0.286	GO:0005737 cytoplasm
P62707	JW0738	ECK0744	gpmA	phosphoglyceromutase 1	70.97	1	2570.12	13	13	78	18	1025	0	-0.568	0
P62707	JW0738	ECK0744	gpmA	phosphoglyceromutase 1	1.68	1	2570.12	13	13	30	6	305	0	-0.568	0
P69797	JW1806	ECK1815	manX	fused mannose-specific PTS enzyme IIAB components	12.69	1	554.63	13,08	13.08	65.02	20	1023	0	-0.058	GO:0005737 cytoplasm
P69797	JW1806	ECK1815	manX	fused mannose-specific PTS enzyme IIAB components	3	1	554.63	13,08	13.08	39.94	12	477	0	-0.058	GO:0005737 cytoplasm
P23843	JW1235	ECK1237	oppA	oligopeptide transporter subunit -!- periplasmic-binding component of ABC superfamily	11.12	1	487.98	13,15	13.15	80.29	31	1650	1	-0.436	GO:0009274 cell wall (sensu Bacteria) -!- GO:0042597 periplasmic space
P02359	JW3303	ECK3328	rpsG	30S ribosomal subunit protein S7	162.79	1	6582.23	13,54	13.54	78.21	19	1068	0	0.000	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P02359	JW3303	ECK3328	rpsG	30S ribosomal subunit protein S7	137.95	1	6582.23	13,54	13.54	74.86	21	1091	0	0.000	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A7H6	JW0461	ECK0466	recR	gap repair protein	0.67	1	32.03	13,57	13.57	10.95	2	102	0	-0.184	GO:0005737 cytoplasm
P0ABT2	JW0797	ECK0801	dps	Fe-binding and storage protein	30.62	1	1302.81	13,68	13.68	81.44	15	729	0	-0.214	GO:0005737 cytoplasm
P0ABT2	JW0797	ECK0801	dps	Fe-binding and storage protein	1.15	1	1302.81	13,68	13.68	20.36	3	146	0	-0.214	GO:0005737 cytoplasm
P0AG67	JW0894	ECK0902	rpsA	30S ribosomal subunit protein S1	185.32	1	7463.64	14	14	89.05	55	3466	0	0.000	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A7S3	JW3304	ECK3329	rpsL	30S ribosomal subunit protein S12	16.78	1	727.17	14	14	53.23	7	408	0	-0.623	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0AG67	JW0894	ECK0902	rpsA	30S ribosomal subunit protein S1	4.37	1	7463.64	14	14	44.34	25	1327	0	0.000	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A7S3	JW3304	ECK3329	rpsL	30S ribosomal subunit protein S12	7	1	727.17	14	14	26.61	6	249	0	-0.623	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P24182	JW1079	ECK1079	fabG	3-oxoacyl-[acyl-carrier-protein] reductase	16.01	1	695	14,12	14.12	66.39	11	725	0	0.000	GO:0005737 cytoplasm
P24182	JW1079	ECK1079	fabG	3-oxoacyl-[acyl-carrier-protein] reductase	23.24	1	695	14,12	14.12	69.67	14	990	0	0.000	GO:0005737 cytoplasm
P0A9Q7	JW1228	ECK1235	adhE	fused acetaldehyde-CoA dehydrogenase -!- iron-dependent alcohol dehydrogenase -!- pyruvate-formate lyase deactivase	11.16	1	47.83	14,52	14.52	67.45	42	2103	0	-0.066	0
P0A9Q7	JW1228	ECK1235	adhE	fused acetaldehyde-CoA dehydrogenase -!- iron-dependent alcohol dehydrogenase -!- pyruvate-formate lyase deactivase	14.54	1	47.83	14,52	14.52	57.58	45	2396	0	-0.066	0
P0A7K2	JW3949	ECK3977	rplL	50S ribosomal subunit protein L7/L12	9.999	1	356580.75	15,03	15.03	88	13	659	0	0.295	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A7K2	JW3949	ECK3977	rplL	50S ribosomal subunit protein L7/L12	4.18	1	356580.75	15,03	15.03	45.45	5	252	0	0.295	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0AE08	JW0598	ECK0599	ahpC	alkyl hydroperoxide reductase. C22 subunit	141.51	1	5.746	15,63	15.63	95.19	18	1179	0	-0.278	0
P0AE08	JW0598	ECK0599	ahpC	alkyl hydroperoxide reductase. C22 subunit	4.88	1	5.746	15,63	15.63	50.27	8	434	0	-0.278	0
P0AG59	JW3269	ECK3294	rpsN	30S ribosomal subunit protein S14	50.79	1	2.128	15,83	15.83	47.52	8	299	0	-0.795	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0AG59	JW3269	ECK3294	rpsN	30S ribosomal subunit protein S14	2.73	1	2.128	15,83	15.83	36.63	3	170	0	-0.795	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A7L3	JW1706	ECK1714	rplT	50S ribosomal subunit protein L20	11.59	1	507.96	16,21	16.21	48.31	10	493	0	-0.336	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A7L3	JW1706	ECK1714	rplT	50S ribosomal subunit protein L20	11.59	1	507.96	16,21	16.21	48.31	11	487	0	-0.336	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0AD49	JW2578	ECK2594	yfiA	cold shock protein associated with 30S ribosomal subunit	67.13	1	2788.66	16,89	16.89	84.96	9	375	0	-0.535	GO:0009281 cytosolic ribosome (sensu Bacteria)
P0A953	JW2320	ECK2317	fabB	3-oxoacyl-[acyl-carrier-protein] synthase I	33	1	1384.41	17,01	17.01	70.44	18	992	0	0.008	GO:0005737 cytoplasm
P0A953	JW2320	ECK2317	fabB	3-oxoacyl-[acyl-carrier-protein] synthase I	3.28	1	1384.41	17,01	17.01	37.68	11	659	0	0.008	GO:0005737 cytoplasm
P0A707	JW5829	ECK1716	infC	protein chain initiation factor IF-3	16.78	1	727.17	17,31	17.31	60.56	10	624	0	-0.671	GO:0005737 cytoplasm
P0A707	JW5829	ECK1716	infC	protein chain initiation factor IF-3	1.15	1	727.17	17,31	17.31	39.44	4	305	0	-0.671	GO:0005737 cytoplasm
P69776	JW1667	ECK1673	lpp	murein lipoprotein	9	1	398	17,76	17.76	57.69	4	274	0	-0.314	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P69776	JW1667	ECK1673	lpp	murein lipoprotein	629.96	1	398	17,76	17.76	65.38	10	532	0	-0.314	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A7M9	JW3907	ECK3928	rpmE	50S ribosomal subunit protein L31	45.42	1	1909.42	18,13	18.13	72.86	6	308	0	-0.649	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A8M3	JW1709	ECK1717	thrS	threonyl-tRNA synthetase	11.07	1	485.85	18,32	18.32	74.61	45	2209	0	-0.494	GO:0005737 cytoplasm
P0A8M3	JW1709	ECK1717	thrS	threonyl-tRNA synthetase	0.76	1	485.85	18,32	18.32	28.04	12	552	0	-0.494	GO:0005737 cytoplasm
P0C8J8	JW2082	ECK2088	gatZ	D-tagatose 1.6-bisphosphate aldolase 2. subunit	43.67	1	1838.05	18,75	18.75	74.29	22	1271	0	-0.121	0
P0C8J8	JW2082	ECK2088	gatZ	D-tagatose 1.6-bisphosphate aldolase 2. subunit	11.59	1	1838.05	18,75	18.75	55.48	19	1184	0	-0.121	0
P0ACF8	JW1225	ECK1232	hns	global DNA-binding transcriptional dual regulator H-NS	13.25	1	578.35	19,14	19.14	65.69	11	708	0	-0.751	GO:0019861 flagellum -!- GO:0005737 cytoplasm
P0ACF8	JW1225	ECK1232	hns	global DNA-binding transcriptional dual regulator H-NS	1.03	1	578.35	19,14	19.14	35.04	4	169	0	-0.751	GO:0019861 flagellum -!- GO:0005737 cytoplasm
P0A6A8	JW1080	ECK1080	acpP	acyl carrier protein (ACP)	999	1	38218.95	20,31	20.31	42.31	4	199	0	-0.346	0
