Accession (UNIPROT)	Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein Len	secY Unique Peptides	secY Unique Spectra	secY Total #spectra	QsecY
P0ADV7	MLAC_ECOLI	C6EH35_ECOBD	G	Predicted ABC-type organic solvent transporter (Toluene tolerance family protein)	211	8	8	8	0.125
P0C0V0	DEGP_ECOLI	C6EAC3_ECOBD	G	Protease Do (EC 3.4.21.108) (Serine endoprotease (Protease Do). membrane-associated) (EC 3.4.21.-)	474	33	45	139	0.093602694
P0ABZ6	SURA_ECOLI	C6EB00_ECOBD	G	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Peptidylprolyl isomerase) (EC 5.2.1.8)	428	4	5	5	0.25
P37690	YIBP_ECOLI	C6EDH6_ECOBD	G	Peptidase M23 (Protease with a role in cell division)	419	18	18	29	0.089506173
P63883	AMIC_ECOLI	C6EJ52_ECOBD	G	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	417	3	3	5	0.555555556
P33136	OPGG_ECOLI	C6EHG4_ECOBD	G	Glucan biosynthesis protein. periplasmic (Periplasmic glucan biosynthesis protein MdoG)	511	6	6	12	0.333333333
P33363	BGLX_ECOLI	C6EAH9_ECOBD	G	Beta-D-glucoside glucohydrolase. periplasmic (EC 3.2.1.21) (Glycoside hydrolase family 3 domain protein)	765	9	10	19	0.211111111
P0AEU7	SKP_ECOLI	C6EAA7_ECOBD	G	Outer membrane chaperone Skp (OmpH) (Periplasmic chaperone)	161	13	18	24	0.102564103
P19926	AGP_ECOLI	C6EHK5_ECOBD	G	Glucose-1-phosphatase (EC 3.1.3.10) (Glucose-1-phosphatase/inositol phosphatase) (EC 3.1.3.10)	413	4	4	4	0.25
P40120	OPGD_ECOLI	C6EET8_ECOBD	G	Periplasmic glucan biosynthesis protein MdoG	539	7	7	7	0.142857143
P0AFL3	PPIA_ECOLI	C6EFL3_ECOBD	G	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	190	6	10	31	0.516666667
P0AEG6	DSBC_ECOLI	C6EIL5_ECOBD	G	Protein disulfide isomerase II (EC 5.3.4.1) (Thiol:disulfide interchange protein DsbC)	236	3	3	3	0.333333333
P64604	MLAD_ECOLI	C6EH34_ECOBD	G	Mammalian cell entry related domain protein (Predicted ABC-type organic solvent transporter)	183	21	27	66	0.116402116
P77285	RNFG_ECOLI	C6EDL5_ECOBD	G	Electron transport complex protein RnfG (Electron transport complex. RnfABCDGE type. G subunit)	206	5	5	5	0.2
P0AB58	YCIM_ECOLI	C6EFV4_ECOBD	G	Putative uncharacterized protein yciM (Tetratricopeptide domain protein)	389	4	6	10	0.416666667
P21338	RNI_ECOLI	C6EK83_ECOBD	G	Enterobacter ribonuclease (EC 3.1.27.6) (Ribonuclease I) (EC 3.1.27.6)	268	3	3	3	0.333333333
P0A855	TOLB_ECOLI	C6EJJ7_ECOBD	G	Protein tolB	430	10	11	17	0.154545455
P16700	CYSP_ECOLI	C6EL52_ECOBD	G	Sulfate ABC transporter. periplasmic sulfate-binding protein (Thiosulfate transporter subunit)	338	1	1	1	1
P45565	AIS_ECOLI	C6E9U8_ECOBD	G	Lipopolysaccharide core heptose(II)-phosphate phosphatase (EC 3.1.3.-)	200	4	4	7	0.4375
P30860	ARTJ_ECOLI	C6EIC1_ECOBD	G	Arginine transporter subunit (Cationic amino acid ABC transporter. periplasmic binding protein)	243	3	3	3	0.333333333
P0AFK9	POTD_ECOLI	C6EGW8_ECOBD	G	Extracellular solute-binding protein family 1 (Spermidine/putrescine ABC transporter periplasmic substrate-binding protein)	348	3	3	3	0.333333333
P0AGC3	SLT_ECOLI	C6EBH9_ECOBD	G	Lytic murein transglycosylase. soluble (EC 3.2.1.-) (Lytic transglycosylase catalytic)	645	3	3	3	0.333333333
P07024	USHA_ECOLI	C6EKY4_ECOBD	G	5'-Nucleotidase domain protein (UDP-sugar hydrolase) (EC 3.1.3.5) (EC 3.6.1.45)	550	3	3	3	0.333333333
P32160	YIIQ_ECOLI	C6EEX8_ECOBD	G	Putative uncharacterized protein (Putative uncharacterized protein yiiQ)	199	7	8	8	0.142857143
P09551	ARGT_ECOLI	C6ELE3_ECOBD	G	Cationic amino acid ABC transporter. periplasmic binding protein (Lysine/arginine/ornithine transporter subunit)	260	1	1	1	1
Q47622	SAPA_ECOLI	C6EFT8_ECOBD	G	Extracellular solute-binding protein family 5 (Predicted antimicrobial peptide transporter subunit)	547	2	2	2	0.5
P45955	YBGF_ECOLI	C6EJJ5_ECOBD	G	Putative uncharacterized protein ybgF (Tol-pal system protein YbgF)	263	5	7	9	0.257142857
P76116	YNCE_ECOLI	C6EER1_ECOBD	G	Putative uncharacterized protein (Putative uncharacterized protein yncE)	353	2	2	2	0.5
P0AFM2	PROX_ECOLI	C6EJU6_ECOBD	G	Glycine betaine transporter subunit (Substrate-binding region of ABC-type glycine betaine transport system)	330	2	3	3	0.5
P76177	YDGH_ECOLI	C6EDP4_ECOBD	G	Putative uncharacterized protein (Putative uncharacterized protein ydgH)	314	4	4	4	0.25
P0ADA1	TESA_ECOLI	C6EKX0_ECOBD	G	Lysophospholipase (EC 3.1.1.5) (Multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1) (EC 3.1.1.5) (EC 3.1.2.-)	208	1	1	1	1
P37902	GLTI_ECOLI	C6EK40_ECOBD	G	Extracellular solute-binding protein family 3 (Glutamate and aspartate transporter subunit)	302	9	9	13	0.160493827
P39325	YTFQ_ECOLI	C6ECC1_ECOBD	G	Periplasmic binding protein/LacI transcriptional regulator (Predicted sugar transporter subunit: periplasmic-binding component of ABC superfamily)	318	1	1	1	1
P0AEU0	HISJ_ECOLI	C6ELE4_ECOBD	G	Cationic amino acid ABC transporter. periplasmic binding protein (Histidine/lysine/arginine/ornithine transporter subunit)	260	11	11	12	0.099173554
P75797	GSIB_ECOLI	C6EIV2_ECOBD	G	Extracellular solute-binding protein family 5	512	1	1	2	2
P0AG80	UGPB_ECOLI	C6EFC1_ECOBD	G	Extracellular solute-binding protein family 1 (Glycerol-3-phosphate transporter subunit)	438	1	1	2	2
P30859	ARTI_ECOLI	C6EIB8_ECOBD	G	Arginine transporter subunit (Cationic amino acid ABC transporter. periplasmic binding protein)	243	2	2	3	0.75
P0AFX9	RSEB_ECOLI	C6EK16_ECOBD	G	Periplasmic negative regulator of sigmaE (Sigma E regulatory protein. MucB/RseB)	318	6	7	9	0.214285714
P0AE91	CREA_ECOLI	C6EBH4_ECOBD	G	CreA family protein (Putative uncharacterized protein creA)	157	4	5	5	0.25
P66948	YFGC_ECOLI	C6EKL7_ECOBD	G	Peptidase M48 Ste24p (Predicted peptidase)	487	2	2	2	0.5
P0AG82	PSTS_ECOLI	C6EG75_ECOBD	G	Phosphate ABC transporter. periplasmic phosphate-binding protein (Phosphate transporter subunit)	346	2	2	2	0.5
P33913	YEJA_ECOLI	C6EA20_ECOBD	G	Extracellular solute-binding protein family 5 (Predicted oligopeptide transporter subunit)	604	1	1	1	1
P32176	FDOG_ECOLI	C6EF05_ECOBD	G	Formate dehydrogenase. alpha subunit (Formate dehydrogenase-O. major subunit)	1016	2	2	2	0.5
P0AEQ3	GLNH_ECOLI	C6EIX1_ECOBD	G	Cationic amino acid ABC transporter. periplasmic binding protein (Glutamine ABC transporter periplasmic protein)	248	3	3	3	0.333333333
P05458	PTRA_ECOLI	C6EJ48_ECOBD	G	Peptidase M16 domain protein (Protease III)	962	1	1	1	1
P76223	YNJB_ECOLI	C6ECK3_ECOBD	G	Extracellular solute-binding protein family 1 (Putative uncharacterized protein ynjB)	388	1	1	1	1
P23847	DPPA_ECOLI	C6EED6_ECOBD	G	Dipeptide transporter (Extracellular solute-binding protein family 5)	535	1	1	1	1
P26648	SUFI_ECOLI	C6EHX7_ECOBD	G	Multicopper oxidase type 3 (Repressor protein for FtsI)	470	1	1	1	1
P23827	ECOT_ECOLI	C6E9Z0_ECOBD	G	Ecotin (Proteinase inhibitor I11 ecotin)	162	1	1	2	2
P0AB24	YCDO_ECOLI	C6EHI9_ECOBD	G	Putative uncharacterized protein (Putative uncharacterized protein ycdO)	375	1	1	1	1
P0A9P4	TRXB_ECOLI	C6EI94_ECOBD	G	Thioredoxin reductase (EC 1.8.1.9)	321	2	2	2	0.5
P02925	RBSB_ECOLI	C6EG51_ECOBD	G	D-ribose transporter subunit (Periplasmic binding protein/LacI transcriptional regulator)	296	1	1	1	1
P02931	OMPF_ECOLI	C6EI53_ECOBD	H	"Outer membrane porin 1a (Ia;b;F) (Porin Gram-negative type)"	362	35	42	289	0.196598639
P0A908	MIPA_ECOLI	C6EC47_ECOBD	H	MltA-interacting MipA family protein (Scaffolding protein for murein synthesizing machinery)	248	4	5	9	0.45
P0A917	OMPX_ECOLI	C6EIW8_ECOBD	H	Outer membrane protein X (Virulence-related outer membrane protein)	171	12	16	44	0.229166667
P0A910	OMPA_ECOLI	C6EI25_ECOBD	H	"OmpA domain protein transmembrane region-containing protein (Outer membrane protein A (3a;II*;G;d))"	346	41	59	444	0.18354692
P0A940	YAET_ECOLI	C6EAA8_ECOBD	H	Outer membrane protein assembly complex. YaeT protein (Putative uncharacterized protein yaeT)	810	15	16	31	0.129166667
P02930	TOLC_ECOLI	C6EHV8_ECOBD	H	Outer membrane channel protein (Type I secretion outer membrane protein. TolC family)	493	36	50	129	0.071666667
P31554	LPTD_ECOLI	C6EAZ9_ECOBD	H	LPS-assembly protein lptD (Organic solvent tolerance protein)	784	16	18	35	0.121527778
P0A921	PA1_ECOLI	C6EF90_ECOBD	H	Outer membrane phospholipase A (EC 3.1.1.32) (Phospholipase A(2)) (EC 3.1.1.4)	289	2	2	2	0.5
P13036	FECA_ECOLI	C6EC65_ECOBD	H	Ferric citrate outer membrane transporter (TonB-dependent siderophore receptor)	774	10	10	12	0.12
P0ADE4	YTFM_ECOLI	C6ECC5_ECOBD	H	Predicted outer membrane protein and surface antigen (Surface antigen (D15))	577	2	2	4	1
P46474	YHDP_ECOLI	C6EGL5_ECOBD	H	Conserved membrane protein. predicted transporter (Uncharacterized protein YhdP)	1266	4	4	4	0.25
P0A927	TSX_ECOLI	C6ELH3_ECOBD	H	Nucleoside channel. receptor of phage T6 and colicin K (Nucleoside-specific channel-forming protein Tsx)	294	4	4	5	0.3125
P05825	FEPA_ECOLI	C6EKB2_ECOBD	H	Iron-enterobactin outer membrane transporter (TonB-dependent siderophore receptor)	746	5	6	9	0.3
P10384	FADL_ECOLI	C6ELB0_ECOBD	H	Membrane protein involved in aromatic hydrocarbon degradation	446	1	1	1	1
P76115	YNCD_ECOLI	C6EER2_ECOBD	H	Predicted iron outer membrane transporter (TonB-dependent receptor)	700	1	1	1	1
P77717	YBAY_ECOLI	C6EL10_ECOBD	I	Glycoprotein/polysaccharide metabolism (Predicted outer membrane lipoprotein)	190	4	6	10	0.416666667
P0A905	SLYB_ECOLI	C6EDK4_ECOBD	I	17 kDa surface antigen (Outer membrane lipoprotein)	155	7	10	23	0.328571429
P77330	BORD_ECOLI	C6EJF8_ECOBD	I	Bor family protein (Bor protein)	97	1	1	1	1
P46130	YBHC_ECOLI	C6EJI8_ECOBD	I	Pectinesterase (Predicted pectinesterase)	427	5	5	8	0.32
P0A903	NLPB_ECOLI	C6EKN4_ECOBD	I	Lipoprotein (NlpBDapX family lipoprotein)	344	15	17	34	0.133333333
P69776	LPP_ECOLI	C6ECS8_ECOBD	I	LPP repeat-containing protein (Murein lipoprotein)	78	8	14	125	1.116071429
P10100	RLPA_ECOLI	C6EK60_ECOBD	I	Minor lipoprotein (Rare lipoprotein A)	362	5	6	24	0.8
Q46798	YGER_ECOLI	C6EIP3_ECOBD	I	Peptidase M23 (Tetratricopeptide repeat transcriptional regulator)	251	7	7	8	0.163265306
P61320	LOLB_ECOLI	C6EGQ7_ECOBD	I	Outer-membrane lipoprotein lolB	207	9	10	13	0.144444444
P0A901	BLC_ECOLI	C6ECX4_ECOBD	I	Lipocalin family protein (Outer membrane lipoprotein (Lipocalin))	178	4	4	6	0.375
P25894	YGGG_ECOLI	C6EIH3_ECOBD	I	Peptidase M48 Ste24p	252	10	10	11	0.11
P69411	RCSF_ECOLI	C6EA88_ECOBD	I	Outer membrane lipoprotein (Predicted outer membrane protein. signal)	134	7	7	12	0.244897959
P0C960	EMTA_ECOLI	C6EGS4_ECOBD	I	Lytic murein endotransglycosylase E (EC 2.4.99.-) (Lytic transglycosylase catalytic)	203	3	3	4	0.444444444
P76506	MLAA_ECOLI	C6ELA7_ECOBD	I	Predicted lipoprotein (VacJ family lipoprotein)	251	3	3	4	0.444444444
P45464	YRAM_ECOLI	C6EH78_ECOBD	I	LppC family lipoprotein (Putative uncharacterized protein yraM)	678	15	15	18	0.08
P0AC02	YFIO_ECOLI	C6EJZ5_ECOBD	I	Outer membrane assembly lipoprotein YfiO (Predicted lipoprotein)	245	19	22	35	0.083732057
P76537	YFEY_ECOLI	C6EKS2_ECOBD	I	Putative uncharacterized protein (Putative uncharacterized protein yfeY)	191	2	2	2	0.5
P0A912	PAL_ECOLI	C6EJJ6_ECOBD	I	Peptidoglycan-associated lipoprotein (Peptidoglycan-associated outer membrane lipoprotein)	173	8	9	12	0.166666667
P0ADA5	YAJG_ECOLI	C6EL32_ECOBD	I	Predicted lipoprotein (Uncharacterized lipoprotein)	192	9	10	24	0.266666667
P75818	YBJP_ECOLI	C6EIB6_ECOBD	I	Predicted lipoprotein (Putative lipoprotein)	171	4	4	6	0.375
P0A935	MLTA_ECOLI	C6EJ53_ECOBD	I	Membrane-bound lytic murein transglycosylase A (EC 3.2.1.-) (MltA domain protein)	365	4	4	5	0.3125
P0ADC1	LPTE_ECOLI	C6EK52_ECOBD	I	Minor lipoprotein (Rare lipoprotein B)	193	6	8	19	0.395833333
P77330	BORD_ECOLI	C6EKD4_ECOBD	I	Bor family protein (Predicted lipoprotein)	97	1	1	5	5
P64596	YRAP_ECOLI	C6EH75_ECOBD	I	Putative uncharacterized protein yraP (Transport-associated)	191	8	9	17	0.236111111
P0AB26	YCEB_ECOLI	C6EHF0_ECOBD	I	Predicted lipoprotein (Putative uncharacterized protein)	186	2	2	2	0.5
P0ADA3	NLPD_ECOLI	C6EJC5_ECOBD	I	Peptidase M23 (Predicted outer membrane lipoprotein)	379	4	4	5	0.3125
P77774	YFGL_ECOLI	C6EKJ7_ECOBD	I	Outer membrane assembly lipoprotein YfgL (Protein assembly complex. lipoprotein component)	392	7	7	9	0.183673469
P0ADB1	OSME_ECOLI	C6ECL9_ECOBD	I	DNA-binding transcriptional activator (SmpA/OmlA domain protein)	112	5	6	11	0.366666667
P0AB38	YCFM_ECOLI	C6EGY7_ECOBD	I	Membrane lipoprotein lipid attachment site (Predicted outer membrane lipoprotein)	213	7	8	15	0.267857143
P77562	YAIW_ECOLI	C6ELK9_ECOBD	I	Predicted DNA-binding transcriptional regulator (Putative uncharacterized protein)	364	2	2	2	0.5
P40710	NLPE_ECOLI	C6EA92_ECOBD	I	Copper resistance lipoprotein NlpE (Lipoprotein involved with copper homeostasis and adhesion)	236	4	5	6	0.3
P37665	YIAD_ECOLI	C6EEC9_ECOBD	I	OmpA/MotB domain protein (Predicted outer membrane lipoprotein)	219	13	18	24	0.102564103
P0ADN6	YIFL_ECOLI	C6EG06_ECOBD	I	Predicted lipoprotein (Putative uncharacterized protein)	67	1	1	3	3
P41052	MLTB_ECOLI	C6EJT0_ECOBD	I	Lytic murein transglycosylase B (Membrane-bound lytic murein transglycosylase B) (EC 3.2.1.-)	361	1	1	1	1
P0AA91	YEAY_ECOLI	C6EC25_ECOBD	I	Outer membrane lipoprotein. Slp family (Predicted lipoprotein)	193	2	2	2	0.5
P0A937	SMPA_ECOLI	C6EJX6_ECOBD	I	SmpA/OmlA domain protein	113	1	2	2	1
P0AF70	YJEI_ECOLI	C6ECY1_ECOBD	I	Putative uncharacterized protein (Putative uncharacterized protein yjeI)	117	1	1	3	3
P0ADB7	ECNB_ECOLI	C6ECX6_ECOBD	I	Entericidin B membrane lipoprotein (Entericidin EcnAB)	48	2	4	13	1.625
