predicted location (PSORTbv3.0.2)		Score			emPAI			Peptides			Sequence coverage (%)	
253774888	S-adenosyl-methyltransferase MraW 	cytoplasmic		45			0,09			1			3,7	
253775428	cell division protein FtsN 	cytoplasmic membrane		45			0,09			2			5,3	
253772791	NADH-quinone oxidoreductase, B subunit 	cytoplasmic membrane		45			0,14			2			10,1	
253773440	protein of unknown function DUF1471 	unknown		45			0,21			3			10,5	
253771876	preprotein translocase, SecY subunit 	cytoplasmic membrane			45			0,22			45			9
253774942	isoleucyl-tRNA synthetase 	cytoplasmic	44			0,02			1			0,9		
253773880	aminodeoxychorismate lyase 	unknown		44			0,09			2			5,3	
253773869	protein of unknown function UPF0227 	cytoplasmic		44			0,16			1			4,4	
253772235	fructose-bisphosphate aldolase, class II 	cytoplasmic			44			0,08			44			3,9
253771704	putative receptor 	unknown			44			0,25			44			9,2
253774218	excinuclease ABC, B subunit 	cytoplasmic		43			0,04			1			1,8	
253773340	phospho-2-dehydro-3-deoxyheptonate aldolase 	cytoplasmic		43			0,08			2			4,9	
253774646	Porphobilinogen synthase 	cytoplasmic		43			0,09			2			5,6	
253772363	Hpt sensor hybrid histidine kinase 	cytoplasmic membrane			43			0,03			43			0,9
253775010	Phosphatidylglycerol--membrane-oligosaccharide glycerophosphotransferase 	cytoplasmic membrane			43			0,04			43			1
253772269	lysyl-tRNA synthetase 	cytoplasmic			43			0,06			43			10,3
253775330	Diacylglycerol kinase 	cytoplasmic membrane			43			0,26			43			9
253775553	Phospholipase A(2) 	outer membrane	42			0,1			1			4,5		
253775605	acetolactate synthase, large subunit, biosynthetic type 	cytoplasmic	42						1			1,1		
253775566	protein of unknown function DUF484 	cytoplasmic		42			0,12			1			4,3	
253774014	OmpA domain protein transmembrane region-containing protein 	outer membrane	4084	4297	1930	2,29	6,08	4,97	17	19	18	51,7	55,5	54,6
253774042	porin Gram-negative type 	outer membrane	4800	3231	1990	2,65	2,95	1,86	13	15	14	37,6	33,4	32,9
253773366	LPP repeat-containing protein 	outer membrane	2556	3876	1836	1,87	136,83	22,73	2	7	7	33,3	65,4	62,8
253775391	translation elongation factor Tu 	cytoplasmic	5902	1121	1041	3,65	4,00	2,47	17	18	18	51	47,7	48,2
253773763	iron-containing alcohol dehydrogenase 	cytoplasmic	4747	311	3004	2,32	0,44	1,54	38	17	32	46	18,3	34,7
253771835	translation elongation factor Tu 	cytoplasmic	5727	861	575	2,75	2,48	1,79	15	16	16	45,9	42,9	40,6
253775338	porin LamB type 	outer membrane	1000	2518	942	1,30	3,08	1,30	12	17	14	33,4	42,4	35,9
253772127	type I secretion outer membrane protein, TolC family 	outer membrane	1254	1121	642	0,92	1,04	0,61	11	18	11	30	38,3	27,6
253772976	D-tagatose-bisphosphate aldolase, class II, non-catalytic subunit 	cytoplasmic	1298	767	447	0,71	0,60	0,71	10	10	10	22,4	22,9	26
253774288	peptidoglycan-associated lipoprotein 	outer membrane	932	1018	419	0,39	4,17	1,27	4	10	6	27,2	61,3	41
253774914	Organic solvent tolerance protein 	outer membrane	394	1294	459	0,38	1,28	0,38	13	27	13	19,4	32,7	16,8
253775592	transcription termination factor Rho 	cytoplasmic	875	300	749	3,44	0,72	2,62	20	13	20	49,6	30,5	42
253774796	outer membrane protein assembly complex, YaeT protein 	outer membrane	192	1464	239	0,33	2,47	0,38	14	37	15	18,5	41,2	20
253774183	virulence-related outer membrane protein 	outer membrane	489	676	686	0,65	1,30	0,94	4	5	6	25,7	31	31
253774297	cytochrome bd ubiquinol oxidase subunit I 	cytoplasmic membrane	48	1295	387	0,12	0,93	0,32	5	14	8	9,4	20,5	16,5
253771862	ribosomal protein S3 	cytoplasmic	1181		432	1,33		1,07	11		13	45,5		57,9
253775631	ATP synthase F1, alpha subunit 	cytoplasmic	768	585	125	1,12	1,12	0,33	18	17	10	33,5	30,2	18,7
253775633	ATP synthase F1, beta subunit 	cytoplasmic membrane	573	634	233	1,01	1,43	0,77	13	15	14	33,3	33,7	31,7
253775387	ribosomal protein L1 	cytoplasmic	902		309	2,55		0,88	9		7	49,1		36,8
253775435	glycerol kinase 	cytoplasmic	365	301	530	0,86	0,66	0,57	12	14	11	27,5	30,1	26,5
253774607	protein-export membrane protein SecD 	cytoplasmic membrane	218	498	442	0,33	1,27	0,62	9	25	12	16,9	36,7	20
253771754	glycogen/starch/alpha-glucan phosphorylase 	cytoplasmic	481	87	544	0,42	0,07	0,48	20	10	16	23,3	10,9	20,7
253775629	ATP synthase F0, B subunit 	cytoplasmic membrane	216	537	330	1,04	7,50	1,44	6	10	6	34	55,1	32,7
253771857	ribosomal protein L4/L1e 	cytoplasmic	781		299	1,03		0,76	8		7	40,3		32,8
253771920	cell shape determining protein, MreB/Mrl family 	cytoplasmic	243	252	567	1,16	0,98	1,16	10	9	9	35,4	32	30,5
253774185	Ferritin Dps family protein 	cytoplasmic	90	739	225	0,94	11,09	3,46	4	12	8	15,6	59,3	35,9
253775172	ribosomal protein L9 	cytoplasmic	356	162	510	2,22	1,18	3,76	8	7	10	55,7	55	65,8
253772824	Phosphoglycerate mutase 	unknown	42	820	98	0,15	2,48	0,52	1	8	3	5	39	17
253771875	ribosomal protein L15 	cytoplasmic	468	175	316	2,41	1,78	3,18	9	7	8	53,5	45,1	47,9
253773794	ribose-phosphate pyrophosphokinase 	cytoplasmic	548		393	1,09		1,09	7		7	31,1		31,1
253771871	ribosomal protein L6 	cytoplasmic	382	113	436	3,35	0,39	2,70	10	2	9	49,2	13	49,2
253775134	PTS system, trehalose-specific IIBC subunit 	cytoplasmic membrane	175	621	133	0,28	0,55	0,45	6	7	5	12,7	13,3	11
253771856	ribosomal protein L3 	cytoplasmic	515	121	204	0,32	0,32	2,08	5	5	10	20,1	22,5	37,8
253774192	TonB-dependent siderophore receptor 	outer membrane	250	380	204	0,42	0,66	0,37	11	15	9	18,6	20,1	11,4
253771834	translation elongation factor G 	cytoplasmic	317	165	344	0,51	0,39	0,39	14	15	10	24,4	21,4	17,5
253772792	NADH dehydrogenase I, D subunit 	cytoplasmic		804			1,22			24			34,9	
253771863	ribosomal protein L16 	cytoplasmic	259	107	429	0,82	0,22	0,82	2	1	3	22,1	11,8	33,1
253773400	17 kDa surface antigen 	outer membrane	164	284	341	1,19	2,25	1,67	5	6	4	38,7	42,6	38,7
253771880	ribosomal protein S4 	cytoplasmic	431	70	256	1,54	0,49	1,54	10	7	10	38,3	20,4	35,9
253774548	transporter, hydrophobe/amphiphile efflux-1 (HAE1) family 	cytoplasmic membrane		610	124		0,41	0,12		15	7		16,2	7
253771873	ribosomal protein S5 	cytoplasmic		144	524		0,70	1,43		5	8		30,5	47,3
253774875	cell division protein FtsZ 	cytoplasmic membrane	272	199	182	0,48	0,48	0,88	7	6	9	24,8	20,6	29,8
253771833	ribosomal protein S7 	cytoplasmic	335	117	193	1,88	1,41	3,09	7	5	9	37,8	34,6	43,6
253775384	DNA-directed RNA polymerase, beta subunit 	cytoplasmic		136	500		0,19	0,57		20	25		13,3	16,8
253773868	FAD-dependent pyridine nucleotide-disulphide oxidoreductase 	cytoplasmic membrane	124	217	294	0,40	0,31	0,60	8	10	10	20,7	19,6	21,4
253774804	ribosomal protein S2 	cytoplasmic	444	175		1,02	1,02		8	9		33,2	36,1	
253771855	ribosomal protein S10 	cytoplasmic	171	158	272	1,79	1,16	3,66	5	7	9	42,7	50,5	66
253774778	prolyl-tRNA synthetase 	cytoplasmic		158	442		0,35	0,50		10	8		19,2	17,1
253772779	phosphate acetyltransferase 	cytoplasmic	267	99	230	0,39	0,18	0,23	9	8	10	12,6	10,1	14,8
253771816	transcriptional regulator, Crp/Fnr family 	cytoplasmic	398		187	1,87		1,20	8		4	41		21,4
253771561	PTS system, mannitol-specific IIC subunit 	cytoplasmic membrane	124	285	172	0,10	0,27	0,21	4	8	5	6,3	14,4	8,3
253773326	threonyl-tRNA synthetase 	cytoplasmic	174		396	0,47		0,54	12		14	17,1		20,1
253771859	ribosomal protein L2 	cytoplasmic	224		335	1,32		1,58	10		13	31,1		50,9
253775545	5-methyltetrahydropteroyltriglutamate/homocysteine S-methyltransferase 	cytoplasmic	103	213	239	0,12	0,25	0,16	3	7	3	5	9,7	4,5
253775201	HflK protein 	unknown	150	224	167	0,23	0,42	0,52	3	8	7	9,1	22,4	20
253772509	outer membrane assembly lipoprotein YfiO 	outer membrane		431	102		1,76	0,25		11	3		42,4	14,7
253771615	OmpA/MotB domain protein 	outer membrane	138	218	162	0,52	1,33	0,52	2	5	3	16,9	33,3	25,6
253774373	Rare lipoprotein B 	outer membrane	81	251	180	0,16	1,77	0,55	1	5	4	6,2	36,3	28
253774382	Beta-lactamase 	cytoplasmic membrane		510			2,63			18			43,7	
253771879	ribosomal protein S11 	cytoplasmic	123		379	0,92		1,39	4		6	33,3		42,6
253773263	MltA-interacting MipA family protein 	outer membrane	151	191	155	0,25	0,57	0,25	1	2	1	5,2	12,9	5,2
253774547	efflux transporter, RND family, MFP subunit 	cytoplasmic membrane	112	287	97	0,16	1,13	0,25	3	14	3	10,3	35	12,6
253774934	carbamoyl-phosphate synthase, large subunit 	unknown	65	164	259	0,03	0,21	0,31	3	8	12	3	7,8	11,4
253774945	ribosomal protein S20 	cytoplasmic	132	125	217	3,65	5,33	1,52	4	4	3	35,6	40,2	40,2
253775430	heat shock protein HslVU, ATPase subunit HslU 	cytoplasmic	201	77	180	0,38	0,21	0,47	8	4	11	19	9	23
253775493	GTP-binding protein TypA 	cytoplasmic membrane	163	101	189	0,33	0,33	0,33	10	11	10	19,9	18	14,7
253771861	ribosomal protein L22 	cytoplasmic	153		294	1,69		4,66	6		9	39,1		61,8
253774823	penicillin-binding protein 1B 	cytoplasmic membrane	109	194	141	0,11	0,27	0,27	5	11	9	6,6	13,2	11,1
253771870	ribosomal protein S8 	cytoplasmic			442			0,54			3			22,3
253774795	outer membrane chaperone Skp (OmpH) 	periplasmic	86	170	182	0,19	1,01	0,42	1	6	3	7,5	28	13,7
253772594	outer membrane assembly lipoprotein YfgL 	outer membrane	55	257	126	0,08	0,46	0,08	1	5	1	3,1	15,3	3,1
253771878	ribosomal protein S13 	cytoplasmic	149		276	2,19		2,19	7		7	54,2		56,8
253774857	pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase 	cytoplasmic	111	209	97	0,16	0,34	0,16	3	8	4	6,5	13,8	8,3
253774856	dihydrolipoamide dehydrogenase 	cytoplasmic	70	221	126	0,06	0,46	0,28	1	6	4	3	13,5	10,1
253775388	ribosomal protein L11 	cytoplasmic	109		305	0,51		1,80	3		5	21,8		28,9
253771868	ribosomal protein L5 	cytoplasmic	189	95	127	0,85	0,36	1,51	9	6	7	40,2	41,9	47,5
253774858	2-oxo-acid dehydrogenase E1 subunit, homodimeric type 	cytoplasmic		340	71		0,52	0,07		23	4		22,9	4,4
253774306	succinate dehydrogenase or fumarate reductase, flavoprotein subunit 	cytoplasmic membrane		338	69		0,56	0,05		15	2		28,9	3,9
253771941	ribosomal protein S9 	cytoplasmic	157	78	168	1,28	0,51	2,44	4	3	6	31,5	23,1	39,2
253772821	NAD-dependent epimerase/dehydratase 	cytoplasmic	128	60	210	0,29	0,24	0,41	10	8	10	13	11,4	15
253772532	GTP-binding protein LepA 	cytoplasmic membrane	101	58	237	0,33	0,05	0,40	7	5	9	11,4	8,2	15,7
253775137	anaerobic ribonucleoside-triphosphate reductase 	cytoplasmic	225		170	0,22		0,22	10		9	15,9		11,8
253772977	putative PTS IIA-like nitrogen-regulatory protein PtsN 	cytoplasmic	138	47	210	0,72	0,44	1,07	4	3	4	30,7	21,3	30,7
253773229	PTS system, mannose/fructose/sorbose family, IIA subunit 	cytoplasmic	68	262	60	0,09	0,72	0,09	1	8	1	3,7	24,8	4
253774776	outer membrane lipoprotein 	outer membrane	86	161	140	0,23	0,88	0,52	1	3	2	10,4	31,3	25,4
253775383	DNA-directed RNA polymerase, beta' subunit 	cytoplasmic		83	303		0,06	0,20		8	16		5,3	10,8
253771938	protein of unknown function DUF1043 	cytoplasmic membrane	86	125	174	0,51	0,85	0,85	2	3	3	18,2	26,5	26,5
253772980	Alcohol dehydrogenase GroES domain protein 	cytoplasmic	174	61	127	0,52	0,09	0,40	8	5	5	21,4	12,4	15
253772790	NADH-ubiquinone/plastoquinone oxidoreductase chain 3 	cytoplasmic membrane	79	144	135	0,45	0,75	0,45	2	3	2	17	24,5	17,7
253775406	sulfatase 	cytoplasmic membrane	44	249	63	0,05	0,62	0,16	2	11	8	3,5	17	10,6
253771745	FAD dependent oxidoreductase 	cytoplasmic		355			1,60			18			30,9	
253771988	ATP-dependent metalloprotease FtsH 	cytoplasmic membrane	61	194	96	0,20	0,44	0,25	9	12	10	16	19,1	15,5
253772836	glycerol-3-phosphate dehydrogenase, anaerobic, A subunit 	cytoplasmic membrane	125	100	125	0,24	0,24	0,17	6	8	5	11,1	14,4	11,6
253773826	septum site-determining protein MinD 	cytoplasmic membrane	125	69	155	0,37	0,24	0,37	5	3	4	20,7	13,3	16,3
253774568	PpiC-type peptidyl-prolyl cis-trans isomerase 	cytoplasmic membrane		349			1,12			23			36,8	
253774854	aconitate hydratase 2 	cytoplasmic	62	124	158	0,03	0,11	0,15	1	6	5	1,5	6,5	7,3
253772795	NADH-quinone oxidoreductase, chain G 	cytoplasmic		342			0,66			19			21,5	
253775660	60 kDa inner membrane insertion protein 	cytoplasmic membrane	72	204	65	0,05	0,30	0,05	3	4	3	6,8	9,1	5,8
253775175	ribosomal protein S6 	cytoplasmic	97	54	178	0,50	0,50	0,83	5	2	6	25,2	13,7	35,9
253774608	preprotein translocase, YajC subunit 	cytoplasmic membrane	111	90	124	0,66	0,66	0,66	2	2	2	20	20	20
253772794	NADH-quinone oxidoreductase, F subunit 	cytoplasmic		324			0,78			13			29,9	
253774578	Uncharacterized lipoprotein 	unknown		317			0,81			4			25	
253774433	TonB-dependent siderophore receptor 	outer membrane	57	87	170	0,12	0,12	0,26	5	6	7	6,8	9,1	12,3
253771914	acetyl-CoA carboxylase, biotin carboxylase 	cytoplasmic	106		201	0,47		0,78	9		9	23,2		21,4
253772500	ribosomal protein L19 	cytoplasmic	102		202	0,59		1,01	5		8	45,2		55,7
253775575	HemY protein 	cytoplasmic membrane	116	76	111	0,24	0,07	0,24	6	3	3	15,1	6,3	6,5
253772224	peptidase M48 Ste24p 	unknown		303			1,26			8			34,1	
253774979	ABC transporter related 	cytoplasmic	132	60	106	0,23	0,11	0,23	5	6	7	7,6	9,7	13,9
253773892	ribonuclease, Rne/Rng family 	cytoplasmic	45	106	144	0,03	0,09	0,12	1	7	5	0,8	6,3	4,9
253771821	ABC transporter related 	cytoplasmic	58		234	0,05		0,31	1		7	1,6		12,6
253771881	DNA-directed RNA polymerase, alpha subunit 	cytoplasmic	137	153		0,41	0,54		4	8		12,8	24,6	
253774296	cytochrome d ubiquinol oxidase, subunit II 	cytoplasmic membrane		81	209		0,35	0,35		3	3		7,9	7,9
253774955	chaperone protein DnaK 	cytoplasmic		215	72		0,45	0,05		14	1		20,4	1,9
253774088	ATP-dependent Clp protease, ATP-binding subunit clpA 	cytoplasmic	139	43	97	0,31	0,08	0,16	8	4	4	10,8	5,1	5,9
253775385	ribosomal protein L7/L12 	unknown		199	80		1,09	0,63		3	2		28,9	19
253774455	Bor family protein 	unknown	58	103	111	0,32	0,32	0,32	1	2	2	10,3	25,8	25,8
253772733	membrane protein involved in aromatic hydrocarbon degradation 	outer membrane		267			0,39			8			20	
253774047	chromosome segregation and condensation protein MukB domain protein 	cytoplasmic		54	213		0,04	0,19		4	14		2,9	9,4
253772455	efflux pump membrane protein 	cytoplasmic membrane	43	95	127	0,25	0,56	0,25	6	8	5	12,6	20	13,3
253772014	transport-associated 	periplasmic		264			1,17			7			31,4	
253771867	ribosomal protein L24 	cytoplasmic	66		197	0,70		2,77	2		6	20,2		39,4
253772979	PTS system, galactitol-specific IIC subunit 	cytoplasmic membrane	52	83	127	0,22	0,30	0,30	3	4	5	4,4	7,5	7,8
253772143	DNA topoisomerase IV, A subunit 	cytoplasmic	126		134	0,12		0,17	7		6	10		8,8
253771996	translation initiation factor IF-2 	cytoplasmic		68	188		0,07	0,18		6	9		7,2	11
253774573	ATP-dependent Clp protease, ATP-binding subunit ClpX 	cytoplasmic	136		117	0,15		0,15	3		3	8,3		8,3
253774289	Tol-Pal system beta propeller repeat protein TolB 	periplasmic		249			0,74			11			25,3	
253774911	SNF2-related protein 	cytoplasmic	87		156	0,12		0,19	8		10	8,9		11,9
253773872	membrane lipoprotein lipid attachment site 	unknown		243			0,74			3			19,7	
253775386	ribosomal protein L10 	cytoplasmic			242			1,01			5			31,5
253775339	ABC transporter related 	cytoplasmic membrane	120	72	47	0,26	0,17	0,17	4	7	5	12,1	17,8	12,4
253774355	tRNA-i(6)A37 thiotransferase enzyme MiaB 	cytoplasmic	92	44	103	0,19	0,06	0,19	5	1	5	10,5	2,3	10,3
253772017	LppC family lipoprotein 	cytoplasmic membrane		238			0,42			11			17,1	
253774913	heat shock protein DnaJ domain protein 	cytoplasmic membrane	86	75	76				1	1	1	4,4	4,4	4,4
253773233	L-serine dehydratase 1 	cytoplasmic	82	83	68	0,21	0,14	0,21	7	2	3	16,3	4,8	8,1
253773792	outer membrane lipoprotein LolB 	periplasmic		231			2,29			11			42,5	
253772512	ATP-dependent chaperone ClpB 	cytoplasmic	89	64	77	0,14	0,07	0,11	5	4	7	6,8	4,7	8,2
253772002	DEAD/DEAH box helicase domain protein 	cytoplasmic	71		159	0,10		0,26	5		6	8,7		10,3
253774818	glutamate-1-semialdehyde-2,1-aminomutase 	cytoplasmic	160		69	0,23		0,32	5		5	15		15
253771940	ribosomal protein L13 	cytoplasmic	56		172	0,47		0,78	3		3	25,4		21,1
253772496	signal recognition particle protein 	unknown	77		150	0,14		0,21	5		7	13		16,1
253773987	polysaccharide export protein 	outer membrane	71	104	52	0,11	0,30	0,05	2	6	1	3,8	9,7	2,2
253775117	Leucyl aminopeptidase 	cytoplasmic	121		105	0,33		0,26	7		5	10,7		8,5
253772112	rfaE bifunctional protein 	cytoplasmic	76	47	99	0,13	0,13	0,13	7	3	3	16,1	6,7	8,4
253775632	ATP synthase F1, gamma subunit 	cytoplasmic membrane	87	66	65	0,22	0,11	0,11	4	6	3	14,3	16,4	15,3
253774604	nucleoside-specific channel-forming protein Tsx 	outer membrane	83	135		0,10	0,33		2	3		6,1	6,5	
253775242	lysyl-tRNA synthetase 	cytoplasmic	81	49	86	0,06	0,12	0,12	2	9	2	4,6	13,7	4,6
253773798	GTP-binding protein YchF 	cytoplasmic	44	51	119	0,08	0,08	0,27	1	2	4	3,6	5,8	13,8
253774020	Mammalian cell entry related domain protein 	unknown		137	76		0,24	0,11		7	2		12,6	4,6
253773241	outer membrane lipoprotein, Slp family 	outer membrane		208			1,10			5			38,3	
253771639	cellulose synthase operon C domain protein 	unknown		135	73		0,22	0,03		14	1		12,4	1
253772446	recA protein 	cytoplasmic	129		73	0,52		0,28	7		5	22,1		12,5
253772099	ribosomal protein S21 	cytoplasmic		98	103		0,99	2,95		3	5		40,8	43,7
253771755	4-alpha-glucanotransferase 	cytoplasmic	111		84	0,18		0,23	5		7	8,5		11,4
253772370	enolase 	cytoplasmic	92	98		0,15	0,24		4	3		10	7,2	
253775229	chaperonin GroEL 	cytoplasmic		190			0,74			16			26,3	
253775223	Entericidin EcnAB 	cytoplasmic membrane		190			0,75			1			39,6	
253772590	transcriptional regulator, XRE family 	unknown	50	73	66	0,09	0,42	0,19	1	5	3	5,3	22,8	11,3
253775630	ATP synthase F1, delta subunit 	cytoplasmic	54	76	58	0,17	0,17	0,17	2	1	2	13	6,2	13
253772000	Polyribonucleotide nucleotidyltransferase 	cytoplasmic		137	51		0,28	0,04		9	3		13,1	4,1
253774105	putative lipoprotein 	unknown		126	56		1,24	0,18		5	1		31,6	6,4
253775196	VacB and RNase II family 3'-5' exoribonuclease 	cytoplasmic			182			0,15			5			5,8
253772939	D-lactate dehydrogenase 	cytoplasmic membrane		181			0,34			8			13,5	
253775195	RNA methyltransferase, TrmH family, group 3 	cytoplasmic	71		107	0,26		0,26	2		3	10,7		14
253773211	Mammalian cell entry related domain protein 	unknown		83	95		0,15	0,07		6	2		7,2	2,6
253774348	PTS system, N-acetylglucosamine-specific IIBC subunit 	cytoplasmic membrane		177			0,21			4			6,5	
253773420	adenosine deaminase 	cytoplasmic		54	123		0,09	0,19		1	5		3,3	10,8
253772524	DEAD/DEAH box helicase domain protein 	cytoplasmic	132		44	0,38		0,14	6		6	14,9		12,2
253775173	ribosomal protein S18 	cytoplasmic	78		97	0,93		1,68	3		5	37,3		50,7
253771882	ribosomal protein L17 	cytoplasmic		63	111		0,53	1,33		4	4		21,3	21,3
253771999	ribosomal protein S15 	cytoplasmic	52	63	57		0,34	0,79	2	3	6	15,7	22,5	34,8
253771785	Sporulation domain protein 	unknown		107	64		0,32	0,15		5	3		10,5	7
253772631	NlpBDapX family lipoprotein 	outer membrane		94	77		0,54	0,29		7	4		23,3	14,5
253773461	protein of unknown function DUF1283 	unknown		75	93		0,26	0,26		1	1		10,6	10,6
253773404	tyrosyl-tRNA synthetase 	cytoplasmic		69	99		0,14	0,14		2	3		5,4	8
253772234	Phosphoglycerate kinase 	cytoplasmic		167			0,71			7			22,7	
253775370	histone family protein DNA-binding protein 	cytoplasmic		101	64		0,36	0,36		1	3		14,4	33,3
253771753	transcriptional regulator, TetR family 	cytoplasmic		97	68		0,49	0,30		3	2		17,4	12,6
253771973	Mammalian cell entry related domain protein 	unknown		96	69		0,37	0,17		2	1		10,9	6,6
253775574	Uroporphyrinogen-III C-methyltransferase 	cytoplasmic membrane		164			0,45			6			16,8	
253774159	Beta-lactamase 	cytoplasmic membrane		162			0,67			10			26,8	
253772294	Peptidase M23 	outer membrane		82	80		0,42	0,12		6	3		23,5	13,5
253772791	NADH-quinone oxidoreductase, B subunit 	cytoplasmic membrane		118	43		0,64			5	2		17,7	6,4
253775657	tryptophanase 	cytoplasmic		93	65		0,20	0,06		9	1		15,3	2,1
253774731	glutamate 5-kinase 	cytoplasmic	52		105	0,08		0,18	2		3	4,4		10,1
253771439	DNA gyrase, B subunit 	cytoplasmic	71		85	0,11		0,20	8		6	10,7		8,6
253774811	protease Do 	periplasmic	46	108		0,07	0,14		1	3		2,5	7	
253773329	ribosomal protein L20 	cytoplasmic		55	98		0,57	0,57		2	2		14,5	14,5
253772402	Peptidase M23 	outer membrane		152			0,49			7			22,2	
253772595	small GTP-binding protein 	cytoplasmic	81		70	0,50		0,19	8		7	16,7		14,5
253773307	SmpA/OmlA domain protein 	unknown		150			1,69			4			37,5	
253772220	S-adenosylmethionine synthetase 	cytoplasmic	102	47		0,46	0,16		5	3		14,6	7,6	
253774793	beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabZ 	cytoplasmic	69		80	0,72		0,43	3		2	17,2		12,6
253775091	TonB-dependent siderophore receptor 	outer membrane		94	55		0,12	0,04		10	2		12,7	2,6
253773441	NAD(P) transhydrogenase, alpha subunit 	cytoplasmic membrane		61	88		0,12	0,12		4	3		7,5	6,5
253774879	UDP-N-acetylmuramate/alanine ligase 	cytoplasmic		45	104		0,06	0,20		2	3		3,7	6,7
253772730	VacJ family lipoprotein 	outer membrane	64	84		0,12	0,40		2	4		8	15,5	
253775468	formate dehydrogenase, alpha subunit 	periplasmic	49		97	0,03		0,12	2		4	1,8		4,6
253775420	aspartate kinase 	cytoplasmic membrane	53		92	0,07		0,15	2		5	2,7		5,7
253771832	ribosomal protein S12 	cytoplasmic			143			0,55			5			32,3
253774845	ABC transporter related 	cytoplasmic membrane	46		96	0,20		0,44	2		5	3,6		13,3
253771546	Rhodanese domain protein 	unknown		141			0,48			2			17,5	
253775330	Diacylglycerol kinase 	cytoplasmic membrane		74	62		0,26	0,26		1	1		9	9
253772369	CTP synthase 	cytoplasmic		69	67		0,17	0,05		6	2		10,6	3,9
253774060	ribosomal protein S1 	cytoplasmic		74	60		0,11	0,05		10	4		15,4	6,5
253774448	efflux transporter, RND family, MFP subunit 	unknown		59	75		0,07	0,07		1	1		2,9	2,9
253773884	3-oxoacyl-(acyl-carrier-protein) reductase 	cytoplasmic	51		82	0,13		0,45	2		3	7,4		10,7
253775594	thioredoxin 	cytoplasmic		80	52		0,29	0,29		1	1		11	11
253772328	amino-acid N-acetyltransferase 	cytoplasmic	53		77	0,07		0,14	2		3	5,6		7,2
253774775	lipoprotein, YaeC family 	cytoplasmic membrane		130			0,24			2			10,3	
253774292	protein TolQ 	cytoplasmic membrane		65	64		0,13	0,28		1	2		6,5	11,3
253774545	MscS Mechanosensitive ion channel 	cytoplasmic membrane		53	70		0,03	0,08		3	5		2,7	4,5
253771876	preprotein translocase, SecY subunit 	cytoplasmic membrane		54	68		0,09	0,09		1	1		3,4	3,4
253773430	protein of unknown function DUF945 	cytoplasmic membrane		121			0,19			4			8,6	
253772490	SmpA/OmlA domain protein 	outer membrane		80	41		0,28	0,28		1	1		17,7	17,7
253774305	succinate dehydrogenase and fumarate reductase iron-sulfur protein 	cytoplasmic membrane		65	55		0,12	0,12		4	1		18,1	4,2
253771869	ribosomal protein S14 	cytoplasmic	50		69	0,68		0,68	4		4	41,6		41,6
253771451	heat shock protein Hsp20 	cytoplasmic		58	61		0,22	0,22		2	1		13,9	7,3
253772802	proton-translocating NADH-quinone oxidoreductase, chain N 	cytoplasmic membrane		52	67		0,06	0,06		2	1		3,5	2,3
253775405	Phosphoenolpyruvate carboxylase 	cytoplasmic			118			0,18			5			5,5
253771866	ribosomal protein L14 	cytoplasmic		47	70		0,25	0,56		3	4		20,3	20,3
253774290	protein TolA 	cytoplasmic			117			0,16			2			5,5
253771552	FMN-dependent alpha-hydroxy acid dehydrogenase 	cytoplasmic		116			0,35			3			8,8	
253771699	hypothetical protein ECBD_0269 	periplasmic		116			0,87			4			30,8	
253773440	protein of unknown function DUF1471 	unknown	71		43	0,10		0,10	2		1	8		3,5
253772607	Polyphosphate kinase 	cytoplasmic membrane	70		42	0,22		0,13	6		5	9,6		7
253772097	RNA polymerase, sigma 70 subunit, RpoD 	cytoplasmic		56	56		0,10	0,05		4	2		6,9	3,9
253774935	carbamoyl-phosphate synthase, small subunit 	cytoplasmic	48	61		0,08	0,08		1	2		3,9	6	
253775200	HflC protein 	cytoplasmic	65	43		0,18	0,09		3	3		8,4	7,8	
253772834	glycerol-3-phosphate dehydrogenase, anaerobic, C subunit 	cytoplasmic membrane	59		49	0,15		0,07	3		2	7,6		6,1
253775257	sulfatase 	cytoplasmic membrane		108			0,29			8			9,3	
253773227	PTS system, mannose/fructose/sorbose family, IID subunit 	cytoplasmic membrane		108			0,65			4			16,8	
253775202	GTP-binding proten HflX 	cytoplasmic		56	52		0,07	0,14		1	3		2,6	7,5
253772843	ribonucleoside-diphosphate reductase, alpha subunit 	cytoplasmic		48	59		0,08	0,08		6	3		6,7	4,1
253775221	Lipocalin family protein 	outer membrane		105			0,59			3			17,5	
253772497	ribosomal protein S16 	cytoplasmic	49	54		0,38	0,38		2	3		19,5	36,6	
253775595	DEAD/DEAH box helicase domain protein 	cytoplasmic		58	45		0,14	0,07		3	3		6,7	5,9
253775135	alpha,alpha-phosphotrehalase 	cytoplasmic		102			0,11			6			9,8	
253774848	membrane-bound PQQ-dependent dehydrogenase, glucose/quinate/shikimate family 	cytoplasmic membrane		102			0,16			8			9,4	
253775553	Phospholipase A(2) 	outer membrane		101			0,33			3			12,8	
253774575	trigger factor 	cytoplasmic		101			0,39			9			17,8	
253775203	RNA chaperone Hfq 	cytoplasmic			101			0,36			1			14,9
253775331	Glycerol-3-phosphate O-acyltransferase 	cytoplasmic membrane	100			0,19			9			10,5		
