Protein name	Protein accession numbers	Protein molecular weight (Da)	Protein identification probability	Number of unique peptides	Number of unique spectra	Number of total spectra	Percentage of total spectra	Percentage sequence coverage
C6EFS8_ECOBD Phage shock protein A, PspA OS=Escherichia coli (strain B / BL21-DE3) GN=pspA PE=4 SV=1	C6EFS8_ECOBD	25,475.9	100.0%	24	31	79	2.97%	82.4%
C6EFT4_ECOBD Gamma-Glu-GABA hydrolase OS=Escherichia coli (strain B / BL21-DE3) GN=ycjL PE=4 SV=1	C6EFT4_ECOBD	28,023.1	58.9%	1	1	1	0.0436%	7.48%
C6EFT8_ECOBD Extracellular solute-binding protein family 5 OS=Escherichia coli (strain B / BL21-DE3) GN=sapA PE=4 SV=1	C6EFT8_ECOBD	61,548.3	100.0%	2	2	2	0.134%	3.66%
C6EFT9_ECOBD Binding-protein-dependent transport systems inner membrane component OS=Escherichia coli (strain B / BL21-DE3) GN=sapB PE=3 SV=1	C6EFT9_ECOBD	36,021.9	50.0%	1	1	1	0.0493%	4.05%
C6EFU0_ECOBD Binding-protein-dependent transport systems inner membrane component OS=Escherichia coli (strain B / BL21-DE3) GN=sapC PE=3 SV=1	C6EFU0_ECOBD	31,531.5	100.0%	2	2	2	0.121%	9.80%
C6EFU1_ECOBD Oligopeptide/dipeptide ABC transporter, ATPase subunit OS=Escherichia coli (strain B / BL21-DE3) GN=sapD PE=4 SV=1	C6EFU1_ECOBD	37,643.8	54.3%	1	1	1	0.0469%	5.76%
C6EFU2_ECOBD ABC transporter related OS=Escherichia coli (strain B / BL21-DE3) GN=sapF PE=4 SV=1	C6EFU2_ECOBD	30,553.9	100.0%	2	2	3	0.148%	8.21%
C6EFU4_ECOBD Enoyl-(Acyl carrier protein) reductase OS=Escherichia coli (strain B / BL21-DE3) GN=fabI PE=4 SV=1	C6EFU4_ECOBD	27,846.5	100.0%	2	2	2	0.0985%	11.1%
C6EFV4_ECOBD Putative uncharacterized protein yciM OS=Escherichia coli (strain B / BL21-DE3) GN=yciM PE=4 SV=1	C6EFV4_ECOBD	44,514.1	100.0%	5	6	7	0.278%	17.2%
C6EFV5_ECOBD Conserved inner membrane protein OS=Escherichia coli (strain B / BL21-DE3) GN=yciS PE=4 SV=1	C6EFV5_ECOBD	11,333.9	100.0%	3	4	4	0.262%	24.5%
C6EFV6_ECOBD Phosphatidylglycerophosphatase OS=Escherichia coli (strain B / BL21-DE3) GN=pgpB PE=4 SV=1	C6EFV6_ECOBD	29,003.6	61.0%	1	1	1	0.0351%	4.72%
C6EFW2_ECOBD DNA-binding transcriptional dual regulator, O-acetyl-L-serine-binding OS=Escherichia coli (strain B / BL21-DE3) GN=cysB PE=4 SV=1	C6EFW2_ECOBD	36,132.9	99.8%	2	2	2	0.103%	7.10%
C6EFW5_ECOBD Peptidase S49 domain protein OS=Escherichia coli (strain B / BL21-DE3) GN=sohB PE=4 SV=1	C6EFW5_ECOBD	39,348.7	100.0%	8	10	15	0.772%	32.7%
C6EFY1_ECOBD UPF0259 membrane protein yciC OS=Escherichia coli (strain B / BL21-DE3) GN=yciC PE=3 SV=1	C6EFY1_ECOBD	26,416.5	63.6%	1	1	1	0.0606%	3.64%
C6EFY7_ECOBD Cardiolipin synthase OS=Escherichia coli (strain B / BL21-DE3) GN=cls PE=3 SV=1	C6EFY7_ECOBD	54,806.8	100.0%	10	10	17	0.675%	25.1%
C6EFY9_ECOBD Oligopeptide transporter subunit OS=Escherichia coli (strain B / BL21-DE3) GN=oppF PE=4 SV=1	C6EFY9_ECOBD	37,164.1	50.0%	1	1	1	0.0498%	5.09%
C6EFZ1_ECOBD Binding-protein-dependent transport systems inner membrane component OS=Escherichia coli (strain B / BL21-DE3) GN=oppC PE=3 SV=1	C6EFZ1_ECOBD	33,004.9	99.8%	2	2	2	0.0752%	5.96%
C6EFZ7_ECOBD Magnesium and cobalt transport protein CorA OS=Escherichia coli (strain B / BL21-DE3) GN=corA PE=4 SV=1	C6EFZ7_ECOBD	36,573.4	100.0%	7	8	9	0.423%	19.6%
C6EG00_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_4227 PE=4 SV=1	C6EG00_ECOBD	32,718.7	76.8%	1	1	1	0.0674%	6.00%
C6EG02_ECOBD HAD-superfamily hydrolase, subfamily IA, variant 1 OS=Escherichia coli (strain B / BL21-DE3) GN=yigB PE=4 SV=1	C6EG02_ECOBD	27,104.9	50.0%	1	1	1	0.0297%	3.78%
C6EG04_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=yigA PE=4 SV=1	C6EG04_ECOBD	26,711.3	99.8%	1	1	1	0.0666%	4.26%
C6EG06_ECOBD Predicted lipoprotein OS=Escherichia coli (strain B / BL21-DE3) GN=yifL PE=4 SV=1	C6EG06_ECOBD	7,159.3	99.8%	2	2	3	0.155%	50.7%
C6EG12_ECOBD Predicted uroporphyrinogen III methylase OS=Escherichia coli (strain B / BL21-DE3) GN=hemX PE=4 SV=1	C6EG12_ECOBD	43,603.3	100.0%	51	70	100	3.68%	92.3%
C6EG13_ECOBD HemY protein OS=Escherichia coli (strain B / BL21-DE3) GN=hemY PE=4 SV=1	C6EG13_ECOBD	45,228.0	100.0%	36	44	73	2.90%	60.6%
C6EG16_ECOBD Amino acid permease-associated region OS=Escherichia coli (strain B / BL21-DE3) GN=yifK PE=4 SV=1	C6EG16_ECOBD	50,396.7	100.0%	3	3	3	0.141%	5.64%
C6EG17_ECOBD Glycosyl transferase, WecB/TagA/CpsF family OS=Escherichia coli (strain B / BL21-DE3) GN=wecG PE=3 SV=1	C6EG17_ECOBD	27,931.6	100.0%	11	12	22	0.827%	48.8%
C6EG27_ECOBD Entobacterial Common Antigen (ECA) polysaccharide chain length modulation protein OS=Escherichia coli (strain B / BL21-DE3) GN=wzzE PE=4 SV=1	C6EG27_ECOBD	39,472.5	100.0%	18	22	29	1.36%	52.0%
C6EG28_ECOBD UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-phosphate transferase OS=Escherichia coli (strain B / BL21-DE3) GN=rfe PE=4 SV=1	C6EG28_ECOBD	40,941.8	100.0%	2	2	2	0.150%	4.90%
C6EG30_ECOBD Transcription termination factor Rho OS=Escherichia coli (strain B / BL21-DE3) GN=rho PE=4 SV=1	C6EG30_ECOBD	47,004.3	100.0%	12	13	15	0.552%	32.9%
C6EG32_ECOBD Thioredoxin OS=Escherichia coli (strain B / BL21-DE3) GN=trxA PE=4 SV=1	C6EG32_ECOBD	11,789.4	71.3%	1	1	1	0.0907%	11.0%
C6EG33_ECOBD ATP-dependent RNA helicase OS=Escherichia coli (strain B / BL21-DE3) GN=rhlB PE=3 SV=1	C6EG33_ECOBD	47,109.6	100.0%	18	19	23	0.752%	51.5%
C6EG41_ECOBD Branched-chain amino acid aminotransferase OS=Escherichia coli (strain B / BL21-DE3) GN=ilvE PE=3 SV=1	C6EG41_ECOBD	34,061.8	99.8%	2	2	2	0.0985%	8.74%
C6EG45_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=yifE PE=4 SV=1	C6EG45_ECOBD	13,115.7	54.3%	1	1	1	0.0515%	8.04%
C6EG46_ECOBD HTH-type transcriptional regulator hdfR OS=Escherichia coli (strain B / BL21-DE3) GN=hdfR PE=3 SV=1	C6EG46_ECOBD	31,729.3	99.8%	2	2	2	0.150%	10.0%
C6EG51_ECOBD D-ribose transporter subunit OS=Escherichia coli (strain B / BL21-DE3) GN=rbsB PE=4 SV=1	C6EG51_ECOBD	30,920.4	99.8%	2	2	2	0.0702%	10.5%
C6EG65_ECOBD ATP synthase subunit a OS=Escherichia coli (strain B / BL21-DE3) GN=atpB PE=3 SV=1	C6EG65_ECOBD	30,286.9	66.1%	1	1	2	0.0799%	8.49%
C6EG67_ECOBD ATP synthase subunit b OS=Escherichia coli (strain B / BL21-DE3) GN=atpF PE=3 SV=1	C6EG67_ECOBD	17,246.5	100.0%	40	62	151	6.70%	77.6%
C6EG68_ECOBD ATP synthase subunit delta OS=Escherichia coli (strain B / BL21-DE3) GN=atpH PE=3 SV=1	C6EG68_ECOBD	19,314.3	100.0%	4	4	5	0.303%	31.6%
C6EG69_ECOBD ATP synthase subunit alpha OS=Escherichia coli (strain B / BL21-DE3) GN=atpA PE=3 SV=1	C6EG69_ECOBD	55,205.2	100.0%	37	44	59	1.93%	63.9%
C6EG70_ECOBD ATP synthase gamma chain OS=Escherichia coli (strain B / BL21-DE3) GN=atpG PE=3 SV=1	C6EG70_ECOBD	31,559.9	100.0%	10	11	12	0.591%	28.9%
C6EG71_ECOBD ATP synthase subunit beta OS=Escherichia coli (strain B / BL21-DE3) GN=atpD PE=3 SV=1	C6EG71_ECOBD	50,307.5	100.0%	18	19	25	0.920%	57.4%
C6EG73_ECOBD Bifunctional protein glmU OS=Escherichia coli (strain B / BL21-DE3) GN=glmU PE=3 SV=1	C6EG73_ECOBD	49,172.5	50.0%	1	1	1	0.0368%	2.63%
C6EG74_ECOBD D-fructose-6-phosphate amidotransferase OS=Escherichia coli (strain B / BL21-DE3) GN=glmS PE=3 SV=1	C6EG74_ECOBD	66,877.7	50.0%	1	1	1	0.0353%	1.81%
C6EG75_ECOBD Phosphate ABC transporter, periplasmic phosphate-binding protein OS=Escherichia coli (strain B / BL21-DE3) GN=pstS PE=4 SV=1	C6EG75_ECOBD	37,006.7	100.0%	2	2	2	0.103%	11.6%
C6EG76_ECOBD Phosphate ABC transporter, inner membrane subunit PstC OS=Escherichia coli (strain B / BL21-DE3) GN=pstC PE=3 SV=1	C6EG76_ECOBD	34,105.4	74.6%	1	1	1	0.0666%	3.45%
C6EG77_ECOBD Phosphate ABC transporter, inner membrane subunit PstA OS=Escherichia coli (strain B / BL21-DE3) GN=pstA PE=3 SV=1	C6EG77_ECOBD	32,270.5	73.2%	1	1	1	0.0405%	5.07%
C6EG78_ECOBD Phosphate ABC transporter, ATPase subunit OS=Escherichia coli (strain B / BL21-DE3) GN=pstB PE=3 SV=1	C6EG78_ECOBD	29,010.6	100.0%	11	13	16	0.788%	36.6%
C6EG89_ECOBD Predicted inner membrane protein OS=Escherichia coli (strain B / BL21-DE3) GN=yieG PE=4 SV=1	C6EG89_ECOBD	46,809.6	99.8%	2	3	4	0.206%	7.42%
C6EG95_ECOBD Tryptophanase OS=Escherichia coli (strain B / BL21-DE3) GN=tnaA PE=3 SV=1	C6EG95_ECOBD	52,756.8	80.7%	1	1	1	0.132%	1.91%
C6EG98_ECOBD Inner membrane protein oxaA OS=Escherichia coli (strain B / BL21-DE3) GN=yidC PE=3 SV=1	C6EG98_ECOBD	61,542.0	100.0%	25	36	110	3.59%	48.4%
C6EGA5_ECOBD Integral membrane protein, YccS/YhfK family OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_0390 PE=4 SV=1	C6EGA5_ECOBD	79,488.2	100.0%	7	8	8	0.282%	12.6%
C6EGA6_ECOBD DNA-binding transcriptional dual regulator OS=Escherichia coli (strain B / BL21-DE3) GN=crp PE=4 SV=1	C6EGA6_ECOBD	23,622.9	100.0%	2	2	2	0.0752%	11.0%
C6EGB1_ECOBD ABC transporter related OS=Escherichia coli (strain B / BL21-DE3) GN=yheS PE=4 SV=1	C6EGB1_ECOBD	71,828.1	100.0%	1	1	1	0.0724%	0.942%
C6EGB2_ECOBD NAD(P)H dehydrogenase (Quinone) OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_0397 PE=4 SV=1	C6EGB2_ECOBD	20,809.3	100.0%	3	3	3	0.217%	20.8%
C6EGB3_ECOBD Glutathione-regulated potassium-efflux system protein kefB OS=Escherichia coli (strain B / BL21-DE3) GN=kefB PE=3 SV=1	C6EGB3_ECOBD	66,409.2	100.0%	3	3	3	0.201%	5.49%
C6EGB5_ECOBD Peptidyl-prolyl cis-trans isomerase OS=Escherichia coli (strain B / BL21-DE3) GN=slyD PE=3 SV=1	C6EGB5_ECOBD	20,833.0	100.0%	3	3	3	0.106%	30.1%
C6EGB7_ECOBD Peptidyl-prolyl cis-trans isomerase OS=Escherichia coli (strain B / BL21-DE3) GN=fkpA PE=3 SV=1	C6EGB7_ECOBD	28,895.1	100.0%	7	8	10	0.493%	31.5%
C6EGC2_ECOBD 30S ribosomal protein S12 OS=Escherichia coli (strain B / BL21-DE3) GN=rpsL PE=3 SV=1	C6EGC2_ECOBD	13,718.7	100.0%	6	6	6	0.309%	26.6%
C6EGC3_ECOBD 30S ribosomal protein S7 OS=Escherichia coli (strain B / BL21-DE3) GN=rpsG PE=3 SV=1	C6EGC3_ECOBD	17,586.5	100.0%	7	9	11	0.721%	59.0%
C6EGC4_ECOBD Elongation factor G OS=Escherichia coli (strain B / BL21-DE3) GN=fusA PE=3 SV=1	C6EGC4_ECOBD	77,564.0	100.0%	9	9	10	0.433%	17.9%
C6EGE5_ECOBD 30S ribosomal protein S10 OS=Escherichia coli (strain B / BL21-DE3) GN=rpsJ PE=3 SV=1	C6EGE5_ECOBD	11,717.8	100.0%	3	3	3	0.272%	24.3%
C6EGE6_ECOBD 50S ribosomal protein L3 OS=Escherichia coli (strain B / BL21-DE3) GN=rplC PE=3 SV=1	C6EGE6_ECOBD	22,224.8	100.0%	10	12	13	0.489%	53.6%
C6EGE7_ECOBD 50S ribosomal protein L4 OS=Escherichia coli (strain B / BL21-DE3) GN=rplD PE=3 SV=1	C6EGE7_ECOBD	22,068.6	100.0%	1	1	1	0.0606%	6.47%
C6EGE8_ECOBD 50S ribosomal protein L23 OS=Escherichia coli (strain B / BL21-DE3) GN=rplW PE=3 SV=1	C6EGE8_ECOBD	11,180.9	100.0%	1	1	1	0.0566%	12.0%
C6EGE9_ECOBD 50S ribosomal protein L2 OS=Escherichia coli (strain B / BL21-DE3) GN=rplB PE=3 SV=1	C6EGE9_ECOBD	29,842.3	100.0%	8	10	12	0.411%	33.7%
C6EGF1_ECOBD 50S ribosomal protein L22 OS=Escherichia coli (strain B / BL21-DE3) GN=rplV PE=3 SV=1	C6EGF1_ECOBD	12,208.6	100.0%	11	12	13	0.736%	64.5%
C6EGF2_ECOBD 30S ribosomal protein S3 OS=Escherichia coli (strain B / BL21-DE3) GN=rpsC PE=3 SV=1	C6EGF2_ECOBD	25,965.5	100.0%	27	30	38	1.33%	74.7%
C6EGF3_ECOBD 50S ribosomal protein L16 OS=Escherichia coli (strain B / BL21-DE3) GN=rplP PE=3 SV=1	C6EGF3_ECOBD	15,263.6	100.0%	7	7	7	0.361%	47.8%
C6EGF5_ECOBD 30S ribosomal protein S17 OS=Escherichia coli (strain B / BL21-DE3) GN=rpsQ PE=3 SV=1	C6EGF5_ECOBD	9,686.3	69.0%	1	1	1	0.0566%	9.52%
C6EGF6_ECOBD 50S ribosomal protein L14 OS=Escherichia coli (strain B / BL21-DE3) GN=rplN PE=3 SV=1	C6EGF6_ECOBD	13,523.2	100.0%	7	8	10	0.566%	48.0%
C6EGF7_ECOBD 50S ribosomal protein L24 OS=Escherichia coli (strain B / BL21-DE3) GN=rplX PE=3 SV=1	C6EGF7_ECOBD	11,298.3	100.0%	2	2	2	0.113%	10.6%
C6EGF8_ECOBD 50S ribosomal protein L5 OS=Escherichia coli (strain B / BL21-DE3) GN=rplE PE=3 SV=1	C6EGF8_ECOBD	20,284.6	100.0%	16	21	29	1.29%	72.6%
C6EGF9_ECOBD 30S ribosomal protein S14 OS=Escherichia coli (strain B / BL21-DE3) GN=rpsN PE=3 SV=1	C6EGF9_ECOBD	11,563.0	100.0%	3	4	4	0.226%	34.7%
C6EGG0_ECOBD 30S ribosomal protein S8 OS=Escherichia coli (strain B / BL21-DE3) GN=rpsH PE=3 SV=1	C6EGG0_ECOBD	14,108.9	100.0%	3	3	3	0.170%	25.4%
C6EGG1_ECOBD 50S ribosomal protein L6 OS=Escherichia coli (strain B / BL21-DE3) GN=rplF PE=3 SV=1	C6EGG1_ECOBD	18,885.5	100.0%	9	10	10	0.444%	53.7%
C6EGG2_ECOBD 50S ribosomal protein L18 OS=Escherichia coli (strain B / BL21-DE3) GN=rplR PE=3 SV=1	C6EGG2_ECOBD	12,751.7	100.0%	6	6	6	0.340%	45.3%
C6EGG3_ECOBD 30S ribosomal protein S5 OS=Escherichia coli (strain B / BL21-DE3) GN=rpsE PE=3 SV=1	C6EGG3_ECOBD	17,527.0	100.0%	14	16	19	0.731%	85.6%
C6EGG4_ECOBD 50S ribosomal protein L30 OS=Escherichia coli (strain B / BL21-DE3) GN=rpmD PE=3 SV=1	C6EGG4_ECOBD	6,524.0	100.0%	3	3	3	0.272%	52.5%
C6EGG5_ECOBD 50S ribosomal protein L15 OS=Escherichia coli (strain B / BL21-DE3) GN=rplO PE=3 SV=1	C6EGG5_ECOBD	14,948.9	100.0%	9	9	9	0.464%	50.0%
C6EGG6_ECOBD Preprotein translocase subunit secY OS=Escherichia coli (strain B / BL21-DE3) GN=prlA PE=3 SV=1	C6EGG6_ECOBD	48,496.0	100.0%	22	27	131	6.15%	31.2%
C6EGG8_ECOBD 30S ribosomal protein S13 OS=Escherichia coli (strain B / BL21-DE3) GN=rpsM PE=3 SV=1	C6EGG8_ECOBD	13,082.1	100.0%	1	1	1	0.0566%	11.0%
C6EGG9_ECOBD 30S ribosomal protein S11 OS=Escherichia coli (strain B / BL21-DE3) GN=rpsK PE=3 SV=1	C6EGG9_ECOBD	13,827.0	100.0%	3	3	3	0.170%	16.3%
C6EGH0_ECOBD 30S ribosomal protein S4 OS=Escherichia coli (strain B / BL21-DE3) GN=rpsD PE=3 SV=1	C6EGH0_ECOBD	23,451.7	100.0%	13	15	17	0.639%	46.1%
C6EGH1_ECOBD DNA-directed RNA polymerase subunit alpha OS=Escherichia coli (strain B / BL21-DE3) GN=rpoA PE=3 SV=1	C6EGH1_ECOBD	36,494.1	100.0%	4	4	4	0.159%	14.9%
C6EGH2_ECOBD 50S ribosomal protein L17 OS=Escherichia coli (strain B / BL21-DE3) GN=rplQ PE=3 SV=1	C6EGH2_ECOBD	14,347.2	100.0%	5	5	5	0.283%	22.0%
C6EGH6_ECOBD Large-conductance mechanosensitive channel OS=Escherichia coli (strain B / BL21-DE3) GN=mscL PE=3 SV=1	C6EGH6_ECOBD	14,939.5	100.0%	5	5	5	0.283%	41.9%
C6EGH8_ECOBD 16S rRNA m5C967 methyltransferase, S-adenosyl-L-methionine-dependent OS=Escherichia coli (strain B / BL21-DE3) GN=rrmB PE=3 SV=1	C6EGH8_ECOBD	48,330.3	99.8%	1	1	1	0.0629%	5.13%
C6EGK2_ECOBD Sodium/panthothenate symporter OS=Escherichia coli (strain B / BL21-DE3) GN=panF PE=3 SV=1	C6EGK2_ECOBD	51,701.5	54.3%	1	1	1	0.0469%	3.93%
C6EGK8_ECOBD Conserved inner membrane protein OS=Escherichia coli (strain B / BL21-DE3) GN=yhdA PE=4 SV=1	C6EGK8_ECOBD	73,322.9	100.0%	2	2	2	0.123%	2.79%
C6EGL0_ECOBD Cell shape determining protein, MreB/Mrl family OS=Escherichia coli (strain B / BL21-DE3) GN=mreB PE=4 SV=1	C6EGL0_ECOBD	36,934.4	100.0%	8	8	10	0.469%	32.0%
C6EGL1_ECOBD Cell wall structural complex MreBCD transmembrane component MreC OS=Escherichia coli (strain B / BL21-DE3) GN=mreC PE=4 SV=1	C6EGL1_ECOBD	39,512.5	100.0%	8	9	12	0.477%	31.9%
C6EGL5_ECOBD Conserved membrane protein, predicted transporter OS=Escherichia coli (strain B / BL21-DE3) GN=yhdP PE=4 SV=1	C6EGL5_ECOBD	138,837.2	100.0%	2	2	2	0.0685%	3.08%
C6EGL9_ECOBD p-hydroxybenzoic acid efflux pump subunit AaeA OS=Escherichia coli (strain B / BL21-DE3) GN=yhcQ PE=2 SV=1	C6EGL9_ECOBD	34,742.3	100.0%	2	2	2	0.0985%	9.03%
C6EGM3_ECOBD Binding-protein-dependent transport systems inner membrane component OS=Escherichia coli (strain B / BL21-DE3) GN=oppB PE=3 SV=1	C6EGM3_ECOBD	33,427.4	50.4%	1	1	2	0.0752%	4.25%
C6EGM4_ECOBD Extracellular solute-binding protein family 5 OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_2379 PE=4 SV=1	C6EGM4_ECOBD	62,638.7	100.0%	7	8	8	0.261%	14.9%
C6EGN0_ECOBD Global DNA-binding transcriptional dual regulator H-NS OS=Escherichia coli (strain B / BL21-DE3) GN=hns PE=4 SV=1	C6EGN0_ECOBD	15,522.0	99.8%	2	2	2	0.103%	23.4%
C6EGP2_ECOBD Histidine kinase OS=Escherichia coli (strain B / BL21-DE3) GN=narX PE=4 SV=1	C6EGP2_ECOBD	67,066.1	100.0%	5	5	5	0.176%	10.7%
C6EGP8_ECOBD Calcium/proton exchanger OS=Escherichia coli (strain B / BL21-DE3) GN=chaA PE=4 SV=1	C6EGP8_ECOBD	39,147.8	100.0%	4	4	6	0.210%	7.38%
C6EGQ6_ECOBD Glutamyl-tRNA reductase OS=Escherichia coli (strain B / BL21-DE3) GN=hemA PE=3 SV=1	C6EGQ6_ECOBD	46,303.6	50.0%	1	1	1	0.0368%	4.78%
C6EGQ7_ECOBD Outer-membrane lipoprotein lolB OS=Escherichia coli (strain B / BL21-DE3) GN=lolB PE=3 SV=1	C6EGQ7_ECOBD	23,533.6	100.0%	12	13	17	1.03%	63.3%
C6EGQ9_ECOBD Ribose-phosphate pyrophosphokinase OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_2414 PE=3 SV=1	C6EGQ9_ECOBD	36,631.4	100.0%	5	5	5	0.257%	21.7%
C6EGR0_ECOBD Sulfate transporter OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_2415 PE=3 SV=1	C6EGR0_ECOBD	58,369.3	100.0%	3	3	3	0.110%	9.82%
C6EGS4_ECOBD Lytic murein endotransglycosylase E OS=Escherichia coli (strain B / BL21-DE3) GN=mltE PE=4 SV=1	C6EGS4_ECOBD	22,209.4	99.8%	2	2	3	0.133%	20.2%
C6EGS6_ECOBD Potassium/proton antiporter OS=Escherichia coli (strain B / BL21-DE3) GN=ycgO PE=3 SV=1	C6EGS6_ECOBD	62,270.7	100.0%	5	5	7	0.258%	9.00%
C6EGS8_ECOBD D-amino acid dehydrogenase small subunit OS=Escherichia coli (strain B / BL21-DE3) GN=dadA PE=4 SV=1	C6EGS8_ECOBD	47,589.6	100.0%	14	15	18	0.662%	44.2%
C6EGT1_ECOBD Na(+)/H(+) antiporter nhaB OS=Escherichia coli (strain B / BL21-DE3) GN=nhaB PE=3 SV=1	C6EGT1_ECOBD	56,712.5	100.0%	2	2	2	0.0795%	3.51%
C6EGT2_ECOBD Disulfide bond formation protein B OS=Escherichia coli (strain B / BL21-DE3) GN=dsbB PE=3 SV=1	C6EGT2_ECOBD	20,124.8	50.0%	1	1	1	0.0655%	5.11%
C6EGU1_ECOBD Membrane ATPase of the MinC-MinD-MinE system OS=Escherichia coli (strain B / BL21-DE3) GN=minD PE=4 SV=1	C6EGU1_ECOBD	29,597.3	100.0%	4	4	4	0.197%	20.0%
C6EGU2_ECOBD Cell division topological specificity factor OS=Escherichia coli (strain B / BL21-DE3) GN=minE PE=3 SV=1	C6EGU2_ECOBD	10,217.4	69.0%	1	1	1	0.0566%	10.2%
C6EGV5_ECOBD Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain B / BL21-DE3) GN=icdA PE=3 SV=1	C6EGV5_ECOBD	45,753.1	100.0%	10	11	12	0.442%	33.2%
C6EGV9_ECOBD High frequency lysogenization protein hflD OS=Escherichia coli (strain B / BL21-DE3) GN=ycfC PE=3 SV=1	C6EGV9_ECOBD	22,930.1	100.0%	4	4	4	0.242%	23.5%
C6EGW1_ECOBD DNA-binding response regulator in two-component regulatory system with PhoQ OS=Escherichia coli (strain B / BL21-DE3) GN=phoP PE=4 SV=1	C6EGW1_ECOBD	25,517.7	61.0%	1	1	1	0.0351%	6.28%
C6EGW2_ECOBD Histidine kinase OS=Escherichia coli (strain B / BL21-DE3) GN=phoQ PE=3 SV=1	C6EGW2_ECOBD	55,298.8	100.0%	7	9	10	0.353%	17.5%
C6EGW5_ECOBD Putrescine/spermidine ABC transporter ATPase protein OS=Escherichia coli (strain B / BL21-DE3) GN=potA PE=3 SV=1	C6EGW5_ECOBD	43,024.4	100.0%	2	2	2	0.126%	5.82%
C6EGW8_ECOBD Extracellular solute-binding protein family 1 OS=Escherichia coli (strain B / BL21-DE3) GN=potD PE=4 SV=1	C6EGW8_ECOBD	38,850.9	100.0%	3	3	3	0.154%	12.9%
C6EGX4_ECOBD Lipoprotein releasing system, transmembrane protein LolE OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_2483 PE=4 SV=1	C6EGX4_ECOBD	45,096.1	100.0%	12	14	16	0.751%	26.0%
C6EGX5_ECOBD Lipoprotein releasing system, ATP-binding protein OS=Escherichia coli (strain B / BL21-DE3) GN=ycfV PE=3 SV=1	C6EGX5_ECOBD	25,435.1	100.0%	4	4	4	0.150%	21.9%
C6EGX6_ECOBD Lipoprotein releasing system, transmembrane protein, LolC/E family OS=Escherichia coli (strain B / BL21-DE3) GN=ycfU PE=4 SV=1	C6EGX6_ECOBD	43,246.7	100.0%	17	18	26	1.03%	59.1%
C6EGY3_ECOBD FAD-dependent pyridine nucleotide-disulphide oxidoreductase OS=Escherichia coli (strain B / BL21-DE3) GN=ndh PE=4 SV=1	C6EGY3_ECOBD	47,324.0	100.0%	23	27	33	1.21%	62.7%
C6EGY7_ECOBD Membrane lipoprotein lipid attachment site OS=Escherichia coli (strain B / BL21-DE3) GN=ycfM PE=4 SV=1	C6EGY7_ECOBD	22,497.2	100.0%	6	7	13	0.489%	39.9%
C6EGZ1_ECOBD Fused glucose-specific PTS enzymes: IIB component/IIC component OS=Escherichia coli (strain B / BL21-DE3) GN=ptsG PE=4 SV=1	C6EGZ1_ECOBD	50,660.4	100.0%	20	23	31	1.14%	26.0%
C6EGZ6_ECOBD Malate dehydrogenase OS=Escherichia coli (strain B / BL21-DE3) GN=mdh PE=3 SV=1	C6EGZ6_ECOBD	32,319.3	100.0%	8	8	8	0.394%	34.3%
C6EGZ7_ECOBD Periplasmic serine protease DegS OS=Escherichia coli (strain B / BL21-DE3) GN=degS PE=4 SV=1	C6EGZ7_ECOBD	37,594.1	100.0%	12	15	19	0.978%	40.0%
C6EGZ8_ECOBD Protease Do OS=Escherichia coli (strain B / BL21-DE3) GN=degQ PE=4 SV=1	C6EGZ8_ECOBD	47,189.1	100.0%	28	33	37	1.36%	64.6%
C6EGZ9_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=yhcB PE=4 SV=1	C6EGZ9_ECOBD	14,943.3	100.0%	15	20	47	2.66%	78.0%
C6EH01_ECOBD 50S ribosomal protein L13 OS=Escherichia coli (strain B / BL21-DE3) GN=rplM PE=3 SV=1	C6EH01_ECOBD	16,000.7	100.0%	2	2	2	0.145%	16.9%
C6EH02_ECOBD 30S ribosomal protein S9 OS=Escherichia coli (strain B / BL21-DE3) GN=rpsI PE=3 SV=1	C6EH02_ECOBD	14,838.6	100.0%	4	4	4	0.206%	30.8%
C6EH03_ECOBD Glutathione S-transferase domain protein OS=Escherichia coli (strain B / BL21-DE3) GN=sspA PE=4 SV=1	C6EH03_ECOBD	24,287.8	73.2%	1	1	1	0.0405%	6.60%
C6EH04_ECOBD ClpXP protease specificity-enhancing factor OS=Escherichia coli (strain B / BL21-DE3) GN=sspB PE=4 SV=1	C6EH04_ECOBD	18,244.4	100.0%	2	2	2	0.133%	13.3%
C6EH19_ECOBD Monofunctional biosynthetic peptidoglycan transglycosylase OS=Escherichia coli (strain B / BL21-DE3) GN=mtgA PE=3 SV=1	C6EH19_ECOBD	27,323.7	100.0%	3	3	4	0.242%	11.6%
