EG	GN	SP	GI	JW	ASAP	EB	Len	Description	MW
EG13740	paaF	P76082	g1787659	JW1388	4659	EB3503	255	"Phenylacetic acid degradation; mutants are unable to use phenylacetate as a carbon source"	27237,37
EG13741	paaG	P77467	g1787660	JW1389	4661	EB3504	262	"Phenylacetic acid degradation; mutants are unable to use phenylacetate as a carbon source"	28404,61
EG13742	paaH	P76083	g1787661	JW1390	4663	EB3505	475	"Phenylacetic acid degradation; mutants are unable to use phenylacetate as a carbon source"	51732,62
EG13743	paaI	P76084	g1787662	JW1391	4666	EB3506	140	"Thioesterase in phenylacetic acid degradation operon; functional role unknown; most active with ring-hydroxylated phenylacetyl-coenzyme A thioesters"	14850,76
EG13744	paaJ	P77525	g1787663	JW1392	4668	EB3507	401	"Phenylacetic acid degradation; mutants are unable to use phenylacetate as a carbon source"	42276,54
EG13745	paaK	P76085	g1787664	JW5218	4671	EB3508	437	Phenylacetic acid degradation	48952,86
EG13746	paaX	P76086	g1787666	JW1394	4674	EB3509	316	Phenylacetic acid degradation	35294,73
EG13747	paaY	P77181	g1787667	JW1395	4676	EB3510	196	Phenylacetic acid degradation, possible acetyltransferase	21324,57
EG13748	ynbA	P76090	g87081901	JW1405	4704	EB3511	201	"Phosphatidylglycerophosphate synthase homolog, function unknown; predicted inner membrane protein"	22524,09
EG13749	ynbB	P76091	g1787677	JW1406	4706	EB3512	298	"CDP-diglyceride synthase homolog, function unknown; predicted inner membrane protein"	33053,88
EG13750	ynbC	P76092	g1787678	JW1407	4708	EB3513	585	Putative lysophospholipase (N) and SAM methyltransferase (C)	65455,65
EG13751	ynbD	P76093	g1787679	JW1408	4710	EB3514	430	"Putative phospholipid or protein phosphatase; predicted inner membrane protein"	49562,63
EG13752	ydcI	P77171	g87081904	JW5226	4746	EB3515	307	Function unknown	33401,51
EG13753	ydcJ	P76097	g1787692	JW1419	4750	EB3516	447	Function unknown	51042,64
EG13754	ydcK	P76100	g1787698	JW1424	4765	EB3517	326	Function unknown	35849,27
EG13755	ydcL	P64451	g1787701	JW1427	4775	EB3518	222	Novel verified lipoprotein, function unknown	24426,97
EG13756	ydcM	P76102	g1787702	JW5228	4778	EB3519	402	Function unknown	45740,53
EG13757	ydcN	P77626	g1787704	JW1430	4783	EB3520	178	Function unknown	19731,3
EG13758	ydcO	P76103	g87081909	JW5229	4780	EB3521	391	Function unknown	40583,37
EG13759	ydcP	P76104	g87081910	JW1431	4786	EB3522	653	Function unknown, U32 peptidase family	72701,82
EG13760	ydcQ	P67697	g1787709	JW1433	4796	EB3523	138	"Antitoxin for the YncN(HicA) mRNA interferase toxin;  mutational suppressor of null rpoE lethality"	15246,63
EG13761	ydcR	P77730	g1787710	JW1434	4800	EB3524	468	"Putative HTH transcriptional regulator with aminotransferase domain; MocR family"	52792,83
EG13762	ydcS	P76108	g1787711	JW1435	4803	EB3525	381	"Polyhydroxybutyrate (PHB) synthase; putative ABC transporter periplasmic binding protein; upregulated during glucose-limitation"	42295,19
EG13763	ydcT	P77795	g1787712	JW1436	4805	EB3526	337	"Putative ABC transporter ATP-binding protein; function unknown"	37040,59
EG13764	ydcU	P77156	g1787713	JW1437	4807	EB3527	313	"Putative ABC transporter permease protein; function unknown"	34360,08
EG13765	ydcV	P0AFR9	g1787714	JW1438	4809	EB3528	264	"Putative ABC transporter permease protein; function unknown"	28721,9
EG13766	prr	P77674	g1787715	JW1439	4813	EB3529	474	"gamma-Aminobutyraldehyde dehydrogenase (ABALDH); pyrroline dehydrogenase; also active on medium chain aldehydes"	50830,01
EG13767	ydcX	P64453	g87081912	JW5232	4818	EB3530	57	Required for swarming phenotype, function unknown	6646,08
EG13768	ydcY	P64455	g1787717	JW1441	4821	EB3531	77	Function unknown	8799,88
EG13769	ydcZ	P76111	g1787718	JW1442	4823	EB3532	149	Required for swarming phenotype, function unknown	15855,08
EG13770	yncA	P76112	g1787719	JW5233	4827	EB3533	172	Putative acetyltransferase	19247,69
EG13772	yncB	P76113	g87081913	JW5907	4834	EB3534	345	Function unknown	37609,75
EG13773	mcbR	P76114	g87081914	JW1445	4837	EB3535	221	"MqsR-controlled colanic acid and biofilm regulator; represses mcbA"	25151,39
EG13774	yncD	P76115	g1787723	JW1446	4839	EB3536	700	Putative TonB-dependent outer membrane receptor	77260,68
EG13775	yncE	P76116	g1787724	JW1447	4843	EB3537	353	Secreted protein, function unknown	38612,96
EG13776	ansP	P77610	g87081915	JW5234	4845	EB3538	499	Putative L-Asparagine permease	54233,09
EG13777	yncG	P76117	g1787726	JW1449	4851	EB3539	205	Function unknown, glutathione S-transferase homolog	23320,86
EG13778	yncH	P76118	g1787727	JW5235	4855	EB3540	70	Required for swarming phenotype, function unknown	8270,06
EG13779	yddH	P76121	g87081916	JW1457	4877	EB3541	189	Function unknown	20966,89
EG13780	nhoA	P77567	g1787736	JW1458	4882	EB3542	281	N-hydroxyarylamine O-acetyltransferase	32274,58
EG13781	yddJ	P76122	g1787744	JW1466	4904	EB3543	111	Function unknown	12871,54
EG13782	yddK	P76123	g1787745	JW1467	4906	EB3544	329	Pseudogene, C-terminal fragment, leucine-rich	37472,21
EG13783	yddL	Null	g1787746	JW1468	4910	Null	93	Pseudogene, OmpCFN porin family, N-terminal fragment	10380,61
EG13784	yddM	P67699	g1787751	JW5908	4925	EB3546	94	Function unknown	10401,08
EG13786	ddpF	P77622	g1787758	JW1478	4947	EB3547	308	D,D-dipeptide permease system, ATP-binding (hydrolysis?) component	34620,93
EG13787	ddpD	P77268	g1787759	JW1479	4949	EB3548	328	D,D-dipeptide permease system, ATP-binding (hydrolysis?) component	36099,82
EG13788	ddpC	P77463	g1787760	JW1480	4953	EB3549	298	D,D-dipeptide permease system, membrane translocase	31970,91
EG13789	ddpB	P77308	g1787761	JW1481	4955	EB3550	340	D,D-dipeptide permease system, membrane translocase	37345,04
EG13790	ddpA	P76128	g1787762	JW5240	4958	EB3551	516	D,D-dipeptide permease system, periplasmic dipeptide binding protein	57641,22
EG13791	ddpX	P77790	g1787763	JW1483	4960	EB3552	193	D-Ala-D-Ala dipeptidase	21213,05
EG13792	dos	P76129	g87081921	JW1484	4963	EB3553	799	"c-di-GMP phosphodiesterase, heme-regulated oxygen sensor; may have weak cAMP PDE activity; tetrameric"	90260,38
EG13793	yddV	P0AA89	g87081922	JW5241	4965	EB3554	460	Diguanylate cyclase	53177,7
EG13794	yddW	P64426	g1787767	JW1486	4970	EB3555	439	"Novel verified lipoprotein, function unknown; related to glycosyl hydrolases"	49574,34
EG13795	ydeM	P76134	g87081923	JW1492	4986	EB3556	385	Function unknown, Radical SAM superfamily	44517,89
EG13796	ydeN	P77318	g87081924	JW5243	4988	EB3557	560	Function unknown	62802,26
EG13797	ydeO	P76135	g1787776	JW1494	4992	EB3558	253	"Required for acid resistance conferred by EvgA overexpression; AraC family transcriptional activator"	28725,24
EG13798	ydeP	P77561	g1787778	JW1495	5001	EB3559	759	"Required for acid resistance conferred by EvgA overexpression; oxidoreductase homolog"	83495,04
EG13799	ydeQ	P77588	g1787779	JW1496	5006	EB3560	304	Function unknown, FimH homolog	32069,55
EG13800	ydeR	P77294	g1787780	JW1497	5008	EB3561	167	Function unknown, FimA homolog	18144,47
EG13801	ydeS	P77789	g1787781	JW1498	5013	EB3562	176	Function unknown, FimA homolog	18948,54
EG13803	ydeU	P77286		JW1502		EB3564	466	Uncharacterized protein ydeU	50539
EG13802	ydeT	P76137	g1787782	JW1499	5017	Null	408	Pseudogene, FimD family, C-terminal fragment	44517,03
EG13804	lsrK	P77432	g1787789	JW1504	5041	EB3565	530	"Autoinducer-2 (AI-2) kinase; upregulated in biofilms"	57544,84
EG13805	lsrR	P76141	g1787791	JW1505	5045	EB3566	317	"lsrACDBFGE operon regulator for autoinducer-2 (AI-2) uptake; induced by phospho-AI-2"	33796,84
EG13806	lsrA	P77257	g1787792	JW1506	5056	EB3567	511	"Autoinducer-2 (AI-2) uptake; essential for aerobic growth; upregulated in biofilms"	55821,3
EG13807	lsrC	P77672	g1787793	JW1507	5059	EB3568	342	Autoinducer-2 (AI-2) uptake	36394,77
EG13808	lsrD	P0AFS1	g1787794	JW1508	5061	EB3569	330	Autoinducer-2 (AI-2) uptake	34456,35
EG13809	lsrB	P76142	g1787795	JW1509	5063	EB3570	340	Autoinducer-2 (AI-2) uptake	36684,86
EG13810	lsrF	P76143	g1787796	JW1510	5065	EB3571	291	Function unknown, involved in AI-2 catabolism	31892,74
EG13811	lsrG	P64461	g1787797	JW1511	5067	EB3572	96	"Function unknown, involved in AI-2 catabolism; ygiN paralog"	11254,78
EG13812	tam	P76145	g1787798	JW1512	5070	EB3573	252	trans-aconitate methyltransferase, SAM-dependent	29005,96
EG13813	yneE	P76146	g87081925	JW5245	5072	EB3574	304	Required for swarming phenotype, function unknown	34808,95
EG13814	yneF	P76147	g1787802	JW5825	5081	EB3575	315	Probable diguanylate cyclase, function unknown	34322,31
EG13815	yneG	P76148	g1787803	JW1516	5084	EB3576	119	Function unknown	13543,77
EG13816	yneH	P0A6W0	g1787804	JW1517	5086	EB3577	308	Glutaminase, l-glutamine catabolism	33515,59
EG13817	sad	P76149	g87081926	JW5247	5092	EB3578	462	Succinate semialdehyde dehydrogenase, NAD(P)+-dependent	49717,86
EG13818	yneJ	P77309	g1787806	JW1519	5096	EB3579	293	Putative LysR-family transcriptional regulator, function unknown	32483
EG13819	yneK	P76150	g1787807	JW1520	5100	EB3580	371	Function unknown	42841,25
EG13820	ydfH	P0ACM2	g1787821	JW1533	5144	EB3581	228	Function unknown	26565,14
EG13821	ydfI	P77260	g1787823	JW1535	5149	EB3582	486	Function unknown	53685,27
EG13822	ydfJ	P77228	g1787824	JW1536	5152	EB3583	455	Pseudogene reconstruction, MFS family, interrupted by Qin	49367,72
EG13823	ydfK	P76154	g1787826	JW1537	5161	EB3584	88	Cold shock gene, function unknown, Qin prophage	10135,95
EG13824	pinQ	P77170	g1787827	JW1538	5164	EB3585	196	DNA invertase, site-specific recombination, Qin prophage	21852,3
EG13825	tfaQ	P76155	g2367120	JW1539	5166	EB3586	191	Phage lambda tail fiber assembly gene homolog, Qin prophage	21337,84
EG13826	stfQ	P77515	g1787829	JW1540	5168	EB3587	320	Side-tail fiber protein, Qin prophage	32902,02
EG13827	ydfO	P76156	g87081931	JW5252	5175	EB3588	136	Function unknown, Qin prophage	16496,94
EG13828	rzpQ	P76158	g1787835	JW1545	5187	EB3589	165	Rz-like equivalent, Qin prophage	18309,85
EG13829	arrQ	P76159	g1787836	JW1546	5189	EB3590	177	"Phage lambda lysozyme R protein homolog, Qin prophage; function unknown"	19662,54
EG13830	ydfR	P76160	g1787837	JW1547	5192	EB3591	103	Function unknown, Qin prophage	12090,62
EG13831	essQ	P77237	g87081934	JW5255	5197	EB3592	71	Phage lambda S lysis protein homolog, Qin prophage	7741,01
EG13832	quuQ	P76161	g87081935	JW1551	5207	EB3593	250	Lambda Q antitermination protein homolog, Qin prophage	27926,25
EG13833	ydfU	P76162	g87081936	JW5909	5209	EB3594	349	Function unknown, Qin prophage	39260,28
EG13834	ydfV	P76163	g1787848	JW1557	5231	EB3595	101	Function unknown, Qin prophage	11308,17
EG13835	intK	P76164	g1787850	JW1559	5236	EB3596	60	Pseudogene, integrase fragment, Qin prophage	7155,16
EG13836	ydfX	P76165	g1787851	JW1560	5239	EB3597	93	Pseudogene, Qin prophage	10716,4
EG13837	gnsB	P77695	g87081932	JW5253	5177	EB3598	57	"Multicopy suppressor of secG(Cs) and fabA6(Ts), Qin prophage; overexpression increases unsaturated fatty acid content of phospholipids; gnsA paralog"	6547,67
EG13838	ydfZ	P64463	g1787822	JW1534	5147	EB3599	67	Binds selenium, function unknown	7276,35
EG13839	ynfA	P76169	g1787865	JW1574	5279	EB3600	108	Inner membrane protein, function unknown	11919,51
EG13840	ynfB	P76170	g1787866	JW1575	5284	EB3601	113	Predicted secreted protein, function unknown	12908,67
EG13841	ynfC	P67553	g87081939	JW5258	5288	EB3602	236	Verified lipoprotein, function unknown	26506,88
EG13842	ynfD	P76172	g87081940	JW5259	5297	EB3603	101	Secreted protein, function unknown	10476,7
EG13843	ynfE	P77374	g1787870	JW1579	5302	EB3604	808	Putative periplasmic reductase, function unknown	89780,01
EG13844	ynfF	P77783	g87081941	JW5260	5307	EB3605	807	"S- and N-oxide reductase, A subunit; probably periplasmic"	89987,05
EG13845	ynfG	P0AAJ1	g1787872	JW1581	5309	EB3606	205	"S- and N-oxide reductase, apparent Fe-S binding subunit; required for swarming phenotype"	22751,75
EG13846	ynfH	P76173	g1787873	JW5261	5311	EB3607	284	S- and N-oxide reductase, membrane bound anchor	30523,67
EG13847	dmsD	P69853	g87081942	JW5262	5314	EB3608	204	"Redox enzyme maturation protein (REMP) for DmsA; twin-arginine leader-binding protein; binds DmsA and TorA TAT signal peptides; required for anaerobic growth on glycerol-DMSO medium; stimulates growth on glycerol-fumarate"	23344,64
EG13848	clcB	P76175	g87081943	JW5263	5317	EB3609	418	"H(+)/Cl(-) exchange transporter; voltage-gated ClC-type chloride channel; involved in the extreme acid response"	44153,35
EG13849	ynfK	P0A6E9	g87081944	JW5264	5319	EB3610	231	Putative dethiobiotin synthase, function unknown	24980,98
EG13850	ynfL	P77559	g1787879	JW1587	5326	EB3611	297	"Putative LysR-family transcriptional regulator, function unknown; overexpression confers sensitivity to acriflavin and trimethoprim"	33281,34
EG13851	cusR	P0ACZ8	g1786784	JW0560	1948	EB3612	227	"Response regulator of the cusCFBA-cusRS divergon; cusS sensor and cusR mediate copper induction"	25394,53
EG13853	rutG	P75892	g87081818	JW5137	3401	EB3613	442	Putative pyrimidine permease, pyrimidine nitrogen catabolism	45557,38
EG13854	rutF	P75893	g87081819	JW5138	3403	EB3614	164	"Gene in rut operon for pyrimidine nitrogen catabolism; putative flavin:NADH reductase"	17749,27
EG13855	rutE	P75894	g1787243	JW0993	3407	EB3615	196	"Putative nitroreductase in rut operon; pyrimidine nitrogen catabolism"	21570,38
EG13856	rutD	P75895	g1787244	JW0994	3410	EB3616	266	"Gene in rut operon for pyrimidine nitrogen catabolism; putative hydrolase/esterase"	28898,11
EG13857	rutC	P0AFQ5	g1787245	JW0995	3412	EB3617	128	Gene in rut operon for pyrimidine nitrogen catabolism, function unknown	13762,86
EG13858	rutB	P75897	g87081820	JW5139	3414	EB3618	230	"Gene in rut operon for pyrimidine nitrogen catabolism; putative isochorismatase"	25208,67
EG13859	rutA	P75898	g1787247	JW0997	3416	EB3619	382	"Gene in rut operon for pyrimidine nitrogen catabolism; putative luciferase-like monooxygenase"	42218,91
EG13860	efeU	P75901	g87081821	"JW1002;JW5141"	3443	EB3620	276	"Pseudogene reconstruction, ferrous iron permease; intact gene involved in iron uptake"	30286,9
EG13861	efeO	P0AB24	g1787254	JW1003	3448	EB3621	375	"Inactive acid inducible low-pH ferrous ion transporter EfeUOB; acid-inducible periplasmic protein"	41137,63
EG13862	pgaD	P69432	g1787258	JW1006	3460	EB3622	137	Required for biofilm adhesin polysaccharide PGA synthesis	16081,75
EG13863	pgaC	P75905	g1787259	JW1007	3464	EB3623	441	"Required for biofilm adhesin polysaccharide PGA synthesis; putative polysaccharide polymerase/glycosyltransferase"	50765,81
EG13864	pgaB	P75906	g1787260	JW5142	3467	EB3624	672	"Biofilm adhesin polysaccharide PGA export; lipoprotein; polysaccharide deacetylase activity needed for export"	77412,79
EG13865	pgaA	P69434	g1787261	JW1010	3469	EB3625	807	"Biofilm adhesin polysaccharide PGA export; putative OM protein"	92207,19
EG13866	ycdT	P75908	g1787262	JW5143	3472	EB3626	452	Diguanylate cyclase, function unknown	51782,53
EG13867	ycdU	P75910	g1787267	JW1015	3489	EB3627	328	Function unknown	38668,49
EG13869	ghrA	P75913	g87081824	JW5146	3503	EB3628	312	"Glyoxylate/hydroxypyruvate reductase; activity higher on glyoxylate than hydroxypyruvate"	35343,42
EG13870	ycdX	P75914	g1787271	JW1017	3508	EB3629	245	"Putative phosphoesterase; structure reveals a trinuclear zinc active site"	26890,51
EG13871	ycdY	P75915	g1787272	JW1018	3511	EB3630	184	"Putative redox enzyme maturation protein (REMP), function unknown; putative TAT signal peptide binding protein and co-factor insertion chaperone; required for swarming phenotype"	20724,35
EG13872	ycdZ	P75916	g87081825	JW5147	3514	EB3631	163	Function unknown, probable inner membrane protein	17074,42
EG13873	ymdA	P75917	g1787281	JW1031	3545	EB3632	103	Function unknown	11194
EG13874	ymdB	P0A8D6	g1787283	JW1032	3549	EB3633	177	RNase III inhibitor during cold shock	18880,38
EG13875	ymdC	P75919	g87081826	JW5150	3551	EB3634	473	Function unknown	53665,93
EG13876	opgC	P75920	g1787285	JW1034	3553	EB3635	385	"Succinylation of osmoregulated periplasmic glucans (OPGs); membrane protein"	44690,39
EG13877	cspI	P0A986	g1787834	JW1544	5183	EB3636	70	"Cold shock protein, Qin prophage; cold shock inducible"	7683,74
EG13878	mdtH	P69367	g87081828	JW1052	3618	EB3637	402	"Multidrug resistance efflux transporter; overexpression resistance to norfloxacin and enoxacin"	44363,19
EG13879	yceM	P75931	g1787307	JW1055	3627	EB3638	307	Putative oxidoreductase, function unknown	33681,52
EG13880	murJ	P0AF16	g1787309	JW1056	3630	EB3639	511	"Probable peptidoglycan lipid II flippase; required for murein synthesis"	55267,47
EG13881	sfmA	P0ABW5	g87081753	JW0519	1825	EB3640	180	Function unknown, FimA homolog	18474,5
EG13882	sfmC	P77249	g1786743	JW0520	1828	EB3641	230	Putative periplasmic pilus chaperone, function unknown	25457,66
EG13883	sfmD	P77468	g1786744	JW0521	1830	EB3642	867	"Putative outer membrane fimbrial subunit export usher protein; function unknown"	95677
EG13884	sfmH	P75715	g1786745	JW5071	1832	EB3643	327	Function unknown, FimA homolog	35695,73
EG13885	iraM	P75987	g1787407	JW1147	3893	EB3644	107	RpoS stabilzer during Mg starvation, anti-RssB factor	12133,48
EG13886	ycgE	P75989	g1787409	JW1149	3900	EB3645	243	"Repressor of blue light-responsive genes; modulates biofilm with a YmgAB to RcsBCD relay"	28264,52
EG13887	ycgF	P75990	g1787410	JW1150	3903	EB3646	403	"Anti-repressor for YcgE, blue light-responsive; cold shock gene, binds FAD"	45295,06
EG13888	ycgG	P75995	g87081845	JW5174	3918	EB3647	507	Putative cyclic-di-GMP phosphodiesterase, function unknown	56905,95
EG13889	ycgH	Null	g87081847	"JW5176;JW5901"	3924	Null	882	Pseudogene reconstruction	94320,64
EG13890	ycgI	P76000	g1787421	JW1162	3933	Null	114	"Pseudogene reconstruction, autotransporter homolog; C-terminal fragment"	12420,78
EG13891	ycgJ	P76001	g1787425	JW1166	3946	EB3650	122	Function unknown	13414,37
EG13892	ycgK	P76002	g1787426	JW1167	3948	EB3651	133	Secreted protein, function unknown	14905,82
EG13893	ycgL	P0AB43	g1787427	JW1168	3954	EB3652	108	Function unknown, low abundance protein	12414,5
EG13894	ycgM	P76004	g1787428	JW1169	3957	EB3653	219	Function unknown	23711,12
EG13895	ycgN	P0A8L5	g87081852	JW5180	3960	EB3654	153	Function unknown	17910,37
EG13896	cvrA	P76007	g87081854	JW5184	3999	EB3655	578	"Required for growth at low osmolarity; similar to eukaryotic Na+/H+ exchangers, but not involved in Na+ extrusion; proposed to be involved in the regulation of cell volume"	62285,38
EG13897	emtA	P76009	g87081855	JW5821	4006	EB3656	203	"Membrane-bound lytic transglycosylase E, lipoprotein; involved in limited murein hydrolysis"	22226,55
EG13898	ldcA	P76008	g1787441	JW1181	4002	EB3657	304	"L,D-carboxypeptidase A; cytoplasmic protease that cleaves the terminal D-alanine from cytoplasmic muropeptides"	33567,47
EG13899	ycgR	P76010	g1787443	JW1183	4009	EB3658	244	"Cyclic-di-GMP receptor, regulates motility; mutation suppresses motility defect of hns and yhjH mutants"	27857,17
EG13900	dhaL	P76014	g1787449	JW5186	4026	EB3659	210	"Dihydroxyacetone kinase, PTS-dependent ADP-binding subunit II; DhaK(2):DhaL:DhaM(2) complex"	22631,75
EG13901	dhaK	P76015	g87081857	JW5187	4029	EB3660	356	"Dihydroxyacetone kinase, PTS-dependent, subunit I; DhaK(2):DhaL:DhaM(2) complex"	38215,21
EG13902	dhaR	P76016	g87081858	JW5188	4033	EB3661	639	Transcription activator of the dhaKLM operon	70561,84
EG13903	ycgV	P76017	g1787452	JW1193	4035	EB3662	955	"Overexpression increases adhesion and biofilm formation; probable adhesin, function unknown"	99684,77
EG13904	yciS	P0ACV4	g1787535	JW1271	4298	EB3663	102	Inner membrane protein, function unknown	11351,49
EG13905	yciT	P76034	g1787540	JW1276	4312	EB3664	249	"Global regulator of transcription; DeoR family repressor"	27602,61
EG13906	mpaA	P0ACV6	g1787586	JW1319	4450	EB3665	242	"Murein tripeptide hydrolysis, cleaves glutamyl-DAP bond; cytoplasmic enzyme probably responsible for the degardation of murein tripeptide that is not recycled"	26558
EG13907	puuP	P76037	g87081869	JW1289	4362	EB3666	461	Putrescine importer	50853,05
EG13908	puuA	P78061	g87081870	JW5201	4365	EB3667	472	"gamma-Glutamylputrescine synthase, ATP-dependent; putrescine utilization pathway; glutamate-putrescine ligase"	53177,16
EG13909	puuD	P76038	g87081871	JW1291	4369	EB3668	254	gamma-Glutamyl-GABA hydrolase, putrescine utilization pathway	28013,03
EG13910	ycjM	P76041	g87081873	JW1302	4400	EB3669	559	Function unknown, homologous to sucrose phosphorylase	64185,81
EG13911	ycjN	P76042	g1787569	JW1303	4402	EB3670	430	"Lipoprotein, function unknown; predicted ABC transporter periplasmic binding protein"	46808,41
EG13912	ycjO	P0AFR7	g1787570	JW1304	4405	EB3671	293	Function unknown, probable ABC transporter permease	33225,46
EG13913	ycjP	P77716	g1787571	JW1305	4409	EB3672	280	Function unknown, probable ABC transporter permease	31250,34
EG13914	ycjQ	P76043	g1787572	JW1306	4412	EB3673	350	Function unknown, alcohol dehydrogenase homolog	38216,52
EG13915	ycjR	P76044	g87081874	JW5202	4414	EB3674	262	Function unknown, sugar isomerase homolog	29831,82
EG13916	ycjS	P77503	g1787574	JW1308	4416	EB3675	351	Function unknown, putative oxidoreductase	38652,11
EG13917	ycjT	P77154	g1787575	JW1309	4418	EB3676	755	Function unknown, homologous to glycosyl hydrolases	84867,45
EG13918	ycjU	P77366	g1787576	JW1310	4420	EB3677	219	"beta-Phosphoglucomutase; HAD11"	23564,93
EG13919	ycjV	P77481	g1787577	JW1311	4422	EB3678	360	Pseudogene reconstruction, malK paralog	40146,51
EG13920	ycjW	P77615	g1787580	JW1313	4428	EB3679	332	Required for swarming phenotype, function unknown	36134,19
EG13921	ycjX	P76046	g1787581	JW1314	4433	EB3680	465	Function unknown	52609,49
EG13922	ycjY	P76049	g1787587	JW5804	4453	EB3681	306	"Putative serine dipeptidyl peptidase possibly involved in cleavage of murein peptides; no activity on model substrates detected"	33658,53
EG13923	ycjZ	P77333	g1787589	JW1321	4457	EB3682	299	Required for swarming phenotype, function unknown	33481,78
EG13924	ynaI	P0AEB5	g1787591	JW1323	4462	EB3683	343	Putative mechanosensitive channel protein, function unknown	38754,51
EG13925	ydgD	P76176	g1787882	JW1590	5340	EB3684	273	"Putative periplasmic serine protease; function unknown"	29277,09
EG13926	mdtI	P69210	g1787883	JW1591	5343	EB3685	109	"Multidrug resistance efflux protein, with MdtJ; overexpression resistance to deoxycholate, SDS, nalidixic acid and fosfomycin"	11720,16
EG13927	mdtJ	P69212	g1787884	JW1592	5345	EB3686	121	"Multidrug resistance efflux protein, with MdtI; overexpression resistance to deoxycholate, SDS, nalidixic acid and fosfomycin"	13114,84
EG13928	tqsA	P0AFS5	g1787885	JW1593	5350	EB3687	344	"Pheromone AI-2 transporter; mutants have increased intracellular AI-2 and decreased extracellular AI-2; controls biofilm formation"	37542,81
EG13929	ydgH	P76177	g1787889	JW1596	5359	EB3688	314	"Predicted periplasmic protein, YhcN family, function unknown; contains 3 tandem YhcN domains"	33903,29
EG13930	ydgI	P0AAE5	g1787890	JW1597	5362	EB3689	460	Putative arginine/ornithine antiporter	49501,47
EG13931	ydgJ	P77376	g87081947	JW5265	5437	EB3690	346	"Putative oxidoreductase; yhhX paralog"	38257,36
EG13932	ydgK	P76180	g87081948	JW1618	5447	EB3691	146	Membrane protein, function unknown	16318,59
EG13933	rsxA	P0A766	g1787914	JW1619	5450	EB3692	193	"Required for the reduction of SoxR; membrane protein"	20897,51
EG13934	rsxB	P77223	g1787915	JW1620	5452	EB3693	192	"Required for the reduction of SoxR; predicted iron-sulfur protein"	20543,77
EG13935	rsxC	P77611	g1787916	JW1621	5454	EB3694	740	"Required for the reduction of SoxR; putative membrane-associated NADH oxidoreductase"	80171,55
EG13936	rsxD	P76182	g1787917	JW1622	5457	EB3695	352	"Required for the reduction of SoxR; putative membrane protein"	38140,16
EG13937	rsxG	P77285	g1787918	JW1623	5459	EB3696	206	"Required for the reduction of SoxR; putative membrane protein"	21911,91
EG13938	rsxE	P77179	g1787919	JW1624	5461	EB3697	231	"Required for the reduction of SoxR; membrane protein"	24459,02
EG13939	tppB	P77304	g1787922	JW1626	5469	EB3698	500	Tripeptide and dipeptide permease	53991,14
EG13940	pdxY	P77150	g1787924	JW1628	5475	EB3699	287	Pyridoxal kinase	31322,2
EG13942	anmK	P77570	g1787928	JW1632	5488	EB3700	369	Anhydro-N-acetylmuramic acid kinase, murein recycling	39496,28
EG13943	ydhI	P64471	g1787931	JW1635	5499	EB3701	78	Putative membrane protein, in operon with putative efflux pump YdhJK	8890,85
EG13944	ydhJ	P76185	g87081951	JW1636	5501	EB3702	285	"Putative membrane fusion protein (MFP) of YdhJK efflux pump; function unknown"	31495,83
EG13945	ydhK	P76186	g1787933	JW1637	5503	EB3703	670	Putative efflux protein family (PET) component of YdhJK efflux pump, function unknown	75266,75
EG13946	ydhL	P64474	g87081952	JW5827	5510	EB3704	79	Function unknown	9358,65
EG13947	nemR	P67430	g87081953	JW5874	5514	EB3705	199	nem operon repressor, NEM-inactivated	22275,37
EG13948	yobD	P67601	g1788123	JW1809	6062	EB3706	152	Function unknown	17615,26
EG13949	ydhO	P76190	g1787944	JW5270	5533	EB3707	271	Putative peptidase, C40 clan, function unknown	29916,58
EG13950	ydhP	P77389	g1787947	JW1649	5540	EB3708	389	"Putative transporter, function unknown; membrane protein"	40064,07
EG13951	ydhQ	P77552	g1787954	JW1656	5563	EB3709	418	Function unknown	42876,01
EG13952	ydhR	P0ACX3	g1787956	JW1657	5572	EB3710	101	"Putative monooxygenase, function unknown; dimeric"	11287,86
EG13953	ydhS	P77148	g1787957	JW1658	5575	EB3711	534	Function unknown	60755,07
EG13954	ydhT	P77147	g1787958	JW1659	5577	EB3712	270	Function unknown, FNR, NarL and NarP regulons	29340,67
EG13955	ydhU	P77409	g1787959	JW1660	5579	EB3713	261	"Function unknown, FNR, NarL and NarP regulons; homologous to Salmonella PhsC"	29582,77
EG13956	ydhV	P76192	g1787962	JW5272	5587	EB3714	700	"Predicted oxidoreductase, function unknown; FNR, NarL and NarP regulons"	77876,62
EG13957	ydhW	P77564	g1787961	JW1662	5585	EB3715	215	Function unknown, FNR, NarL and NarP regulons	24420,65
EG13958	ydhX	P77375	g87081954	JW5271	5583	EB3716	222	"Ferredoxin-like protein, function unknown; FNR, NarL and NarP regulons"	25092,64
EG13959	ydhY	P0AAL6	g1787963	JW1664	5589	EB3717	208	"Ferredoxin-like protein, function unknown; FNR, NarL and NarP regulons"	22366,92
EG13960	ydhZ	P0ACX5	g1787964	JW1665	5591	EB3718	69	Function unknown	7907,33
EG13961	sufE	P76194	g1787969	JW1669	5608	EB3719	138	"Binds and stimulates SufS activity; in sufABCDSE operon involved in iron-sulfur center formation of FhuF; homodimeric"	15800,32
