Accession	Gene names	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names (OLN)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location
P05100	tag b3549 JW3518	tag		b3549 JW3518	3MG1_ECOLI		Evidence at protein level		DNA-3-methyladenine glycosylase 1 (EC 3.2.2.20) (3-methyladenine-DNA glycosylase I, constitutive) (TAG I) (DNA-3-methyladenine glycosidase I) (DNA-3-methyladenine glycosylase I)	"GO:0008725; GO:0006284; GO:0046872; GO:0005515"	"3D-structure; Complete proteome; DNA damage; DNA repair; Direct protein sequencing; Hydrolase; Metal-binding; Zinc"	187	
P04395	alkA aidA b2068 JW2053	alkA	aidA	b2068 JW2053	3MG2_ECOLI		Evidence at protein level	Alkylbase DNA glycosidase alkA family	DNA-3-methyladenine glycosylase 2 (EC 3.2.2.21) (3-methyladenine-DNA glycosylase II, inducible) (TAG II) (DNA-3-methyladenine glycosidase II) (DNA-3-methyladenine glycosylase II)	"GO:0003677; GO:0006307; GO:0003905; GO:0006284; GO:0005737; GO:0005515"	"3D-structure; Complete proteome; DNA damage; DNA repair; Direct protein sequencing; Hydrolase"	282	
P00350	gnd b2029 JW2011	gnd		b2029 JW2011	6PGD_ECOLI		Evidence at protein level	6-phosphogluconate dehydrogenase family	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	"GO:0019521; GO:0050661; GO:0055114; GO:0006098; GO:0004616; GO:0042803"	"3D-structure; Complete proteome; Gluconate utilization; NADP; Oxidoreductase; Pentose shunt"	468	
C4ZXT8	pgl BWG_0619	pgl		BWG_0619	6PGL_ECOBW		Inferred from homology	Cycloisomerase 2 family	6-phosphogluconolactonase (6-P-gluconolactonase) (EC 3.1.1.31)	"GO:0017057; GO:0006006"	"Acetylation; Carbohydrate metabolism; Complete proteome; Glucose metabolism; Hydrolase"	331	
B1X797	pgl ECDH10B_0835	pgl		ECDH10B_0835	6PGL_ECODH		Inferred from homology	Cycloisomerase 2 family	6-phosphogluconolactonase (6-P-gluconolactonase) (EC 3.1.1.31)	"GO:0017057; GO:0006006"	"Acetylation; Carbohydrate metabolism; Complete proteome; Glucose metabolism; Hydrolase"	331	
P52697	pgl ybhE b0767 JW0750	pgl	ybhE	b0767 JW0750	6PGL_ECOLI		Evidence at protein level	Cycloisomerase 2 family	6-phosphogluconolactonase (6-P-gluconolactonase) (Pgl) (EC 3.1.1.31)	"GO:0017057; GO:0006006"	"3D-structure; Acetylation; Carbohydrate metabolism; Complete proteome; Glucose metabolism; Hydrolase"	331	
C4ZSX9	aaeA BWG_2942	aaeA		BWG_2942	AAEA_ECOBW	"Cell inner membrane; Single-pass membrane protein. "	Evidence at transcript level	Membrane fusion protein (MFP) (TC 8.A.1) family	p-hydroxybenzoic acid efflux pump subunit AaeA (pHBA efflux pump protein A)	"GO:0016021; GO:0005886; GO:0009306; GO:0008565"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	310	
B1XHL3	aaeA ECDH10B_3418	aaeA		ECDH10B_3418	AAEA_ECODH	"Cell inner membrane; Single-pass membrane protein. "	Evidence at transcript level	Membrane fusion protein (MFP) (TC 8.A.1) family	p-hydroxybenzoic acid efflux pump subunit AaeA (pHBA efflux pump protein A)	"GO:0016021; GO:0005886; GO:0009306; GO:0008565"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	310	
P46482	aaeA yhcQ b3241 JW3210	aaeA	yhcQ	b3241 JW3210	AAEA_ECOLI	"Cell inner membrane; Single-pass membrane protein. "	Evidence at transcript level	Membrane fusion protein (MFP) (TC 8.A.1) family	p-hydroxybenzoic acid efflux pump subunit AaeA (pHBA efflux pump protein A)	"GO:0046942; GO:0016021; GO:0005886; GO:0009306; GO:0008565; GO:0042221"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	310	
C4ZSX8	aaeB BWG_2941	aaeB		BWG_2941	AAEB_ECOBW	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at transcript level	Aromatic acid exporter ArAE (TC 2.A.85) family	p-hydroxybenzoic acid efflux pump subunit AaeB (pHBA efflux pump protein B)	"GO:0016021; GO:0005886; GO:0006810"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	655	
P46481	aaeB yhcP b3240 JW3209	aaeB	yhcP	b3240 JW3209	AAEB_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Aromatic acid exporter ArAE (TC 2.A.85) family	p-hydroxybenzoic acid efflux pump subunit AaeB (pHBA efflux pump protein B)	"GO:0046942; GO:0016021; GO:0005886; GO:0042221"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	655	
P67662	aaeR yhcS b3243 JW3212	aaeR	yhcS	b3243 JW3212	AAER_ECOLI		Predicted		HTH-type transcriptional activator AaeR	"GO:0003677; GO:0006355; GO:0003700; GO:0006350; GO:0016563"	"Activator; Complete proteome; DNA-binding; Transcription; Transcription regulation"	309	
C4ZSY0	aaeX BWG_2943	aaeX		BWG_2943	AAEX_ECOBW	"Cell membrane; Multi-pass membrane protein. "	Evidence at transcript level	AaeX family	Protein AaeX	"GO:0016021; GO:0005886"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	67	
B1XHL4	aaeX ECDH10B_3419	aaeX		ECDH10B_3419	AAEX_ECODH	"Cell membrane; Multi-pass membrane protein. "	Evidence at transcript level	AaeX family	Protein AaeX	"GO:0016021; GO:0005886"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	67	
P46478	aaeX yhcR b3242 JW5541	aaeX	yhcR	b3242 JW5541	AAEX_ECOLI	"Cell membrane; Multi-pass membrane protein. "	Evidence at transcript level	AaeX family	Protein AaeX	"GO:0016021; GO:0005886"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	67	
B1XD43	ispU ECDH10B_0154	ispU		ECDH10B_0154	B1XD43_ECODH		Inferred from homology	UPP synthetase family	Undecaprenyl pyrophosphate synthase	GO:0008834	"Complete proteome; Transferase"	253
B1XD67	metQ ECDH10B_0178	metQ		ECDH10B_0178	B1XD67_ECODH		Predicted		Receptor component of DL-methionine uptake transporter (MUT)	GO:0004872	"Complete proteome; Receptor"	271
B1XD89	yafL ECDH10B_0209	yafL		ECDH10B_0209	B1XD89_ECODH		Predicted		Predicted lipoprotein and C40 family peptidase		"Complete proteome; Lipoprotein"	249
B1XDB5	paaY ECDH10B_1525	paaY		ECDH10B_1525	B1XDB5_ECODH		Predicted		Predicted hexapeptide repeat acetyltransferase	GO:0016740	"Complete proteome; Transferase"	196
B1XDE7	yncJ ECDH10B_1566	yncJ		ECDH10B_1566	B1XDE7_ECODH		Predicted		Predicted protein		Complete proteome	76
B1XDG3	yncE ECDH10B_1582	yncE		ECDH10B_1582	B1XDG3_ECODH		Predicted		Conserved protein		Complete proteome	353
B1XDI7	ygcE ECDH10B_2943	ygcE		ECDH10B_2943	B1XDI7_ECODH		Predicted		Predicted kinase	"GO:0005975; GO:0016301; GO:0016773"	"Complete proteome; Kinase; Transferase"	492
B1XDK9	fucA ECDH10B_2969	fucA		ECDH10B_2969	B1XDK9_ECODH		Predicted		L-fuculose-1-phosphate aldolase	"GO:0008738; GO:0006004; GO:0008270"	Complete proteome	215
B1XDL0	fucP ECDH10B_2970	fucP		ECDH10B_2970	B1XDL0_ECODH		Predicted		L-fucose transporter	GO:0055085	Complete proteome	438
B1XDU5	ulaB ECDH10B_4389	ulaB		ECDH10B_4389	B1XDU5_ECODH		Predicted		L-ascorbate-specific enzyme IIB component of PTS	"GO:0009401; GO:0008982; GO:0005351"	"Complete proteome; Transferase; Transport"	101
B1XDU6	ulaC ECDH10B_4390	ulaC		ECDH10B_4390	B1XDU6_ECODH		Predicted		L-ascorbate-specific enzyme IIA component of PTS	"GO:0009401; GO:0005351; GO:0016740"	"Complete proteome; Transferase"	154
B1XDY9	ykfH ECDH10B_0229	ykfH		ECDH10B_0229	B1XDY9_ECODH		Predicted		Predicted protein		Complete proteome	73
B1XE21	yagM ECDH10B_0267	yagM		ECDH10B_0267	B1XE21_ECODH		Predicted		"CP4-6 prophage; predicted protein"		Complete proteome	284
B1XEF1	ygeO ECDH10B_3033	ygeO		ECDH10B_3033	B1XEF1_ECODH		Predicted		Predicted protein	GO:0009405	Complete proteome	141
B1XEG6	ygfJ ECDH10B_3052	ygfJ		ECDH10B_3052	B1XEG6_ECODH		Predicted		Conserved protein		Complete proteome	192
B1XEI2	fldB ECDH10B_3069	fldB		ECDH10B_3069	B1XEI2_ECODH		Predicted		Flavodoxin 2	"GO:0010181; GO:0009055; GO:0016491"	Complete proteome	173
B1XEK0	yqfE ECDH10B_3090	yqfE		ECDH10B_3090	B1XEK0_ECODH		Predicted		Conserved protein		Complete proteome	76
B1XEM8	yjgH ECDH10B_4442	yjgH		ECDH10B_4442	B1XEM8_ECODH		Predicted		Predicted mRNA endoribonuclease		Complete proteome	131
B1XEP1	yjgQ ECDH10B_4455	yjgQ		ECDH10B_4455	B1XEP1_ECODH		Predicted		Conserved inner membrane protein	GO:0016021	Complete proteome	360
B1XEQ4	insG ECDH10B_4473	insG		ECDH10B_4473	B1XEQ4_ECODH		Predicted		"KpLE2 phage-like element; IS4 predicted transposase"	"GO:0003677; GO:0004803; GO:0006313"	Complete proteome	442
B1XEQ5	yjhB ECDH10B_4474	yjhB		ECDH10B_4474	B1XEQ5_ECODH		Predicted		"KpLE2 phage-like element; predicted transporter"	"GO:0016021; GO:0055085; GO:0005215"	"Complete proteome; Membrane; Transmembrane"	405
B1XEU6	mhpT ECDH10B_0308	mhpT		ECDH10B_0308	B1XEU6_ECODH		Predicted		Predicted 3-hydroxyphenylpropionic transporter	"GO:0016021; GO:0055085; GO:0005215"	Complete proteome	403
B1XEV1	yaiO ECDH10B_0313	yaiO		ECDH10B_0313	B1XEV1_ECODH		Predicted		Predicted protein		Complete proteome	257
B1XEZ7	secF ECDH10B_0365	secF		ECDH10B_0365	B1XEZ7_ECODH		Predicted		SecYEG protein translocase auxillary subunit	"GO:0015450; GO:0016021; GO:0006886; GO:0005886; GO:0015628; GO:0015627"	"Cell membrane; Complete proteome; Membrane; Protein transport; Translocation; Transmembrane; Transmembrane helix; Transport"	323
B1XF06	pgpA ECDH10B_0374	pgpA		ECDH10B_0374	B1XF06_ECODH		Predicted		Phosphatidylglycerophosphatase A	"GO:0006629; GO:0008962"	Complete proteome	172
B1XF24	ydfR ECDH10B_1687	ydfR		ECDH10B_1687	B1XF24_ECODH		Predicted		"Qin prophage; predicted protein"		Complete proteome	103
B1XF29	rem ECDH10B_1693	rem		ECDH10B_1693	B1XF29_ECODH		Predicted		"Qin prophage; predicted protein"		Complete proteome	83
B1XF34	flxA ECDH10B_1698	flxA		ECDH10B_1698	B1XF34_ECODH		Predicted		"Qin prophage; predicted protein"		Complete proteome	110
B1XF72	ydgC ECDH10B_1740	ydgC		ECDH10B_1740	B1XF72_ECODH		Predicted		Conserved inner membrane protein associated with alginate biosynthesis		Complete proteome	111
B1XF94	yggD ECDH10B_3104	yggD		ECDH10B_3104	B1XF94_ECODH		Predicted		Predicted DNA-binding transcriptional regulator	GO:0003677	"Complete proteome; DNA-binding"	169
B1XF97	tktA ECDH10B_3110	tktA		ECDH10B_3110	B1XF97_ECODH		Predicted		Transketolase 1, thiamin-binding	GO:0004802	Complete proteome	663
B1XFB8	yggN ECDH10B_3133	yggN		ECDH10B_3133	B1XFB8_ECODH		Predicted		Predicted protein		Complete proteome	239
B1XFH5	yjjP ECDH10B_4520	yjjP		ECDH10B_4520	B1XFH5_ECODH		Predicted		Predicted inner membrane protein		Complete proteome	256
B1XFI8	yjjV ECDH10B_4536	yjjV		ECDH10B_4536	B1XFI8_ECODH		Predicted		Predicted DNase	GO:0016888	Complete proteome	259
B1XFM2	yajG ECDH10B_0390	yajG		ECDH10B_0390	B1XFM2_ECODH		Predicted		Predicted lipoprotein		"Complete proteome; Lipoprotein"	192
B1XFN3	ybaE ECDH10B_0401	ybaE		ECDH10B_0401	B1XFN3_ECODH		Predicted		Predicted transporter subunit: periplasmic-binding component of ABC superfamily	GO:0005215	Complete proteome	566
B1XFN9	amtB ECDH10B_0407	amtB		ECDH10B_0407	B1XFN9_ECODH		Predicted		Ammonium transporter	"GO:0008519; GO:0016020"	Complete proteome	428
B1XFQ0	acrA ECDH10B_0419	acrA		ECDH10B_0419	B1XFQ0_ECODH		Predicted		Multidrug efflux system	"GO:0016020; GO:0009306; GO:0008565"	Complete proteome	397
B1XFS7	ybbL ECDH10B_0447	ybbL		ECDH10B_0447	B1XFS7_ECODH		Predicted	ABC transporter superfamily	Predicted transporter subunit: ATP-binding component of ABC superfamily	"GO:0005524; GO:0016887"	"ATP-binding; Complete proteome; Nucleotide-binding"	225
B1XFT0	ybbO ECDH10B_0450	ybbO		ECDH10B_0450	B1XFT0_ECODH		Predicted		Predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain	"GO:0005488; GO:0055114; GO:0016491"	Complete proteome	269
B1XFV6	ydhK ECDH10B_1779	ydhK		ECDH10B_1779	B1XFV6_ECODH		Predicted		Conserved inner membrane protein	"GO:0016021; GO:0005886"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	670
B1XFV7	sodC ECDH10B_1780	sodC		ECDH10B_1780	B1XFV7_ECODH		Inferred from homology	Cu-Zn superoxide dismutase family	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	"GO:0046872; GO:0055114; GO:0004784; GO:0006801"	"Complete proteome; Copper; Metal-binding; Oxidoreductase; Zinc"	173
B1XG04	ydiQ ECDH10B_1833	ydiQ		ECDH10B_1833	B1XG04_ECODH		Predicted		Conserved protein	GO:0009055	Complete proteome	254
B1XG20	pheT ECDH10B_1849	pheT		ECDH10B_1849	B1XG20_ECODH		Inferred from homology		Phenylalanine tRNA synthetase, beta subunit	"GO:0005524; GO:0005737; GO:0000287; GO:0004826; GO:0006432; GO:0000049; GO:0008033"	"Aminoacyl-tRNA synthetase; Complete proteome; Ligase"	795
B1XGA7	glxR ECDH10B_0465	glxR		ECDH10B_0465	B1XGA7_ECODH		Predicted		Tartronate semialdehyde reductase, NADH-dependent	"GO:0008679; GO:0008442; GO:0050662; GO:0046487; GO:0055114; GO:0006098; GO:0004616; GO:0006573"	Complete proteome	292
B1XGD2	sfmF ECDH10B_0490	sfmF		ECDH10B_0490	B1XGD2_ECODH		Predicted		Predicted fimbrial-like adhesin protein	"GO:0007155; GO:0009289"	"Complete proteome; Fimbrium"	171
B1XGE0	ybcK ECDH10B_0500	ybcK		ECDH10B_0500	B1XGE0_ECODH		Predicted		"DLP12 prophage; predicted recombinase"	"GO:0003677; GO:0006310; GO:0000150"	Complete proteome	508
B1XGM7	sppA ECDH10B_1904	sppA		ECDH10B_1904	B1XGM7_ECODH		Predicted		Protease IV (Signal peptide peptidase)	"GO:0016021; GO:0008233; GO:0006508; GO:0006465"	"Complete proteome; Hydrolase; Protease"	618
B1XGR5	fadD ECDH10B_1943	fadD		ECDH10B_1943	B1XGR5_ECODH		Predicted		Acyl-CoA synthetase (Long-chain-fatty-acid--CoA ligase)	GO:0016874	"Complete proteome; Ligase"	561
B1XGT4	tdcR ECDH10B_3293	tdcR		ECDH10B_3293	B1XGT4_ECODH		Predicted		DNA-binding transcriptional activator	GO:0003677	"Complete proteome; DNA-binding"	72
B1XGW3	yraQ ECDH10B_3324	yraQ		ECDH10B_3324	B1XGW3_ECODH		Predicted		Predicted permease		Complete proteome	346
B1XH85	manY ECDH10B_1956	manY		ECDH10B_1956	B1XH85_ECODH		Predicted		Mannose-specific enzyme IIC component of PTS	"GO:0016021; GO:0009401"	Complete proteome	266
B1XH89	rrmA ECDH10B_1960	rrmA		ECDH10B_1960	B1XH89_ECODH		Predicted		23S rRNA m1G745 methyltransferase	GO:0008168	"Complete proteome; Methyltransferase; Transferase"	269
B1XH92	yebO ECDH10B_1963	yebO		ECDH10B_1963	B1XH92_ECODH		Predicted		Predicted protein		Complete proteome	95
B1XHA5	yebW ECDH10B_1976	yebW		ECDH10B_1976	B1XHA5_ECODH		Predicted		Predicted protein		Complete proteome	63
B1XHB2	exoX ECDH10B_1985	exoX		ECDH10B_1985	B1XHB2_ECODH		Predicted		DNA exonuclease X	"GO:0004527; GO:0005622; GO:0003676"	"Complete proteome; Exonuclease; Hydrolase; Nuclease"	220
B1XHD7	yecN ECDH10B_2010	yecN		ECDH10B_2010	B1XHD7_ECODH		Predicted		Predicted inner membrane protein		Complete proteome	131
B1XHE0	torZ ECDH10B_2013	torZ		ECDH10B_2013	B1XHE0_ECODH		Predicted		Trimethylamine N-oxide reductase system III, catalytic subunit	"GO:0009055; GO:0030151; GO:0055114; GO:0016491"	"Complete proteome; Molybdenum; Oxidoreductase"	809
B1XHG8	yrbD ECDH10B_3367	yrbD		ECDH10B_3367	B1XHG8_ECODH		Predicted		Predicted ABC-type organic solvent transporter		Complete proteome	183
B1XHI8	gltD ECDH10B_3388	gltD		ECDH10B_3388	B1XHI8_ECODH		Predicted		Glutamate synthase, 4Fe-4S protein, small subunit	"GO:0050660; GO:0006537; GO:0051536; GO:0055114; GO:0016639"	Complete proteome	472
B1XHJ4	yhcH ECDH10B_3398	yhcH		ECDH10B_3398	B1XHJ4_ECODH		Predicted		Conserved protein		Complete proteome	154
B1XHN1	yhdJ ECDH10B_3437	yhdJ		ECDH10B_3437	B1XHN1_ECODH		Predicted		Predicted methyltransferase	"GO:0003677; GO:0006306; GO:0008170"	"Complete proteome; Methyltransferase; Transferase"	294
C4ZQ31	ycaO BWG_0757	ycaO		BWG_0757	C4ZQ31_ECOBW		Predicted		Conserved protein		Complete proteome	586
C4ZQ68	ycbU BWG_0794	ycbU		BWG_0794	C4ZQ68_ECOBW		Predicted		Predicted fimbrial-like adhesin protein	"GO:0007155; GO:0009289"	"Complete proteome; Fimbrium"	180
C4ZQ97	hyaA BWG_0823	hyaA		BWG_0823	C4ZQ97_ECOBW		Predicted		Hydrogenase 1, small subunit	"GO:0051539; GO:0008137; GO:0008901; GO:0009375; GO:0055114; GO:0048038"	Complete proteome	372
C4ZQH5	flhC BWG_1705	flhC		BWG_1705	C4ZQH5_ECOBW		Predicted		DNA-binding transcriptional dual regulator with FlhD	"GO:0003677; GO:0030092; GO:0016563"	"Complete proteome; DNA-binding"	192
C4ZQN1	yedI BWG_1762	yedI		BWG_1762	C4ZQN1_ECOBW		Predicted		Conserved inner membrane protein		Complete proteome	305
C4ZQP0	yedX BWG_1771	yedX		BWG_1771	C4ZQP0_ECOBW		Inferred from homology	Transthyretin family	5-hydroxyisourate hydrolase	GO:0006810	Complete proteome	137
C4ZQQ3	erfK BWG_1784	erfK		BWG_1784	C4ZQQ3_ECOBW		Predicted		Conserved protein with NAD(P)-binding Rossmann-fold domain		Complete proteome	310
C4ZQR9	hybB BWG_2713	hybB		BWG_2713	C4ZQR9_ECOBW		Predicted		Predicted hydrogenase 2 cytochrome b type component		Complete proteome	392
C4ZQW4	yqiH BWG_2758	yqiH		BWG_2758	C4ZQW4_ECOBW	Periplasm. 	Inferred from homology	Periplasmic pilus chaperone family	Predicted periplasmic pilin chaperone	"GO:0007047; GO:0030288; GO:0005515"	"Chaperone; Complete proteome"	249
C4ZR37	garR BWG_2831	garR		BWG_2831	C4ZR37_ECOBW		Predicted		Tartronate semialdehyde reductase	"GO:0008679; GO:0008442; GO:0050662; GO:0046487; GO:0055114; GO:0006098; GO:0004616; GO:0006573"	Complete proteome	294
C4ZR53	yjeT BWG_3888	yjeT		BWG_3888	C4ZR53_ECOBW		Predicted		Conserved inner membrane protein		Complete proteome	65
C4ZRB9	pyrL BWG_3954	pyrL		BWG_3954	C4ZRB9_ECOBW		Predicted		PyrBI operon leader peptide (PyrBI operon attenuator)	"GO:0019856; GO:0006221"	"Complete proteome; Leader peptide; Pyrimidine biosynthesis"	44
C4ZRE3	yjgZ BWG_3978	yjgZ		BWG_3978	C4ZRE3_ECOBW		Predicted		"KpLE2 phage-like element; predicted protein"		Complete proteome	109
C4ZRE9	fecE BWG_3984	fecE		BWG_3984	C4ZRE9_ECOBW		Predicted	ABC transporter superfamily	"KpLE2 phage-like element; iron-dicitrate transporter subunit"	"GO:0005524; GO:0016887"	"ATP-binding; Complete proteome; Nucleotide-binding"	255
C4ZRK7	aceE BWG_0107	aceE		BWG_0107	C4ZRK7_ECOBW		Inferred from homology		Pyruvate dehydrogenase E1 component (EC 1.2.4.1)	"GO:0055114; GO:0016491"	"Complete proteome; Oxidoreductase; Pyruvate; Thiamine pyrophosphate"	887
C4ZRN6	pcnB BWG_0136	pcnB		BWG_0136	C4ZRN6_ECOBW		Inferred from homology	TRNA nucleotidyltransferase/poly(A) polymerase family	Poly(A) polymerase I	"GO:0005524; GO:0003723; GO:0006378; GO:0004652"	"ATP-binding; Complete proteome; Nucleotide-binding; RNA-binding; Transferase"	465
C4ZRN8	dksA BWG_0138	dksA		BWG_0138	C4ZRN8_ECOBW		Predicted		DNA-binding transcriptional regulator of rRNA transcription, DnaK suppressor protein	"GO:0003677; GO:0008270"	"Complete proteome; DNA-binding"	151
C4ZRU7	yafE BWG_0197	yafE		BWG_0197	C4ZRU7_ECOBW		Predicted		Predicted S-adenosyl-L-methionine-dependent methyltransferase	GO:0008168	"Complete proteome; Methyltransferase; Transferase"	207
C4ZRV2	dnaQ BWG_0202	dnaQ		BWG_0202	C4ZRV2_ECOBW		Predicted		DNA polymerase III epsilon subunit	"GO:0003677; GO:0006260; GO:0003887; GO:0004527; GO:0005622"	"Complete proteome; DNA replication; DNA-directed DNA polymerase; Nucleotidyltransferase; Transferase"	243
C4ZS04	grxB BWG_0912	grxB		BWG_0912	C4ZS04_ECOBW		Predicted		Glutaredoxin 2 (Grx2)	"GO:0045454; GO:0009055; GO:0015035"	Complete proteome	215
C4ZS09	yceN BWG_0917	yceN		BWG_0917	C4ZS09_ECOBW		Predicted		Predicted inner membrane protein		Complete proteome	511
C4ZS12	flgA BWG_0920	flgA		BWG_0920	C4ZS12_ECOBW		Predicted		Assembly protein for flagellar basal-body periplasmic P ring	GO:0019861	"Cell projection; Cilium; Complete proteome; Flagellum"	219
C4ZS23	flgL BWG_0931	flgL		BWG_0931	C4ZS23_ECOBW		Predicted		Flagellar hook-filament junction protein	"GO:0009420; GO:0009424; GO:0001539; GO:0005198"	"Cell projection; Cilium; Complete proteome; Flagellum"	317
C4ZS25	yceQ BWG_0933	yceQ		BWG_0933	C4ZS25_ECOBW		Predicted		Predicted protein		Complete proteome	106
C4ZS26	rluC BWG_0934	rluC		BWG_0934	C4ZS26_ECOBW		Inferred from homology	Pseudouridine synthase rluA family	Pseudouridine synthase (EC 5.4.99.-)	"GO:0003723; GO:0009982; GO:0001522"	"Complete proteome; Isomerase"	319
C4ZS31	fabH BWG_0939	fabH		BWG_0939	C4ZS31_ECOBW	Cytoplasm. 	Inferred from homology	FabH family	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III)	"GO:0004315; GO:0005737; GO:0006633"	"Acyltransferase; Complete proteome; Cytoplasm; Fatty acid biosynthesis; Lipid synthesis; Multifunctional enzyme; Transferase"	317
C4ZS40	ycfH BWG_0948	ycfH		BWG_0948	C4ZS40_ECOBW		Predicted		Predicted metallodependent hydrolase	GO:0016888	"Complete proteome; Hydrolase"	265
C4ZS55	ycfT BWG_0963	ycfT		BWG_0963	C4ZS55_ECOBW		Predicted		Predicted inner membrane protein	"GO:0016020; GO:0016747"	"Complete proteome; Membrane"	357
C4ZS71	purB BWG_0979	purB		BWG_0979	C4ZS71_ECOBW		Predicted		Adenylosuccinate lyase	"GO:0006188; GO:0004018"	"Complete proteome; Lyase"	456
C4ZS78	ycgX BWG_0986	ycgX		BWG_0986	C4ZS78_ECOBW		Predicted		Predicted protein		Complete proteome	134
C4ZSD7	cpsB BWG_1839	cpsB		BWG_1839	C4ZSD7_ECOBW		Inferred from homology	Mannose-6-phosphate isomerase type 2 family	Mannose-1-phosphate guanyltransferase	"GO:0009103; GO:0016779"	"Complete proteome; Transferase"	478
C4ZSI3	yegU BWG_1885	yegU		BWG_1885	C4ZSI3_ECOBW		Predicted		Predicted hydrolase	GO:0016787	"Complete proteome; Hydrolase"	334
C4ZSI6	yegX BWG_1888	yegX		BWG_1888	C4ZSI6_ECOBW		Predicted		Predicted hydrolase	"GO:0043169; GO:0016998; GO:0003796; GO:0009253"	"Complete proteome; Hydrolase"	272
C4ZSJ1	yohN BWG_1893	yohN		BWG_1893	C4ZSJ1_ECOBW		Predicted		Predicted protein		Complete proteome	112
C4ZSL8	yohD BWG_1920	yohD		BWG_1920	C4ZSL8_ECOBW		Predicted		Conserved inner membrane protein		Complete proteome	192
C4ZSL9	yohF BWG_1921	yohF		BWG_1921	C4ZSL9_ECOBW		Inferred from homology	Short-chain dehydrogenases/reductases (SDR) family	Predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain	"GO:0005488; GO:0055114; GO:0016491"	"Complete proteome; Oxidoreductase"	253
C4ZSQ4	nlpI BWG_2867	nlpI		BWG_2867	C4ZSQ4_ECOBW		Predicted		Conserved protein	GO:0005488	"Complete proteome; Repeat; TPR repeat"	294
C4ZSX3	degS BWG_2936	degS		BWG_2936	C4ZSX3_ECOBW		Predicted		Serine endoprotease, periplasmic	"GO:0005515; GO:0006508; GO:0004252"	"Complete proteome; Hydrolase; Protease"	355
C4ZT01	acrE BWG_2964	acrE		BWG_2964	C4ZT01_ECOBW		Predicted		Cytoplasmic membrane lipoprotein	"GO:0016020; GO:0009306; GO:0008565"	"Complete proteome; Lipoprotein"	385
C4ZT02	acrF BWG_2965	acrF		BWG_2965	C4ZT02_ECOBW		Predicted		Multidrug efflux system protein	"GO:0016021; GO:0005215"	Complete proteome	1034
C4ZT05	yhdY BWG_2968	yhdY		BWG_2968	C4ZT05_ECOBW	"Membrane; Multi-pass membrane protein. "	Inferred from homology	Binding-protein-dependent transport system permease family	Predicted amino-acid transporter subunit	"GO:0016021; GO:0005886; GO:0005215"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	367
C4ZT17	yjiG BWG_4027	yjiG		BWG_4027	C4ZT17_ECOBW		Predicted		Conserved inner membrane protein	GO:0001882	Complete proteome	153
C4ZT82	creD BWG_4092	creD		BWG_4092	C4ZT82_ECOBW		Predicted		Inner membrane protein		Complete proteome	450
C4ZTA1	ykfI BWG_0226	ykfI		BWG_0226	C4ZTA1_ECOBW		Predicted		"CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system"		Complete proteome	113
C4ZTD7	yaiW BWG_0262	yaiW		BWG_0262	C4ZTD7_ECOBW		Predicted		Predicted DNA-binding transcriptional regulator	GO:0003677	"Complete proteome; DNA-binding"	364
C4ZTF2	mak BWG_0277	mak		BWG_0277	C4ZTF2_ECOBW		Predicted		Manno(Fructo)kinase	GO:0016301	"Complete proteome; Kinase; Transferase"	302
C4ZTG5	secD BWG_0290	secD		BWG_0290	C4ZTG5_ECOBW		Predicted		SecYEG protein translocase auxillary subunit	"GO:0015450; GO:0016021; GO:0006886; GO:0005886; GO:0015628; GO:0015627"	"Cell membrane; Complete proteome; Membrane; Protein transport; Translocation; Transmembrane; Transmembrane helix; Transport"	615
