Accession	Biological Process (Uniprot)
C4ZRK9	oxidation-reduction process
A4UR83	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZQ04	methylation|rRNA processing
C5A005	cellular amino acid biosynthetic process|methionine biosynthetic process|methylation
C4ZUA0	transport|lipid A biosynthetic process|lipid biosynthetic process|lipopolysaccharide biosynthetic process|transmembrane transport
P0AA47	amino acid transport|transport
C4ZXY4	oxidation-reduction process|cellular iron ion homeostasis|chromosome condensation
C4ZUS9	heme biosynthetic process|porphyrin biosynthetic process
P76186	transport
P0AGC5	cellular cell wall organization
B1XA89	phosphorylation
C4ZRT7	translation
B1XD95	oxidation-reduction process
P0A9Q9	oxidation-reduction process|cellular amino acid biosynthetic process|lysine biosynthetic process|diaminopimelate biosynthetic process
B1XD79	DNA replication
P24200	DNA restriction-modification system
C4ZTT7	transport
B1XAD5	pentose-phosphate shunt
P37326	DNA integration|DNA recombination
P76342	oxidation-reduction process
P09147	galactose metabolic process|carbohydrate metabolic process
C4ZQ98	oxidation-reduction process
P23857	response to stress
P27830	extracellular polysaccharide biosynthetic process|lipopolysaccharide biosynthetic process
B1XF83	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0ABB4	transport|proton transport|ion transport|ATP biosynthetic process
P76159	defense response to bacterium|cytolysis|metabolic process
C4ZTN0	oxidation-reduction process
B1XCL2	oxidation-reduction process|DNA replication
P76422	thiamine biosynthetic process|phosphorylation
B1X6H6	transport
P0A6D5	oxidation-reduction process|cellular amino acid biosynthetic process|aromatic amino acid family biosynthetic process
P31453	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0ABG7	regulation of cell shape
P0A7A7	phospholipid biosynthetic process
P0A766	transport|electron transport chain
C5A0J7	oxidation-reduction process|pyridoxine biosynthetic process
B1XA16	phosphorylation
Q06065	regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)
B1XHJ7	carbohydrate transport|transport
B1XFR5	transport|ion transport
P32138	metabolic process
P39196	transport|lipid transport
P0A8R9	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1X9N7	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZWI9	DNA repair|response to DNA damage stimulus|metabolic process
P0AE26	carbohydrate transport|transport
P12281	Mo-molybdopterin cofactor biosynthetic process
P0CE60	transposition|DNA recombination
B1XBY9	transcription, DNA-dependent
C4ZQN4	methylation|DNA restriction-modification system
B1XGA4	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P60757	cellular amino acid biosynthetic process|histidine biosynthetic process
C4ZSG3	transport
C4ZUP4	cellular amino acid biosynthetic process|aromatic amino acid family biosynthetic process
P25527	amino acid transport|transport
B1XAJ9	ubiquinone biosynthetic process
P0AF36	barrier septum formation|cell cycle|cell division
P0ACE0	oxidation-reduction process
B1XBH5	defense response to bacterium|cytolysis|metabolic process
P03061	cellular amino acid biosynthetic process|branched chain family amino acid biosynthetic process
Q46908	transport|electron transport chain
P0AAE5	amino acid transport|transport
P0AFZ7	transport|potassium ion transport|ion transport
P0AE30	amino acid transport|transport
Q47141	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XD11	transport
C4ZTC0	oxidation-reduction process
B1XHM9	oxidation-reduction process|tRNA processing
P05852	tRNA processing
B1X6B8	two-component signal transduction system (phosphorelay)|phosphorylation
B1X8W7	response to antibiotic|lipid biosynthetic process|lipid A biosynthetic process|lipopolysaccharide biosynthetic process
P0A6W9	glutathione biosynthetic process
B1XD39	translational elongation|translation
B1XET7	oxidation-reduction process
P29680	porphyrin biosynthetic process
P37057	regulation of transcription, DNA-dependent|transcription, DNA-dependent
Q46822	isoprenoid biosynthetic process
B1X750	gluconeogenesis
P0CF28	transposition|DNA recombination
B1XG57	carbohydrate metabolic process|metabolic process|phosphorylation
C4ZWI4	dipeptide transport|transport|protein transport|peptide transport
P0AG90	transport|protein transport|transmembrane transport
P13979	conjugation
C4ZW90	transport
P33021	transport
C4ZSX5	cellular amino acid biosynthetic process|arginine biosynthetic process|regulation of transcription, DNA-dependent|transcription, DNA-dependent
P09152	oxidation-reduction process|nitrate assimilation|transport|electron transport chain
C4ZVV5	transport
P76201	transport|electron transport chain
P0A6I3	coenzyme A biosynthetic process|phosphorylation
C4ZRY1	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZVS8	transport
P02929	bacteriocin transport|transport|protein transport
P56980	DNA replication
C4ZXN2	nucleotide metabolic process
P0ACR7	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P77397	oxidation-reduction process|aromatic compound catabolic process
B1XBF1	translation
C4ZTQ3	methylation
P0C079	transcription, DNA-dependent|regulation of transcription, DNA-dependent|response to stress
P0A6P7	barrier septum formation|cell cycle|cell division
B1XGQ0	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C5A198	transport
B1XCG8	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1X7F5	fructose metabolic process
Q6IFZ3	phosphorylation
P13029	oxidation-reduction process|hydrogen peroxide catabolic process
C4ZUJ0	methylation
B1XFU9	translation
C4ZPY5	arabinose catabolic process|carbohydrate metabolic process
P0AGG0	thiamine biosynthetic process|phosphorylation
C4ZQ55	transport|ion transport
P31134	transport
P03030	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZX42	two-component signal transduction system (phosphorelay)|phosphorylation
C4ZU16	phosphorylation
P33227	interspecies interaction between organisms
P27254	transport|phosphorylation
C4ZYH3	transport
C4ZTG1	lipid biosynthetic process|fatty acid biosynthetic process
B1XB75	oxidation-reduction process
B1XCN8	oxidation-reduction process
P0A924	phospholipid catabolic process
C4ZXX9	methylation|rRNA processing
B1XD51	lipid A biosynthetic process|lipid biosynthetic process
P00904	tryptophan biosynthetic process|cellular amino acid biosynthetic process|glutamine metabolic process|aromatic amino acid family biosynthetic process|metabolic process
P0AEB0	sulfate transport|transport
P0AEM4	flagellum organization|transcription, DNA-dependent|regulation of transcription, DNA-dependent
B1XBC7	phosphorylation
P00363	oxidation-reduction process|transport|electron transport chain
B1X9T5	tRNA processing
C4ZWF5	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
P75876	methylation|rRNA processing|rRNA methylation
P16685	phosphonate transport
C4ZPV6	metabolic process
Q46864	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZUW3	phosphorylation
P76216	arginine metabolic process|response to stress
P46118	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P23908	cellular amino acid biosynthetic process|arginine biosynthetic process
P76461	fatty acid metabolic process|lipid metabolic process
C4ZZK6	purine nucleotide biosynthetic process
P42599	oxidation-reduction process
B1XEN7	translation|valyl-tRNA aminoacylation
B1XA92	cellular amino acid biosynthetic process|cysteine biosynthetic process
Q46829	metabolic process
P07000	lipid biosynthetic process
P69681	ammonium transport|transport|carbon dioxide transport
P0A7I4	translation
C4ZTC9	transport
P0AEM9	transport
P00903	glutamine metabolic process|folic acid biosynthetic process
P0AD49	response to stress|regulation of translation
C4ZWT8	oxidation-reduction process
P00892	cellular amino acid biosynthetic process|branched chain family amino acid biosynthetic process
B1XD25	transport|ion transport
C5A0I8	phosphorylation
P0AGJ2	tRNA processing|methylation
P0AEQ6	amino acid transport|transport
C4ZXF6	pentose-phosphate shunt|carbohydrate metabolic process|D-xylose metabolic process
P0A799	glycolysis|phosphorylation
B1XEA3	transport
P37146	oxidation-reduction process|DNA replication
B1X8X4	menaquinone biosynthetic process
P33358	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0AG16	glutamine metabolic process|purine nucleotide biosynthetic process
C4ZZC8	phosphorylation
P39328	transport
C4ZXU4	phosphorylation
B1XC93	tricarboxylic acid cycle
P0ABM5	cytochrome complex assembly|transport
P02943	carbohydrate transport|transport|ion transport
C4ZXP3	methylation
B1XA85	cellular amino acid biosynthetic process|cysteine biosynthetic process
P69805	transport|carbohydrate transport|phosphoenolpyruvate-dependent sugar phosphotransferase system
C4ZWK5	transport|carbohydrate transport|phosphoenolpyruvate-dependent sugar phosphotransferase system
P22188	regulation of cell shape|peptidoglycan biosynthetic process|cell cycle|cell division|cellular cell wall organization
P0A9M5	purine ribonucleoside salvage
B1XC09	purine nucleotide biosynthetic process|metabolic process
P24207	amino acid transport|transport
P64578	response to stress
C4ZZZ4	transport
B1X8S1	methylation|rRNA processing
P14175	amino acid transport|transport
Q47129	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P77731	purine base metabolic process
C4ZVF6	oxidation-reduction process
P55135	methylation|rRNA processing
P75958	transport
P0AG20	phosphorylation
C4ZU61	phosphorylation
P18133	pyridine nucleotide biosynthetic process
B1XCP1	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZXM7	DNA repair|response to DNA damage stimulus|metabolic process
B1X6Q8	tricarboxylic acid cycle
B1X6D5	tRNA processing
C4ZYW3	response to stress
B1XDW8	oxidation-reduction process
C4ZXD3	cellular cell wall organization|cell wall macromolecule catabolic process
P08997	glyoxylate cycle|tricarboxylic acid cycle
A4UR78	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0AA67	transport
B1X8A2	oxidation-reduction process|nitrate assimilation|transport|electron transport chain
B1X8N5	pyridine nucleotide biosynthetic process
P77714	transport|electron transport chain
P22939	isoprenoid biosynthetic process
C4ZVT9	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P38038	oxidation-reduction process|cellular amino acid biosynthetic process|transport|cysteine biosynthetic process|electron transport chain
P68644	oxidation-reduction process|transport|electron transport chain
B1XBG7	transport|electron transport chain
C4ZQE0	oxidation-reduction process
P39407	lipid catabolic process|lipid metabolic process
C4ZUJ9	tRNA processing
C4ZRS6	DNA replication
P0CF45	transposition|DNA recombination
C5A134	phospholipid biosynthetic process
Q2EES9	regulation of transcription, DNA-dependent|transcription, DNA-dependent|DNA recombination
B1XBQ2	tRNA processing|methylation
C4ZTX9	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1X8N9	oxidation-reduction process
B1X776	glycogen metabolic process|carbohydrate metabolic process|metabolic process
B1XC63	regulation of cell shape|peptidoglycan biosynthetic process|cell cycle|cell division|cellular cell wall organization
B1X6T0	cobalamin biosynthetic process
P69931	DNA replication
B1X858	phosphorylation
B1X671	DNA repair|SOS response|response to DNA damage stimulus
P05020	pyrimidine nucleotide biosynthetic process
P46889	chromosome segregation|cell cycle|cell division
B1XFQ9	DNA repair|response to DNA damage stimulus|DNA recombination
B1XCC9	oxidation-reduction process
C4ZZ34	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XD77	methylation
P15068	conjugation
D0VEX4	lipid biosynthetic process|fatty acid biosynthetic process|metabolic process
P0A972	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZPU6	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZTK1	queuosine biosynthetic process
P76335	transport|ion transport
B1XEY8	two-component signal transduction system (phosphorelay)|phosphorylation
P39362	carbohydrate metabolic process
P52643	oxidation-reduction process|response to stress
P0AEX3	transport
P0AG76	DNA recombination|DNA replication
B1XE74	transport
C4ZUT2	transport|ion transport
C5A152	DNA repair|SOS response|response to DNA damage stimulus|nucleotide-excision repair
C4ZVI3	oxidation-reduction process
P25522	tRNA processing
C4ZRB4	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P24082	conjugation
P0A794	pyridoxine biosynthetic process
P0ACU7	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1X5W6	two-component signal transduction system (phosphorelay)
B1XFU0	purine base metabolic process
P31466	transport
C4ZV61	carbohydrate transport|transport
B1XCX1	transport
P0A9J4	oxidation-reduction process|pantothenate biosynthetic process
C5A0S0	translational elongation|translation
P0AEX9	carbohydrate transport|transport
P0A790	pantothenate biosynthetic process
C4ZQQ5	cobalamin biosynthetic process
B1X935	oxidation-reduction process|tRNA processing|methylation|metabolic process
B1XHF2	methylation
P76071	transposition|DNA recombination
P0C0L2	oxidation-reduction process
P0AC96	D-gluconate metabolic process|transport|carbohydrate transport
C5A0I4	oxidation-reduction process
P23003	tRNA processing|methylation
P09155	tRNA processing
C4ZSR1	ribosome biogenesis
B1XGB0	purine base metabolic process
B1X9L1	transport
C4ZR10	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0AFC7	oxidation-reduction process|transport
B1X9D6	transport|sodium ion transport|ion transport
P75898	oxidation-reduction process
Q46800	oxidation-reduction process|purine base metabolic process|purine ribonucleoside salvage
B1XCS4	cell cycle|cell division
P0A7H6	DNA repair|response to DNA damage stimulus|DNA recombination
B1XFL1	regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)
A4UR75	regulation of transcription, DNA-dependent|transcription, DNA-dependent
D0VE88	phospholipid biosynthetic process
C4ZY85	nucleotide metabolic process
P76407	phosphorylation|phospholipid biosynthetic process
P10026	conjugation
P40719	two-component signal transduction system (phosphorelay)|phosphorylation
P77324	oxidation-reduction process|purine base metabolic process|purine ribonucleoside salvage
P76192	oxidation-reduction process
P19934	bacteriocin transport|transport|protein transport
P23721	cellular amino acid biosynthetic process|L-serine biosynthetic process|pyridoxine biosynthetic process|L-serine metabolic process
B1X800	methylation|rRNA processing
B1XCY2	transport
P0AAH4	transport|protein transport|peptide transport
P0A9Y6	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P11458	pyridine nucleotide biosynthetic process
C4ZZN9	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XBL1	tryptophan biosynthetic process|cellular amino acid biosynthetic process|aromatic amino acid family biosynthetic process
B1XGR1	transport
P45766	amino acid transport|transport
P61320	transport|protein transport
B1XEC9	oxidation-reduction process
P52598	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0AC55	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P76175	transport|chloride transport|regulation of ion transmembrane transport|ion transport
C4ZZD5	oxidation-reduction process
B1XDJ5	two-component signal transduction system (phosphorelay)|phosphorylation
B1X7I5	transport
P0A9I8	oxidation-reduction process|nitrate assimilation
P0AA41	tRNA processing
C4ZYC3	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZY73	DNA replication
P77237	cytolysis|cell wall macromolecule catabolic process
P11446	oxidation-reduction process|cellular amino acid biosynthetic process|arginine biosynthetic process
B1XF23	defense response to bacterium|cytolysis|metabolic process
P77499	transport
P0ABR7	oxidation-reduction process
P25665	cellular amino acid biosynthetic process|methionine biosynthetic process|methylation
P08245	translation|regulation of translation
P0ABL5	transport|electron transport chain
P77467	fatty acid metabolic process|lipid metabolic process
P0ABZ6	protein folding
B1X8Z4	oxidation-reduction process
C4ZRS2	lipid A biosynthetic process|lipid biosynthetic process
C4ZW96	oxidation-reduction process
P75857	transport
C4ZYT6	transport
B1XFD1	glyoxylate cycle|tricarboxylic acid cycle
P0A6Z1	response to stress
C4ZZ14	transport|proton transport|ion transport|ATP biosynthetic process
P0A814	DNA repair|response to DNA damage stimulus|DNA recombination
C4ZSW0	carbohydrate metabolic process|phosphorylation
C4ZU25	transport
P25741	lipopolysaccharide biosynthetic process|phosphorylation
C4ZVQ7	phosphorylation
P0CE57	transposition|DNA recombination
B1X8C6	ubiquinone biosynthetic process|methylation
B1XB33	cellular cell wall organization
B1XEZ3	queuosine biosynthetic process
P0AE67	chemotaxis|ciliary or flagellar motility|two-component signal transduction system (phosphorelay)
P63224	lipopolysaccharide biosynthetic process|carbohydrate metabolic process
P0ACH1	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0AB71	glycolysis
P33595	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P21866	regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)
P0AC47	oxidation-reduction process|transport|tricarboxylic acid cycle|electron transport chain
C4ZZQ1	isoprenoid biosynthetic process
P0AEU0	amino acid transport|transport
C5A026	Mo-molybdopterin cofactor biosynthetic process
C5A1C7	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P27127	lipopolysaccharide biosynthetic process
P0A9F6	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P08622	DNA replication|response to stress
C4ZS65	transport
P23827	negative regulation of peptidase activity
C4ZZ21	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P07395	translation
B1XF74	two-component signal transduction system (phosphorelay)|phosphorylation
P04982	carbohydrate metabolic process
C4ZTT1	DNA replication|phosphorylation|DNA metabolic process
Q46801	purine base metabolic process|purine ribonucleoside salvage
B1X9Y2	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P31677	response to stress
C4ZRN5	phosphorylation
C4ZTJ3	protein folding|cell cycle|cell division
B1X9H2	oxidation-reduction process
P37597	transport
C5A034	ribosome biogenesis
P60785	translation
B1X768	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0A6E6	transport|proton transport|ion transport|ATP biosynthetic process
B1X9S4	phosphorylation
P37051	one-carbon metabolic process|purine nucleotide biosynthetic process
C4ZTG5	transport|protein transport|transmembrane transport
C4ZZ07	carbohydrate metabolic process
Q47377	transport|lipid A biosynthetic process|lipid biosynthetic process|lipopolysaccharide biosynthetic process
C4ZTI0	thiamine biosynthetic process
P32716	response to antibiotic|transport
C4ZY54	transport|chloride transport|regulation of ion transmembrane transport|ion transport
B1XAJ2	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P52599	transport
B1XFF7	oxidation-reduction process
C4ZXT5	transport
P39334	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C5A153	DNA replication
C4ZYV4	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZQE7	DNA repair|response to DNA damage stimulus|DNA recombination
C5A0E7	phosphorylation
C4ZSB0	cellular amino acid biosynthetic process|histidine biosynthetic process
P00811	response to antibiotic
C4ZVK9	fatty acid biosynthetic process
P0AG40	metabolic process
B1XHI5	two-component signal transduction system (phosphorelay)|phosphorylation
P75763	transport
C4ZY99	glycolysis|phosphorylation
C4ZVX4	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XAK4	regulation of transcription, DNA-dependent
P37653	cellulose biosynthetic process
P37675	transport
B1XAF0	cellular amino acid biosynthetic process|lysine biosynthetic process|diaminopimelate biosynthetic process
P32672	transport|carbohydrate transport|phosphoenolpyruvate-dependent sugar phosphotransferase system
P0AE52	oxidation-reduction process
P06609	transport
C4ZQ48	chromosome segregation|chromosome condensation|cell cycle|cell division
C4ZW87	transport
P75966	rRNA processing
B1XC18	methylation
P0AAJ1	transport|electron transport chain
C5A069	carbohydrate metabolic process|rhamnose metabolic process
P26218	transport|ion transport
P76161	transcription, DNA-dependent|regulation of transcription, DNA-dependent|transcription antitermination
P07013	DNA replication, synthesis of RNA primer|DNA replication
B1XBJ2	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XGC7	oxidation-reduction process|cellular amino acid biosynthetic process|one-carbon metabolic process|methionine biosynthetic process|purine nucleotide biosynthetic process|histidine biosynthetic process|metabolic process
P0ADW3	oxidation-reduction process
P37674	transport
P61889	oxidation-reduction process|tricarboxylic acid cycle
P69380	transport|ion transport|iron ion homeostasis
P09099	carbohydrate metabolic process|D-xylose metabolic process|phosphorylation
P0AAM1	transport|electron transport chain
B1XAK6	oxidation-reduction process
B1X7Y8	transport
P28638	methylation
Q57083	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P05824	DNA repair|response to DNA damage stimulus
B1X8I1	pentose-phosphate shunt|carbohydrate metabolic process|D-xylose metabolic process
C4ZWT2	transport
P0AFE4	oxidation-reduction process|transport
B1XBX2	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P75894	oxidation-reduction process
B1X6E2	transport|ion transport
P31459	phosphorylation
C4ZWU7	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P12999	biotin biosynthetic process|methylation
C4ZQY4	transcription, DNA-dependent|regulation of transcription, DNA-dependent
B1XB92	glycerol metabolic process|phosphorylation
B1XAH2	porphyrin biosynthetic process
A4UR80	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZY19	transport
B1X637	translation
P77503	oxidation-reduction process
P24181	transport|cell cycle|cell division
B1XDF5	oxidation-reduction process
C4ZU83	oxidation-reduction process
C5A098	response to stress
B1X9W5	transport|proton transport|ion transport|ATP biosynthetic process
P0ACB0	DNA replication, synthesis of RNA primer|DNA replication
B1XDB0	oxidation-reduction process|fatty acid metabolic process|lipid metabolic process
B1XGF8	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P15043	DNA repair|SOS response|DNA recombination|response to DNA damage stimulus
B1X814	oxidation-reduction process
P77414	lipopolysaccharide biosynthetic process
P0CI31	oxidation-reduction process|aromatic compound catabolic process
B1X8P9	oxidation-reduction process|pyrimidine nucleotide biosynthetic process
C4ZZL8	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XHC8	DNA repair|SOS response|DNA recombination|response to DNA damage stimulus
P15877	oxidation-reduction process
C4ZPZ2	positive regulation of transcription, DNA-dependent|negative regulation of transcription, DNA-dependent
Q47538	transport
B1X8M2	lipopolysaccharide biosynthetic process
B1XC81	transport
P0A7E3	pyrimidine nucleotide biosynthetic process
B1XC88	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XAX4	purine nucleotide biosynthetic process
P0AAB6	lipopolysaccharide biosynthetic process
P0AEE5	chemotaxis|carbohydrate transport|transport
P0A720	nucleotide biosynthetic process|phosphorylation
B1XAN4	cellular cell wall organization
P0CF46	transposition|DNA recombination
B1XGR3	oxidation-reduction process
P32703	transport|sodium ion transport|ion transport
P39265	carbohydrate transport|transport
P11350	oxidation-reduction process|nitrate assimilation|transport|electron transport chain
P27245	response to antibiotic|transcription, DNA-dependent|regulation of transcription, DNA-dependent
B1X731	translation
B1XCV1	transport
B1XHC2	glycolysis|phosphorylation
P31802	nitrate assimilation|transcription, DNA-dependent|regulation of transcription, DNA-dependent|two-component signal transduction system (phosphorelay)
C5A1E2	transport
C4ZSN2	carbohydrate metabolic process
P0A935	cellular cell wall organization
C4ZUJ8	tRNA processing
P0AF52	transport
P02919	response to antibiotic|regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization|metabolic process
C4ZQJ4	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZUC3	oxidation-reduction process
B1XBS9	tRNA processing|methylation
B1XER7	transcription, DNA-dependent|regulation of transcription, DNA-dependent
P27247	phospholipid biosynthetic process
P0AAJ8	oxidation-reduction process
B1XFN5	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZRQ8	cellular amino acid biosynthetic process|lysine biosynthetic process|diaminopimelate biosynthetic process
C4ZRU7	methylation
C4ZT99	cellular amino acid biosynthetic process|proline biosynthetic process|phosphorylation
C4ZWQ5	transport
P08373	oxidation-reduction process|regulation of cell shape|peptidoglycan biosynthetic process|cell cycle|cellular cell wall organization|cell division
C4ZY01	transport
B1X8M7	chromosome segregation|DNA replication
O32583	thiamine biosynthetic process
P0AE58	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0AEA5	heme biosynthetic process
P0ABE2	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZUQ6	response to stress
B1XC75	transport|protein transport|transmembrane transport
C4ZUM1	oxidation-reduction process
P30744	gluconeogenesis
P45767	amino acid transport|transport
P16430	oxidation-reduction process
P0AFW0	lipopolysaccharide biosynthetic process|transcription, DNA-dependent|regulation of transcription, DNA-dependent
P52094	amino acid transport|transport
C4ZUY9	phosphorylation
B1X788	galactose metabolic process|carbohydrate metabolic process
P07118	translation
B1X775	glycogen biosynthetic process
C4ZRC1	oxidation-reduction process
P13458	DNA recombination|DNA replication
P0A9A6	barrier septum formation|cell cycle|cell division
P75811	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P76398	transport
P0AGB6	regulation of transcription, DNA-dependent|transcription, DNA-dependent|response to stress
P0ADH7	DNA integration|transcription, DNA-dependent|regulation of transcription, DNA-dependent|DNA recombination
P75779	oxidation-reduction process
C4ZYH1	transport
P76083	oxidation-reduction process|fatty acid metabolic process|lipid metabolic process
B1X631	methylation|rRNA processing
B1X6R9	transport|protein transport
P0A6T5	one-carbon metabolic process|metabolic process
P37388	carbohydrate transport|transport
P05042	tricarboxylic acid cycle|metabolic process
P41442	transport
P68066	response to stress
C4ZU09	DNA repair|response to DNA damage stimulus
B1XE36	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0AFR9	transport
C4ZZW0	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZQ26	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZTF7	two-component signal transduction system (phosphorelay)|phosphorylation
P31663	pantothenate biosynthetic process
P08331	metabolic process
B1X9R9	translation
C4ZVU5	cellular amino acid biosynthetic process|cysteine biosynthetic process
P0C0V0	response to stress
P02931	transport|ion transport
P23484	transport|regulation of transcription, DNA-dependent|transcription, DNA-dependent|ion transport|iron ion homeostasis
P0AFD4	oxidation-reduction process
B1X940	tRNA processing|tRNA methylation|methylation
C4ZQ41	lipid biosynthetic process|lipid A biosynthetic process|phosphorylation
P0AFA7	transport|sodium ion transport|ion transport
C4ZYK0	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0A8V2	transcription, DNA-dependent
P25397	response to antibiotic|response to tellurium ion|methylation
C4ZVU8	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
C4ZVX9	glycogen biosynthetic process
C4ZWP8	oxidation-reduction process
B1XA63	barrier septum formation|cell cycle|cell division
P37758	nitrate assimilation|transport
B1X9M2	transport
C4ZUN0	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1X6L1	carbohydrate metabolic process|metabolic process
B1X781	phosphorylation
P16679	transport|phosphonate transport
P00452	oxidation-reduction process|DNA replication|metabolic process
P77439	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
P30143	transport
B1XE91	oxidation-reduction process
P76298	transport|protein transport|flagellum organization
Q0PWM5	oxidation-reduction process
P10902	oxidation-reduction process|pyridine nucleotide biosynthetic process
P09372	response to stress
P0A7B1	phosphorylation
C4ZRI2	regulation of cell shape|peptidoglycan biosynthetic process|cell cycle|cell division|cellular cell wall organization
B1XGT1	amino acid transport|transport
P22634	regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization
C4ZV87	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0CF83	transposition|DNA recombination
P0AE01	tRNA processing|methylation
P39325	transport
P43531	transport
C4ZRM6	pantothenate biosynthetic process
C4ZS33	oxidation-reduction process
P77581	arginine metabolic process
B1XGN6	oxidation-reduction process
P45395	lipopolysaccharide biosynthetic process
P76197	transport
B1X9X6	carbohydrate transport|transport
P23538	phosphorylation
P16676	sulfate transport|transport
P0AFG3	oxidation-reduction process|glycolysis
C5A0A9	oxidation-reduction process|hydrogen peroxide catabolic process
B1X7H1	transport
P06972	transport|ion transport|iron ion homeostasis
C4ZYW2	transport
C4ZXU7	biotin biosynthetic process
P21437	carbohydrate metabolic process
B1XG51	transport
C4ZWH2	transport|potassium ion transport|ion transport
P0AES4	response to antibiotic
P23873	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P76230	transport
C5A0T5	thiamine biosynthetic process
P05100	DNA repair|response to DNA damage stimulus
P30847	two-component signal transduction system (phosphorelay)|phosphorylation
C5A077	carbohydrate transport|transport
P31435	transport
B1X7V1	dipeptide transport|transport|protein transport|tripeptide transport|peptide transport
B1XCW4	oxidation-reduction process
P0A9T4	oxidation-reduction process
P0AFL3	protein folding
B1XF03	riboflavin biosynthetic process
C4ZUA3	menaquinone biosynthetic process
B1XCU0	DNA replication
B1X8W6	response to antibiotic|lipid biosynthetic process|lipid A biosynthetic process|lipopolysaccharide biosynthetic process
B1XAW1	oxidation-reduction process
B1XAZ1	regulation of cell shape
P19318	oxidation-reduction process|nitrate assimilation|transport|electron transport chain
