Genea	GI	Product
yrbG	1789587	predicted calcium/sodium:proton antiporter
kdsD	1789588	D-arabinose 5-phosphate isomerase
kdsC	2367202	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase
lptC	1789591	conserved protein
lptA	1789592	periplasmic LPS-binding protein
lptB	1789593	predicted transporter subunit: ATP-binding component of ABC superfamily
rpoN	1789594	RNA polymerase, sigma 54 (sigma N) factor
hpf	1789595	predicted ribosome-associated, sigma 54 modulation protein
ptsN	1789597	sugar-specific enzyme IIA component of PTS
yhbJ	1789598	predicted protein with nucleoside triphosphate hydrolase domain
npr	1789599	phosphohistidinoprotein-hexose phosphotransferase component of N-regulated PTS system (Npr)
yrbL	1789600	predicted protein
mtgA	1789601	biosynthetic peptidoglycan transglycosylase
elbB	87082228	isoprenoid biosynthesis protein with amidotransferase-like domain
arcB	48994928	hybrid sensory histidine kinase in two-component regulatory system with ArcA
yhcC	2367204	predicted Fe-S oxidoreductase
gltB	1789605	glutamate synthase, large subunit
gltD	1789606	glutamate synthase, 4Fe-4S protein, small subunit
yhcH	1789615	conserved protein
nanK	87082230	predicted N-acetylmannosamine kinase
nanE	1789617	predicted N-acetylmannosamine-6-P epimerase
nanT	87082231	sialic acid transporter
nanA	1789620	N-acetylneuraminate lyase
nanR	1789621	DNA-binding transcriptional dual regulator
sspB	1789623	ClpXP protease specificity-enhancing factor
sspA	1789624	stringent starvation protein A
rpsI	1789625	30S ribosomal subunit protein S9
rplM	1789626	50S ribosomal subunit protein L13
yhcM	1789627	conserved protein with nucleoside triphosphate hydrolase domain
yhcB	87082232	conserved protein
degQ	1789629	serine endoprotease, periplasmic
degS	1789630	serine endoprotease, periplasmic
mdh	1789632	malate dehydrogenase, NAD(P)-binding
argR	1789633	DNA-binding transcriptional dual regulator, L-arginine-binding
yhcN	87082233	conserved protein
yhcO	1789635	predicted barnase inhibitor
aaeB	1789636	p-hydroxybenzoic acid efflux system component
aaeA	1789637	p-hydroxybenzoic acid efflux system component
aaeX	87082234	membrane protein of efflux system
aaeR	1789639	predicted DNA-binding transcriptional regulator, efflux system
tldD	1789640	predicted peptidase
yhdP	48994929	conserved membrane protein, predicted transporter
rng	87082235	ribonuclease G
yhdE	1789646	conserved protein
mreD	1789647	cell wall structural complex MreBCD transmembrane component MreD
mreC	1789648	cell wall structural complex MreBCD transmembrane component MreC
mreB	87082236	cell wall structural complex MreBCD, actin-like component MreB
yhdT	1789655	conserved inner membrane protein
prmA	2367208	methylase for 50S ribosomal subunit protein L11
dusB	1789660	tRNA-dihydrouridine synthase B
fis	1789661	global DNA-binding transcriptional dual regulator
acrE	1789665	cytoplasmic membrane lipoprotein
acrF	1789666	multidrug efflux system protein
yhdY	87082239	predicted amino-acid transporter subunit
yhdZ	1789672	predicted amino-acid transporter subunit
yrdB	1789674	conserved protein
aroE	1789675	dehydroshikimate reductase, NAD(P)-binding
rimN	2367210	predicted ribosome maturation factor
yrdD	48994931	predicted DNA topoisomerase
smg	1789679	conserved protein
smf	48994932	conserved protein
def	1789682	peptide deformylase
fmt	1789683	10-formyltetrahydrofolate:L-methionyl-tRNA(fMet) N-formyltransferase
rsmB	2367212	16S rRNA m(5)C967 methyltransferase, S-adenosyl-L-methionine-dependent
trkA	1789685	NAD-binding component of TrK potassium transporter
rplQ	1789689	50S ribosomal subunit protein L17
rpoA	1789690	RNA polymerase, alpha subunit
rpsD	1789691	30S ribosomal subunit protein S4
rpsK	1789692	30S ribosomal subunit protein S11
rpsM	1789693	30S ribosomal subunit protein S13
rpmJ	1789695	50S ribosomal subunit protein L36
rplE	1789704	50S ribosomal subunit protein L5
rplX	1789705	50S ribosomal subunit protein L24
rplN	1789706	50S ribosomal subunit protein L14
yheV	87082247	predicted protein
kefG	1789750	component of potassium effux complex with KefB
yheS	1789751	fused predicted transporter subunits of ABC superfamily: ATP-binding components
yheT	1789752	predicted hydrolase
yheU	1789753	conserved protein
prkB	2367214	predicted phosphoribulokinase
crp	1789756	DNA-binding transcriptional dual regulator
yhfK	87082248	conserved inner membrane protein
argD	1789759	bifunctional acetylornithine aminotransferase/ succinyldiaminopimelate aminotransferase
pabA	1789760	aminodeoxychorismate synthase, subunit II
fic	1789761	stationary-phase protein, cell division
yhfG	1789762	predicted protein
ppiA	1789763	peptidyl-prolyl cis-trans isomerase A (rotamase A)
tsgA	1789764	predicted transporter
nirB	1789765	nitrite reductase, large subunit, NAD(P)H-binding
nirD	1789766	nitrite reductase, NAD(P)H-binding, small subunit
nirC	87082249	nitrite transporter
cysG	1789768	fused siroheme synthase 1,3-dimethyluroporphyriongen III dehydrogenase and siroheme ferrochelatase/uroporphyrinogen methyltransferase
trpS	1789786	tryptophanyl-tRNA synthetase
gph	1789787	phosphoglycolate phosphatase
rpe	1789788	D-ribulose-5-phosphate 3-epimerase
dam	1789789	DNA adenine methylase
damX	1789790	predicted protein
aroB	1789791	3-dehydroquinate synthase
aroK	87082255	shikimate kinase I
hofQ	1789793	predicted fimbrial transporter
hofO	1789795	conserved membrane protein
hofN	1789796	predicted fimbrial assembly protein
hofM	87082257	predicted pilus assembly protein
mrcA	87082258	fused penicillin-binding protein 1a: murein transglycosylase/murein transpeptidase
nudE	1789800	ADP-ribose diphosphatase
yrfF	1789801	predicted inner membrane protein
yrfG	87082259	predicted hydrolase
hslR	1789803	ribosome-associated heat shock protein Hsp15
hslO	87082260	heat shock protein Hsp33
yhgE	1789805	predicted inner membrane protein
pck	1789807	phosphoenolpyruvate carboxykinase
envZ	1789808	sensory histidine kinase in two-component regulatory system with OmpR
ompR	1789809	DNA-binding response regulator in two-component regulatory system with EnvZ
greB	87082261	transcription elongation factor
yhgF	87082262	predicted transcriptional accessory protein
feoA	1789812	ferrous iron transporter, protein A
feoB	1789813	fused ferrous iron transporter, protein B: GTP-binding protein/membrane protein
feoC	1789814	predicted DNA-binding transcriptional regulator
bioH	1789817	carboxylesterase of pimeloyl-CoA synthesis
gntX	87082263	gluconate periplasmic binding protein with phosphoribosyltransferase domain, GNT I system
nfuA	1789819	predicted gluconate transport associated protein
gntT	48994935	gluconate transporter, high-affinity GNT I system
malQ	1789821	4-alpha-glucanotransferase (amylomaltase)
malP	48994936	maltodextrin phosphorylase
malT	2367223	fused conserved protein: DNA-binding transcriptional activator/maltotriose-ATP-binding protein
rtcA	48994937	RNA 3'-terminal phosphate cyclase
glpR	1789829	DNA-binding transcriptional repressor
glpG	48994938	predicted intramembrane serine protease
glpE	1789831	thiosulfate:cyanide sulfurtransferase (rhodanese)
glpD	2367226	sn-glycerol-3-phosphate dehydrogenase, aerobic, FAD/NAD(P)-binding
glgP	2367228	glycogen phosphorylase
glgA	1789836	glycogen synthase
glgC	1789837	glucose-1-phosphate adenylyltransferase
glgX	2367229	glycogen debranching enzyme
glgB	1789839	1,4-alpha-glucan branching enzyme
asd	1789841	aspartate-semialdehyde dehydrogenase, NAD(P)-binding
yhgN	1789842	predicted antibiotic transporter
gntU	48994939	gluconate transporter, low affinity GNT 1 system
gntK	87082265	gluconate kinase 2
gntR	48994940	DNA-binding transcriptional repressor
yhhW	1789847	predicted protein
yhhX	1789848	predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain
ggt	1789856	gamma-glutamyltranspeptidase
yhhA	1789857	conserved protein
ugpQ	1789858	glycerophosphodiester phosphodiesterase, cytosolic
ugpC	87082267	glycerol-3-phosphate transporter subunit
ugpE	1789860	glycerol-3-phosphate transporter subunit
livF	87082268	leucine/isoleucine/valine transporter subunit
livG	1789864	leucine/isoleucine/valine transporter subunit
livM	1789865	leucine/isoleucine/valine transporter subunit
livH	1789866	leucine/isoleucine/valine transporter subunit
livK	1789867	leucine transporter subunit
yhhK	1789869	conserved protein
livJ	48994941	leucine/isoleucine/valine transporter subunit
rpoH	1789871	RNA polymerase, sigma 32 (sigma H) factor
ftsX	1789872	predicted transporter subunit: membrane component of ABC superfamily
ftsE	1789873	predicted transporter subunit: ATP-binding component of ABC superfamily
ftsY	1789874	fused Signal Recognition Particle (SRP) receptor: membrane binding protein/conserved protein
rsmD	1789875	16S rRNA m(2)G966 methyltransferase, SAM-dependent
yhhL	1789876	conserved inner membrane protein
yhhM	1789877	conserved protein
yhhN	1789878	conserved inner membrane protein
zntA	1789879	zinc, cobalt and lead efflux system
sirA	1789881	conserved protein required for cell growth
yhhQ	1789882	conserved inner membrane protein
dcrB	87082269	periplasmic protein
yhhS	87082270	predicted transporter
acpT	1789886	holo-(acyl carrier protein) synthase 2
nikA	1789887	nickel transporter subunit
nikB	1789888	nickel transporter subunit
nikC	1789889	nickel transporter subunit
nikD	1789890	nickel transporter subunit
nikE	1789891	nickel transporter subunit
nikR	1789892	DNA-binding transcriptional repressor, Ni-binding
yhiN	2367234	predicted oxidoreductase with FAD/NAD(P)-binding domain
pitA	1789907	phosphate transporter, low-affinity
uspB	1789908	predicted universal stress (ethanol tolerance) protein B
uspA	1789909	universal stress global response regulator
dtpB	1789911	predicted transporter
yhiQ	1789912	predicted SAM-dependent methyltransferase
prlC	1789913	oligopeptidase A
yhiR	1789914	predicted DNA (exogenous) processing protein
gor	1789915	glutathione oxidoreductase
dinQ	145693192	Damage inducible, function unknown
arsC	1789918	arsenate reductase
slp	87082278	outer membrane lipoprotein
dctR	1789923	predicted DNA-binding ranscriptional regulator
hdeB	87082279	acid-resistance protein
hdeA	1789926	stress response protein acid-resistance protein
hdeD	1789927	acid-resistance membrane protein
gadE	1789928	DNA-binding transcriptional activator
mdtF	1789930	multidrug transporter, RpoS-dependent
gadW	1789932	DNA-binding transcriptional activator
gadX	1789933	DNA-binding transcriptional dual regulator
gadA	1789934	glutamate decarboxylase A, PLP-dependent
yhjC	145693193	predicted DNA-binding transcriptional regulator
yhjD	1789939	conserved inner membrane protein
yhjE	1789941	predicted transporter
yhjG	2367236	predicted outer membrane biogenesis protein
yhjH	87082280	EAL domain containing protein involved in flagellar function
kdgK	87082281	ketodeoxygluconokinase
yhjJ	1789946	predicted zinc-dependent peptidase
dctA	1789947	C4-dicarboxylic acid, orotate and citrate transporter
yhjK	145693194	predicted diguanylate cyclase
ldrD	48994945	toxic polypeptide, small
yhjV	1789961	predicted transporter
dppF	1789962	dipeptide transporter
dppD	1789963	dipeptide transporter
dppC	1789964	dipeptide transporter
dppB	1789965	dipeptide transporter
dppA	1789966	dipeptide transporter
yhjX	1789969	predicted transporter
yhjY	87082287	conserved protein
tag	1789971	3-methyl-adenine DNA glycosylase I, constitutive
yiaC	1789972	predicted acyltransferase with acyl-CoA N-acyltransferase domain
bisC	145693196	biotin sulfoxide reductase
ghrB	87082289	2-keto-D-gluconate reductase (glyoxalate reductase) (2-ketoaldonate reductase)
yiaF	87082290	conserved protein
yiaG	1789978	predicted transcriptional regulator
cspA	1789979	major cold shock protein
hokA	48994947	toxic polypeptide, small
glyS	1789982	glycine tRNA synthetase, beta subunit
glyQ	1789983	glycine tRNA synthetase, alpha subunit
ysaB	87082291	predicted protein
ysaA	2367245	predicted hydrogenase, 4Fe-4S ferredoxin-type component
yiaS	1790008	L-ribulose-5-phosphate 4-epimerase
selB	2367247	selenocysteinyl-tRNA-specific translation factor
selA	2367248	selenocysteine synthase
yibF	1790018	predicted glutathione S-transferase
lldP	1790031	L-lactate permease
lldR	1790032	DNA-binding transcriptional repressor
lldD	1790033	L-lactate dehydrogenase, FMN-linked
yibK	1790034	predicted rRNA methylase
cysE	1790035	serine acetyltransferase
gpsA	1790037	glycerol-3-phosphate dehydrogenase (NAD+)
secB	1790038	protein export chaperone
grxC	1790039	glutaredoxin 3
yibN	1790040	predicted rhodanese-related sulfurtransferase
gpmM	1790041	phosphoglycero mutase III, cofactor-independent
envC	87082297	protease with a role in cell division
yibQ	87082298	predicted polysaccharide deacetylase
tdh	1790045	threonine 3-dehydrogenase, NAD(P)-binding
kbl	1790046	glycine C-acetyltransferase
rfaD	1790049	ADP-L-glycero-D-mannoheptose-6-epimerase, NAD(P)-binding
rfaF	1790050	ADP-heptose:LPS heptosyltransferase II
rfaP	1790060	kinase that phosphorylates core heptose of lipopolysaccharide
rfaG	1790061	glucosyltransferase I
waaA	1790064	3-deoxy-D-manno-octulosonic-acid transferase (KDO transferase)
coaD	1790065	pantetheine-phosphate adenylyltransferase
mutM	1790066	formamidopyrimidine/5-formyluracil/ 5-hydroxymethyluracil DNA glycosylase
rpmG	1790067	50S ribosomal subunit protein L33
dfp	87082301	fused 4'-phosphopantothenoylcysteine decarboxylase/phosphopantothenoylcysteine synthetase, FMN-binding
dut	1790071	deoxyuridinetriphosphatase
slmA	87082302	division inhibitor
pyrE	1790073	orotate phosphoribosyltransferase
rph	157672248	defective ribonuclease PH
yicC	1790075	conserved protein
yicG	87082304	conserved inner membrane protein
gmk	1790080	guanylate kinase
rpoZ	1790081	RNA polymerase, omega subunit
spoT	1790082	bifunctional (p)ppGpp synthetase II/ guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase
trmH	1790083	tRNA mG18-2'-O-methyltransferase, SAM-dependen
recG	2367254	ATP-dependent DNA helicase
gltS	1790085	glutamate transporter
xanP	1790087	predicted transporter
yicH	1790088	conserved protein
yicJ	87082306	predicted transporter
nlpA	1790093	cytoplasmic membrane lipoprotein-28
nepI	145693198	predicted transporter
yicN	87082308	conserved protein
yicO	87082309	predicted xanthine/uracil permase
ade	1790098	cryptic adenine deaminase
uhpT	2367259	hexose phosphate transporter
uhpC	87082310	membrane protein regulates uhpT expression
uhpB	87082311	sensory histidine kinase in two-component regulatory sytem with UhpA
uhpA	1790102	DNA-binding response regulator in two-component regulatory system wtih UhpB
ilvN	1790103	acetolactate synthase I, small subunit
ilvB	1790104	acetolactate synthase I, large subunit
ivbL	1790106	ilvB operon leader peptide
emrD	87082312	multidrug efflux system protein
yidF	1790108	predicted DNA-binding transcriptional regulator
yidG	1790109	predicted inner membrane protein
yidH	1790110	conserved inner membrane protein
yidE	87082315	predicted transporter
ibpB	87082316	heat shock chaperone
ibpA	1790122	heat shock chaperone
yidQ	87082317	conserved outer membrane protein
yidR	87082318	conserved protein
yidB	87082321	conserved protein
gyrB	48994957	DNA gyrase, subunit B
recF	1790135	gap repair protein
dnaN	1790136	DNA polymerase III, beta subunit
dnaA	2367267	chromosomal replication initiator protein DnaA, DNA-binding transcriptional dual regulator
rpmH	1790138	50S ribosomal subunit protein L34
rnpA	1790139	protein C5 component of RNase P
yidD	87082322	predicted protein
yidC	1790140	cytoplasmic insertase into membrane protein, Sec system
mnmE	2367268	GTPase
mdtL	1790146	multidrug efflux system protein
yieE	1790148	predicted phosphopantetheinyl transferase
yieF	1790149	chromate reductase, Class I, flavoprotein
purP	1790150	predicted inner membrane protein
phoU	1790161	negative regulator of PhoR/PhoB two-component regulator
pstB	1790162	phosphate transporter subunit
pstA	1790163	phosphate transporter subunit
pstC	1790164	phosphate transporter subunit
pstS	2367271	phosphate transporter subunit
glmS	1790167	L-glutamine:D-fructose-6-phosphate aminotransferase
glmU	1790168	fused N-acetyl glucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyl transferase
atpC	1790169	F1 sector of membrane-bound ATP synthase, epsilon subunit
atpD	1790170	F1 sector of membrane-bound ATP synthase, beta subunit
atpG	1790171	F1 sector of membrane-bound ATP synthase, gamma subunit
atpA	1790172	F1 sector of membrane-bound ATP synthase, alpha subunit
atpH	1790173	F1 sector of membrane-bound ATP synthase, delta subunit
atpF	1790174	F0 sector of membrane-bound ATP synthase, subunit b
atpE	1790175	F0 sector of membrane-bound ATP synthase, subunit c
atpB	1790176	F0 sector of membrane-bound ATP synthase, subunit a
rsmG	1790179	methyltransferase, SAM-dependent methyltransferase, glucose-inhibited cell-division protein
mioC	1790181	FMN-binding protein MioC
asnC	1790182	DNA-binding transcriptional dual regulator
asnA	1790183	asparagine synthetase A
viaA	48994959	predicted von Willibrand factor containing protein
ravA	87082326	fused predicted transcriptional regulator: sigma54 activator protein/conserved protein
kup	48994960	potassium transporter
rbsD	87082327	predicted cytoplasmic sugar-binding protein
rbsC	1790191	D-ribose transporter subunit
rbsB	1790192	D-ribose transporter subunit
rbsK	1790193	ribokinase
hsrA	1790195	predicted multidrug or homocysteine efflux system
yieP	48994961	predicted transcriptional regulator
hdfR	48994962	DNA-binding transcriptional regulator
yifE	2367277	conserved protein
ilvL	1790202	ilvG operon leader peptide
ilvM	1790204	acetolactate synthase II, small subunit
ilvE	48994963	branched-chain amino-acid aminotransferase
ilvD	48994964	dihydroxyacid dehydratase
ilvA	1790207	threonine deaminase
ilvY	1790208	DNA-binding transcriptional dual regulator
ilvC	1790210	ketol-acid reductoisomerase, NAD(P)-binding
ppiC	1790211	peptidyl-prolyl cis-trans isomerase C (rotamase C)
rep	48994965	DNA helicase and single-stranded DNA-dependent ATPase
gpp	48994966	guanosine pentaphosphatase/exopolyphosphatase
rhlB	1790214	ATP-dependent RNA helicase
trxA	87082331	thioredoxin 1
rho	1790217	transcription termination factor
rfe	1790218	UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-phosphate transferase
wzzE	87082332	Entobacterial Common Antigen (ECA) polysaccharide chain length modulation protein
rffE	48994967	UDP-N-acetyl glucosamine-2-epimerase
rffD	48994968	UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase
rffG	48994969	dTDP-glucose 4,6-dehydratase
rffH	1790224	glucose-1-phosphate thymidylyltransferase
rffC	145693203	TDP-fucosamine acetyltransferase
rffA	2367285	TDP-4-oxo-6-deoxy-D-glucose transaminase
wzxE	1790227	O-antigen translocase
rffT	48994971	TDP-Fuc4NAc:lipidIIFuc4NAc transferase
wzyE	2367288	predicted Wzy protein involved in ECA polysaccharide chain elongation
rffM	2367289	UDP-N-acetyl-D-mannosaminuronic acid transferase
yifK	48994972	predicted transporter
hemY	1790234	predicted protoheme IX synthesis protein
hemX	1790235	predicted uroporphyrinogen III methylase
hemD	1790236	uroporphyrinogen III synthase
hemC	48994974	hydroxymethylbilane synthase
cyaA	1790238	adenylate cyclase
cyaY	1790239	frataxin, iron-binding and oxidizing protein
yifL	87082333	predicted lipoprotein
dapF	87082334	diaminopimelate epimerase
yigA	1790243	conserved protein
xerC	1790244	site-specific tyrosine recombinase
yigB	2367295	predicted hydrolase
uvrD	2367296	DNA-dependent ATPase I and helicase II
corA	2367297	magnesium/nickel/cobalt transporter
rarD	48994976	predicted chloramphenical resistance permease
yigI	87082336	conserved protein
pldA	2367300	outer membrane phospholipase A
recQ	48994977	ATP-dependent DNA helicase
rhtC	48994978	threonine efflux system
rhtB	48994979	neutral amino-acid efflux system
pldB	48994980	lysophospholipase L(2)
yigL	48994981	predicted hydrolase
yigM	1790261	predicted inner membrane protein
metR	1790262	DNA-binding transcriptional activator, homocysteine-binding
metE	2367304	5-methyltetrahydropteroyltriglutamate- homocysteine S-methyltransferase
ysgA	48994982	predicted hydrolase
udp	1790265	uridine phosphorylase
rmuC	1790266	predicted recombination limiting protein
ubiE	48994983	bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinone methylase/ S-adenosylmethionine:2-DMK methyltransferase
yigP	2367308	conserved protein
ubiB	2367309	2-octaprenylphenol hydroxylase
tatA	87082337	TatABCE protein translocation system subunit
tatB	48994984	TatABCE protein translocation system subunit
tatC	2367313	TatABCE protein translocation system subunit
tatD	48994985	DNase, magnesium-dependent
rfaH	1790276	DNA-binding transcriptional antiterminator
ubiD	1790277	3-octaprenyl-4-hydroxybenzoate decarboxylase
fre	2367314	flavin reductase
fadA	48994986	3-ketoacyl-CoA thiolase (thiolase I)
fadB	1790281	fused 3-hydroxybutyryl-CoA epimerase/delta(3)-cis-delta(2)-trans-enoyl-CoA isomerase/enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase
pepQ	1790282	proline dipeptidase
yigZ	87082338	predicted elongation factor
trkH	48994987	potassium transporter
hemG	1790285	protoporphyrin oxidase, flavoprotein
mobB	145693204	molybdopterin-guanine dinucleotide biosynthesis protein B
mobA	1790288	molybdopterin-guanine dinucleotide synthase
yihD	1790289	conserved protein
rdoA	1790290	Thr/Ser kinase implicated in Cpx stress response
dsbA	1790291	periplasmic protein disulfide isomerase I
yihG	1790293	predicted endonuclease
polA	1790294	fused DNA polymerase I 5'->3' polymerase/3'->5' exonuclease/5'->3' exonuclease
yihA	145693205	GTP-binding protein
yihI	1790297	conserved protein
hemN	87082341	coproporphyrinogen III oxidase, SAM and NAD(P)H dependent, oxygen-independent
glnG	1790299	fused DNA-binding response regulator in two-component regulatory system with GlnL: response regulator/sigma54 interaction protein
glnL	1790300	sensory histidine kinase in two-component regulatory system with GlnG
glnA	1790301	glutamine synthetase
typA	48994988	GTP-binding protein
yihX	87082345	predicted hydrolase
yihY	1790319	predicted inner membrane protein
dtd	1790320	D-tyr-tRNA(Tyr) deacylase
yiiD	1790321	predicted acetyltransferase
fdhE	1790324	formate dehydrogenase formation protein
fdoI	1790325	formate dehydrogenase-O, cytochrome b556 subunit
fdoH	1790326	formate dehydrogenase-O, Fe-S subunit
fdoG	3868720	formate dehydrogenase-O, large subunit
fdhD	1790329	formate dehydrogenase formation protein
rhaM	1790335	L-rhamnose mutarotase
rhaD	1790336	rhamnulose-1-phosphate aldolase
rhaA	48994990	L-rhamnose isomerase
rhaS	1790339	DNA-binding transcriptional activator, L-rhamnose-binding
rhaT	1790341	L-rhamnose:proton symporter
sodA	1790342	superoxide dismutase, Mn
yiiM	87082350	conserved protein
cpxA	1790346	sensory histidine kinase in two-component regulatory system with CpxR
cpxR	2367329	DNA-binding response regulator in two-component regulatory system with CpxA
cpxP	48994991	periplasmic protein combats stress
fieF	1790349	zinc transporter
pfkA	1790350	6-phosphofructokinase I
sbp	1790351	sulfate transporter subunit
tpiA	1790353	triosephosphate isomerase
yiiQ	1790354	conserved protein
yiiR	1790355	conserved inner membrane protein
yiiS	1790357	conserved protein
uspD	1790358	stress-induced protein
fpr	1790359	ferredoxin-NADP reductase
glpX	1790360	fructose 1,6-bisphosphatase II
glpK	1790361	glycerol kinase
glpF	1790362	glycerol facilitator
zapB	1790363	conserved protein
rraA	1790364	ribonuclease E (RNase E) inhibitor protein
menA	1790365	1,4-dihydroxy-2-naphthoate octaprenyltransferase
hslU	1790366	molecular chaperone and ATPase component of HslUV protease
hslV	1790367	peptidase component of the HslUV protease
cytR	1790369	DNA-binding transcriptional dual regulator
priA	1790370	Primosome factor n' (replication factor Y)
rpmE	1790371	50S ribosomal subunit protein L31
yiiX	1790372	predicted peptidoglycan peptidase
metJ	1790373	DNA-binding transcriptional repressor, S-adenosylmethionine-binding
metB	1790375	cystathionine gamma-synthase, PLP-dependent
metL	1790376	fused aspartokinase II/homoserine dehydrogenase II
metF	1790377	5,10-methylenetetrahydrofolate reductase
katG	1790378	catalase/hydroperoxidase HPI(I)
yijE	87082351	predicted permease
yijF	1790380	conserved protein
gldA	87082352	glycerol dehydrogenase, NAD
fsaB	1790382	fructose-6-phosphate aldolase 2
ptsA	48994992	fused predicted PTS enzymes: Hpr component/enzyme I component/enzyme IIA component
frwC	1790386	predicted enzyme IIC component of PTS
frwB	1790387	predicted enzyme IIB component of PTS
pflD	1790388	predicted formate acetyltransferase 2 (pyruvate formate lyase II)
pflC	1790389	pyruvate formate lyase II activase
frwD	1790390	predicted enzyme IIB component of PTS
yijO	1790391	predicted DNA-binding transcriptional regulator
yijP	1790392	conserved inner membrane protein
ppc	1790393	phosphoenolpyruvate carboxylase
argE	1790395	acetylornithine deacetylase
argB	145693208	acetylglutamate kinase
argH	1790398	argininosuccinate lyase
oxyR	1790399	DNA-binding transcriptional dual regulator
sthA	87082354	pyridine nucleotide transhydrogenase, soluble
fabR	145693209	DNA-binding transcriptional repressor
yijD	1790402	conserved inner membrane protein
trmA	1790403	tRNA m(5)U54 methyltransferase, SAM-dependen
murI	87082355	glutamate racemase
murB	1790407	UDP-N-acetylenolpyruvoylglucosamine reductase, FAD-binding
birA	1790408	bifunctional biotin-[acetylCoA carboxylase] holoenzyme synthetase/ DNA-binding transcriptional repressor, bio-5'-AMP-binding
rplL	1790418	50S ribosomal subunit protein L7/L12
rpoB	1790419	RNA polymerase, beta subunit
rpoC	2367335	RNA polymerase, beta prime subunit
thiH	1790423	thiamin biosynthesis ThiGH complex subunit
thiG	48994993	thiamin biosynthesis ThiGH complex subunit
thiS	48994994	sulphur carrier protein
thiF	87082356	thiamin (thiazole moiety) biosynthesis protein
thiE	1790426	thiamin phosphate synthase (thiamin phosphate pyrophosphorylase)
thiC	1790427	thiamin (pyrimidine moiety) biosynthesis protein
rsd	1790428	stationary phase protein, binds sigma 70 RNA polymerase subunit
nudC	48994995	NADH pyrophosphatase
hemE	2367337	uroporphyrinogen decarboxylase
nfi	87082357	endonuclease V
yjaG	1790432	conserved protein
hupA	1790433	HU, DNA-binding transcriptional regulator, alpha subunit
yjaH	1790434	conserved protein
zraP	87082358	Zn-binding periplasmic protein
zraS	1790436	sensory histidine kinase in two-component regulatory system with ZraR
zraR	1790437	fused DNA-binding response regulator in two-component regulatory system with ZraS: response regulator/sigma54 interaction protein
purD	1790438	phosphoribosylglycinamide synthetase phosphoribosylamine-glycine ligase
purH	1790439	fused IMP cyclohydrolase/phosphoribosylaminoimidazolecarboxamide formyltransferase
metA	1790443	homoserine O-transsuccinylase
aceB	1790444	malate synthase A
aceA	1790445	isocitrate lyase
iclR	87082359	DNA-binding transcriptional repressor
metH	1790450	homocysteine-N5-methyltetrahydrofolate transmethylase, B12-dependent
yjbB	1790451	predicted transporter
pepE	1790452	(alpha)-aspartyl dipeptidase
rluF	1790453	23S rRNA U2604 pseudouridine synthase
lysC	1790455	aspartokinase III
pgi	1790457	glucosephosphate isomerase
yjbE	1790458	predicted protein
yjbF	87082360	predicted lipoprotein
yjbG	1790460	conserved protein
yjbH	1790461	predicted porin
yjbT	145693210	hypothetical protein, no homologs
psiE	1790462	predicted phosphate starvation inducible protein
ubiC	87082361	chorismate pyruvate lyase
ubiA	1790473	p-hydroxybenzoate octaprenyltransferase
plsB	87082362	glycerol-3-phosphate O-acyltransferase
dgkA	1790475	diacylglycerol kinase
lexA	1790476	DNA-binding transcriptional repressor of SOS regulon
dinF	1790477	DNA-damage-inducible SOS response protein
yjbJ	1790479	predicted stress response protein
zur	87082363	DNA-binding transcriptional repressor, Zn(II)-binding
dusA	145693211	tRNA-dihydrouridine synthase A
qorA	1790485	quinone oxidoreductase, NADPH-dependent
dnaB	1790486	replicative DNA helicase
alr	1790487	alanine racemase 1, PLP-binding, biosynthetic
tyrB	1790488	tyrosine aminotransferase, tyrosine-repressible, PLP-dependent
yjbQ	1790491	conserved protein
yjbR	2367342	conserved protein
uvrA	2367343	ATPase and DNA damage recognition protein of nucleotide excision repair excinuclease UvrABC
ssb	1790494	single-stranded DNA-binding protein
yjcE	1790501	predicted cation/proton antiporter
phnD	1790543	phosphonate/organophosphate ester transporter subunit
phnC	1790544	phosphonate/organophosphate ester transporter subunit
yjdN	1790546	conserved protein
yjdM	1790547	conserved protein
yjdA	1790548	conserved protein with nucleoside triphosphate hydrolase domain
yjcZ	87082371	conserved protein
proP	1790550	proline/glycine betaine transporter
basS	1790551	sensory histidine kinase in two-component regulatory system with BasR
basR	1790552	DNA-binding response regulator in two-component regulatory system with BasS
eptA	87082372	predicted metal dependent hydrolase
adiC	2367353	arginine:agmatin
adiY	1790557	DNA-binding transcriptional activator
adiA	221142684	biodegradative arginine decarboxylase
melR	1790559	DNA-binding transcriptional dual regulator
melA	1790560	alpha-galactosidase, NAD(P)-binding
yjdF	1790562	conserved inner membrane protein
fumB	1790564	anaerobic class I fumarate hydratase (fumarase B)
dcuB	1790565	C4-dicarboxylate antiporter
dcuR	1790566	DNA-binding response regulator in two-component regulatory system with DcuS
