A5A616	YNEM_ECOLI Uncharacterized protein yneM OS=Escherichia coli (strain K12) GN=yneM PE=1 SV=1
P0AE52	BCP_ECOLI Putative peroxiredoxin bcp OS=Escherichia coli (strain K12) GN=bcp PE=1 SV=1
P0AE78	CORC_ECOLI Magnesium and cobalt efflux protein corC OS=Escherichia coli (strain K12) GN=corC PE=3 SV=1
P0AE82	CPXA_ECOLI Sensor protein cpxA OS=Escherichia coli (strain K12) GN=cpxA PE=1 SV=1
P0AE88	CPXR_ECOLI Transcriptional regulatory protein cpxR OS=Escherichia coli (strain K12) GN=cpxR PE=1 SV=1
P0AE91	CREA_ECOLI Protein creA OS=Escherichia coli (strain K12) GN=creA PE=4 SV=1
P0AEA8	CYSG_ECOLI Siroheme synthase OS=Escherichia coli (strain K12) GN=cysG PE=1 SV=1
P0AEB2	DACA_ECOLI D-alanyl-D-alanine carboxypeptidase dacA OS=Escherichia coli (strain K12) GN=dacA PE=1 SV=1
P0AEB5	YNAI_ECOLI MscS family inner membrane protein ynaI OS=Escherichia coli (strain K12) GN=ynaI PE=1 SV=1
P0AEC0	YOAE_ECOLI UPF0053 inner membrane protein yoaE OS=Escherichia coli (strain K12) GN=yoaE PE=1 SV=1
P0AEC3	ARCB_ECOLI Aerobic respiration control sensor protein arcB OS=Escherichia coli (strain K12) GN=arcB PE=1 SV=1
P0AED0	USPA_ECOLI Universal stress protein A OS=Escherichia coli (strain K12) GN=uspA PE=1 SV=2
P0AEE1	DCRB_ECOLI Protein dcrB OS=Escherichia coli (strain K12) GN=dcrB PE=1 SV=1
P0AEE3	DEGS_ECOLI Protease degS OS=Escherichia coli (strain K12) GN=degS PE=1 SV=1
P0AEE8	DMA_ECOLI DNA adenine methylase OS=Escherichia coli (strain K12) GN=dam PE=1 SV=1
P0AEF0	DNAC_ECOLI DNA replication protein dnaC OS=Escherichia coli (strain K12) GN=dnaC PE=1 SV=1
P0AEG4	DSBA_ECOLI Thiol:disulfide interchange protein dsbA OS=Escherichia coli (strain K12) GN=dsbA PE=1 SV=1
P0AEG6	DSBC_ECOLI Thiol:disulfide interchange protein dsbC OS=Escherichia coli (strain K12) GN=dsbC PE=1 SV=1
P0AEH1	RSEP_ECOLI Regulator of sigma E protease OS=Escherichia coli (strain K12) GN=rseP PE=1 SV=1
P0AEH5	ELAB_ECOLI Protein elaB OS=Escherichia coli (strain K12) GN=elaB PE=1 SV=1
P0AEI1	MIAB_ECOLI (Dimethylallyl)adenosine tRNA methylthiotransferase miaB OS=Escherichia coli (strain K12) GN=miaB PE=1 SV=1
P0AEI4	RIMO_ECOLI Ribosomal protein S12 methylthiotransferase rimO OS=Escherichia coli (strain K12) GN=rimO PE=1 SV=1
P0AEJ2	ENTC_ECOLI Isochorismate synthase entC OS=Escherichia coli (strain K12) GN=entC PE=1 SV=1
P0AEK0	EXOX_ECOLI Exodeoxyribonuclease 10 OS=Escherichia coli (strain K12) GN=exoX PE=1 SV=1
P0AEK2	FABG_ECOLI 3-oxoacyl-[acyl-carrier-protein] reductase OS=Escherichia coli (strain K12) GN=fabG PE=1 SV=1
P0AEK4	FABI_ECOLI Enoyl-[acyl-carrier-protein] reductase [NADH] OS=Escherichia coli (strain K12) GN=fabI PE=1 SV=2
P0AEL6	FEPB_ECOLI Ferrienterobactin-binding periplasmic protein OS=Escherichia coli (strain K12) GN=fepB PE=1 SV=1
P0AEM0	FKBX_ECOLI FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase OS=Escherichia coli (strain K12) GN=fkpB PE=1 SV=2
P0AEM4	FLGM_ECOLI Negative regulator of flagellin synthesis OS=Escherichia coli (strain K12) GN=flgM PE=1 SV=1
P0AEN1	FRE_ECOLI NAD(P)H-flavin reductase OS=Escherichia coli (strain K12) GN=fre PE=1 SV=2
P0AEN8	FUCM_ECOLI L-fucose mutarotase OS=Escherichia coli (strain K12) GN=fucU PE=1 SV=1
P0AEP3	GALU_ECOLI UTP--glucose-1-phosphate uridylyltransferase OS=Escherichia coli (strain K12) GN=galU PE=1 SV=2
P0AEQ3	GLNH_ECOLI Glutamine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=glnH PE=1 SV=1
P0AER3	GLTJ_ECOLI Glutamate/aspartate transport system permease protein gltJ OS=Escherichia coli (strain K12) GN=gltJ PE=3 SV=1
P0AER8	GLTS_ECOLI Sodium/glutamate symport carrier protein OS=Escherichia coli (strain K12) GN=gltS PE=1 SV=1
P0AES0	GSP_ECOLI Bifunctional glutathionylspermidine synthetase/amidase OS=Escherichia coli (strain K12) GN=gsp PE=1 SV=1
P0AES0	GSP_ECOLI Bifunctional glutathionylspermidine synthetase/amidase OS=Escherichia coli (strain K12) GN=gsp PE=1 SV=1
P0AES4	GYRA_ECOLI DNA gyrase subunit A OS=Escherichia coli (strain K12) GN=gyrA PE=1 SV=1
P0AES6	GYRB_ECOLI DNA gyrase subunit B OS=Escherichia coli (strain K12) GN=gyrB PE=1 SV=2
P0AEU0	HISJ_ECOLI Histidine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=hisJ PE=1 SV=1
P0AEU3	HISM_ECOLI Histidine transport system permease protein hisM OS=Escherichia coli (strain K12) GN=hisM PE=1 SV=1
P0AEU7	SKP_ECOLI Chaperone protein skp OS=Escherichia coli (strain K12) GN=skp PE=1 SV=1
P0AEV1	HNR_ECOLI Protein hnr OS=Escherichia coli (strain K12) GN=hnr PE=1 SV=1
P0AEW6	INGK_ECOLI Inosine-guanosine kinase OS=Escherichia coli (strain K12) GN=gsk PE=1 SV=1
P0AEW9	K1PF_ECOLI 1-phosphofructokinase OS=Escherichia coli (strain K12) GN=fruK PE=3 SV=1
P0AEX3	KGTP_ECOLI Alpha-ketoglutarate permease OS=Escherichia coli (strain K12) GN=kgtP PE=1 SV=1
P0AEX9	MALE_ECOLI Maltose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=malE PE=1 SV=1
P0AEY5	MDAB_ECOLI Modulator of drug activity B OS=Escherichia coli (strain K12) GN=mdaB PE=1 SV=1
P0AEY8	MDFA_ECOLI Multidrug translocase mdfA OS=Escherichia coli (strain K12) GN=cmr PE=1 SV=1
P0AEZ1	METF_ECOLI 5,10-methylenetetrahydrofolate reductase OS=Escherichia coli (strain K12) GN=metF PE=1 SV=1
P0AEZ3	MIND_ECOLI Septum site-determining protein minD OS=Escherichia coli (strain K12) GN=minD PE=1 SV=2
P0AEZ9	MOAB_ECOLI Molybdenum cofactor biosynthesis protein B OS=Escherichia coli (strain K12) GN=moaB PE=1 SV=2
P0AF03	MOG_ECOLI Molybdopterin biosynthesis mog protein OS=Escherichia coli (strain K12) GN=mog PE=1 SV=1
P0AF08	MRP_ECOLI Protein mrp OS=Escherichia coli (strain K12) GN=mrp PE=3 SV=1
P0AF10	MTLR_ECOLI Mannitol operon repressor OS=Escherichia coli (strain K12) GN=mtlR PE=1 SV=1
P0AF12	MTNN_ECOLI 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase OS=Escherichia coli (strain K12) GN=mtnN PE=1 SV=1
P0AF20	NAGC_ECOLI N-acetylglucosamine repressor OS=Escherichia coli (strain K12) GN=nagC PE=2 SV=1
P0AF24	NAGD_ECOLI Protein nagD OS=Escherichia coli (strain K12) GN=nagD PE=1 SV=1
P0AF28	NARL_ECOLI Nitrate/nitrite response regulator protein narL OS=Escherichia coli (strain K12) GN=narL PE=1 SV=1
P0AF50	YJBR_ECOLI Uncharacterized protein yjbR OS=Escherichia coli (strain K12) GN=yjbR PE=1 SV=1
P0AF52	YJCD_ECOLI Putative permease yjcD OS=Escherichia coli (strain K12) GN=yjcD PE=1 SV=1
P0AF63	NSRR_ECOLI HTH-type transcriptional repressor nsrR OS=Escherichia coli (strain K12) GN=nsrR PE=1 SV=1
P0AF67	YJEE_ECOLI UPF0079 ATP-binding protein yjeE OS=Escherichia coli (strain K12) GN=yjeE PE=3 SV=1
P0AF70	YJEI_ECOLI Uncharacterized protein yjeI OS=Escherichia coli (strain K12) GN=yjeI PE=4 SV=1
P0AF93	YJGF_ECOLI UPF0076 protein yjgF OS=Escherichia coli (strain K12) GN=yjgF PE=1 SV=2
P0AF98	LPTF_ECOLI Lipopolysaccharide export system permease protein lptF OS=Escherichia coli (strain K12) GN=lptF PE=1 SV=1
P0AFA7	NHAB_ECOLI Na(+)/H(+) antiporter nhaB OS=Escherichia coli (strain K12) GN=nhaB PE=1 SV=1
P0AFB1	NLPI_ECOLI Lipoprotein nlpI OS=Escherichia coli (strain K12) GN=nlpI PE=1 SV=1
P0AFB5	NTRB_ECOLI Nitrogen regulation protein NR(II) OS=Escherichia coli (strain K12) GN=glnL PE=1 SV=1
P0AFB8	NTRC_ECOLI Nitrogen regulation protein NR(I) OS=Escherichia coli (strain K12) GN=glnG PE=3 SV=1
P0AFC0	NUDB_ECOLI Dihydroneopterin triphosphate pyrophosphatase OS=Escherichia coli (strain K12) GN=nudB PE=1 SV=1
P0AFC3	NUOA_ECOLI NADH-quinone oxidoreductase subunit A OS=Escherichia coli (strain K12) GN=nuoA PE=3 SV=1
P0AFC7	NUOB_ECOLI NADH-quinone oxidoreductase subunit B OS=Escherichia coli (strain K12) GN=nuoB PE=1 SV=1
P0AFD1	NUOE_ECOLI NADH-quinone oxidoreductase subunit E OS=Escherichia coli (strain K12) GN=nuoE PE=1 SV=1
P0AFD4	NUOH_ECOLI NADH-quinone oxidoreductase subunit H OS=Escherichia coli (strain K12) GN=nuoH PE=1 SV=1
P0AFD6	NUOI_ECOLI NADH-quinone oxidoreductase subunit I OS=Escherichia coli (strain K12) GN=nuoI PE=1 SV=1
P0AFE0	NUOJ_ECOLI NADH-quinone oxidoreductase subunit J OS=Escherichia coli (strain K12) GN=nuoJ PE=1 SV=1
P0AFE4	NUOK_ECOLI NADH-quinone oxidoreductase subunit K OS=Escherichia coli (strain K12) GN=nuoK PE=1 SV=1
P0AFE8	NUOM_ECOLI NADH-quinone oxidoreductase subunit M OS=Escherichia coli (strain K12) GN=nuoM PE=1 SV=1
P0AFF0	NUON_ECOLI NADH-quinone oxidoreductase subunit N OS=Escherichia coli (strain K12) GN=nuoN PE=1 SV=2
P0AFF2	NUPC_ECOLI Nucleoside permease nupC OS=Escherichia coli (strain K12) GN=nupC PE=1 SV=1
P0AFF4	NUPG_ECOLI Nucleoside permease nupG OS=Escherichia coli (strain K12) GN=nupG PE=1 SV=1
P0AFF6	NUSA_ECOLI Transcription elongation protein nusA OS=Escherichia coli (strain K12) GN=nusA PE=1 SV=1
P0AFG0	NUSG_ECOLI Transcription antitermination protein nusG OS=Escherichia coli (strain K12) GN=nusG PE=1 SV=2
P0AFG3	ODO1_ECOLI 2-oxoglutarate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=sucA PE=1 SV=1
P0AFG6	ODO2_ECOLI Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex OS=Escherichia coli (strain K12) GN=sucB PE=1 SV=2
P0AFG8	ODP1_ECOLI Pyruvate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=aceE PE=1 SV=2
P0AFH0	OGT_ECOLI Methylated-DNA--protein-cysteine methyltransferase OS=Escherichia coli (strain K12) GN=ogt PE=1 SV=1
P0AFH8	OSMY_ECOLI Osmotically-inducible protein Y OS=Escherichia coli (strain K12) GN=osmY PE=1 SV=1
P0AFI2	PARC_ECOLI DNA topoisomerase 4 subunit A OS=Escherichia coli (strain K12) GN=parC PE=1 SV=1
P0AFI7	PDXH_ECOLI Pyridoxine/pyridoxamine 5'-phosphate oxidase OS=Escherichia coli (strain K12) GN=pdxH PE=1 SV=2
P0AFI9	PERM_ECOLI Putative permease perM OS=Escherichia coli (strain K12) GN=perM PE=3 SV=1
P0AFJ7	PITA_ECOLI Low-affinity inorganic phosphate transporter 1 OS=Escherichia coli (strain K12) GN=pitA PE=1 SV=1
P0AFK0	PMBA_ECOLI Protein pmbA OS=Escherichia coli (strain K12) GN=pmbA PE=1 SV=1
P0AFK2	PNUC_ECOLI Nicotinamide riboside transporter pnuC OS=Escherichia coli (strain K12) GN=pnuC PE=1 SV=1
P0AFK9	POTD_ECOLI Spermidine/putrescine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=potD PE=1 SV=1
P0AFL3	PPIA_ECOLI Peptidyl-prolyl cis-trans isomerase A OS=Escherichia coli (strain K12) GN=ppiA PE=1 SV=1
P0AFM2	PROX_ECOLI Glycine betaine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=proX PE=1 SV=1
P0AFM6	PSPA_ECOLI Phage shock protein A OS=Escherichia coli (strain K12) GN=pspA PE=1 SV=2
P0AFM9	PSPB_ECOLI Phage shock protein B OS=Escherichia coli (strain K12) GN=pspB PE=2 SV=1
P0AFN2	PSPC_ECOLI Phage shock protein C OS=Escherichia coli (strain K12) GN=pspC PE=2 SV=1
P0AFP4	YBBO_ECOLI Uncharacterized oxidoreductase ybbO OS=Escherichia coli (strain K12) GN=ybbO PE=3 SV=1
P0AFP9	YBHR_ECOLI Inner membrane transport permease ybhR OS=Escherichia coli (strain K12) GN=ybhR PE=1 SV=1
P0AFQ7	YCFH_ECOLI Uncharacterized deoxyribonuclease ycfH OS=Escherichia coli (strain K12) GN=ycfH PE=1 SV=1
P0AFR4	YCIO_ECOLI Uncharacterized protein yciO OS=Escherichia coli (strain K12) GN=yciO PE=1 SV=1
P0AFS5	TQSA_ECOLI AI-2 transport protein tqsA OS=Escherichia coli (strain K12) GN=tqsA PE=1 SV=1
P0AFS7	YDIK_ECOLI UPF0118 inner membrane protein ydiK OS=Escherichia coli (strain K12) GN=ydiK PE=1 SV=1
P0AFT5	YEHT_ECOLI Uncharacterized response regulatory protein yehT OS=Escherichia coli (strain K12) GN=yehT PE=3 SV=1
P0AFU4	YFHA_ECOLI Uncharacterized protein yfhA OS=Escherichia coli (strain K12) GN=yfhA PE=3 SV=1
P0AFV8	PSPD_ECOLI Phage shock protein D OS=Escherichia coli (strain K12) GN=pspD PE=2 SV=1
P0AFW0	RFAH_ECOLI Transcriptional activator rfaH OS=Escherichia coli (strain K12) GN=rfaH PE=1 SV=1
P0AFX0	RP5M_ECOLI Probable sigma(54) modulation protein OS=Escherichia coli (strain K12) GN=yhbH PE=1 SV=1
P0AFX4	RSD_ECOLI Regulator of sigma D OS=Escherichia coli (strain K12) GN=rsd PE=1 SV=1
P0AFX9	RSEB_ECOLI Sigma-E factor regulatory protein rseB OS=Escherichia coli (strain K12) GN=rseB PE=1 SV=1
P0AFY2	SANA_ECOLI Protein sanA OS=Escherichia coli (strain K12) GN=sanA PE=4 SV=1
P0AFY6	SBMA_ECOLI Protein sbmA OS=Escherichia coli (strain K12) GN=sbmA PE=1 SV=1
P0AFY8	SEQA_ECOLI Protein seqA OS=Escherichia coli (strain K12) GN=seqA PE=1 SV=1
P0AFZ1	SSEB_ECOLI Protein sseB OS=Escherichia coli (strain K12) GN=sseB PE=4 SV=1
P0AFZ3	SSPB_ECOLI Stringent starvation protein B OS=Escherichia coli (strain K12) GN=sspB PE=1 SV=1
P0AG00	WZZE_ECOLI Lipopolysaccharide biosynthesis protein wzzE OS=Escherichia coli (strain K12) GN=wzzE PE=1 SV=2
P0AG03	UBIX_ECOLI 3-octaprenyl-4-hydroxybenzoate carboxy-lyase OS=Escherichia coli (strain K12) GN=ubiX PE=3 SV=1
P0AG14	SOHB_ECOLI Probable protease sohB OS=Escherichia coli (strain K12) GN=sohB PE=1 SV=1
P0AG18	PUR6_ECOLI Phosphoribosylaminoimidazole carboxylase catalytic subunit OS=Escherichia coli (strain K12) GN=purE PE=1 SV=2
P0AG20	RELA_ECOLI GTP pyrophosphokinase OS=Escherichia coli (strain K12) GN=relA PE=3 SV=1
P0AG24	SPOT_ECOLI Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase OS=Escherichia coli (strain K12) GN=spoT PE=1 SV=1
P0AG27	YIBN_ECOLI Uncharacterized protein yibN OS=Escherichia coli (strain K12) GN=yibN PE=1 SV=1
P0AG30	RHO_ECOLI Transcription termination factor rho OS=Escherichia coli (strain K12) GN=rho PE=1 SV=1
P0AG40	RIBF_ECOLI Riboflavin biosynthesis protein ribF OS=Escherichia coli (strain K12) GN=ribF PE=1 SV=1
P0AG44	RL17_ECOLI 50S ribosomal protein L17 OS=Escherichia coli (strain K12) GN=rplQ PE=1 SV=1
P0AG48	RL21_ECOLI 50S ribosomal protein L21 OS=Escherichia coli (strain K12) GN=rplU PE=1 SV=1
P0AG51	RL30_ECOLI 50S ribosomal protein L30 OS=Escherichia coli (strain K12) GN=rpmD PE=1 SV=2
P0AG55	RL6_ECOLI 50S ribosomal protein L6 OS=Escherichia coli (strain K12) GN=rplF PE=1 SV=2
P0AG59	RS14_ECOLI 30S ribosomal protein S14 OS=Escherichia coli (strain K12) GN=rpsN PE=1 SV=2
P0AG63	RS17_ECOLI 30S ribosomal protein S17 OS=Escherichia coli (strain K12) GN=rpsQ PE=1 SV=2
P0AG67	RS1_ECOLI 30S ribosomal protein S1 OS=Escherichia coli (strain K12) GN=rpsA PE=1 SV=1
P0AG71	RMUC_ECOLI DNA recombination protein rmuC OS=Escherichia coli (strain K12) GN=rmuC PE=1 SV=1
P0AG82	PSTS_ECOLI Phosphate-binding protein pstS OS=Escherichia coli (strain K12) GN=pstS PE=1 SV=1
P0AG86	SECB_ECOLI Protein-export protein secB OS=Escherichia coli (strain K12) GN=secB PE=1 SV=1
P0AG90	SECD_ECOLI Protein-export membrane protein secD OS=Escherichia coli (strain K12) GN=secD PE=3 SV=1
P0AG93	SECF_ECOLI Protein-export membrane protein secF OS=Escherichia coli (strain K12) GN=secF PE=1 SV=1
P0AG96	SECE_ECOLI Preprotein translocase subunit secE OS=Escherichia coli (strain K12) GN=secE PE=1 SV=1
P0AG96	SECE_ECOLI Preprotein translocase subunit secE OS=Escherichia coli (strain K12) GN=secE PE=1 SV=1
P0AG99	SECG_ECOLI Protein-export membrane protein secG OS=Escherichia coli (strain K12) GN=secG PE=1 SV=1
P0AGA2	SECY_ECOLI Preprotein translocase subunit secY OS=Escherichia coli (strain K12) GN=secY PE=1 SV=1
P0AGA6	UHPA_ECOLI Transcriptional regulatory protein uhpA OS=Escherichia coli (strain K12) GN=uhpA PE=1 SV=1
P0AGB0	SERB_ECOLI Phosphoserine phosphatase OS=Escherichia coli (strain K12) GN=serB PE=1 SV=1
P0AGB6	RPOE_ECOLI RNA polymerase sigma-E factor OS=Escherichia coli (strain K12) GN=rpoE PE=1 SV=1
P0AGC3	SLT_ECOLI Soluble lytic murein transglycosylase OS=Escherichia coli (strain K12) GN=slt PE=1 SV=1
P0AGC7	SMP_ECOLI Protein smp OS=Escherichia coli (strain K12) GN=smp PE=3 SV=1
P0AGD3	SODF_ECOLI Superoxide dismutase [Fe] OS=Escherichia coli (strain K12) GN=sodB PE=1 SV=2
P0AGD7	SRP54_ECOLI Signal recognition particle protein OS=Escherichia coli (strain K12) GN=ffh PE=1 SV=1
P0AGE0	SSB_ECOLI Single-stranded DNA-binding protein OS=Escherichia coli (strain K12) GN=ssb PE=1 SV=2
P0AGE9	SUCD_ECOLI Succinyl-CoA ligase [ADP-forming] subunit alpha OS=Escherichia coli (strain K12) GN=sucD PE=1 SV=2
P0AGF6	THD2_ECOLI Threonine dehydratase catabolic OS=Escherichia coli (strain K12) GN=tdcB PE=1 SV=1
P0AGG0	THIL_ECOLI Thiamine-monophosphate kinase OS=Escherichia coli (strain K12) GN=thiL PE=3 SV=1
P0AGG4	THIO2_ECOLI Thioredoxin-2 OS=Escherichia coli (strain K12) GN=trxC PE=1 SV=1
P0AGG8	TLDD_ECOLI Protein tldD OS=Escherichia coli (strain K12) GN=tldD PE=1 SV=1
P0AGI8	TRKA_ECOLI Trk system potassium uptake protein trkA OS=Escherichia coli (strain K12) GN=trkA PE=1 SV=1
P0AGJ5	YFIF_ECOLI Uncharacterized tRNA/rRNA methyltransferase yfiF OS=Escherichia coli (strain K12) GN=yfiF PE=3 SV=1
P0AGJ9	SYY_ECOLI Tyrosyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=tyrS PE=1 SV=2
P0AGK8	ISCR_ECOLI HTH-type transcriptional regulator iscR OS=Escherichia coli (strain K12) GN=iscR PE=1 SV=1
P0AGL7	RSME_ECOLI Ribosomal RNA small subunit methyltransferase E OS=Escherichia coli (strain K12) GN=rsmE PE=1 SV=1
P0AGM5	SIRB1_ECOLI Protein sirB1 OS=Escherichia coli (strain K12) GN=sirB1 PE=3 SV=1
P0C018	RL18_ECOLI 50S ribosomal protein L18 OS=Escherichia coli (strain K12) GN=rplR PE=1 SV=1
P0C054	IBPA_ECOLI Small heat shock protein ibpA OS=Escherichia coli (strain K12) GN=ibpA PE=1 SV=1
P0C058	IBPB_ECOLI Small heat shock protein ibpB OS=Escherichia coli (strain K12) GN=ibpB PE=1 SV=1
P0C093	SLMA_ECOLI HTH-type protein slmA OS=Escherichia coli (strain K12) GN=slmA PE=1 SV=1
P0C0K3	RDOA_ECOLI Protein rdoA OS=Escherichia coli (strain K12) GN=rdoA PE=1 SV=1
P0C0L7	PROP_ECOLI Proline/betaine transporter OS=Escherichia coli (strain K12) GN=proP PE=1 SV=1
P0C0R7	RLME_ECOLI Ribosomal RNA large subunit methyltransferase E OS=Escherichia coli (strain K12) GN=rlmE PE=1 SV=1
P0C0S1	MSCS_ECOLI Small-conductance mechanosensitive channel OS=Escherichia coli (strain K12) GN=mscS PE=1 SV=1
P0C0T5	MEPA_ECOLI Penicillin-insensitive murein endopeptidase OS=Escherichia coli (strain K12) GN=mepA PE=1 SV=1
P0C0U4	RIMK_ECOLI Ribosomal protein S6 modification protein OS=Escherichia coli (strain K12) GN=rimK PE=3 SV=1
P0C0V0	DEGP_ECOLI Protease do OS=Escherichia coli (strain K12) GN=degP PE=1 SV=1
P0C0V0	DEGP_ECOLI Protease do OS=Escherichia coli (strain K12) GN=degP PE=1 SV=1
P0C5W4	INSD_ECOLI Transposase insD for insertion element IS2A/D/F/H/I/K OS=Escherichia coli (strain K12) GN=insD1 PE=4 SV=1
P0C8J6	GATY_ECOLI D-tagatose-1,6-bisphosphate aldolase subunit gatY OS=Escherichia coli (strain K12) GN=gatY PE=1 SV=1
P0C8J8	GATZ_ECOLI D-tagatose-1,6-bisphosphate aldolase subunit gatZ OS=Escherichia coli (strain K12) GN=gatZ PE=1 SV=1
P0C960	EMTA_ECOLI Endo-type membrane-bound lytic murein transglycosylase A OS=Escherichia coli (strain K12) GN=emtA PE=1 SV=1
P0CB39	CPTA_ECOLI Phosphoethanolamine transferase cptA OS=Escherichia coli (strain K12) GN=cptA PE=1 SV=1
P10100	RLPA_ECOLI Rare lipoprotein A OS=Escherichia coli (strain K12) GN=rlpA PE=1 SV=1
P10121	FTSY_ECOLI Cell division protein ftsY OS=Escherichia coli (strain K12) GN=ftsY PE=1 SV=1
P10346	GLNQ_ECOLI Glutamine transport ATP-binding protein glnQ OS=Escherichia coli (strain K12) GN=glnQ PE=1 SV=1
P10371	HIS4_ECOLI 1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase OS=Escherichia coli (strain K12) GN=hisA PE=1 SV=2
P10384	FADL_ECOLI Long-chain fatty acid transport protein OS=Escherichia coli (strain K12) GN=fadL PE=1 SV=5
P10408	SECA_ECOLI Protein translocase subunit secA OS=Escherichia coli (strain K12) GN=secA PE=1 SV=2
P10441	LPXB_ECOLI Lipid-A-disaccharide synthase OS=Escherichia coli (strain K12) GN=lpxB PE=1 SV=2
P10442	RNH2_ECOLI Ribonuclease HII OS=Escherichia coli (strain K12) GN=rnhB PE=1 SV=2
P10443	DPO3A_ECOLI DNA polymerase III subunit alpha OS=Escherichia coli (strain K12) GN=dnaE PE=1 SV=1
P10907	UGPC_ECOLI sn-glycerol-3-phosphate import ATP-binding protein ugpC OS=Escherichia coli (strain K12) GN=ugpC PE=1 SV=3
P11349	NARH_ECOLI Respiratory nitrate reductase 1 beta chain OS=Escherichia coli (strain K12) GN=narH PE=1 SV=3
P11446	ARGC_ECOLI N-acetyl-gamma-glutamyl-phosphate reductase OS=Escherichia coli (strain K12) GN=argC PE=3 SV=1
P11447	ARLY_ECOLI Argininosuccinate lyase OS=Escherichia coli (strain K12) GN=argH PE=1 SV=3
P11557	DAMX_ECOLI Protein damX OS=Escherichia coli (strain K12) GN=damX PE=1 SV=2
P11875	SYR_ECOLI Arginyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=argS PE=1 SV=1
P11880	MURF_ECOLI UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase OS=Escherichia coli (strain K12) GN=murF PE=1 SV=2
P12008	AROC_ECOLI Chorismate synthase OS=Escherichia coli (strain K12) GN=aroC PE=1 SV=4
P12281	MOEA_ECOLI Molybdopterin biosynthesis protein moeA OS=Escherichia coli (strain K12) GN=moeA PE=1 SV=1
P12282	MOEB_ECOLI Molybdopterin biosynthesis protein moeB OS=Escherichia coli (strain K12) GN=moeB PE=1 SV=1
P12295	UNG_ECOLI Uracil-DNA glycosylase OS=Escherichia coli (strain K12) GN=ung PE=1 SV=2
P13001	BIOH_ECOLI Carboxylesterase bioH OS=Escherichia coli (strain K12) GN=bioH PE=1 SV=1
P13009	METH_ECOLI Methionine synthase OS=Escherichia coli (strain K12) GN=metH PE=1 SV=5
P13024	FDHE_ECOLI Protein fdhE OS=Escherichia coli (strain K12) GN=fdhE PE=3 SV=2
P13029	KATG_ECOLI Catalase-peroxidase OS=Escherichia coli (strain K12) GN=katG PE=1 SV=2
P13035	GLPD_ECOLI Aerobic glycerol-3-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=glpD PE=1 SV=3
P13036	FECA_ECOLI Fe(3+) dicitrate transport protein fecA OS=Escherichia coli (strain K12) GN=fecA PE=1 SV=2
P13445	RPOS_ECOLI RNA polymerase sigma factor rpoS OS=Escherichia coli (strain K12) GN=rpoS PE=3 SV=3
P13458	SBCC_ECOLI Nuclease sbcCD subunit C OS=Escherichia coli (strain K12) GN=sbcC PE=1 SV=1
P13669	MNGR_ECOLI Mannosyl-D-glycerate transport/metabolism system repressor mngR OS=Escherichia coli (strain K12) GN=mngR PE=1 SV=1
P14081	SELB_ECOLI Selenocysteine-specific elongation factor OS=Escherichia coli (strain K12) GN=selB PE=1 SV=3
P14175	PROV_ECOLI Glycine betaine/L-proline transport ATP-binding protein proV OS=Escherichia coli (strain K12) GN=proV PE=1 SV=1
P14176	PROW_ECOLI Glycine betaine/L-proline transport system permease protein proW OS=Escherichia coli (strain K12) GN=proW PE=1 SV=1
P14294	TOP3_ECOLI DNA topoisomerase 3 OS=Escherichia coli (strain K12) GN=topB PE=1 SV=1
P14375	ZRAR_ECOLI Transcriptional regulatory protein zraR OS=Escherichia coli (strain K12) GN=zraR PE=1 SV=2
P14376	RCSC_ECOLI Sensor kinase protein rcsC OS=Escherichia coli (strain K12) GN=rcsC PE=1 SV=3
P15005	MCRB_ECOLI 5-methylcytosine-specific restriction enzyme B OS=Escherichia coli (strain K12) GN=mcrB PE=1 SV=3
P15028	FECB_ECOLI Fe(3+) dicitrate-binding periplasmic protein OS=Escherichia coli (strain K12) GN=fecB PE=3 SV=3
P15031	FECE_ECOLI Fe(3+) dicitrate transport ATP-binding protein fecE OS=Escherichia coli (strain K12) GN=fecE PE=1 SV=1
P15038	HELD_ECOLI Helicase IV OS=Escherichia coli (strain K12) GN=helD PE=1 SV=2
P15042	DNLJ_ECOLI DNA ligase OS=Escherichia coli (strain K12) GN=ligA PE=1 SV=2
P15254	PUR4_ECOLI Phosphoribosylformylglycinamidine synthase OS=Escherichia coli (strain K12) GN=purL PE=1 SV=3
