Accession	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names	Gene names (OLN)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location
A5A614	yciZ		b4596	JW1277	YCIZ_ECOLI		Inferred from homology	UPF0509 family	UPF0509 protein yciZ		Complete proteome	57	
O32528	ypdI		b2376	JW2373	YPDI_ECOLI	"Cell membrane; Lipid-anchor. "	Predicted		Uncharacterized lipoprotein ypdI	GO:0005886	"Cell membrane; Complete proteome; Lipoprotein; Membrane; Palmitate; Signal"	91	
O32583	thiS	thiG1	b4407	JW3955	THIS_ECOLI		Evidence at protein level	Sulfur carrier protein ThiS family	Sulfur carrier protein ThiS (Thiamine biosynthesis protein ThiS)	"GO:0000166; GO:0009228"	"3D-structure; Complete proteome; Nucleotide-binding; Thiamine biosynthesis; Thioester bond"	66	
P00350	gnd		b2029	JW2011	6PGD_ECOLI		Evidence at protein level	6-phosphogluconate dehydrogenase family	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	"GO:0019521; GO:0050661; GO:0055114; GO:0006098; GO:0004616; GO:0042803"	"3D-structure; Complete proteome; Gluconate utilization; NADP; Oxidoreductase; Pentose shunt"	468	
P00363	frdA		b4154	JW4115	FRDA_ECOLI		Evidence at protein level	FAD-dependent oxidoreductase 2 family, FRD/SDH subfamily	Fumarate reductase flavoprotein subunit (EC 1.3.99.1)	"GO:0050660; GO:0009061; GO:0001539; GO:0005737; GO:0009055; GO:0022900; GO:0006113; GO:0009296; GO:0016020; GO:0005515; GO:0000104; GO:0006810"	"3D-structure; Complete proteome; Electron transport; FAD; Flavoprotein; Oxidoreductase; Transport"	602	
P00370	gdhA		b1761	JW1750	DHE4_ECOLI		Evidence at protein level	Glu/Leu/Phe/Val dehydrogenases family	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)	"GO:0005488; GO:0005737; GO:0006537; GO:0004354; GO:0055114"	"Complete proteome; Direct protein sequencing; NADP; Oxidoreductase"	447	
P00393	ndh		b1109	JW1095	DHNA_ECOLI	Cell membrane. 	Evidence at protein level	NADH dehydrogenase family	NADH dehydrogenase (EC 1.6.99.3)	"GO:0050660; GO:0008137; GO:0019646; GO:0044459; GO:0006810"	"3D-structure; Cell membrane; Complete proteome; Direct protein sequencing; Electron transport; FAD; Flavoprotein; Membrane; NAD; Oxidoreductase; Transport; Ubiquinone"	434	
P00448	sodA		b3908	JW3879	SODM_ECOLI		Evidence at protein level	Iron/manganese superoxide dismutase family	Superoxide dismutase [Mn] (EC 1.15.1.1) (MnSOD)	"GO:0005737; GO:0046872; GO:0055114; GO:0019430; GO:0004784"	"3D-structure; Complete proteome; Direct protein sequencing; Manganese; Metal-binding; Oxidoreductase"	206	
P00452	nrdA	dnaF	b2234	JW2228	RIR1_ECOLI		Evidence at protein level	Ribonucleoside diphosphate reductase large chain family	Ribonucleoside-diphosphate reductase 1 subunit alpha (EC 1.17.4.1) (Protein B1) (Ribonucleoside-diphosphate reductase 1 R1 subunit) (Ribonucleotide reductase 1)	"GO:0005524; GO:0006260; GO:0009263; GO:0015949; GO:0055114; GO:0005515; GO:0004748; GO:0005971"	"3D-structure; ATP-binding; Acetylation; Allosteric enzyme; Alternative initiation; Complete proteome; DNA replication; Direct protein sequencing; Disulfide bond; Nucleotide-binding; Oxidoreductase"	761	
P00509	aspC		b0928	JW0911	AAT_ECOLI	Cytoplasm. 	Evidence at protein level	Class-I pyridoxal-phosphate-dependent aminotransferase family	Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A)	"GO:0004069; GO:0033585; GO:0004838; GO:0006532; GO:0005829; GO:0016212; GO:0042803; GO:0030170"	"3D-structure; Aminotransferase; Complete proteome; Cytoplasm; Direct protein sequencing; Pyridoxal phosphate; Transferase"	396	
P00547	thrB		b0003	JW0002	KHSE_ECOLI	Cytoplasm. 	Evidence at protein level	GHMP kinase family, Homoserine kinase subfamily	Homoserine kinase (HK) (HSK) (EC 2.7.1.39)	"GO:0005524; GO:0005737; GO:0004413; GO:0009088"	"ATP-binding; Amino-acid biosynthesis; Complete proteome; Cytoplasm; Kinase; Nucleotide-binding; Threonine biosynthesis; Transferase"	310	
P00550	mtlA		b3599	JW3573	PTM3C_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level		"PTS system mannitol-specific EIICBA component (EIICBA-Mtl) (EII-Mtl) [Includes: Mannitol permease IIC component (PTS system mannitol-specific EIIC component); Mannitol-specific phosphotransferase enzyme IIB component (EC 2.7.1.69) (PTS system mannitol-specific EIIB component); Mannitol-specific phosphotransferase enzyme IIA component (EC 2.7.1.-) (PTS system mannitol-specific EIIA component)]"	"GO:0016021; GO:0016301; GO:0009401; GO:0005886; GO:0005515; GO:0008982; GO:0005351"	"3D-structure; Cell inner membrane; Cell membrane; Complete proteome; Kinase; Membrane; Phosphotransferase system; Sugar transport; Transferase; Transmembrane; Transmembrane helix; Transport"	637	
P00561	thrA	thrA1 thrA2	b0002	JW0001	AK1H_ECOLI		Evidence at protein level	"Aspartokinase family; Homoserine dehydrogenase family"	"Bifunctional aspartokinase/homoserine dehydrogenase 1 (Aspartokinase I/homoserine dehydrogenase I) (AKI-HDI) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]"	"GO:0005524; GO:0050661; GO:0016597; GO:0004072; GO:0009090; GO:0004412; GO:0009089; GO:0055114; GO:0009088"	"ATP-binding; Allosteric enzyme; Amino-acid biosynthesis; Complete proteome; Direct protein sequencing; Kinase; Multifunctional enzyme; NADP; Nucleotide-binding; Oxidoreductase; Repeat; Threonine biosynthesis; Transferase"	820	
P00562	metL	metM	b3940	JW3911	AK2H_ECOLI		Evidence at protein level	"Aspartokinase family; Homoserine dehydrogenase family"	"Bifunctional aspartokinase/homoserine dehydrogenase 2 (Aspartokinase II/homoserine dehydrogenase II) (AKII-HDII) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]"	"GO:0005524; GO:0050661; GO:0004072; GO:0009090; GO:0004412; GO:0009089; GO:0009086; GO:0055114"	"ATP-binding; Amino-acid biosynthesis; Complete proteome; Direct protein sequencing; Kinase; Methionine biosynthesis; Multifunctional enzyme; NADP; Nucleotide-binding; Oxidoreductase; Transferase"	810	
P00579	rpoD	alt	b3067	JW3039	RPOD_ECOLI		Evidence at protein level	Sigma-70 factor family	RNA polymerase sigma factor rpoD (Sigma-70)	"GO:0003677; GO:0005515; GO:0006355; GO:0009408; GO:0003700; GO:0016987; GO:0006352; GO:0030528"	"3D-structure; Complete proteome; DNA-binding; Sigma factor; Transcription; Transcription regulation"	613	
P71237	wcaC		b2057	JW2042	WCAC_ECOLI		Predicted		Putative colanic acid biosynthesis glycosyl transferase wcaC	"GO:0009103; GO:0016740"	"Complete proteome; Lipopolysaccharide biosynthesis; Transferase"	405
P71238	wcaD		b2056	JW2041	WCAD_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Predicted		Putative colanic acid polymerase	"GO:0016021; GO:0009103; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Lipopolysaccharide biosynthesis; Membrane; Transmembrane; Transmembrane helix"	405
P71239	wcaE		b2055	JW2040	WCAE_ECOLI		Predicted		Putative colanic acid biosynthesis glycosyl transferase wcaE	"GO:0009103; GO:0016740"	"Complete proteome; Lipopolysaccharide biosynthesis; Transferase"	248
P71241	wcaJ		b2047	JW2032	WCAJ_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Bacterial sugar transferase family	Putative colanic biosynthesis UDP-glucose lipid carrier transferase	"GO:0005488; GO:0016021; GO:0009103; GO:0005886; GO:0016740"	"Cell inner membrane; Cell membrane; Complete proteome; Lipopolysaccharide biosynthesis; Membrane; Transferase; Transmembrane; Transmembrane helix"	464
P71242	wcaK		b2045	JW2030	WCAK_ECOLI		Inferred from homology	Polysaccharide pyruvyl transferase family	Colanic acid biosynthesis protein wcaK (EC 2.-.-.-)	"GO:0009103; GO:0016740"	"Complete proteome; Lipopolysaccharide biosynthesis; Transferase"	426
P71243	wcaL	yefL	b2044	JW2029	WCAL_ECOLI		Inferred from homology	Glycosyltransferase 1 family	Putative colanic acid biosynthesis glycosyltransferase wcaL (EC 2.4.-.-)	"GO:0009103; GO:0016757"	"Complete proteome; Glycosyltransferase; Lipopolysaccharide biosynthesis; Transferase"	406
P71244	wcaM	yefK	b2043	JW2028	WCAM_ECOLI		Predicted		Colanic acid biosynthesis protein wcaM	GO:0009103	"Complete proteome; Lipopolysaccharide biosynthesis; Signal"	464
P75616	yaaX		b0005	JW0004	YAAX_ECOLI		Predicted		Uncharacterized protein yaaX		"Complete proteome; Signal"	98
P75617	yaaW		b0011	JW0010	YAAW_ECOLI		Inferred from homology	UPF0174 family	UPF0174 protein yaaW		Complete proteome	237
P75620	yaaY		b0024	JW5003	YAAY_ECOLI		Predicted		Uncharacterized protein yaaY		Complete proteome	72
P75672	yafS		b0213	JW0203	YAFS_ECOLI		Predicted		Uncharacterized protein yafS	GO:0008168	Complete proteome	240
P75675	ykfJ		b0235	JW0225	YKFJ_ECOLI		Uncertain		Putative uncharacterized protein ykfJ		Complete proteome	88
P75684	yagP		b4694	JW0276	YAGP_ECOLI		Uncertain		Uncharacterized protein yagP		Complete proteome	136
P75685	ykgB		b0301	JW5038	YKGB_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level		Inner membrane protein ykgB	"GO:0016021; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	197
P75687	ykgI		b0303	JW5039	YKGI_ECOLI	Periplasm. 	Inferred from homology	BhsA/McbA family	Uncharacterized protein ykgI	GO:0042597	"Complete proteome; Periplasm; Signal"	78
P75691	yahK		b0325	JW0317	YAHK_ECOLI		Evidence at protein level	Zinc-containing alcohol dehydrogenase family	Uncharacterized zinc-type alcohol dehydrogenase-like protein yahK (EC 1.-.-.-)	"GO:0048037; GO:0055114; GO:0016616; GO:0008270"	"3D-structure; Complete proteome; Metal-binding; Oxidoreductase; Zinc"	349
P75692	yahM		b0327	JW5044	YAHM_ECOLI		Predicted		Uncharacterized protein yahM		Complete proteome	81
P75694	yahO		b0329	JW0321	YAHO_ECOLI	Periplasm. 	Inferred from homology	BhsA/McbA family	Uncharacterized protein yahO	GO:0042597	"Complete proteome; Periplasm; Signal"	91
P75713	ylbA	glxB6	b0515	JW0503	YLBA_ECOLI		Evidence at protein level		Uncharacterized protein ylbA	"GO:0030145; GO:0071522"	"3D-structure; Complete proteome"	261
P75715	sfmH		b0533	JW5071	SFMH_ECOLI	Fimbrium. 	Inferred from homology		Protein sfmH	"GO:0005537; GO:0009289"	"Complete proteome; Fimbrium; Lectin; Mannose-binding; Signal"	327
P75726	citF	ybdV	b0615	JW5087	CILA_ECOLI	Cytoplasm. 	Inferred from homology		Citrate lyase alpha chain (Citrase alpha chain) (EC 4.1.3.6) (Citrate (pro-3S)-lyase alpha chain) (Citrate CoA-transferase subunit) (EC 2.8.3.10)	"GO:0006084; GO:0008815; GO:0008814; GO:0009346"	"Complete proteome; Cytoplasm; Lyase; Transferase"	510
P75728	ubiF	yleB	b0662	JW0659	UBIF_ECOLI		Evidence at protein level	UbiH/COQ6 family	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (EC 1.14.13.-)	"GO:0008682; GO:0050660; GO:0055114; GO:0016709; GO:0005515; GO:0006744"	"Complete proteome; FAD; Flavoprotein; Monooxygenase; Oxidoreductase; Ubiquinone biosynthesis"	391
P75733	ybfM		b0681	JW0667	YBFM_ECOLI		Predicted		Uncharacterized protein ybfM	"GO:0016021; GO:0015288"	Complete proteome	468
P75734	ybfN		b0682	JW0668	YBFN_ECOLI	"Cell membrane; Lipid-anchor. "	Predicted		Uncharacterized lipoprotein ybfN	GO:0005886	"Cell membrane; Complete proteome; Lipoprotein; Membrane; Signal"	108
P75736	ybfF		b0686	JW0673	YBFF_ECOLI		Evidence at protein level	DmpD/todF/xylF esterase family	Esterase ybfF (EC 3.1.-.-)	"GO:0004091; GO:0005737; GO:0005515; GO:0016790"	"3D-structure; Complete proteome; Hydrolase; Serine esterase"	254
P75737	ybfP		b0689	JW0676	YBFP_ECOLI	"Cell membrane; Lipid-anchor. "	Predicted		Uncharacterized lipoprotein ybfP	GO:0005886	"Cell membrane; Complete proteome; Lipoprotein; Membrane; Palmitate; Signal"	164
P75745	ybgK		b0712	JW0702	YBGK_ECOLI		Predicted		Uncharacterized protein ybgK		Complete proteome	310
P75746	ybgL		b0713	JW0703	YBGL_ECOLI		Evidence at protein level	UPF0271 (lamB) family	UPF0271 protein ybgL	"GO:0005975; GO:0003824"	"3D-structure; Complete proteome"	244
P75747	abrB	ybgN	b0715	JW5097	ABRB_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Inferred from homology	AbrB family	Protein AbrB (AidB regulator)	"GO:0016021; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	348
P75748	ybgO		b0716	JW5098	YBGO_ECOLI		Predicted		Uncharacterized protein ybgO	"GO:0007155; GO:0009289"	"Complete proteome; Signal"	353
P75749	ybgP		b0717	JW0707	YBGP_ECOLI	Periplasm. 	Inferred from homology	Periplasmic pilus chaperone family	Uncharacterized fimbrial chaperone ybgP	"GO:0007047; GO:0030288; GO:0005515"	"Chaperone; Complete proteome; Fimbrium biogenesis; Immunoglobulin domain; Periplasm; Signal"	242
P75767	ybhK		b0780	JW0763	YBHK_ECOLI		Inferred from homology	UPF0052 family	UPF0052 protein ybhK		Complete proteome	302
P75769	ybhM		b0787	JW0770	YBHM_ECOLI	"Cell membrane; Multi-pass membrane protein. "	Predicted		Uncharacterized protein ybhM	"GO:0016021; GO:0005886"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	237
P75770	ybhN		b0788	JW0771	YBHN_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level		Inner membrane protein ybhN	"GO:0016021; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	318
P75779	ybiX		b0804	JW5105	YBIX_ECOLI		Inferred from homology		PKHD-type hydroxylase ybiX (EC 1.14.11.-)	"GO:0031418; GO:0005506; GO:0055114; GO:0016705; GO:0016702"	"Complete proteome; Dioxygenase; Iron; Metal-binding; Oxidoreductase; Vitamin C"	225
P75783	ybiO		b0808	JW5108	YBIO_ECOLI	"Cell membrane; Multi-pass membrane protein. "	Inferred from homology	MscS (TC 1.A.23) family	Uncharacterized mscS family protein ybiO	"GO:0016021; GO:0005886; GO:0055085"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	741
P75785	ybiP		b0815	JW0800	YBIP_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Phosphoethanolamine transferase family	Putative phosphoethanolamine transferase ybiP (EC 2.7.-.-)	"GO:0016021; GO:0005886; GO:0008484; GO:0016740"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transferase; Transmembrane; Transmembrane helix"	527
P75788	ybiR		b0818	JW0802	YBIR_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	CitM (TC 2.A.11) transporter family	Inner membrane protein ybiR	"GO:0015137; GO:0016021; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	372
P75791	ybiU		b0821	JW0805	YBIU_ECOLI		Evidence at protein level		Uncharacterized protein ybiU		"3D-structure; Complete proteome"	421
P75793	ybiW		b0823	JW0807	PFLF_ECOLI	Cytoplasm. 	Inferred from homology		Putative formate acetyltransferase 3 (EC 2.3.1.54) (Pyruvate formate-lyase 3)	"GO:0005737; GO:0008861; GO:0006006"	"Acyltransferase; Complete proteome; Cytoplasm; Organic radical; Transferase"	810
P75801	yliF		b0834	JW0818	YLIF_ECOLI	"Cell membrane; Single-pass membrane protein. "	Predicted		Putative lipoprotein YliF	"GO:0009190; GO:0016021; GO:0016849; GO:0005886"	"Cell membrane; Complete proteome; Lipoprotein; Membrane; Palmitate; Signal; Transmembrane; Transmembrane helix"	442
P75804	yliI		b0837	JW0821	YLII_ECOLI		Evidence at protein level	PQQ oxidoreductase gdhB family	Soluble aldose sugar dehydrogenase yliI (Asd) (EC 1.1.5.-)	"GO:0005509; GO:0030288; GO:0055114; GO:0070968; GO:0008876"	"3D-structure; Calcium; Complete proteome; Metal-binding; Oxidoreductase; PQQ; Signal"	371
P75806	ybjG		b0841	JW5112	YBJG_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	BcrC/YbjG family	Putative undecaprenyl-diphosphatase ybjG (EC 3.6.1.27) (Undecaprenyl pyrophosphate phosphatase)	"GO:0007047; GO:0016021; GO:0009252; GO:0005886; GO:0008360; GO:0046677; GO:0050380"	"Antibiotic resistance; Cell inner membrane; Cell membrane; Cell shape; Cell wall biogenesis/degradation; Complete proteome; Hydrolase; Membrane; Peptidoglycan synthesis; Transmembrane; Transmembrane helix"	198
P75809	ybjI		b0844	JW5113	YBJI_ECOLI		Evidence at protein level	HAD-like hydrolase superfamily, Cof family	Phosphatase ybjI (EC 3.1.3.-)	"GO:0016787; GO:0046872"	"Complete proteome; Hydrolase; Magnesium; Metal-binding"	271
P75810	ybjJ		b0845	JW0829	YBJJ_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level		Inner membrane protein ybjJ	"GO:0016021; GO:0005886; GO:0055085"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	402
P75811	ybjK		b0846	JW5114	YBJK_ECOLI		Predicted		Uncharacterized HTH-type transcriptional regulator ybjK	"GO:0003677; GO:0006355; GO:0003700; GO:0016566; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	178
P75818	ybjP		b0865	JW0849	YBJP_ECOLI	"Cell membrane; Lipid-anchor. "	Evidence at protein level		Uncharacterized lipoprotein ybjP	GO:0005886	"Cell membrane; Complete proteome; Lipoprotein; Membrane; Palmitate; Signal"	171
P75822	ybjT		b0869	JW5116	YBJT_ECOLI		Predicted		Uncharacterized protein ybjT	"GO:0003824; GO:0044237; GO:0050662"	Complete proteome	476
P75823	ltaE	ybjU	b0870	JW0854	LTAE_ECOLI		Evidence at protein level	Threonine aldolase family	Low specificity L-threonine aldolase (Low specificity L-TA) (EC 4.1.2.5)	"GO:0008732; GO:0006545; GO:0050179; GO:0005515; GO:0030170"	"Complete proteome; Direct protein sequencing; Lyase; Pyridoxal phosphate"	333
P75824	hcr	ybjV	b0872	JW5117	HCR_ECOLI		Evidence at protein level	FAD-binding oxidoreductase type 6 family	NADH oxidoreductase hcr (EC 1.-.-.-)	"GO:0051537; GO:0009055; GO:0022900; GO:0046872; GO:0016491; GO:0006810"	"2Fe-2S; Complete proteome; Electron transport; FAD; Flavoprotein; Iron; Iron-sulfur; Metal-binding; NAD; Oxidoreductase; Transport"	322
P75825	hcp	ybjW	b0873	JW0857	HCP_ECOLI	Cytoplasm. 	Evidence at protein level	HCP family	Hydroxylamine reductase (EC 1.7.-.-) (Hybrid-cluster protein) (HCP)	"GO:0051537; GO:0005737; GO:0046872; GO:0055114; GO:0016661; GO:0004601; GO:0005515; GO:0042542"	"2Fe-2S; Complete proteome; Cytoplasm; Iron; Iron-sulfur; Metal-binding; Oxidoreductase"	550
P75826	ybjE		b0874	JW0858	YBJE_ECOLI	"Cell membrane; Multi-pass membrane protein. "	Predicted		Uncharacterized protein ybjE	"GO:0016021; GO:0005886"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	299
P75828	ybjD		b0876	JW0860	YBJD_ECOLI		Predicted		Uncharacterized protein ybjD	GO:0005524	"ATP-binding; Complete proteome; Nucleotide-binding"	552
P75829	ybjX		b0877	JW0861	YBJX_ECOLI		Predicted		Uncharacterized protein ybjX		Complete proteome	330
P75830	macA	ybjY	b0878	JW0862	MACA_ECOLI	"Cell inner membrane; Peripheral membrane protein. "	Evidence at protein level	Membrane fusion protein (MFP) (TC 8.A.1) family	Macrolide-specific efflux protein macA	"GO:0019898; GO:0005886; GO:0009306; GO:0008565; GO:0046677"	"3D-structure; Antibiotic resistance; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Signal; Transport"	371
P75831	macB	ybjZ	b0879	JW0863	MACB_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	ABC transporter superfamily, Macrolide exporter (TC 3.A.1.122) family	Macrolide export ATP-binding/permease protein macB (EC 3.6.3.-)	"GO:0005524; GO:0016887; GO:0016021; GO:0005886; GO:0046677; GO:0006810"	"ATP-binding; Antibiotic resistance; Cell inner membrane; Cell membrane; Complete proteome; Hydrolase; Membrane; Nucleotide-binding; Transmembrane; Transmembrane helix; Transport"	648
P75835	ycaM		b0899	JW5119	YCAM_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Amino acid-polyamine-organocation (APC) superfamily	Inner membrane transporter ycaM	"GO:0015171; GO:0016021; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	476
P75836	ycaN		b0900	JW0883	YCAN_ECOLI		Predicted		Uncharacterized HTH-type transcriptional regulator ycaN	"GO:0003677; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	302
P75838	ycaO		b0905	JW0888	YCAO_ECOLI		Inferred from homology	UPF0142 family	UPF0142 protein ycaO		Complete proteome	586
P75839	ycaP		b0906	JW0889	YCAP_ECOLI	"Cell membrane; Multi-pass membrane protein. "	Inferred from homology	UPF0702 family	UPF0702 transmembrane protein ycaP	"GO:0016021; GO:0005886"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	230
P75843	ycaQ		b0916	JW0899	YCAQ_ECOLI		Evidence at protein level		Uncharacterized protein ycaQ	GO:0005515	Complete proteome	410
P75849	ycbL		b0927	JW0910	YCBL_ECOLI		Inferred from homology	Metallo-beta-lactamase superfamily, Glyoxalase II family	Uncharacterized protein ycbL (EC 3.-.-.-)	"GO:0016787; GO:0046872"	"Complete proteome; Hydrolase; Metal-binding; Zinc"	215
P75851	ssuC	ycbM	b0934	JW5121	SSUC_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Binding-protein-dependent transport system permease family, CysTW subfamily	Putative aliphatic sulfonates transport permease protein ssuC	"GO:0042959; GO:0016021; GO:0005886; GO:0006790"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	263
P75853	ssuA	ycbO	b0936	JW0919	SSUA_ECOLI	Periplasm. 	Evidence at protein level	Bacterial solute-binding protein ssuA/tauA family	Putative aliphatic sulfonates-binding protein	"GO:0043190; GO:0042959; GO:0030288; GO:0006790"	"3D-structure; Complete proteome; Periplasm; Signal; Transport"	319
P75855	ycbQ		b0938	JW5122	YCBQ_ECOLI	Fimbrium. 	Inferred from homology	Fimbrial protein family	Uncharacterized fimbrial-like protein ycbQ	"GO:0007155; GO:0009289"	"Complete proteome; Fimbrium; Signal"	179
P75856	ycbR		b0939	JW0922	YCBR_ECOLI	Periplasm. 	Inferred from homology	Periplasmic pilus chaperone family	Uncharacterized fimbrial chaperone ycbR	"GO:0007047; GO:0030288; GO:0005515"	"Chaperone; Complete proteome; Fimbrium biogenesis; Immunoglobulin domain; Periplasm; Signal"	233
P75857	ycbS		b0940	JW0923	YCBS_ECOLI	"Cell outer membrane; Multi-pass membrane protein. "	Inferred from homology	Fimbrial export usher family	Uncharacterized outer membrane usher protein ycbS	"GO:0009279; GO:0016021; GO:0005886; GO:0005215"	"Cell membrane; Cell outer membrane; Complete proteome; Fimbrium biogenesis; Membrane; Signal; Transmembrane; Transmembrane beta strand; Transport"	866
P75858	ycbT		b0941	JW0924	YCBT_ECOLI	Fimbrium. 	Inferred from homology	Fimbrial protein family	Uncharacterized fimbrial-like protein ycbT	"GO:0007155; GO:0009289"	"Complete proteome; Fimbrium; Signal"	356
P75859	ycbU		b0942	JW0925	YCBU_ECOLI		Predicted		Uncharacterized fimbrial-like protein ycbU	"GO:0007155; GO:0009289"	"Complete proteome; Signal"	180
P75860	ycbV		b0943	JW5123	YCBV_ECOLI		Predicted		Uncharacterized fimbrial-like protein ycbV	"GO:0007155; GO:0009289"	"Complete proteome; Signal"	171
P75862	ycbW		b0946	JW5125	YCBW_ECOLI		Predicted		Uncharacterized protein ycbW		Complete proteome	180
P75863	ycbX		b0947	JW5126	YCBX_ECOLI		Evidence at protein level		Uncharacterized protein ycbX	"GO:0003824; GO:0009055; GO:0051536; GO:0030151; GO:0005515; GO:0030170; GO:0009407"	Complete proteome	369
P75867	ycbZ		b0955	JW0938	LONH_ECOLI		Inferred from homology	Peptidase S16 family	Putative Lon protease homolog (EC 3.4.21.-) (ATP-dependent protease La homolog)	"GO:0004176; GO:0006508; GO:0004252"	"Complete proteome; Hydrolase; Protease; Serine protease"	586
P75874	yccU		b0965	JW5130	YCCU_ECOLI		Evidence at protein level		Uncharacterized protein yccU	"GO:0003824; GO:0005515"	"Complete proteome; Direct protein sequencing"	137
P75908	ycdT		b1025	JW5143	YCDT_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level		Probable diguanylate cyclase YcdT (DGC) (EC 2.7.7.65)	"GO:0005525; GO:0009190; GO:0016021; GO:0046872; GO:0051271; GO:0005886; GO:0016740"	"Cell inner membrane; Cell membrane; Complete proteome; GTP-binding; Magnesium; Membrane; Metal-binding; Nucleotide-binding; Transferase; Transmembrane; Transmembrane helix"	452
P75914	ycdX		b1034	JW1017	YCDX_ECOLI		Evidence at protein level	PHP family	Putative hydrolase ycdX (EC 3.1.-.-)	"GO:0003677; GO:0006260; GO:0003887; GO:0016787; GO:0046872"	"3D-structure; Complete proteome; Hydrolase; Metal-binding; Zinc"	245
P75915	ycdY		b1035	JW1018	YCDY_ECOLI		Inferred from homology	TorD/dmsD family	Uncharacterized protein ycdY		Complete proteome	184
P75917	ymdA		b1044	JW1031	YMDA_ECOLI		Evidence at transcript level		Uncharacterized protein YmdA		"Complete proteome; Signal"	103
P75920	mdoC	opgC ymdD	b1047	JW1034	OPGC_ECOLI	"Cell membrane; Multi-pass membrane protein. "	Evidence at protein level	Acyltransferase 3 family, OpgC subfamily	Glucans biosynthesis protein C (EC 2.1.-.-)	"GO:0008415; GO:0016021; GO:0005886"	"Acyltransferase; Cell membrane; Complete proteome; Membrane; Transferase; Transmembrane; Transmembrane helix"	385
P75925	yceJ		b1057	JW1044	C56I_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Cytochrome b561 family	Cytochrome b561 homolog 2	"GO:0009055; GO:0016021; GO:0046872; GO:0016491; GO:0005886; GO:0022904; GO:0006810"	"Cell inner membrane; Cell membrane; Complete proteome; Electron transport; Heme; Iron; Membrane; Metal-binding; Transmembrane; Transmembrane helix; Transport"	188
P75931	mviM	yceM	b1068	JW1055	MVIM_ECOLI		Evidence at protein level		Virulence factor mviM homolog	"GO:0005488; GO:0055114; GO:0016491; GO:0009405"	"3D-structure; Complete proteome; Virulence"	307
P75933	flgA		b1072	JW1059	FLGA_ECOLI	Periplasm. 	Inferred from homology	FlgA family	Flagella basal body P-ring formation protein flgA	"GO:0043064; GO:0042597"	"Bacterial flagellum biogenesis; Complete proteome; Periplasm; Signal"	219
