Accession	Gene names	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names (OLN)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location	Name	Accession	Comments	Description	Common Core	Category	Uniprot Subcellular Loci	EchoLOCATION	Total Len	1st Secr Sys	2nd Secr Sys	SignalP SP HMM	Smax HMM	SignalP SP NN	D-score NN	LipoP S	Peptidase	Score	Helixes Predicted	Expected No aas in helixes	Expected No aas in helixes in first 60 aas	Phobius Signal	Phobius TMHs	TatP Signal	TatP D-score
C6ED32	yjdP ECBD_3939 ECD_03963	yjdP		ECBD_3939 ECD_03963	C6ED32_ECOBD		Predicted		Putative uncharacterized protein (Putative uncharacterized protein yjdP)		"Complete proteome; Signal"	109		YJDP_ECOLI	Q6BEX5		>Q6BEX5|YJDP_ECOLI Uncharacterized protein yjdP OS=Escherichia coli (strain K12) GN=yjdP PE=4 SV=1		G		Periplasmic	109	SEC		23	1.000	23	0.855	22	SpI 	14.955	0	0.26	0.26	22	0	20	0.070
C6EEW6	ydbJ ECBD_2245 ECD_01350	ydbJ		ECBD_2245 ECD_01350	C6EEW6_ECOBD		Predicted		Putative cytoplasmic protein (Putative uncharacterized protein ydbJ)		"Complete proteome; Signal"	88		YDBJ_ECOLI	P0ACW2		>P0ACW2|YDBJ_ECOLI Uncharacterized protein ydbJ OS=Escherichia coli (strain K12) GN=ydbJ PE=4 SV=1		I		Outer membrane Lipoprotein	88	SEC	LOL	25	0.997	25	0.577	16	SpII 	17.222	0	0.24	0.24	19	0	46	0.290
C6ELB9	yfcQ ECBD_1325 ECD_02259	yfcQ		ECBD_1325 ECD_02259	C6ELB9_ECOBD		Predicted		Fimbrial protein (Predicted fimbrial-like adhesin protein)	"GO:0007155; GO:0009289"	"Complete proteome; Fimbrium; Signal"	159		YFCQ_ECOLI	P76500		>P76500|YFCQ_ECOLI Uncharacterized fimbrial-like protein yfcQ OS=Escherichia coli (strain K12) GN=yfcQ PE=4 SV=1		G		Periplasmic	162	SEC		19	1.000	19	0.755	18	SpI 	13.642	0	0.01	0.01	18	0	40	0.060
C6EAI4	yohO ECBD_1531 ECD_02057	yohO		ECBD_1531 ECD_02057	C6EAI4_ECOBD	"Cell inner membrane; Single-pass membrane protein. "	Inferred from homology	UPF0387 family	UPF0387 membrane protein yohO	GO:0005886	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Signal; Transmembrane; Transmembrane helix"	35		YOHO_ECOLI	Q2EES6	"Cell inner membrane; Single-pass membrane protein Potential"	>Q2EES6|YOHO_ECOLI UPF0387 membrane protein yohO OS=Escherichia coli (strain K12) GN=yohO PE=1 SV=1		B	"Cell inner membrane; Single-pass membrane protein. "	Membrane anchored	35	SEC		26	0.977	0	0		TMH 	4.516	1	23.01	23.01		1	34	0.316
C6EBS7	yjhX ECBD_3730 ECD_04174	yjhX		ECBD_3730 ECD_04174	C6EBS7_ECOBD		Inferred from homology	UPF0386 family	UPF0386 protein yjhX		Complete proteome	85		YJHX_ECOLI	Q2EEU2		>Q2EEU2|YJHX_ECOLI UPF0386 protein yjhX OS=Escherichia coli (strain K12) GN=yjhX PE=3 SV=1		A		Cytoplasmic	85			0	0	0	0		CYT 		0	0.00	0.00		0	15	0.176
C6EC42	yeaL ECBD_1856 ECD_01758	yeaL		ECBD_1856 ECD_01758	C6EC42_ECOBD	"Cell membrane; Multi-pass membrane protein. "	Inferred from homology	UPF0756 family	UPF0756 membrane protein yeaL	"GO:0016021; GO:0005886"	"Cell membrane; Complete proteome; Membrane; Signal; Transmembrane; Transmembrane helix"	148		YEAL_ECOLI	P0ACY6		>P0ACY6|YEAL_ECOLI UPF0756 membrane protein yeaL OS=Escherichia coli (strain K12) GN=yeaL PE=3 SV=1		B	"Cell membrane; Multi-pass membrane protein. "	Integral Membrane Protein	148	SEC		25	0.975	0	0		TMH 	8.391	4	96.48	38.69	16	4	32	0.062
C6EGG2	rplR ECBD_0447 ECD_03155	rplR		ECBD_0447 ECD_03155	C6EGG2_ECOBD		Inferred from homology	Ribosomal protein L18P family	50S ribosomal protein L18	"GO:0005840; GO:0003735; GO:0006412"	"Complete proteome; RNA-binding; Ribonucleoprotein; Ribosomal protein; rRNA-binding"	117		RL18_ECOLI	P0C018	 ribosomal	>P0C018|RL18_ECOLI 50S ribosomal protein L18 OS=Escherichia coli (strain K12) GN=rplR PE=1 SV=1	yes	A_trl		Cytoplasmic	117			0	0	38	0		CYT 		0	0.02	0.02		0	23	0.234
C6EGB9	yheN tusD ECBD_0404 ECD_03196	yheN	tusD	ECBD_0404 ECD_03196	C6EGB9_ECOBD	Cytoplasm. 	Inferred from homology	DsrE/tusD family	Sulfurtransferase tusD (EC 2.8.1.-) (tRNA 2-thiouridine synthesizing protein D)	"GO:0005737; GO:0016783; GO:0008033"	"Complete proteome; Cytoplasm; Transferase; tRNA processing"	128		TUSD_ECOLI	P45532		>P45532|TUSD_ECOLI Sulfurtransferase tusD OS=Escherichia coli (strain K12) GN=tusD PE=1 SV=1	yes	A	Cytoplasm. 	Cytoplasmic	128			0	0	0	0		CYT 		0	0.04	0.02		0	29	0.123
C6EKZ3	ybaB ECBD_3185 ECD_00422	ybaB		ECBD_3185 ECD_00422	C6EKZ3_ECOBD		Inferred from homology	UPF0133 family	UPF0133 protein ybaB		Complete proteome	109		YBAB_ECOLI	P0A8B5		>P0A8B5|YBAB_ECOLI UPF0133 protein ybaB OS=Escherichia coli (strain K12) GN=ybaB PE=1 SV=1	yes	A		Cytoplasmic	109			0	0	0	0		CYT 		0	0.00	0.00		0	19	0.125
C6EGA1	rpmH ECBD_4330 ECD_03586	rpmH		ECBD_4330 ECD_03586	C6EGA1_ECOBD		Inferred from homology	Ribosomal protein L34P family	50S ribosomal protein L34	"GO:0005840; GO:0003735; GO:0006412"	"Complete proteome; Ribonucleoprotein; Ribosomal protein"	46		RL34_ECOLI	P0A7P5	 ribosomal	>P0A7P5|RL34_ECOLI 50S ribosomal protein L34 OS=Escherichia coli (strain K12) GN=rpmH PE=1 SV=1	yes	A_trl		Cytoplasmic	46			0	0	0	0		CYT 		0	0.00	0.00		0	40	0.361
C6EKN9	ypfN ECBD_1217 ECD_02364	ypfN		ECBD_1217 ECD_02364	C6EKN9_ECOBD	"Cell membrane; Single-pass membrane protein. "	Inferred from homology	UPF0370 family	UPF0370 protein ypfN	GO:0005886	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	66		YPFN_ECOLI	Q2EET2		>Q2EET2|YPFN_ECOLI UPF0370 protein ypfN OS=Escherichia coli (strain K12) GN=ypfN PE=3 SV=1		B	"Cell membrane; Single-pass membrane protein. "	Membrane anchored	66	SEC		0	0	15	0		CYT 		1	19.23	19.23		1	5	0.106
C6EC98	yjgL ECBD_3783 ECD_04119	yjgL		ECBD_3783 ECD_04119	C6EC98_ECOBD		Predicted		Putative uncharacterized protein (Putative uncharacterized protein yjgL)		Complete proteome	550		YJGL_ECOLI	P39336		>P39336|YJGL_ECOLI Uncharacterized protein yjgL OS=Escherichia coli (strain K12) GN=yjgL PE=1 SV=2		A		Cytoplasmic	604			0	0	0	0		CYT 		0	0.78	0.44		0	54	0.104
C6EA00	ccmB ECBD_1460 ECD_02127	ccmB		ECBD_1460 ECD_02127	C6EA00_ECOBD		Predicted		Cytochrome c-type biogenesis protein CcmB (Heme exporter subunit)	"GO:0017004; GO:0015232; GO:0016020"	Complete proteome	220		CCMB_ECOLI	P0ABL8		>P0ABL8|CCMB_ECOLI Heme exporter protein B OS=Escherichia coli (strain K12) GN=ccmB PE=1 SV=1	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	220	SEC		0	0	0	0		TMH 	9.267	6	131.77	35.86		6	22	0.086
C6EE38	secE ECBD_4052 ECD_03857	secE		ECBD_4052 ECD_03857	C6EE38_ECOBD		Predicted		Preprotein translocase, SecE subunit (Translocase)	"GO:0015450; GO:0016021; GO:0009306; GO:0006605"	Complete proteome	127		SECE_ECOLI	P0AG96		>P0AG96|SECE_ECOLI Preprotein translocase subunit secE OS=Escherichia coli (strain K12) GN=secE PE=1 SV=1		B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	127	SEC		0	0	0	0		TMH 	7.805	3	63.81	38.92		3	23	0.177
C6EEV5	ynbA ECBD_2232 ECD_01363	ynbA		ECBD_2232 ECD_01363	C6EEV5_ECOBD		Predicted		CDP-alcohol phosphatidyltransferase (Predicted inner membrane protein)	"GO:0016020; GO:0008654; GO:0016780"	"Complete proteome; Transferase"	201		YNBA_ECOLI	P76090		>P76090|YNBA_ECOLI Inner membrane protein ynbA OS=Escherichia coli (strain K12) GN=ynbA PE=1 SV=2		B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	201	SEC		51	0.978	0	0		TMH 		5	99.03	28.03		5	50	0.084
C6EFL4	yhfG ECBD_0386 ECD_03213	yhfG		ECBD_0386 ECD_03213	C6EFL4_ECOBD		Predicted		Putative uncharacterized protein (Putative uncharacterized protein yhfG)		Complete proteome	55		YHFG_ECOLI	P0ADX5		>P0ADX5|YHFG_ECOLI Uncharacterized protein yhfG OS=Escherichia coli (strain K12) GN=yhfG PE=4 SV=1		A		Cytoplasmic	55			0	0	0	0		CYT 		0	0.04	0.04		0	42	0.099
C6EH93	agaW ECBD_0608 ECD_02999	agaW		ECBD_0608 ECD_02999	C6EH93_ECOBD		Predicted		N-acetylgalactosamine-specific enzyme IIC component of PTS (Phosphotransferase system PTS sorbose-specific IIC subunit)	"GO:0016021; GO:0009401; GO:0016740"	"Complete proteome; Transferase"	259		PTPC2_ECOLI	P42905		>P42905|PTPC2_ECOLI Putative N-acetylgalactosamine permease IIC component 2 OS=Escherichia coli (strain K12) GN=agaW PE=5 SV=1		B	"Cell inner membrane; Multi-pass membrane protein. "	-	133	SEC		0	0	0	0		TMH 	6.598	3	81.73	43.05		3	10	0.114
C6EGU5	ymgF ECBD_2453 ECD_01144	ymgF		ECBD_2453 ECD_01144	C6EGU5_ECOBD		Predicted		Putative uncharacterized protein ymgF (Uncharacterized protein YmgF)		Complete proteome	72		YMGF_ECOLI	P58034		>P58034|YMGF_ECOLI Uncharacterized protein ymgF OS=Escherichia coli (strain K12) GN=ymgF PE=4 SV=1		B		Integral Membrane Protein	72	SEC		0	0	21	0		TMH 	0.559	2	43.63	43.55		2	31	0.061
C6EK17	rseC ECBD_1111 ECD_02464	rseC		ECBD_1111 ECD_02464	C6EK17_ECOBD		Predicted		Positive regulator of sigma E, RseC/MucC (RseC protein involved in reduction of the SoxR iron-sulfur cluster)		Complete proteome	159		RSEC_ECOLI	P46187		>P46187|RSEC_ECOLI Sigma-E factor regulatory protein rseC OS=Escherichia coli (strain K12) GN=rseC PE=1 SV=1		B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	159	SEC		0	0	0	0		CYT 		2	44.29	0.00		2	32	0.230
C6E9T3	elaB ECBD_1392 ECD_02193	elaB		ECBD_1392 ECD_02193	C6E9T3_ECOBD		Predicted		Putative uncharacterized protein (Putative uncharacterized protein elaB)		Complete proteome	101		ELAB_ECOLI	P0AEH5		>P0AEH5|ELAB_ECOLI Protein elaB OS=Escherichia coli (strain K12) GN=elaB PE=1 SV=1		B		Membrane anchored	101	SEC		0	0	0	0		CYT 		1	17.45	0.00		1	23	0.038
C6EA02	ccmD ECBD_1462 ECD_02125	ccmD		ECBD_1462 ECD_02125	C6EA02_ECOBD		Predicted		Cytochrome c biogenesis protein (Heme exporter protein D (CcmD))	"GO:0016021; GO:0006810"	Complete proteome	69		CCMD_ECOLI	P0ABM5		>P0ABM5|CCMD_ECOLI Heme exporter protein D OS=Escherichia coli (strain K12) GN=ccmD PE=1 SV=1		B	"Cell inner membrane; Single-pass membrane protein. "	Membrane anchored	69	SEC		0	0	0	0		TMH 	3.240	1	22.86	22.86		1	6	0.175
C6EK71	dcuC ECBD_3029 ECD_00591	dcuC		ECBD_3029 ECD_00591	C6EK71_ECOBD		Predicted		Anaerobic C4-dicarboxylate transport (Anaerobic c4-dicarboxylate antiporter, DcuC family)	"GO:0015556; GO:0016021"	Complete proteome	461		DCUC_ECOLI	P0ABP3		>P0ABP3|DCUC_ECOLI Anaerobic C4-dicarboxylate transporter dcuC OS=Escherichia coli (strain K12) GN=dcuC PE=3 SV=1		B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	461	SEC		0	0	0	0		TMH 	0.537	12	262.34	39.01		12	43	0.114
C6EL68	ypeB ECBD_1272 ECD_02310	ypeB		ECBD_1272 ECD_02310	C6EL68_ECOBD		Predicted		Putative cytoplasmic protein (Putative uncharacterized protein ypeB)		Complete proteome	72		YPEB_ECOLI	P0AD40		>P0AD40|YPEB_ECOLI Uncharacterized protein ypeB OS=Escherichia coli (strain K12) GN=ypeB PE=4 SV=1		A		Cytoplasmic	72			0	0	0	0		CYT 		0	0.00	0.00		0	10	0.094
C6EE01	yjbD ECBD_4014 ECD_03895	yjbD		ECBD_4014 ECD_03895	C6EE01_ECOBD		Predicted		Putative uncharacterized protein (Putative uncharacterized protein yjbD)		Complete proteome	90		YJBD_ECOLI	P32685		>P32685|YJBD_ECOLI Uncharacterized protein yjbD OS=Escherichia coli (strain K12) GN=yjbD PE=4 SV=1		A		-	90			0	0	0	0		CYT 		0	0.00	0.00		0	44	0.053
C6EBU8	flhA ECBD_1759 ECD_01850	flhA		ECBD_1759 ECD_01850	C6EBU8_ECOBD		Predicted		Flagellar biosynthesis protein A (Flagellar biosynthesis protein FlhA)	"GO:0019861; GO:0016021; GO:0009306"	"Cell projection; Cilium; Complete proteome; Flagellum"	692		FLHA_ECOLI	P76298		>P76298|FLHA_ECOLI Flagellar biosynthesis protein flhA OS=Escherichia coli (strain K12) GN=flhA PE=1 SV=1	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	692	SEC		0	0	0	0		TMH 	10.102	7	160.24	36.94		8	41	0.062
C6EH10	nanK ECBD_0525 ECD_03082	nanK		ECBD_0525 ECD_03082	C6EH10_ECOBD		Predicted		N-acetylmannosamine kinase (EC 2.7.-.-) (ROK family protein)	GO:0016301	"Complete proteome; Kinase; Transferase"	291		NANK_ECOLI	P45425		>P45425|NANK_ECOLI N-acetylmannosamine kinase OS=Escherichia coli (strain K12) GN=nanK PE=1 SV=2		B		Cytoplasmic	291	SEC		0	0	57	0		CYT 		0	0.19	0.00		0	5	0.151
C6EJY1	ypjD ECBD_1075 ECD_02500	ypjD		ECBD_1075 ECD_02500	C6EJY1_ECOBD		Predicted		Cytochrome c assembly protein (Predicted inner membrane protein)	"GO:0016020; GO:0008535"	Complete proteome	288		YPJD_ECOLI	P64432		>P64432|YPJD_ECOLI Inner membrane protein ypjD OS=Escherichia coli (strain K12) GN=ypjD PE=1 SV=1	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein >EXP<	263	SEC		0	0.735	10	0		CYT 		8	167.48	40.53	17	7	41	0.129
C6EHN8	yhaI ECBD_0634 ECD_02973	yhaI		ECBD_0634 ECD_02973	C6EHN8_ECOBD		Predicted		Predicted inner membrane protein (Putative uncharacterized protein)	GO:0016021	Complete proteome	118		YHAI_ECOLI	P64592		>P64592|YHAI_ECOLI Inner membrane protein yhaI OS=Escherichia coli (strain K12) GN=yhaI PE=1 SV=1	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	118	SEC		0	0	21	0		TMH 	0.961	3	63.54	33.35		3	20	0.087
C6EDE4	yicG ECBD_0079 ECD_03503	yicG		ECBD_0079 ECD_03503	C6EDE4_ECOBD		Predicted		Conserved inner membrane protein (Putative uncharacterized protein)		Complete proteome	205		YICG_ECOLI	P0AGM2		>P0AGM2|YICG_ECOLI UPF0126 inner membrane protein yicG OS=Escherichia coli (strain K12) GN=yicG PE=1 SV=1	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	205	SEC		0	0	22	0		CYT 		7	139.58	39.96		7	38	0.213
C6EHE2	flgM ECBD_2529 ECD_01067	flgM		ECBD_2529 ECD_01067	C6EHE2_ECOBD		Predicted		Anti-sigma factor for FliA (Sigma 28) (Putative anti-sigma-28 factor, FlgM)	"GO:0019861; GO:0016564"	Complete proteome	97		FLGM_ECOLI	P0AEM4		>P0AEM4|FLGM_ECOLI Negative regulator of flagellin synthesis OS=Escherichia coli (strain K12) GN=flgM PE=1 SV=1		A		Cytoplasmic	97			0	0	0	0		CYT 		0	0.00	0.00		0	48	0.214
C6EGE4	pioO ECBD_0429 ECD_03173	pioO		ECBD_0429 ECD_03173	C6EGE4_ECOBD		Predicted		Part of gsp divergon involved in type II protein secretion (Protein PioO)		Complete proteome	139		PIOO_ECOLI	P03825		>P03825|PIOO_ECOLI Protein pioO OS=Escherichia coli (strain K12) GN=pioO PE=1 SV=2		B		Membrane anchored	139	SEC		0	0	0	0		TMH 	3.277	1	22.76	22.74		1	8	0.143
C6ELN9	cynX ECBD_3316 ECD_00295	cynX		ECBD_3316 ECD_00295	C6ELN9_ECOBD		Predicted		Cyanate transporter (Predicted cyanate transporter)	"GO:0016021; GO:0055085; GO:0005215"	Complete proteome	384		CYNX_ECOLI	P17583		>P17583|CYNX_ECOLI Cyanate transport protein cynX OS=Escherichia coli (strain K12) GN=cynX PE=3 SV=2	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	384	SEC		0	0	0	0		CYT 		12	243.69	31.51	18	11	54	0.144
C6EKW4	ybbD ECBD_3156 ECD_00451	ybbD		ECBD_3156 ECD_00451	C6EKW4_ECOBD		Predicted		Putative uncharacterized protein (Putative uncharacterized protein ybbD)		Complete proteome	86		YBBD_ECOLI	P33669		>P33669|YBBD_ECOLI Putative uncharacterized protein ybbD OS=Escherichia coli (strain K12) GN=ybbD PE=5 SV=2		B	"Membrane; Single-pass membrane protein. "	Membrane anchored	86	SEC		0	0	0	0		TMH 	9.051	1	24.59	22.95		1	17	0.056
C6EIA6	aqpZ ECBD_2719 ECD_00880	aqpZ		ECBD_2719 ECD_00880	C6EIA6_ECOBD		Inferred from homology	MIP/aquaporin family	Aquaporin Z (Major intrinsic protein)	"GO:0016021; GO:0055085; GO:0005215"	"Complete proteome; Membrane; Signal; Transmembrane; Transport"	231		AQPZ_ECOLI	P60844		>P60844|AQPZ_ECOLI Aquaporin Z OS=Escherichia coli (strain K12) GN=aqpZ PE=1 SV=1	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	231	SEC		27	0.985	27	0.443		TMH 	14.823	6	135.48	43.93	26	5	42	0.444
C6EGJ7	yhdU ECBD_0482 ECD_03121	yhdU		ECBD_0482 ECD_03121	C6EGJ7_ECOBD		Predicted		Predicted membrane protein (Putative uncharacterized protein)		Complete proteome	59		YHDU_ECOLI	P64619		>P64619|YHDU_ECOLI Uncharacterized protein yhdU OS=Escherichia coli (strain K12) GN=yhdU PE=4 SV=1		B	"Membrane; Single-pass membrane protein. "	Membrane anchored	59	SEC		0	0	0	0		TMH 	0.197	1	21.67	21.67	30	0	12	0.041
C6EA27	yeiW ECBD_1487 ECD_02100	yeiW		ECBD_1487 ECD_02100	C6EA27_ECOBD		Predicted		Putative uncharacterized protein (Putative uncharacterized protein yeiW)		Complete proteome	84		YEIW_ECOLI	P0AFT8		>P0AFT8|YEIW_ECOLI UPF0153 protein yeiW OS=Escherichia coli (strain K12) GN=yeiW PE=3 SV=1		A		Cytoplasmic	84			0	0	0	0		CYT 		0	0.00	0.00		0	29	0.136
C6EGP9	ldrB ECBD_2404 ECD_01192	ldrB		ECBD_2404 ECD_01192	C6EGP9_ECOBD		Predicted		Putative uncharacterized protein (Toxic polypeptide, small)		Complete proteome	35		LDRB_ECOLI	Q6BF87		>Q6BF87|LDRB_ECOLI Small toxic polypeptide ldrB OS=Escherichia coli (strain K12) GN=ldrB PE=2 SV=1		B		Cytoplasmic	35	SEC		0	0	0	0		CYT 		1	21.40	21.40		1	20	0.135
C6EES0	ydcV ECBD_2196 ECD_01400	ydcV		ECBD_2196 ECD_01400	C6EES0_ECOBD	"Membrane; Multi-pass membrane protein. "	Inferred from homology	Binding-protein-dependent transport system permease family	Binding-protein-dependent transport systems inner membrane component (Predicted spermidine/putrescine transporter subunit)	"GO:0016021; GO:0005886; GO:0005215"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	264		YDCV_ECOLI	P0AFR9		>P0AFR9|YDCV_ECOLI Inner membrane ABC transporter permease protein ydcV OS=Escherichia coli (strain K12) GN=ydcV PE=1 SV=1	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	264	SEC		0	0	0	0		TMH 	8.813	6	131.40	22.43		6	13	0.143
C6ELI7	sbcC ECBD_3264 ECD_00345	sbcC		ECBD_3264 ECD_00345	C6ELI7_ECOBD		Predicted		Exonuclease SbcC (Exonuclease, dsDNA, ATP-dependent)	"GO:0006259; GO:0004527"	"Complete proteome; Exonuclease; Hydrolase; Nuclease"	1048		SBCC_ECOLI	P13458		>P13458|SBCC_ECOLI Nuclease sbcCD subunit C OS=Escherichia coli (strain K12) GN=sbcC PE=1 SV=1	yes	B		Cytoplasmic	1048	SEC		0	0	0	0		CYT 		0	0.04	0.02		0	41	0.139
C6EKM9	hyfB ECBD_1207 ECD_02374	hyfB		ECBD_1207 ECD_02374	C6EKM9_ECOBD	"Membrane; Multi-pass membrane protein. "	Inferred from homology		NADH dehydrogenase subunit N (EC 1.-.-.-) (NADH/Ubiquinone/plastoquinone (Complex I))	"GO:0042773; GO:0008137; GO:0016021"	"Complete proteome; Membrane; Oxidoreductase; Transmembrane; Ubiquinone"	672		HYFB_ECOLI	P23482		>P23482|HYFB_ECOLI Hydrogenase-4 component B OS=Escherichia coli (strain K12) GN=hyfB PE=1 SV=2		B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein >EXP<	672	SEC		0	0	15	0		TMH 	7.579	16	349.32	44.33		16	43	0.082
C6EGB6	slyX ECBD_0401 ECD_03199	slyX		ECBD_0401 ECD_03199	C6EGB6_ECOBD		Inferred from homology	SlyX family	Protein slyX		Complete proteome	72		SLYX_ECOLI	P0A8R4		>P0A8R4|SLYX_ECOLI Protein slyX OS=Escherichia coli (strain K12) GN=slyX PE=3 SV=1		A		Cytoplasmic	72			0	0	0	0		CYT 		0	0.00	0.00		0	18	0.072
C6EC04	yobG mgrB ECBD_1815 ECD_01796	yobG	mgrB	ECBD_1815 ECD_01796	C6EC04_ECOBD		Inferred from homology	MgrB family	Protein mgrB		"Complete proteome; Lipoprotein; Palmitate; Signal"	47		MGRB_ECOLI	P64512		>P64512|MGRB_ECOLI Protein mgrB OS=Escherichia coli (strain K12) GN=mgrB PE=1 SV=1		G		Periplasmic	47	SEC		22	1.000	22	0.688	21	SpI 	10.223	1	19.10	19.10	21	0	45	0.064
C6EG52	rbsC ECBD_4280 ECD_03636	rbsC		ECBD_4280 ECD_03636	C6EG52_ECOBD		Predicted		Inner-membrane translocator (Ribose ABC transporter permease protein)	"GO:0016021; GO:0005886; GO:0005215"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	321		RBSC_ECOLI	P0AGI1		>P0AGI1|RBSC_ECOLI Ribose transport system permease protein rbsC OS=Escherichia coli (strain K12) GN=rbsC PE=1 SV=1	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	321	SEC		0	0	30	0		TMH 	6.391	8	180.62	32.57		10	17	0.141
C6EGF4	rpmC ECBD_0439 ECD_03163	rpmC		ECBD_0439 ECD_03163	C6EGF4_ECOBD		Inferred from homology	Ribosomal protein L29P family	50S ribosomal protein L29	"GO:0005840; GO:0003735; GO:0006412"	"Complete proteome; Ribonucleoprotein; Ribosomal protein"	63		RL29_ECOLI	P0A7M6	 ribosomal	>P0A7M6|RL29_ECOLI 50S ribosomal protein L29 OS=Escherichia coli (strain K12) GN=rpmC PE=1 SV=1	yes	A_trl		Cytoplasmic	63			0	0	0	0		CYT 		0	0.00	0.00		0	49	0.040
C6EKB0	ybdZ ECBD_3070 ECD_00552	ybdZ		ECBD_3070 ECD_00552	C6EKB0_ECOBD		Predicted		MbtH domain protein (Putative uncharacterized protein ybdZ)		Complete proteome	72		YBDZ_ECOLI	P18393		>P18393|YBDZ_ECOLI Uncharacterized protein ybdZ OS=Escherichia coli (strain K12) GN=ybdZ PE=4 SV=1		A		Cytoplasmic	72			0	0	0	0		CYT 		0	0.00	0.00		0	20	0.150
C6EFI8	damX ECBD_0359 ECD_03240	damX		ECBD_0359 ECD_03240	C6EFI8_ECOBD		Predicted		Putative uncharacterized protein damX (Sporulation domain protein)		Complete proteome	428		DAMX_ECOLI	P11557		>P11557|DAMX_ECOLI Protein damX OS=Escherichia coli (strain K12) GN=damX PE=1 SV=2	yes	B	"Cell membrane; Single-pass membrane protein. "	Membrane anchored	428	SEC		0	0	0	0		CYT 		1	21.58	0.00		1	28	0.040
C6EEP3	fdnG ECBD_2165 ECD_01432	fdnG		ECBD_2165 ECD_01432	C6EEP3_ECOBD		Predicted		Formate dehydrogenase, alpha subunit (EC 1.7.99.4) (Formate dehydrogenase-N, alpha subunit, nitrate-inducible) (EC 1.2.1.2)	"GO:0045333; GO:0005737; GO:0009055; GO:0008863; GO:0051536; GO:0030151; GO:0008940; GO:0055114"	"Complete proteome; Iron; Iron-sulfur; Metal-binding; Molybdenum; Oxidoreductase; Selenium; Selenocysteine; Signal"	1015		FDNG_ECOLI	P24183	"TAT secretion system; Formate dehydrogenase allows E.coli to use formate as major electron donor during anaerobic respiration, when nitrate is used as electron acceptor. The alpha subunit forms the active site."	>P24183|FDNG_ECOLI Formate dehydrogenase, nitrate-inducible, major subunit OS=Escherichia coli (strain K12) GN=fdnG PE=1 SV=3	yes	F2	Periplasm. 	Membrane associated >EXP<	1015	TAT		34	0.968	23	0.573	33	SpI 	6.745	0	5.40	5.23	33	0	33	0.638
C6EKG1	yphD ECBD_1138 ECD_02438	yphD		ECBD_1138 ECD_02438	C6EKG1_ECOBD		Predicted		Inner-membrane translocator (Predicted sugar transporter subunit: membrane component of ABC superfamily)	"GO:0008643; GO:0016021; GO:0005886; GO:0005215"	"Cell membrane; Complete proteome; Membrane; Sugar transport; Transmembrane; Transmembrane helix; Transport"	332		YPHD_ECOLI	P77315		>P77315|YPHD_ECOLI Probable ABC transporter permease protein yphD OS=Escherichia coli (strain K12) GN=yphD PE=3 SV=1	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	332	SEC		0	0	0	0		TMH 	0.065	8	190.71	24.18		10	17	0.045
C6ELB8	yfcR ECBD_1324 ECD_02260	yfcR		ECBD_1324 ECD_02260	C6ELB8_ECOBD		Predicted		Predicted fimbrial-like adhesin protein (Putative uncharacterized protein)	"GO:0007155; GO:0009289"	"Complete proteome; Signal"	168		YFCR_ECOLI	P76501		>P76501|YFCR_ECOLI Uncharacterized protein yfcR OS=Escherichia coli (strain K12) GN=yfcR PE=4 SV=1		G		Periplasmic	170	SEC		29	1.000	29	0.734	28	SpI 	11.412	0	9.23	9.22	30	0	28	0.187
