Reference Locus	Reference Common Name	Comparison Locus	Comparison Common Name	Percent Similarity	
b0292	orf, hypothetical protein	ECBD_3365	conserved hypothetical protein	93.24	
b0982	putative phosphatase	ECBD_2612	protein tyrosine phosphatase	93.24	
b3927	facilitated diffusion of glycerol	ECBD_4097	MIP family channel protein	93.23	
b1209	an enzyme in main pathway of synthesis of 5-aminolevulinate, possibly glutamyl-tRNA dehydrogenase	ECBD_2412	outer membrane lipoprotein LolB	93.23	
b0434	putative polymerase/proteinase	ECBD_3224	Uncharacterized lipoprotein	93.22	
b1095	3-oxoacyl-[acyl-carrier-protein] synthase II	ECBD_2506	3-oxoacyl-(acyl-carrier-protein) synthase 2	93.22	
b0703	orf, hypothetical protein	ECBD_0137	Rhs family protein-like protein	93.22	
b3960	argininosuccinate lyase	ECBD_4064	argininosuccinate lyase	93.21	
b3249	rod shape-determining protein	ECBD_0498	rod shape-determining protein MreD	93.20	
b2523	putative peptidase	ECBD_1161	PepB aminopeptidase	93.20	
b0093	cell division protein; ingrowth of wall at septum	ECBD_3524	cell division protein FtsQ	93.20	
b1056	orf, hypothetical protein	ECBD_2544	YceI family protein	93.19	
b0874	putative surface protein	ECBD_2720	protein of unknown function DUF340 membrane	93.18	
b0825	putative transaldolase	ECBD_2798	transaldolase	93.18	
b3932	heat shock protein hslVU, proteasome-related peptidase subunit	ECBD_4092	20S proteasome A and B subunits	93.18	
b1196	orf, hypothetical protein	ECBD_2426	conserved hypothetical protein	93.15	
b1072	flagellar biosynthesis; assembly of basal-body periplasmic P ring	ECBD_2528	flagella basal body P-ring formation protein FlgA	93.15	
b4200	30S ribosomal subunit protein S6	ECBD_3834	ribosomal protein S6	93.12	
b1843	orf, hypothetical protein	ECBD_1797	Nitrilase/cyanide hydratase and apolipoprotein N-acyltransferase	93.11	
b1113	orf, hypothetical protein	ECBD_2488	ErfK/YbiS/YcfS/YnhG family protein	93.10	
b0592	ferric enterobactin (enterochelin) binding protein; periplasmic component	ECBD_3063	periplasmic binding protein	93.08	
b1807	orf, hypothetical protein	ECBD_1835	conserved hypothetical protein	93.07	
b2933	PTS system, mannitol-specific enzyme II component, cryptic	ECBD_0806	PTS system, mannitol-specific IIC subunit	93.07	
b2205	ferredoxin-type protein: electron transfer	ECBD_1455	MauM/NapG family ferredoxin-type protein	93.07	
b3719	putative xylanase	ECBD_4313	glycoside hydrolase family 13 domain protein	93.05	
b3514	putative transport system permease protein	ECBD_0226	transporter, hydrophobe/amphiphile efflux-1 (HAE1) family	93.05	
b2779	enolase	ECBD_0950	enolase	93.05	
b2321	cell division protein	ECBD_1338	flagella assembly protein	93.05	
b2581	orf, hypothetical protein	ECBD_1099	tRNA/rRNA methyltransferase (SpoU)	93.04	
b0728	succinyl-CoA synthetase, beta subunit	ECBD_2933	succinyl-CoA synthetase, beta subunit	93.04	
b2381	putative 2-component transcriptional regulator	ECBD_1291	two component transcriptional regulator, LytTR family	93.03	
b0713	putative lactam utilization protein	ECBD_2948	LamB/YcsF family protein	93.03	
b2374	putative enzyme	ECBD_1298	formyl-CoA transferase	93.02	
b1198	putative PTS system enzyme I	ECBD_2424	dihydroxyacetone kinase, phosphotransfer subunit	93.00	
b1129	sensor protein PhoQ	ECBD_2470	histidine kinase	93.00	
b0860	arginine 3rd transport system periplasmic binding protein	ECBD_2734	cationic amino acid ABC transporter, periplasmic binding protein	93.00	
b0041	probable flavoprotein subunit, carnitine metabolism	ECBD_3574	Electron transfer flavoprotein alpha/beta-subunit	92.96	
b3327	putative general protein secretion protein	ECBD_0424	general secretion pathway protein F	92.96	
b3811	site-specific recombinase, acts on cer sequence of ColE1, effects chromosome segregation at cell division	ECBD_4230	tyrosine recombinase XerC	92.95	
b2775	putative transport protein	ECBD_0955	major facilitator superfamily MFS_1	92.94	
b1465	cryptic nitrate reductase 2, gamma subunit	ECBD_2173	respiratory nitrate reductase, gamma subunit	92.92	
b0694	regulator of kdp operon (transcriptional effector)	ECBD_2966	two component transcriptional regulator, winged helix family	92.88	
b2144	vancomycin sensitivity	ECBD_1514	protein of unknown function DUF218	92.88	
b0091	L-alanine adding enzyme, UDP-N-acetyl-muramate:alanine ligase	ECBD_3526	UDP-N-acetylmuramate/alanine ligase	92.87	
b1199	putative dihydroxyacetone kinase (EC 2.7.1.2)	ECBD_2423	dihydroxyacetone kinase, L subunit	92.85	
b3423	repressor of the glp operon	ECBD_0319	transcriptional regulator, DeoR family	92.85	
b1653	member of ATP-dependent helicase superfamily II	ECBD_1990	DEAD/H associated domain protein	92.84	
b3144	putative outer membrane protein	ECBD_0596	fimbrial biogenesis outer membrane usher protein	92.84	
b2186	orf, hypothetical protein	ECBD_1471	37kDa nucleoid-associated protein	92.83	
b1325	putative muconate cycloisomerase I (EC 5.5.-.-)	ECBD_2292	Mandelate racemase/muconate lactonizing protein	92.83	
b0436	trigger factor; a molecular chaperone involved in cell division	ECBD_3221	trigger factor	92.82	
b3050	putative oxidoreductase	ECBD_0691	protein of unknown function DUF1449	92.82	
b2703	PTS system, glucitol/sorbitol-specific IIB component and second of two IIC components	ECBD_1022	PTS system, glucitol/sorbitol-specific, IIBC subunit	92.78	
b0293	orf, hypothetical protein	ECBD_3364	conserved hypothetical protein	92.78	
b4208	transport of D-alanine, D-serine, and glycine	ECBD_3821	amino acid permease-associated region	92.77	
b2963	membrane-bound lytic murein transglycosylase C	ECBD_0776	Lytic transglycosylase catalytic	92.77	
b3840	orf, hypothetical protein	ECBD_4184	TatD-related deoxyribonuclease	92.77	
b2686	multidrug resistance; probably membrane translocase	ECBD_1034	drug resistance transporter, EmrB/QacA subfamily	92.77	
b0826	molybdopterin biosynthesis	ECBD_2797	molybdopterin synthase sulfurylase MoeB	92.77	
b0387	orf, hypothetical protein	ECBD_3277	protein of unknown function DUF188	92.76	
b2469	sensor for nitrate reductase system, protein histidine kinase (acts on NarP and narL)	ECBD_1221	histidine kinase	92.75	
b2499	phosphoribosylaminoimidazole synthetase = AIR synthetase	ECBD_1189	phosphoribosylformylglycinamidine cyclo-ligase	92.75	
b1627	orf, hypothetical protein	ECBD_2017	electron transport complex, RnfABCDGE type, A subunit	92.74	
b0832	putative transport system permease protein	ECBD_2791	binding-protein-dependent transport systems inner membrane component	92.73	
b0354	nucleoprotein/polynucleotide-associated enzyme	ECBD_3303	conserved hypothetical protein	92.73	
b3581	probable 3-hexulose 6-phosphate synthase	ECBD_0153	3-dehydro-L-gulonate-6-phosphate decarboxylase	92.72	
b0555	bacteriophage lambda lysozyme homolog	ECBD_3100	Lysozyme	92.72	
b2513	orf, hypothetical protein	ECBD_1173	conserved hypothetical protein	92.71	
b1330	orf, hypothetical protein	ECBD_2286	MscS Mechanosensitive ion channel	92.71	
b2115	molybdate metabolism regulator, first fragment	ECBD_1543	WGR domain protein	92.70	
b2117	molybdate metabolism regulator, third fragment	ECBD_1543	WGR domain protein	92.69	
b2884	orf, hypothetical protein	ECBD_0853	Xanthine/uracil/vitamin C permease	92.69	
b2526	heat shock protein, chaperone, member of Hsp70 protein family	ECBD_1158	Fe-S protein assembly chaperone HscA	92.69	
b2899	putative oxidoreductase	ECBD_0838	channel protein, hemolysin III family	92.69	
b3072	aerotaxis sensor receptor, flavoprotein	ECBD_0670	methyl-accepting chemotaxis sensory transducer with Pas/Pac sensor	92.68	
b0027	prolipoprotein signal peptidase (SPase II)	ECBD_3589	lipoprotein signal peptidase	92.68	
b3002	orf, hypothetical protein	ECBD_0736	conserved hypothetical protein	92.68	
b2324	putative peptidase	ECBD_1335	tRNA U-34 5-methylaminomethyl-2-thiouridine biosynthesis protein MnmC	92.66	
b4358	putative oxidoreductase	ECBD_3661	Alcohol dehydrogenase GroES domain protein	92.64	
b1691	putative amino acid/amine transport protein	ECBD_1955	major facilitator superfamily MFS_1	92.63	
b3959	acetylglutamate kinase	ECBD_4065	acetylglutamate kinase	92.63	
b3802	a late step of protoheme IX synthesis	ECBD_4240	HemY protein	92.63	
b1873	putative cytochrome C-type protein	ECBD_1765	NapC/NirT cytochrome c domain protein	92.62	
b1444	putative aldehyde dehydrogenase	ECBD_2195	1-pyrroline dehydrogenase	92.61	
b1861	Holliday junction helicase subunit B; branch migration; repair	ECBD_1777	Holliday junction DNA helicase RuvA	92.61	
b2026	phosphoribosyl-amp cyclohydrolase; phosphoribosyl-ATP pyrophosphatase	ECBD_1633	phosphoribosyl-ATP diphosphatase	92.61	
b0531	putative chaperone	ECBD_3127	Pili assembly chaperone, N-terminal	92.60	
b2209	ecotin, a serine protease inhibitor	ECBD_1450	proteinase inhibitor I11 ecotin	92.59	
b0485	putative glutaminase	ECBD_3171	Glutaminase	92.58	
b3862	putative endonuclease	ECBD_4166	phospholipid/glycerol acyltransferase	92.58	
b0449	putative ATP-binding component of a transport system	ECBD_3206	ABC transporter related	92.58	
b3430	glucose-1-phosphate adenylyltransferase	ECBD_0312	glucose-1-phosphate adenylyltransferase	92.57	
b4032	part of maltose permease, inner membrane	ECBD_4004	binding-protein-dependent transport systems inner membrane component	92.56	
b3017	suppressor of ftsI	ECBD_0723	multicopper oxidase type 3	92.55	
b3108	orf, hypothetical protein	ECBD_0630	protein of unknown function DUF1063	92.55	
b3300	putative ATPase subunit of translocase	ECBD_0451	preprotein translocase, SecY subunit	92.55	
b1557	cold shock protein; may affect transcription	ECBD_0180	cold-shock DNA-binding domain protein	92.53	
b1006	putative transport protein	ECBD_2588	uracil-xanthine permease	92.53	
b0551	orf, hypothetical protein	ECBD_2085	antitermination Q family protein	92.5	
b2252	protein induced by aluminum	ECBD_1407	Phosphoglycerate mutase	92.5	
b3361	induced in stationary phase, recognized by rpoS, affects cell division	ECBD_0387	filamentation induced by cAMP protein Fic	92.5	
b0789	putative synthetase	ECBD_2834	phospholipase D/Transphosphatidylase	92.49	
b0499	orf, hypothetical protein	ECBD_3159	YD repeat protein	92.47	
b0497	rhsD protein in rhs element	ECBD_3157	RHS protein	92.47	
b1816	putative transport protein	ECBD_1826	Integral membrane protein TerC	92.47	
b2049	mannose-1-phosphate guanyltransferase	ECBD_1606	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	92.46	
b2454	ethanolamine utilization; homolog of Salmonella gene	ECBD_1236	ethanolamine utilization protein EutJ family protein	92.44	
b2316	acetylCoA carboxylase, carboxytransferase component, beta subunit	ECBD_1343	acetyl-CoA carboxylase, carboxyl transferase, beta subunit	92.43	
b0172	ribosome releasing factor	ECBD_3447	ribosome recycling factor	92.43	
b0134	3-methyl-2-oxobutanoate hydroxymethyltransferase	ECBD_3485	3-methyl-2-oxobutanoate hydroxymethyltransferase	92.42	
b3079	orf, hypothetical protein	ECBD_0663	conserved hypothetical protein	92.41	
b1534	putative transport protein	ECBD_2106	major facilitator superfamily MFS_1	92.40	
b0994	part of regulation of tor operon, periplasmic	ECBD_2600	TMAO reductase system periplasmic protein TorT	92.39	
b1323	transcriptional regulation of aroF, aroG, tyrA and aromatic amino acid transport	ECBD_2294	transcriptional regulator, TyrR	92.39	
b0301	orf, hypothetical protein	ECBD_3356	protein of unknown function DUF417	92.38	
b1881	chemotactic response; CheY protein phophatase; antagonist of CheY as switch regulator	ECBD_1757	chemotaxis phosphatase, CheZ	92.38	
b2587	alpha-ketoglutarate permease	ECBD_1093	metabolite/H+ symporter, major facilitator superfamily (MFS)	92.36	
b4115	putative amino acid/amine transport protein, cryptic	ECBD_3916	amino acid permease-associated region	92.35	
b4394	orf, hypothetical protein	ECBD_3626	protein of unknown function DUF84	92.35	
b4113	transcriptional regulatory protein, member of 2-component regulatory system,	ECBD_3918	two component transcriptional regulator, winged helix family	92.34	
b1752	orf, hypothetical protein	ECBD_1892	SNARE associated Golgi protein	92.34	
b1473	orf, hypothetical protein	ECBD_2166	protein of unknown function DUF6 transmembrane	92.33	
b3146	orf, hypothetical protein	ECBD_0594	Uroporphyrin-III C/tetrapyrrole (Corrin/Porphyrin) methyltransferase	92.30	
b2289	NADH dehydrogenase transcriptional regulator, LysR family	ECBD_1371	transcriptional regulator, LysR family	92.30	
b2246	putative transport protein	ECBD_1413	major facilitator superfamily MFS_1	92.30	
b2309	histidine-binding periplasmic protein of high-affinity histidine transport system	ECBD_1350	cationic amino acid ABC transporter, periplasmic binding protein	92.30	
b2417	PTS system, glucose-specific IIA component	ECBD_1264	PTS system, glucose subfamily, IIA subunit	92.30	
b1235	Hnr protein	ECBD_2387	response regulator receiver protein	92.28	
b2041	dTDP-glucose 4,6 dehydratase	ECBD_1614	dTDP-glucose 4,6-dehydratase	92.24	
b0066	putative ATP-binding component of a transport system	ECBD_3551	ABC transporter, ATPase subunit, ThiQ subfamily	92.24	
b1656	superoxide dismutase, iron	ECBD_1987	Superoxide dismutase	92.22	
b0404	putative glycoprotein	ECBD_3257	(Acyl-carrier-protein) phosphodiesterase	92.22	
b1819	PTS enzyme IID, mannose-specific	ECBD_1822	PTS system, mannose/fructose/sorbose family, IID subunit	92.22	
b4262	orf, hypothetical protein	ECBD_3774	permease YjgP/YjgQ family protein	92.22	
b0813	putative transmembrane subunit	ECBD_2810	protein of unknown function DUF6 transmembrane	92.20	
b1619	NAD-dependent 7alpha-hydroxysteroid dehydrogenase, dehydroxylation of bile acids	ECBD_2026	short-chain dehydrogenase/reductase SDR	92.15	
b1569	regulator of dicB	ECBD_2076	hypothetical protein	92.10	
b0696	high-affinity potassium transport system	ECBD_2964	potassium-transporting ATPase, C subunit	92.10	
b4403	orf, hypothetical protein	ECBD_3617	RNA methyltransferase, TrmH family, group 1	92.10	
b1202	putative adhesion and penetration protein	ECBD_2420	outer membrane autotransporter barrel domain protein	92.08	
b1699	flavoprotein; probably electron transport	ECBD_1947	Electron-transferring-flavoprotein dehydrogenase	92.07	
b4360	putative glycoprotein/receptor	ECBD_3659	conserved hypothetical protein	92.07	
b1433	putative membrane transport protein	ECBD_2206	benzoate transporter	92.07	
b0716	orf, hypothetical protein	ECBD_2945	conserved hypothetical protein	92.06	
b0986	putative regulator	ECBD_2608	putative regulator	92.05	
b0913	orf, hypothetical protein	ECBD_2682	DNA internalization-related competence protein ComEC/Rec2	92.04	
b2372	putative receptor protein	ECBD_1300	Auxin Efflux Carrier	92.03	
b0703	orf, hypothetical protein	ECBD_0259	YD repeat protein	92.03	
b3918	CDP-diacylglycerol phosphotidylhydrolase	ECBD_4106	CDP-diacylglycerol pyrophosphatase	92.03	
b4033	part of maltose permease, periplasmic	ECBD_4003	binding-protein-dependent transport systems inner membrane component	92.02	
b3506	outer membrane protein induced after carbon starvation	ECBD_0235	outer membrane lipoprotein, Slp family	92.02	
b1821	orf, hypothetical protein	ECBD_1820	protein of unknown function DUF204	92.02	
b0010	orf, hypothetical protein	ECBD_3608	GPR1/FUN34/yaaH family protein	92.02	
b3666	hexose phosphate transport protein	ECBD_0037	phosphoglycerate transporter	92.00	
b2659	orf, hypothetical protein	ECBD_1060	Protein of unknown function CsiD	92.0	
b3389	3-dehydroquinate synthase	ECBD_0358	3-dehydroquinate synthase	91.98	
b1896	trehalose-6-phosphate synthase	ECBD_1744	alpha,alpha-trehalose-phosphate synthase (UDP-forming)	91.98	
b2531	orf, hypothetical protein	ECBD_1153	transcriptional regulator, BadM/Rrf2 family	91.97	
b2120	orf, hypothetical protein	ECBD_1539	conserved hypothetical protein	91.96	
b1490	orf, hypothetical protein	ECBD_2149	diguanylate cyclase	91.95	
b2668	orf, hypothetical protein	ECBD_1051	Rhodanese domain protein	91.95	
b2414	cysteine synthase A, O-acetylserine sulfhydrolase A	ECBD_1267	cysteine synthase A	91.95	
b3037	orf, hypothetical protein	ECBD_0703	protein of unknown function DUF1190	91.92	
b1004	trp repressor binding protein; affects association of trp repressor and operator	ECBD_2590	flavoprotein WrbA	91.91	
b3465	orf, hypothetical protein	ECBD_0276	methyltransferase	91.91	
b4143	GroEL, chaperone Hsp60, peptide-dependent ATPase, heat shock protein	ECBD_3888	chaperonin GroEL	91.91	
b0513	putative transport	ECBD_3145	Xanthine/uracil/vitamin C permease	91.91	
b4265	L-idonate transporter	ECBD_3771	gluconate transporter	91.90	
b0961	orf, hypothetical protein	ECBD_2633	protein of unknown function DUF307	91.89	
b0229	flagellar biosynthesis	ECBD_3392	type III secretion FHIPEP protein	91.88	
b1448	putative resistance protein	ECBD_2191	GCN5-related N-acetyltransferase	91.86	
b0123	orf, hypothetical protein	ECBD_3496	multicopper oxidase type 3	91.86	
b1241	CoA-linked acetaldehyde dehydrogenase and iron-dependent alcohol dehydrogenase; pyruvate-formate-lyase deactivase	ECBD_2383	iron-containing alcohol dehydrogenase	91.85	
b3706	GTP-binding protein in thiophene and furan oxidation	ECBD_4326	tRNA modification GTPase TrmE	91.85	
b2068	3-methyl-adenine DNA glycosylase II, inducible	ECBD_1587	DNA-3-methyladenine glycosylase II	91.84	
b1571	orf, hypothetical protein	ECBD_2262	protein of unknown function DUF1391	91.83	
b1674	putative oxidoreductase, Fe-S subunit	ECBD_1971	4Fe-4S ferredoxin iron-sulfur binding domain protein	91.82	
b0481	orf, hypothetical protein	ECBD_3175	ybaK/ebsC protein	91.82	
b1335	O-6-alkylguanine-DNA/cysteine-protein methyltransferase	ECBD_2282	methylated-DNA/protein-cysteine methyltransferase	91.81	
b1526	putative transcriptional regulator LYSR-type	ECBD_2116	transcriptional regulator, LysR family	91.80	
b3048	orf, hypothetical protein	ECBD_0693	conserved hypothetical protein	91.80	
b1260	tryptophan synthase, alpha protein	ECBD_2362	tryptophan synthase, alpha subunit	91.79	
b4122	fumarase B= fumarate hydratase Class I; anaerobic isozyme	ECBD_2034	hydro-lyase, Fe-S type, tartrate/fumarate subfamily, beta subunit	91.78	
b2073	orf, hypothetical protein	ECBD_1583	von Willebrand factor type A	91.78	
b0108	prelipin peptidase dependent protein	ECBD_3511	putative major pilin subunit	91.78	
b1080	homolog of Salmonella P-ring of flagella basal body	ECBD_2520	flagellar P-ring protein	91.78	
b1469	nitrite extrusion protein 2	ECBD_2169	nitrite transporter	91.77	
b1176	cell division inhibitor, inhibits ftsZ ring formation	ECBD_2446	septum site-determining protein MinC	91.77	
b3462	cell division membrane protein	ECBD_0279	protein insertion ABC transporter, inner membrane subunit FtsX	91.76	
b1120	putative nicotinic acid mononucleotide:5,6-dimethylbenzimidazole (DMB) phosphoribosyltransferase	ECBD_2479	Silent information regulator protein Sir2	91.75	
b2393	permease of transport system for 3 nucleosides	ECBD_1280	nucleoside transporter	91.75	
b1287	putative oxidoreductase	ECBD_2330	conserved hypothetical protein	91.73	
b0695	sensor for high-affinity potassium transport system	ECBD_2965	Osmosensitive K channel His kinase sensor	91.72	
b4321	gluconate transport system permease 3	ECBD_3714	gluconate transporter	91.72	
b0780	putative structural protein	ECBD_2843	protein of unknown function UPF0052 and CofD	91.72	
b0518	involved in protein transport; multicopy suppressor of dominant negative ftsH mutants	ECBD_3140	FdrA family protein	91.71	
b3059	orf, hypothetical protein	ECBD_0682	protein of unknown function DUF205	91.70	
b3944	orf, hypothetical protein	ECBD_4079	protein of unknown function DUF1287	91.70	
b3943	orf, hypothetical protein	ECBD_4080	protein of unknown function DUF6 transmembrane	91.69	
b3244	suppresses inhibitory activity of CsrA	ECBD_0502	protease TldD	91.68	
b2299	putative regulator	ECBD_1360	NUDIX hydrolase	91.66	
b3253	putative dehydrogenase	ECBD_0493	quinone oxidoreductase, YhdH/YhfP family	91.66	
b4092	phosphonate metabolism	ECBD_3938	phosphonate metabolism protein PhnP	91.66	
b1611	fumarase C= fumarate hydratase Class II; isozyme	ECBD_2035	fumarate hydratase, class II	91.64	
b1022	orf, hypothetical protein	ECBD_2572	Glycosyltransferase probably involved in cell wall biogenesis-like protein	91.60	
b0343	galactoside permease (M protein)	ECBD_3314	oligosaccharide/H+ symporter, major facilitator superfamily (MFS)	91.60	
b3809	diaminopimelate epimerase	ECBD_4232	diaminopimelate epimerase	91.60	
b0514	orf, hypothetical protein	ECBD_3144	glycerate kinase	91.60	
b3504	orf, hypothetical protein	ECBD_0236	conserved hypothetical protein	91.56	
b1885	methyl-accepting chemotaxis protein IV, peptide sensor receptor	ECBD_1753	methyl-accepting chemotaxis sensory transducer	91.55	
b2253	putative enzyme	ECBD_1406	DegT/DnrJ/EryC1/StrS aminotransferase	91.55	
b3983	50S ribosomal subunit protein L11	ECBD_4050	ribosomal protein L11	91.54	
b0738	putative inner membrane protein, involved in the tonB-independent uptake of group A colicins	ECBD_2922	protein TolR	91.54	
b2715	PTS system enzyme II ABC (asc), cryptic, transports specific beta-glucosides	ECBD_1010	PTS system, maltose and glucose-specific subfamily, IIC subunit	91.54	
b4170	enzyme in methyl-directed mismatch repair	ECBD_3864	DNA mismatch repair protein MutL	91.54	
b1412	acyl carrier protein phosphodiesterase	ECBD_2228	NAD(P)H dehydrogenase (quinone)	91.54	
b0979	probable third cytochrome oxidase, subunit II	ECBD_2616	cytochrome d ubiquinol oxidase, subunit II	91.53	
b1456	rhsE protein in rhs element	ECBD_0137	Rhs family protein-like protein	91.52	
b2579	putative formate acetyltransferase	ECBD_2692	formate acetyltransferase	91.52	
b2579	putative formate acetyltransferase	ECBD_0626	formate acetyltransferase	91.52	
b1013	putative tet operon regulator	ECBD_2581	transcriptional regulator, TetR family	91.50	
b1322	orf, hypothetical protein	ECBD_2295	conserved hypothetical protein	91.50	
b1754	orf, hypothetical protein	ECBD_1890	extracellular solute-binding protein family 1	91.49	
b1630	orf, hypothetical protein	ECBD_2014	electron transport complex, RnfABCDGE type, D subunit	91.47	
b2923	orf, hypothetical protein	ECBD_0815	L-lysine exporter	91.46	
b2712	transcriptional regulatory protein	ECBD_1013	(NiFe) hydrogenase maturation protein HypF	91.46	
b1746	putative aldehyde dehydrogenase	ECBD_1899	succinylglutamic semialdehyde dehydrogenase	91.46	
b1820	orf, hypothetical protein	ECBD_1821	protein of unknown function DUF986	91.44	
b1785	orf, hypothetical protein	ECBD_1859	diguanylate cyclase	91.44	
b1304	phage shock protein, inner membrane protein	ECBD_2313	phage shock protein A, PspA	91.44	
b2317	orf, hypothetical protein	ECBD_1342	SNARE associated Golgi protein	91.42	
b2452	ethanolamine utilization; homolog of Salmonella putative transport protein	ECBD_1239	Ethanolamine utilisation protein EutH	91.42	
b3061	L-tartrate dehydratase, subunit A	ECBD_0680	hydro-lyase, Fe-S type, tartrate/fumarate subfamily, alpha subunit	91.41	
b0841	orf, hypothetical protein	ECBD_2782	Undecaprenyl-diphosphatase	91.41	
b2722	membrane-spanning protein of hydrogenase 3 (part of FHL complex)	ECBD_1003	respiratory-chain NADH dehydrogenase subunit 1	91.40	
b3064	putative O-sialoglycoprotein endopeptidase	ECBD_0677	metalloendopeptidase, glycoprotease family	91.39	
b1441	putative ATP-binding component of a transport system	ECBD_2198	ABC transporter related	91.39	
b0499	orf, hypothetical protein	ECBD_0137	Rhs family protein-like protein	91.37	
b2224	acetyl-CoA acetyltransferase	ECBD_1435	acetyl-CoA acetyltransferase	91.37	
b0898	putative transport	ECBD_2697	major facilitator superfamily MFS_1	91.36	
b0858	orf, hypothetical protein	ECBD_2736	conserved hypothetical protein	91.35	
b3200	orf, hypothetical protein	ECBD_0542	lipopolysaccharide transport periplasmic protein LptA	91.35	
b3792	putative cytochrome	ECBD_4247	polysaccharide biosynthesis protein	91.34	
b0908	5-enolpyruvylshikimate-3-phosphate synthetase	ECBD_2687	3-phosphoshikimate 1-carboxyvinyltransferase	91.33	
b1679	orf, hypothetical protein	ECBD_1966	Fe-S metabolism associated SufE	91.30	
b2276	NADH dehydrogenase I chain N	ECBD_1385	proton-translocating NADH-quinone oxidoreductase, chain N	91.29	
b2790	orf, hypothetical protein	ECBD_0939	flavodoxin/nitric oxide synthase	91.27	
b3193	orf, hypothetical protein	ECBD_0549	Mammalian cell entry related domain protein	91.25	
b1457	orf, hypothetical protein	ECBD_2180	hypothetical protein	91.25	
b0597	orf, hypothetical protein	ECBD_3057	thioesterase superfamily protein	91.24	
b3176	similar to phosphoglucomutases and phosphomannomutases	ECBD_0566	phosphoglucosamine mutase	91.23	
b2072	orf, hypothetical protein	ECBD_1584	conserved hypothetical protein	91.23	
b0814	outer membrane protein X	ECBD_2809	virulence-related outer membrane protein	91.22	
b0943	putative fimbrial-like protein	ECBD_2652	Fimbrial protein	91.22	
b3711	putative transcriptional regulator LYSR-type	ECBD_4321	transcriptional regulator, LysR family	91.22	
b0657	apolipoprotein N-acyltransferase, copper homeostasis protein, inner membrane	ECBD_2994	apolipoprotein N-acyltransferase	91.21	
b2474	orf, hypothetical protein	ECBD_1215	protein of unknown function DUF699 ATPase putative	91.20	
b0050	orf, hypothetical protein	ECBD_3565	ApaG domain protein	91.19	
b1104	orf, hypothetical protein	ECBD_2497	protein of unknown function DUF1425	91.19	
b2336	putative chaperone	ECBD_1323	Pili assembly chaperone, N-terminal	91.19	
b0283	orf, hypothetical protein	ECBD_3374	protein of unknown function DUF182	91.19	
b2599	chorismate mutase-P and prephenate dehydratase	ECBD_1087	chorismate mutase	91.19	
b1950	flagellar biosynthesis	ECBD_1695	flagellar biosynthetic protein FliR	91.18	
b2238	orf, hypothetical protein	ECBD_1422	conserved hypothetical protein	91.17	
b1549	orf, hypothetical protein	ECBD_2877	protein of unknown function DUF1398	91.17	
b4259	DNA polymerase III, chi subunit	ECBD_3777	DNA-directed DNA polymerase	91.15	
b2014	putative amino acid/amine transport protein	ECBD_1643	amino acid permease-associated region	91.15	
b3591	selenocysteine synthase: L-seryl-tRNA (Ser) selenium transferase	ECBD_0139	L-seryl-tRNA selenium transferase	91.14	
b0326	orf, hypothetical protein	ECBD_3331	conserved hypothetical protein	91.14	
b2724	probable small subunit of hydrogenase-3, iron-sulfur protein (part of formate hydrogenlyase (FHL) complex)	ECBD_1001	4Fe-4S ferredoxin iron-sulfur binding domain protein	91.13	
b0972	hydrogenase-1 small subunit	ECBD_2623	hydrogenase (NiFe) small subunit HydA	91.12	
b4351	restriction of methylated adenine	ECBD_3679	restriction endonuclease	91.11	
b4086	putative transport system permease protein	ECBD_3944	inner-membrane translocator	91.10	
b3150	putative periplasmic protein	ECBD_0590	transport-associated	91.09	
b1476	formate dehydrogenase-N, nitrate-inducible, cytochrome B556(Fdn) gamma subunit	ECBD_2163	formate dehydrogenase, gamma subunit	91.08	
b0220	orf, hypothetical protein	ECBD_3402	Inhibitor of vertebrate lysozyme	91.08	
b0572	putative resistance protein	ECBD_3090	RND efflux system, outer membrane lipoprotein, NodT family	91.02	
b4333	orf, hypothetical protein	ECBD_3698	SdiA-regulated domain protein	91.02	
b1817	PTS enzyme IIAB, mannose-specific	ECBD_1824	PTS system, mannose/fructose/sorbose family, IIA subunit	91.02	
b4319	fimbrial morphology	ECBD_3716	Fimbrial protein	91.01	
b1887	positive regulator of CheA protein activity	ECBD_1751	CheW protein	91.01	
b2766	orf, hypothetical protein	ECBD_0963	FAD dependent oxidoreductase	91.01	
b0839	D-alanyl-D-alanine carboxypeptidase; penicillin-binding protein 6	ECBD_2784	Beta-lactamase	91.0	
b2683	orf, hypothetical protein	ECBD_1037	conserved hypothetical protein	90.99	
b3234	serine endoprotease	ECBD_0513	protease Do	90.98	
b2740	putative transport protein	ECBD_0984	gluconate transporter	90.96	
b2277	NADH dehydrogenase I chain M	ECBD_1384	proton-translocating NADH-quinone oxidoreductase, chain M	90.96	
b1621	PTS system, maltose and glucose-specific II ABC	ECBD_2024	PTS system, maltose and glucose-specific IIBC subunit	90.94	
b1485	putative transport protein	ECBD_2154	binding-protein-dependent transport systems inner membrane component	90.93	
b1053	putative transport protein	ECBD_2547	major facilitator superfamily MFS_1	90.93	
b1225	nitrate reductase 1, beta subunit	ECBD_2171	nitrate reductase, beta subunit	90.90	
b1467	cryptic nitrate reductase 2, beta subunit	ECBD_2393	nitrate reductase, beta subunit	90.90	
