Accession	Gene names	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names (OLN)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location
C6EID5	glcB ECBD_0763 ECD_02844	glcB		ECBD_0763 ECD_02844	C6EID5_ECOBD	Cytoplasm. 	Inferred from homology	Malate synthase family, GlcB subfamily	Malate synthase (EC 2.3.3.9) (Malate synthase G) (EC 2.3.3.9)	"GO:0008415; GO:0005737; GO:0006097; GO:0004474; GO:0006099"	"Acyltransferase; Complete proteome; Cytoplasm; Glyoxylate bypass; Transferase; Tricarboxylic acid cycle"	723	
C6EJI7	ECBD_2908 ECBD_3312			ECBD_2908 ECBD_3312	C6EJI7_ECOBD		Predicted		Transcriptional regulator, LacI family	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	363	
C6EIJ3	iciA ECBD_0822 ECD_02747	iciA		ECBD_0822 ECD_02747	C6EIJ3_ECOBD		Predicted		Chromosome replication initiation inhibitor protein (Transcriptional regulator, ArgP, LysR family)	"GO:0003677; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	297	
C6EK39	ECBD_2995 ECD_00624			ECBD_2995 ECD_00624	C6EK39_ECOBD		Predicted		40-residue YVTN family beta-propeller repeat protein (Putative uncharacterized protein)	GO:0016021	"Complete proteome; Signal"	625	
C6EA37	yagT ECBD_3371 ECD_00245	yagT		ECBD_3371 ECD_00245	C6EA37_ECOBD		Predicted		(2Fe-2S)-binding domain protein (Predicted xanthine dehydrogenase, 2Fe-2S subunit)	"GO:0051537; GO:0009055; GO:0046872; GO:0055114; GO:0016491"	"2Fe-2S; Complete proteome; Iron; Iron-sulfur; Metal-binding"	229	
C6ELS2	ykgG ECBD_3349 ECD_00264	ykgG		ECBD_3349 ECD_00264	C6ELS2_ECOBD		Predicted		Predicted transporter (Putative uncharacterized protein)	"GO:0030272; GO:0005524; GO:0009396"	Complete proteome	231	
C6EDU6	ydfH ECBD_2099 ECD_01499	ydfH		ECBD_2099 ECD_01499	C6EDU6_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator (Transcriptional regulator, GntR family)	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	228	
C6EB80	cobS ECBD_1657 ECD_01901	cobS		ECBD_1657 ECD_01901	C6EB80_ECOBD	"Cell inner membrane; Multi-pass membrane protein. "	Inferred from homology	CobS family	Cobalamin synthase (EC 2.-.-.-)	"GO:0008818; GO:0009236; GO:0015420; GO:0005886"	"Cell inner membrane; Cell membrane; Cobalamin biosynthesis; Complete proteome; Membrane; Transferase; Transmembrane; Transmembrane helix"	247	
C6EEZ2	rhaS ECBD_4118 ECD_03791	rhaS		ECBD_4118 ECD_03791	C6EEZ2_ECOBD		Inferred from homology		DNA-binding transcriptional activator, L-rhamnose-binding (Transcriptional regulator, AraC family)	"GO:0005737; GO:0006355; GO:0019299; GO:0043565; GO:0003700; GO:0006350"	"Activator; Complete proteome; Cytoplasm; DNA-binding; Repeat; Rhamnose metabolism; Transcription; Transcription regulation"	278	
C6EC44	yeaJ ECBD_1858 ECD_01755	yeaJ		ECBD_1858 ECD_01755	C6EC44_ECOBD		Predicted		Diguanylate cyclase (Predicted diguanylate cyclase)	"GO:0009190; GO:0016849"	"Complete proteome; Signal"	496	
C6EA32	yagX ECBD_3366 ECD_00250	yagX		ECBD_3366 ECD_00250	C6EA32_ECOBD		Predicted		Predicted aromatic compound dioxygenase (Putative uncharacterized protein)	"GO:0004180; GO:0016702"	"Complete proteome; Dioxygenase; Oxidoreductase; Signal"	841	
C6EE47	udhA sthA ECBD_4062 ECD_03847	udhA	sthA	ECBD_4062 ECD_03847	C6EE47_ECOBD	Cytoplasm. 	Inferred from homology	Class-I pyridine nucleotide-disulfide oxidoreductase family	Soluble pyridine nucleotide transhydrogenase (STH) (EC 1.6.1.1) (NAD(P)(+) transhydrogenase [B-specific])	"GO:0050660; GO:0003957; GO:0045454; GO:0005737; GO:0055114"	"Complete proteome; Cytoplasm; FAD; Flavoprotein; NAD; NADP; Oxidoreductase"	466	
C6EC15	yoaE ECBD_1826 ECD_01786	yoaE		ECBD_1826 ECD_01786	C6EC15_ECOBD		Predicted		Fused predicted membrane protein/conserved protein (Integral membrane protein TerC)	"GO:0050660; GO:0003824; GO:0016021; GO:0055114"	Complete proteome	518	
C6EI75	serC ECBD_2688 ECD_00911	serC		ECBD_2688 ECD_00911	C6EI75_ECOBD	Cytoplasm. 	Inferred from homology	"Class-V pyridoxal-phosphate-dependent aminotransferase family; Class-V pyridoxal-phosphate-dependent aminotransferase family, SerC subfamily"	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase)	"GO:0006564; GO:0004648; GO:0030170"	"Amino-acid biosynthesis; Aminotransferase; Complete proteome; Cytoplasm; Pyridoxal phosphate; Pyridoxine biosynthesis; Serine biosynthesis; Transferase"	362	
C6EJZ5	yfiO ECBD_1089 ECD_02485	yfiO		ECBD_1089 ECD_02485	C6EJZ5_ECOBD		Predicted		Outer membrane assembly lipoprotein YfiO (Predicted lipoprotein)	GO:0005488	"Complete proteome; Lipoprotein; Signal"	245	
C6EDS6	ECBD_2077			ECBD_2077	C6EDS6_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	173
C6EF42	ECBD_4168			ECBD_4168	C6EF42_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	46
C6EFD3	ECBD_0301			ECBD_0301	C6EFD3_ECOBD		Predicted		GCN5-related N-acetyltransferase	GO:0008080	"Complete proteome; Transferase"	162
C6EFP0	ECBD_2274			ECBD_2274	C6EFP0_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	57
C6EGK9	ECBD_0495			ECBD_0495	C6EGK9_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	62
C6EHA2	ECBD_0618			ECBD_0618	C6EHA2_ECOBD		Predicted		Glycerate kinase (EC 2.7.1.31)	"GO:0008887; GO:0031388"	"Complete proteome; Kinase; Transferase"	381
C6EHG3	ECBD_2550			ECBD_2550	C6EHG3_ECOBD		Predicted		Glycosyl transferase family 2	GO:0016740	"Complete proteome; Transferase"	837
C6EHH6	ECBD_2563			ECBD_2563	C6EHH6_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	173
C6EIH5	ECBD_0804			ECBD_0804	C6EIH5_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	56
C6EIY3	ECBD_2824			ECBD_2824	C6EIY3_ECOBD		Predicted		Helicase c2	"GO:0005524; GO:0004003; GO:0003677"	"ATP-binding; Complete proteome; Helicase; Hydrolase; Nucleotide-binding"	761
C6EIY4	ECBD_2825			ECBD_2825	C6EIY4_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	149
C6EJN9	ECBD_2965			ECBD_2965	C6EJN9_ECOBD		Predicted		Osmosensitive K channel His kinase sensor	"GO:0005524; GO:0016020; GO:0018106; GO:0006950; GO:0000155; GO:0000160"	"ATP-binding; Complete proteome; Kinase; Nucleotide-binding; Transferase"	894
C6EJP9	ECBD_2976			ECBD_2976	C6EJP9_ECOBD		Predicted		CopG domain protein DNA-binding domain protein	"GO:0003677; GO:0006355"	"Complete proteome; DNA-binding"	120
C6EK93	ECBD_3052			ECBD_3052	C6EK93_ECOBD		Predicted		ParB domain protein nuclease	GO:0003677	Complete proteome	205
C6EKH3	ECBD_1150			ECBD_1150	C6EKH3_ECOBD		Predicted		Putative enzyme		Complete proteome	284
C6EKS9	ECBD_3121			ECBD_3121	C6EKS9_ECOBD		Predicted		Excisionase		Complete proteome	123
C6EL09	ECBD_3201			ECBD_3201	C6EL09_ECOBD		Predicted		Methylated-DNA/protein-cysteine methyltransferase	"GO:0006281; GO:0008168"	"Complete proteome; Methyltransferase; Transferase"	103
C6ELH6	ECBD_3253			ECBD_3253	C6ELH6_ECOBD		Predicted		Protein-export membrane protein SecD	"GO:0015450; GO:0016021; GO:0006886; GO:0005886; GO:0015628; GO:0015627"	"Cell membrane; Complete proteome; Membrane; Protein transport; Translocation; Transmembrane; Transmembrane helix; Transport"	604
C6EAN2	ECBD_1580			ECBD_1580	C6EAN2_ECOBD		Predicted		Putative uncharacterized protein		"Complete proteome; Signal"	42
C6EDC8	ECBD_0063			ECBD_0063	C6EDC8_ECOBD		Predicted		Transcriptional regulator, LacI family	"GO:0003677; GO:0005622; GO:0006355; GO:0003700"	Complete proteome	356
C6EFD5	ECBD_0303			ECBD_0303	C6EFD5_ECOBD		Inferred from homology	Pirin family	Pirin domain protein		Complete proteome	231
C6EFF6	ECBD_0326			ECBD_0326	C6EFF6_ECOBD		Predicted		Transcriptional regulator, TetR family	"GO:0003677; GO:0006355; GO:0046677; GO:0003700; GO:0016566; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	207
C6EHS3	ECBD_0669			ECBD_0669	C6EHS3_ECOBD		Inferred from homology	Class-III pyridoxal-phosphate-dependent aminotransferase family	Putrescine aminotransferase (EC 2.6.1.82)	"GO:0033094; GO:0009447; GO:0030170"	"Aminotransferase; Complete proteome; Pyridoxal phosphate; Transferase"	429
C6EIN8	ECBD_0867			ECBD_0867	C6EIN8_ECOBD		Inferred from homology	ATCase/OTCase family	Carbamoyltransferase YgeW	"GO:0006207; GO:0016597; GO:0004070; GO:0006520"	"Complete proteome; Transferase"	395
C6EIU0	ECBD_2780			ECBD_2780	C6EIU0_ECOBD		Predicted		Putative uncharacterized protein		"Complete proteome; Signal"	92
C6EJ69	ECBD_0925			ECBD_0925	C6EJ69_ECOBD		Predicted		Transcriptional regulator, LacI family	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	332
C6EKK4	ECBD_1181			ECBD_1181	C6EKK4_ECOBD		Predicted		17 kDa surface antigen	GO:0019867	"Complete proteome; Signal"	171
C6E9R3	ECBD_1372			ECBD_1372	C6E9R3_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	54
C6E9T0	ECBD_1389			ECBD_1389	C6E9T0_ECOBD		Predicted		Peptidase C48 SUMO/Sentrin/Ubl1	"GO:0008234; GO:0006508"	Complete proteome	402
C6EA71	ECBD_3405			ECBD_3405	C6EA71_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	117
C6EAB1	ECBD_3445			ECBD_3445	C6EAB1_ECOBD		Inferred from homology	UPP synthetase family	Undecaprenyl diphosphate synthase (EC 2.5.1.31)	GO:0008834	"Complete proteome; Transferase"	252
C6EB85	ECBD_1662			ECBD_1662	C6EB85_ECOBD		Predicted		MATE efflux family protein	"GO:0015297; GO:0015238; GO:0016021"	"Complete proteome; Membrane; Transmembrane; Transmembrane helix"	495
C6EB97	ECBD_1676			ECBD_1676	C6EB97_ECOBD		Inferred from homology		Oxidoreductase molybdopterin binding	GO:0009055	"Complete proteome; Signal"	334
C6EBA1	ECBD_1680			ECBD_1680	C6EBA1_ECOBD		Predicted		ThiJ/PfpI domain protein		Complete proteome	283
C6EBA3	ECBD_1683			ECBD_1683	C6EBA3_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	100
C6EBD5	ECBD_1716			ECBD_1716	C6EBD5_ECOBD		Inferred from homology		Flagellar export chaperone	"GO:0005737; GO:0019861; GO:0043064; GO:0045449; GO:0006350"	"Bacterial flagellum biogenesis; Cell projection; Chaperone; Cilium; Complete proteome; Cytoplasm; Flagellum; Repressor; Transcription; Transcription regulation"	121
C6EBE3	ECBD_1724			ECBD_1724	C6EBE3_ECOBD	"Membrane; Multi-pass membrane protein. "	Inferred from homology	Binding-protein-dependent transport system permease family	Polar amino acid ABC transporter, inner membrane subunit	"GO:0016021; GO:0005886; GO:0005215"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	222
C6EC22	ECBD_1833			ECBD_1833	C6EC22_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	115
C6EC62	ECBD_3742			ECBD_3742	C6EC62_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	85
C6ECK2	ECBD_1889			ECBD_1889	C6ECK2_ECOBD	"Membrane; Multi-pass membrane protein. "	Inferred from homology	Binding-protein-dependent transport system permease family	ABC transporter, permease protein	"GO:0016021; GO:0005886; GO:0005215"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	511
C6ECP2	ECBD_1930			ECBD_1930	C6ECP2_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	31
C6ED51	ECBD_3958			ECBD_3958	C6ED51_ECOBD		Predicted		Cytochrome c-type biogenesis protein CcmF	"GO:0017004; GO:0015232; GO:0016020; GO:0008535"	Complete proteome	560
C6EDA7	ECBD_0041			ECBD_0041	C6EDA7_ECOBD		Predicted		Major facilitator superfamily MFS_1	GO:0055085	Complete proteome	396
C6EDC7	ECBD_0062			ECBD_0062	C6EDC7_ECOBD		Predicted		Major facilitator superfamily MFS_1	GO:0055085	Complete proteome	433
C6EDN3	ECBD_2031			ECBD_2031	C6EDN3_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	31
C6EDU8	ECBD_2101			ECBD_2101	C6EDU8_ECOBD		Inferred from homology	Peptidase M3 family	Peptidyl-dipeptidase Dcp (EC 3.4.15.5)	"GO:0004180; GO:0004222; GO:0006508"	"Carboxypeptidase; Complete proteome; Hydrolase; Metalloprotease; Protease; Zinc"	703
C6EEQ9	ECBD_2185			ECBD_2185	C6EEQ9_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	49
C6EF34	ECBD_4160			ECBD_4160	C6EF34_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	36
C6EF38	ECBD_4164			ECBD_4164	C6EF38_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	49
C6EFF3	ECBD_0321			ECBD_0321	C6EFF3_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	408
C6EFG5	ECBD_0336			ECBD_0336	C6EFG5_ECOBD		Predicted		Ferrous iron transport protein B	"GO:0005525; GO:0015093; GO:0016021; GO:0001882"	"Complete proteome; GTP-binding; Nucleotide-binding"	773
C6EFQ6	ECBD_2291			ECBD_2291	C6EFQ6_ECOBD		Predicted		Peptidase M14 carboxypeptidase A	"GO:0004181; GO:0006508; GO:0008270"	"Carboxypeptidase; Complete proteome; Hydrolase; Protease"	242
C6EHZ2	ECBD_0738			ECBD_0738	C6EHZ2_ECOBD		Predicted		Carboxymethylenebutenolidase (EC 3.1.1.45)	GO:0008806	"Complete proteome; Hydrolase"	295
C6EI59	ECBD_2672			ECBD_2672	C6EI59_ECOBD		Inferred from homology		Chromosome segregation and condensation protein MukE	"GO:0006260; GO:0030261; GO:0007059; GO:0005737"	Complete proteome	234
C6EJ76	ECBD_0933			ECBD_0933	C6EJ76_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	43
C6EJA1	ECBD_0958			ECBD_0958	C6EJA1_ECOBD		Predicted		Major facilitator superfamily MFS_1	"GO:0016021; GO:0055085; GO:0005215"	"Complete proteome; Membrane; Transmembrane"	469
C6EK29	ECBD_1123			ECBD_1123	C6EK29_ECOBD		Predicted		CMP/dCMP deaminase zinc-binding	"GO:0016787; GO:0008270"	Complete proteome	167
C6EK32	ECBD_1126			ECBD_1126	C6EK32_ECOBD	"Cell outer membrane; Peripheral membrane protein. "	Inferred from homology		Lytic transglycosylase catalytic	"GO:0009279; GO:0007047; GO:0016829; GO:0030288; GO:0005886; GO:0005215"	"Cell membrane; Cell outer membrane; Cell wall biogenesis/degradation; Complete proteome; Lyase; Membrane; Signal"	510
C6ELR6	ECBD_3343			ECBD_3343	C6ELR6_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	61
C6EC74	ECBD_3757			ECBD_3757	C6EC74_ECOBD		Predicted		Putative uncharacterized protein		"Complete proteome; Signal"	137
C6EDL7	ECBD_2015			ECBD_2015	C6EDL7_ECOBD	"Cell inner membrane; Peripheral membrane protein. "	Inferred from homology		Electron transport complex, RnfABCDGE type, C subunit	"GO:0051539; GO:0010181; GO:0051287; GO:0009055; GO:0022900; GO:0046872; GO:0016651; GO:0005886; GO:0006810"	"4Fe-4S; Cell inner membrane; Cell membrane; Complete proteome; Electron transport; Iron; Iron-sulfur; Membrane; Metal-binding; Repeat; Transport"	708
C6EDZ4	ECBD_4007			ECBD_4007	C6EDZ4_ECOBD		Predicted		Putative uncharacterized protein		"Complete proteome; Signal"	92
C6EEV0	ECBD_2227			ECBD_2227	C6EEV0_ECOBD		Predicted		ATP-dependent helicase HrpA	"GO:0005524; GO:0008026; GO:0003676"	"ATP-binding; Complete proteome; Helicase; Hydrolase; Nucleotide-binding"	1300
C6EFG9	ECBD_0340			ECBD_0340	C6EFG9_ECOBD		Predicted		Two component transcriptional regulator, winged helix family	"GO:0003677; GO:0005622; GO:0006355; GO:0006350; GO:0000156; GO:0000160"	"Complete proteome; DNA-binding; Transcription; Transcription regulation; Two-component regulatory system"	239
C6EGU6	ECBD_2454			ECBD_2454	C6EGU6_ECOBD		Predicted		Diguanylate phosphodiesterase		Complete proteome	521
C6EGX8	ECBD_2487			ECBD_2487	C6EGX8_ECOBD		Predicted		Transcription-repair coupling factor	"GO:0005524; GO:0008026; GO:0006281; GO:0003684; GO:0006355; GO:0003700"	"ATP-binding; Complete proteome; Helicase; Hydrolase; Nucleotide-binding"	1164
C6EJ67	ECBD_0923			ECBD_0923	C6EJ67_ECOBD		Predicted		Periplasmic binding protein/LacI transcriptional regulator		"Complete proteome; Signal"	316
C6EJB1	ECBD_0968			ECBD_0968	C6EJB1_ECOBD		Predicted		Hok/gef cell toxic protein	GO:0016020	"Complete proteome; Signal"	50
C6E9Z9	ECBD_1459			ECBD_1459	C6E9Z9_ECOBD		Inferred from homology	ABC transporter superfamily	Heme exporter protein CcmA	"GO:0005524; GO:0016887; GO:0017004; GO:0030288; GO:0005886; GO:0005215"	"ATP-binding; Cell membrane; Complete proteome; Cytochrome c-type biogenesis; Hydrolase; Membrane; Nucleotide-binding; Transport"	205
C6EAY5	ECBD_3547			ECBD_3547	C6EAY5_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	43
C6EB65	ECBD_1639			ECBD_1639	C6EB65_ECOBD		Inferred from homology	Histidinol dehydrogenase family	Histidinol dehydrogenase (EC 1.1.1.23)	"GO:0051287; GO:0000105; GO:0004399; GO:0055114; GO:0008270"	"Amino-acid biosynthesis; Complete proteome; Histidine biosynthesis; Metal-binding; NAD; Oxidoreductase"	434
C6EBB8	ECBD_1698			ECBD_1698	C6EBB8_ECOBD		Predicted		Flagellar biosynthesis protein FliO	"GO:0019861; GO:0043064; GO:0016021"	"Cell projection; Cilium; Complete proteome; Flagellum"	121
C6EBD1	ECBD_1712			ECBD_1712	C6EBD1_ECOBD		Predicted		SirA family protein	"GO:0005737; GO:0005515; GO:0016783; GO:0008033"	Complete proteome	77
C6EBE1	ECBD_1722			ECBD_1722	C6EBE1_ECOBD		Inferred from homology	Bacterial solute-binding protein 3 family	Extracellular solute-binding protein family 3	"GO:0030288; GO:0005215"	"Complete proteome; Signal"	285
C6EBE6	ECBD_1727			ECBD_1727	C6EBE6_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	74
C6EC26	ECBD_1837			ECBD_1837	C6EC26_ECOBD		Predicted		Long-chain-fatty-acid--CoA ligase	GO:0016874	"Complete proteome; Ligase"	583
C6EC35	ECBD_1849			ECBD_1849	C6EC35_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	39
C6EC76	ECBD_3760			ECBD_3760	C6EC76_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	116
C6ECK9	ECBD_1896			ECBD_1896	C6ECK9_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	56
C6ECN9	ECBD_1927			ECBD_1927	C6ECN9_ECOBD	Cytoplasm. 	Inferred from homology	IF-3 family	Translation initiation factor IF-3	"GO:0005737; GO:0003743"	"Complete proteome; Initiation factor; Protein biosynthesis"	180
C6ED70	ECBD_3978			ECBD_3978	C6ED70_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	67
C6EEK9	ECBD_2129			ECBD_2129	C6EEK9_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	32
C6EFD6	ECBD_0304			ECBD_0304	C6EFD6_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	49
C6EFE1	ECBD_0309			ECBD_0309	C6EFE1_ECOBD		Inferred from homology	Aspartate-semialdehyde dehydrogenase family	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)	"GO:0051287; GO:0050661; GO:0004073; GO:0005737; GO:0009089; GO:0055114; GO:0046983"	"Amino-acid biosynthesis; Complete proteome; NADP; Oxidoreductase"	367
C6EFW1	ECBD_2346			ECBD_2346	C6EFW1_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	42
C6EGJ1	ECBD_0476			ECBD_0476	C6EGJ1_ECOBD		Inferred from homology	Bacterial solute-binding protein 3 family	Extracellular solute-binding protein family 3	"GO:0030288; GO:0005215"	"Complete proteome; Signal"	341
C6EGM6	ECBD_2381			ECBD_2381	C6EGM6_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	51
C6EGQ0	ECBD_2405			ECBD_2405	C6EGQ0_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	44
C6EH55	ECBD_0570			ECBD_0570	C6EH55_ECOBD		Inferred from homology		Putative uncharacterized protein	"GO:0005737; GO:0042274"	Complete proteome	140
C6EHA5	ECBD_0621			ECBD_0621	C6EHA5_ECOBD		Predicted		DNA-binding transcriptional activator TdcR	GO:0003677	"Complete proteome; DNA-binding"	118
C6EIG1	ECBD_0790			ECBD_0790	C6EIG1_ECOBD		Predicted		Twitching motility protein	"GO:0005524; GO:0005622; GO:0017111; GO:0006810"	Complete proteome	326
C6EK49	ECBD_3007			ECBD_3007	C6EK49_ECOBD		Predicted		Sel1 domain protein repeat-containing protein	GO:0005488	Complete proteome	98
C6EKK5	ECBD_1182			ECBD_1182	C6EKK5_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	48
C6EKK7	ECBD_1184			ECBD_1184	C6EKK7_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	50
C6ELI9	ECBD_3266			ECBD_3266	C6ELI9_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	80
C6E9R9	ECBD_1378			ECBD_1378	C6E9R9_ECOBD		Inferred from homology	Complex I 75 kDa subunit family	NADH-quinone oxidoreductase (EC 1.6.99.5)	"GO:0051539; GO:0042773; GO:0008137; GO:0009055; GO:0016020; GO:0030151"	"4Fe-4S; Complete proteome; Iron; Iron-sulfur; Metal-binding; NAD; Oxidoreductase"	908
C6EAN3	ECBD_1581			ECBD_1581	C6EAN3_ECOBD		Predicted		Putative uncharacterized protein		"Complete proteome; Signal"	48
C6EB99	ECBD_1678			ECBD_1678	C6EB99_ECOBD		Predicted		Two component heavy metal response transcriptional regulator, winged helix family	"GO:0003677; GO:0005622; GO:0006355; GO:0007600; GO:0006350; GO:0000156; GO:0000160"	"Complete proteome; DNA-binding; Transcription; Transcription regulation; Two-component regulatory system"	260
C6EEV2	ECBD_2229			ECBD_2229	C6EEV2_ECOBD		Predicted		Putative dual specificity phosphatase	"GO:0016020; GO:0006470; GO:0004725; GO:0008138"	"Complete proteome; Hydrolase; Signal"	438
C6EFC4	ECBD_0291			ECBD_0291	C6EFC4_ECOBD	"Cell inner membrane; Peripheral membrane protein. "	Inferred from homology	ABC transporter superfamily	ABC transporter related	"GO:0005524; GO:0043190; GO:0016887; GO:0008643; GO:0016820; GO:0005886"	"ATP-binding; Cell inner membrane; Cell membrane; Complete proteome; Hydrolase; Membrane; Nucleotide-binding; Sugar transport; Transport"	356
C6EFF1	ECBD_0319			ECBD_0319	C6EFF1_ECOBD		Predicted		Transcriptional regulator, DeoR family	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	252
C6EG07	ECBD_4234			ECBD_4234	C6EG07_ECOBD		Predicted		Putative uncharacterized protein		"Complete proteome; Signal"	77
C6EHL4	ECBD_2601			ECBD_2601	C6EHL4_ECOBD	"Membrane; Multi-pass membrane protein. "	Inferred from homology		Hpt sensor hybrid histidine kinase	"GO:0005524; GO:0016021; GO:0018106; GO:0006355; GO:0000156; GO:0000155; GO:0000160"	"ATP-binding; Complete proteome; Kinase; Membrane; Nucleotide-binding; Phosphoprotein; Transferase; Transmembrane; Two-component regulatory system"	899
C6EKG4	ECBD_1141			ECBD_1141	C6EKG4_ECOBD		Predicted		DoxX family protein		Complete proteome	140
C6EKM0	ECBD_1197			ECBD_1197	C6EKM0_ECOBD		Predicted		Transcriptional regulator, NifA subfamily, Fis Family	"GO:0005524; GO:0003677; GO:0005622; GO:0017111; GO:0006355; GO:0003700; GO:0006350; GO:0008134"	"ATP-binding; Complete proteome; DNA-binding; Nucleotide-binding; Transcription; Transcription regulation"	670
C6E9S6	ECBD_1385			ECBD_1385	C6E9S6_ECOBD	"Membrane; Multi-pass membrane protein. "	Inferred from homology		Proton-translocating NADH-quinone oxidoreductase, chain N	"GO:0042773; GO:0008137; GO:0016021"	"Complete proteome; Membrane; Oxidoreductase; Transmembrane"	485
C6EB05	ECBD_3567			ECBD_3567	C6EB05_ECOBD		Inferred from homology	Dihydrofolate reductase family	Dihydrofolate reductase (EC 1.5.1.3)	"GO:0050661; GO:0004146; GO:0006545; GO:0009165; GO:0055114"	"Complete proteome; Oxidoreductase"	196
C6EB77	ECBD_1651			ECBD_1651	C6EB77_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	133
C6EB94	ECBD_1673			ECBD_1673	C6EB94_ECOBD		Predicted		Cytochrome B561	"GO:0009055; GO:0016020; GO:0016491; GO:0022904"	Complete proteome	169
C6EB98	ECBD_1677			ECBD_1677	C6EB98_ECOBD		Inferred from homology	Transthyretin family	5-hydroxyisourate hydrolase	"GO:0016787; GO:0006810"	"Complete proteome; Hydrolase; Signal"	137
C6EBB9	ECBD_1699			ECBD_1699	C6EBB9_ECOBD		Predicted		Flagellar motor switch protein FliN	"GO:0009425; GO:0006935; GO:0001539; GO:0016020; GO:0003774"	"Cell projection; Cilium; Complete proteome; Flagellum"	137
C6EBC3	ECBD_1703			ECBD_1703	C6EBC3_ECOBD		Predicted		Flagellar export protein FliJ	"GO:0044461; GO:0006935; GO:0001539; GO:0016020; GO:0003774"	"Cell projection; Cilium; Complete proteome; Flagellum"	147
C6EBD7	ECBD_1718			ECBD_1718	C6EBD7_ECOBD		Predicted		Flagellar hook-associated 2 domain protein	"GO:0009288; GO:0007155; GO:0009296"	"Cell projection; Cilium; Complete proteome; Flagellum"	468
C6EBE9	ECBD_1730			ECBD_1730	C6EBE9_ECOBD		Inferred from homology		Excinuclease ABC, C subunit	"GO:0003677; GO:0009432; GO:0005737; GO:0009381; GO:0009380; GO:0006289"	Complete proteome	610
C6EBF3	ECBD_1734			ECBD_1734	C6EBF3_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	79
C6EBZ2	ECBD_1803			ECBD_1803	C6EBZ2_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	91
C6ECQ6	ECBD_1945			ECBD_1945	C6ECQ6_ECOBD		Predicted		AMP-dependent synthetase and ligase	GO:0016874	"Complete proteome; Ligase"	548
C6EDL2	ECBD_2010			ECBD_2010	C6EDL2_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	66
C6EDS2	ECBD_2072			ECBD_2072	C6EDS2_ECOBD		Predicted		Putative uncharacterized protein		Complete proteome	66
