Accession (UNIPROT)	K12 Accession	BL21(DE3) Accession	GOs	Description (Uniprot)	NG001	1DG010_flot	1DG011_flot (L1) wt	1DG011_IMVs (L3) wt
P0AEJ4	ENVZ_ECOLI	C6EFH0	B	Histidine kinase	 	+ 	+ 	 
P0ABE5	C561_ECOLI	C6EEU4	B	Cytochrome B561 (Cytochrome b561) (EC 1.2.2.4)	 	+ 	+ 	 
P25396	TEHA_ECOLI	C6EET4	B	C4-dicarboxylate transporter/malic acid transport protein (Potassium-tellurite ethidium and proflavin transporter)	 	+ 	+ 	 
P27243	RFAL_ECOLI	C6EDG8	B	"Lipid A-core, surface polymer ligase (O-antigen polymerase)"	 	+ 	+ 	 
P0ADL3	YICN_ECOLI	C6EDA6	B	Putative uncharacterized protein (Putative uncharacterized protein yicN)	 	+ 	+ 	 
P37340	MDTK_ECOLI	C6ECU0	B	Multidrug resistance protein mdtK (Multidrug-efflux transporter)	 	+ 	+ 	 
P39385	YJIN_ECOLI	C6EBP2	B	Conserved inner membrane protein (Putative uncharacterized protein)	 	+ 	+ 	 
P76339	YEDV_ECOLI	C6EBA0	B	Heavy metal sensor signal transduction histidine kinase	 	+ 	+ 	 
P03819	KEFC_ECOLI	C6EB06	B	Glutathione-regulated potassium-efflux system protein (Potassium efflux system protein)	 	+ 	+ 	 
P33927	CCMF_ECOLI	C6EA04	B	"Cytochrome c assembly protein (Heme lyase, CcmF subunit)"	 	+ 	+ 	 
P33941	YOJI_ECOLI	C6E9Y8	B	Cyclic peptide transporter (Fused predicted multidrug transport subunits of ABC superfamily: membrane component/ATP-binding component)	 	+ 	+ 	 
P0AA93	YPDA_ECOLI	C6EL88	B	"Predicted sensory kinase in two-component system with YpdB (Signal transduction histidine kinase, LytS) (EC 2.7.13.3)"	 	+ 	 	+ 
P0AAS0	YLAC_ECOLI	C6EL06	B	Predicted inner membrane protein (Putative uncharacterized protein)	 	+ 	 	+ 
P77272	PTYBC_ECOLI	C6EKS4	B	N-acetylmuramic acid phosphotransfer permease (Phosphotransferase system EIIC)	 	+ 	 	+ 
P0AFI9	PERM_ECOLI	C6EKL8	B	Predicted inner membrane protein (Putative uncharacterized protein)	 	+ 	 	+ 
P55734	YGAP_ECOLI	C6EJV7	B	Predicted inner membrane protein with hydrolase activity (Rhodanese domain protein)	 	+ 	 	+ 
P14176	PROW_ECOLI	C6EJU7	B	Binding-protein-dependent transport systems inner membrane component (Glycine betaine transporter subunit)	 	+ 	 	+ 
P0A6S5	FTSB_ECOLI	C6EJB9	B	Cell diviision protein FtsB (Septum formation initiator)	 	+ 	 	+ 
P0AE30	ARTM_ECOLI	C6EIC0	B	"Arginine transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)"	 	+ 	 	+ 
P0AER0	GLPF_ECOLI	C6EEX1	B	Glycerol facilitator (MIP family channel protein)	 	+ 	 	+ 
P0AFS7	YDIK_ECOLI	C6ECR8	B	Predicted inner membrane protein (Putative uncharacterized protein)	 	+ 	 	+ 
P76208	YNIB_ECOLI	C6ECN2	B	Predicted inner membrane protein (Putative uncharacterized protein)	 	+ 	 	+ 
P39310	YTFB_ECOLI	C6ECD8	B	Opacity-associated protein A (Predicted cell envelope opacity-associated protein)	 	+ 	 	+ 
P39321	YTFN_ECOLI	C6ECC4	B	Putative uncharacterized protein (Putative uncharacterized protein ytfN)	 	+ 	 	+ 
P64499	YEBO_ECOLI	C6EC05	B	Putative uncharacterized protein yebO (Uncharacterized protein YebO)	 	+ 	 	+ 
Q2MB16	YOBH_ECOLI	C6EC03	B	Putative uncharacterized protein	 	+ 	 	+ 
P0ABF8	PGSA_ECOLI	C6EBF0	B	CDP-diacylglycerol/glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5) (Phosphatidylglycerophosphate synthetase) (EC 2.7.8.5)	 	+ 	 	+ 
P13738	NHAA_ECOLI	C6EB35	B	Na+/H+ antiporter NhaA (pH-dependent sodium/proton antiporter)	 	+ 	 	+ 
P0AEN4	FTSL_ECOLI	C6EAX2	B	Cell division protein FtsL (Membrane bound cell division protein at septum containing leucine zipper motif)	 	+ 	 	+ 
P0AD14	YEHU_ECOLI	C6EAI6	B	"Predicted sensory kinase in two-component system with YehT (Signal transduction histidine kinase, LytS) (EC 2.7.13.3)"	 	+ 	 	+ 
P0AA86	DSBE_ECOLI	C6EA05	B	Periplasmic thioredoxin of cytochrome c-type biogenesis (Redoxin domain protein)	 	+ 	 	+ 
P33940	MQO_ECOLI	C6E9Y9	B	Probable malate:quinone oxidoreductase (EC 1.1.5.4) (MQO) (Malate dehydrogenase [quinone])	 	+ 	 	+ 
P15286	FLK_ECOLI	C6ELD2	B	Flagella assembly protein (Predicted flagella assembly protein)	 	+ 	 	 
P0AAS3	YBBJ_ECOLI	C6EKX6	B	Putative uncharacterized protein	 	+ 	 	 
P64545	YFGG_ECOLI	C6EKK6	B	Putative uncharacterized protein (Putative uncharacterized protein yfgG)	 	+ 	 	 
P77485	CUSS_ECOLI	C6EKD1	B	"Heavy metal sensor signal transduction histidine kinase (Sensory histidine kinase in two-component regulatory system with CusR, senses copper ions)"	 	+ 	 	 
P0AFX7	RSEA_ECOLI	C6EK15	B	"Anti sigma-E protein, RseA (Anti-sigma factor)"	 	+ 	 	 
Q46824	YGFX_ECOLI	C6EIL2	B	Putative uncharacterized protein (Putative uncharacterized protein ygfX)	 	+ 	 	 
P64564	YGGT_ECOLI	C6EIF9	B	Predicted inner membrane protein (Putative uncharacterized protein)	 	+ 	 	 
P42601	ALX_ECOLI	C6EHQ7	B	"Integral membrane protein TerC (Predicted inner membrane protein, part of terminus)"	 	+ 	 	 
P75901	EFEU_ECOLI	C6EHJ0	B	FTR1 family protein	 	+ 	 	 
P25744	MDTG_ECOLI	C6EHG0	B	Major facilitator superfamily MFS_1 (Predicted drug efflux system)	 	+ 	 	 
P0AGH5	SAPC_ECOLI	C6EFU0	B	Binding-protein-dependent transport systems inner membrane component (Predicted antimicrobial peptide transporter subunit)	 	+ 	 	 
P0A9Q9	DHAS_ECOLI	C6EFE1	B	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)	 	+ 	 	 
P0AGH1	YHHJ_ECOLI	C6EEJ9	B	ABC-2 type transporter (Predicted transporter subunit: membrane component of ABC superfamily)	 	+ 	 	 
P14377	ZRAS_ECOLI	C6EE15	B	Histidine kinase (Sensory histidine kinase in two-component regulatory system with ZraR)	 	+ 	 	 
P18392	RSTB_ECOLI	C6EDN9	B	Histidine kinase (Sensory histidine kinase in two-component regulatory system with RstA)	 	+ 	 	 
P76182	RNFD_ECOLI	C6EDL6	B	Electron transport complex protein rnfD	 	+ 	 	 
P0AER8	GLTS_ECOLI	C6EDD6	B	Glutamate transporter (Sodium/glutamate symporter)	 	+ 	 	 
P0A8Q0	FRDC_ECOLI	C6ECX1	B	Fumarate reductase subunit C (Fumarate reductase 15 kDa hydrophobic protein)	 	+ 	 	 
P0ABG4	FTSW_ECOLI	C6EAW6	B	Cell division protein FtsW (Integral membrane protein involved in stabilizing FstZ ring during cell division)	 	+ 	 	 
P30847	BAES_ECOLI	C6EAM7	B	Histidine kinase (Sensory histidine kinase in two-component regulatory system with BaeR) (EC 2.7.3.-)	 	+ 	 	 
P76398	MDTB_ECOLI	C6EAN0	B	Multidrug resistance protein mdtB (Multidrug transporter mdtB)	 	 	+ 	+ 
P0AFG8	ODP1_ECOLI	C6EAU3	B	Pyruvate dehydrogenase E1 component (EC 1.2.4.1)	 	 	+ 	+ 
P0AA47	YEEF_ECOLI	C6EB69	B	Amino acid permease-associated region (Predicted amino-acid transporter)	 	 	+ 	+ 
P39401	OPGB_ECOLI	C6EBL1	B	Phosphoglycerol transferase I (EC 2.7.8.20) (Phosphatidylglycerol--membrane-oligosaccharide glycerophosphotransferase)	 	 	+ 	+ 
P0AFS9	YEBA_ECOLI	C6EBX1	B	Peptidase M23	 	 	+ 	+ 
P77304	DTPA_ECOLI	C6EDL1	B	Amino acid/peptide transporter (Putative tripeptide transporter permease)	 	 	+ 	+ 
P77179	RNFE_ECOLI	C6EDL4	B	Electron transport complex protein rnfE	 	 	+ 	+ 
P0AGK1	UBIA_ECOLI	C6EDY0	B	4-hydroxybenzoate octaprenyltransferase (EC 2.5.1.-) (4-HB polyprenyltransferase)	 	 	+ 	+ 
P52645	YDBH_ECOLI	C6EEW3	B	Putative uncharacterized protein (Putative uncharacterized protein ydbH)	 	 	+ 	+ 
P33650	FEOB_ECOLI	C6EFG5	B	Ferrous iron transport protein B	 	 	+ 	+ 
P0A924	PGPB_ECOLI	C6EFV6	B	Phosphatidylglycerophosphatase (EC 3.1.3.27) (Phosphatidylglycerophosphatase B) (EC 3.1.3.27)	 	 	+ 	+ 
P31069	KCH_ECOLI	C6EFY6	B	TrkA-N domain protein (Voltage-gated potassium channel)	 	 	+ 	+ 
P27837	YIFK_ECOLI	C6EG16	B	Amino acid permease-associated region (Predicted transporter)	 	 	+ 	+ 
P0AB98	ATP6_ECOLI	C6EG65	B	ATP synthase subunit a (ATP synthase F0 sector subunit a) (F-ATPase subunit 6)	 	 	+ 	+ 
P0AEP3	GALU_ECOLI	C6EGN1	B	Glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (UTP-glucose-1-phosphate uridylyltransferase)	 	 	+ 	+ 
P0AFK4	POTB_ECOLI	C6EGW6	B	Binding-protein-dependent transport systems inner membrane component	 	 	+ 	+ 
P0AEC3	ARCB_ECOLI	C6EH17	B	Hybrid sensory histidine kinase in two-component regulatory system with ArcA (EC 2.7.3.-) (Multi-sensor hybrid histidine kinase)	 	 	+ 	+ 
P38134	ETK_ECOLI	C6EHM6	B	Capsular exopolysaccharide family (EC 2.7.10.2) (Cryptic autophosphorylating protein tyrosine kinase Etk)	 	 	+ 	+ 
P23909	MUTS_ECOLI	C6EJD4	B	DNA mismatch repair protein mutS	 	 	+ 	+ 
P03960	ATKB_ECOLI	C6EJN7	B	Potassium-transporting ATPase B chain (EC 3.6.3.12) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)	 	 	+ 	+ 
P24207	PHEP_ECOLI	C6EKC5	B	Amino acid permease-associated region	 	 	+ 	+ 
P27896	NARQ_ECOLI	C6EKP3	B	Histidine kinase (EC 2.7.13.3) (Sensory histidine kinase in two-component regulatory system with NarP (NarL)) (EC 2.7.3.-)	 	 	+ 	+ 
P0AD30	YFCA_ECOLI	C6ELC6	B	Conserved inner membrane protein (Putative uncharacterized protein)	 	 	+ 	+ 
P52094	HISQ_ECOLI	C6ELE5	B	"Histidine/lysine/arginine/ornithine transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)"	 	 	+ 	+ 
P0A9M8	PTA_ECOLI	C6ELF6	B	Phosphate acetyltransferase	 	 	+ 	+ 
P0AAE2	PROY_ECOLI	C6ELI2	B	Amino acid permease-associated region (Predicted cryptic proline transporter)	 	 	+ 	+ 
P0AA82	CODB_ECOLI	C6ELP4	B	Cytosine transporter (NCS1 nucleoside transporter family)	 	 	+ 	+ 
P33015	YEEE_ECOLI	C6EB70	B	Predicted inner membrane protein (Putative uncharacterized protein)	 	 	+ 	 
P36561	COBS_ECOLI	C6EB80	B	Cobalamin synthase (EC 2.-.-.-)	 	 	+ 	 
P07018	MCP4_ECOLI	C6EBU2	B	Methyl-accepting chemotaxis sensory transducer (Methyl-accepting protein IV)	 	 	+ 	 
P09835	UHPB_ECOLI	C6EDA1	B	Histidine kinase (EC 2.7.13.3) (Sensory histidine kinase in two-component regulatory sytem with UhpA) (EC 2.7.3.-)	 	 	+ 	 
P0AEG1	DPPC_ECOLI	C6EED8	B	Binding-protein-dependent transport systems inner membrane component (Dipeptide transporter)	 	 	+ 	 
P63183	KUP_ECOLI	C6EG56	B	Potassium transporter (Potassium uptake protein)	 	 	+ 	 
P0AGH8	PSTC_ECOLI	C6EG76	B	"Phosphate ABC transporter, inner membrane subunit PstC (Phosphate transporter subunit)"	 	 	+ 	 
P0AFH2	OPPB_ECOLI	C6EGM3	B	Binding-protein-dependent transport systems inner membrane component (Oligopeptide permease ABC transporter membrane protein)	 	 	+ 	 
Q46836	PPPA_ECOLI	C6EID8	B	Prepilin peptidase (EC 3.4.23.43)	 	 	+ 	 
P0AEY8	MDFA_ECOLI	C6EIU1	B	Major facilitator superfamily MFS_1 (Multidrug efflux system protein)	 	 	+ 	 
P75799	GSID_ECOLI	C6EIV0	B	Binding-protein-dependent transport systems inner membrane component (Predicted peptide transporter subunit: membrane component of ABC superfamily)	 	 	+ 	 
P23876	FEPD_ECOLI	C6EKA5	B	Iron-enterobactin transporter subunit (Transport system permease protein)	 	 	+ 	 
P0ABJ3	CYOC_ECOLI	C6EL36	B	"Cytochrome o ubiquinol oxidase subunit III (EC 1.10.3.-) (Cytochrome o ubiquinol oxidase, subunit III)"	 	 	+ 	 
P0AEB0	CYSW_ECOLI	C6EL54	B	"Sulfate ABC transporter, inner membrane subunit"	 	 	+ 	 
P0AEU3	HISM_ECOLI	C6ELE6	B	"Histidine/lysine/arginine/ornithine transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)"	 	 	+ 	 
P0AFU2	YFBS_ECOLI	C6ELG1	B	Citrate transporter (Predicted transporter)	 	 	+ 	 
P13458	SBCC_ECOLI	C6ELI7	B	"Exonuclease SbcC (Exonuclease, dsDNA, ATP-dependent)"	 	 	 	+ 
P0ABP6	DEDA_ECOLI	C6ELD6	B	Conserved inner membrane protein (SNARE associated Golgi protein)	 	 	 	+ 
P16701	CYST_ECOLI	C6EL53	B	"Sulfate ABC transporter, inner membrane subunit (Sulfate/thiosulfate transporter subunit)"	 	 	 	+ 
P0ADG7	IMDH_ECOLI	C6EKK1	B	Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)	 	 	 	+ 
P38054	CUSA_ECOLI	C6EKC6	B	"Copper/silver efflux system, membrane component (Heavy metal efflux pump, CzcA family)"	 	 	 	+ 
P0AEJ0	EMRB_ECOLI	C6EJU0	B	"Drug resistance transporter, EmrB/QacA subfamily (Multidrug efflux system protein)"	 	 	 	+ 
Q46927	YGDL_ECOLI	C6EJ54	B	Putative uncharacterized protein ygdL (UBA/THIF-type NAD/FAD binding protein)	 	 	 	+ 
P0AAC4	YBHL_ECOLI	C6EIZ6	B	Predicted inner membrane protein (Putative uncharacterized protein)	 	 	 	+ 
P0AE34	ARTQ_ECOLI	C6EIB9	B	"Arginine transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)"	 	 	 	+ 
P0ACJ0	LRP_ECOLI	C6EI93	B	"DNA-binding transcriptional dual regulator, leucine-binding (Transcriptional regulator, AsnC family)"	 	 	 	+ 
P46889	FTSK_ECOLI	C6EI92	B	Cell divisionFtsK/SpoIIIE (DNA-binding membrane protein required for chromosome resolution and partitioning)	 	 	 	+ 
Q47710	YQJK_ECOLI	C6EHP3	B	Putative uncharacterized protein (Putative uncharacterized protein yqjK)	 	 	 	+ 
P0A8G6	WRBA_ECOLI	C6EHK3	B	Flavoprotein wrbA (Trp repressor-binding protein)	 	 	 	+ 
P16256	PANF_ECOLI	C6EGK2	B	Sodium/panthothenate symporter (Sodium/pantothenate symporter)	 	 	 	+ 
P68699	ATPL_ECOLI	C6EG66	B	ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c) (Lipid-binding protein)	 	 	 	+ 
P0AEL0	FDOI_ECOLI	C6EF07	B	"Formate dehydrogenase, gamma subunit (Formate dehydrogenase-O, cytochrome b556 subunit) (EC 1.2.1.2)"	 	 	 	+ 
P37624	YHIH_ECOLI	C6EEJ8	B	ABC transporter related (Fused ribosome-associated ATPase: ATP-binding protein/ATP-binding protein/predicted membrane protein)	 	 	 	+ 
P37637	MDTF_ECOLI	C6EEH0	B	"Multidrug transporter, RpoS-dependent (Transporter, hydrophobe/amphiphile efflux-1 (HAE1) family)"	 	 	 	+ 
P76186	YDHK_ECOLI	C6EDK0	B	Conserved inner membrane protein (Fusaric acid resistance protein conserved region)	 	 	 	+ 
P0AGC0	UHPT_ECOLI	C6EDA3	B	Phosphoglycerate transporter (Sugar phosphate antiporter)	 	 	 	+ 
P23890	CADC_ECOLI	C6ECZ1	B	"DNA-binding transcriptional activator (Transcriptional regulator, CadC)"	 	 	 	+ 
P0A7A2	GPMB_ECOLI	C6EBH6	B	Phosphoglycerate mutase	 	 	 	+ 
P76350	SHIA_ECOLI	C6EB88	B	"Metabolite/H+ symporter, major facilitator superfamily (MFS) (Shikimate transporter)"	 	 	 	+ 
P60560	GUAC_ECOLI	C6EAV2	B	GMP reductase (EC 1.7.1.7)	 	 	 	+ 
P0A9S3	GATD_ECOLI	C6EAL9	B	"Alcohol dehydrogenase GroES domain protein (Galactitol-1-phosphate dehydrogenase, Zn-dependent and NAD(P)-binding) (EC 1.1.1.251)"	 	 	 	+ 
P76446	RTN_ECOLI	C6EA21	B	Diguanylate phosphodiesterase (Putative uncharacterized protein rtn)	 	 	 	+ 
