K12 Accession	BL21(DE3) Accession	GOs	Description (Uniprot)	NG001	1DG010_flot	1DG011_flot (L1) wt	1DG011_IMVs (L3) wt
MDTG_ECOLI	C6EHG0	B	Major facilitator superfamily MFS_1 (Predicted drug efflux system)	 	+ 	 	 
SAPC_ECOLI	C6EFU0	B	Binding-protein-dependent transport systems inner membrane component (Predicted antimicrobial peptide transporter subunit)	 	+ 	 	 
DHAS_ECOLI	C6EFE1	B	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)	 	+ 	 	 
YHHJ_ECOLI	C6EEJ9	B	ABC-2 type transporter (Predicted transporter subunit: membrane component of ABC superfamily)	 	+ 	 	 
ZRAS_ECOLI	C6EE15	B	Histidine kinase (Sensory histidine kinase in two-component regulatory system with ZraR)	 	+ 	 	 
RSTB_ECOLI	C6EDN9	B	Histidine kinase (Sensory histidine kinase in two-component regulatory system with RstA)	 	+ 	 	 
RNFD_ECOLI	C6EDL6	B	Electron transport complex protein rnfD	 	+ 	 	 
GLTS_ECOLI	C6EDD6	B	Glutamate transporter (Sodium/glutamate symporter)	 	+ 	 	 
FRDC_ECOLI	C6ECX1	B	Fumarate reductase subunit C (Fumarate reductase 15 kDa hydrophobic protein)	 	+ 	 	 
FTSW_ECOLI	C6EAW6	B	Cell division protein FtsW (Integral membrane protein involved in stabilizing FstZ ring during cell division)	 	+ 	 	 
BAES_ECOLI	C6EAM7	B	Histidine kinase (Sensory histidine kinase in two-component regulatory system with BaeR) (EC 2.7.3.-)	 	+ 	 	 
MDTB_ECOLI	C6EAN0	B	Multidrug resistance protein mdtB (Multidrug transporter mdtB)	 	 	+ 	+ 
ODP1_ECOLI	C6EAU3	B	Pyruvate dehydrogenase E1 component (EC 1.2.4.1)	 	 	+ 	+ 
YEEF_ECOLI	C6EB69	B	Amino acid permease-associated region (Predicted amino-acid transporter)	 	 	+ 	+ 
OPGB_ECOLI	C6EBL1	B	Phosphoglycerol transferase I (EC 2.7.8.20) (Phosphatidylglycerol--membrane-oligosaccharide glycerophosphotransferase)	 	 	+ 	+ 
YEBA_ECOLI	C6EBX1	B	Peptidase M23	 	 	+ 	+ 
DTPA_ECOLI	C6EDL1	B	Amino acid/peptide transporter (Putative tripeptide transporter permease)	 	 	+ 	+ 
RNFE_ECOLI	C6EDL4	B	Electron transport complex protein rnfE	 	 	+ 	+ 
UBIA_ECOLI	C6EDY0	B	4-hydroxybenzoate octaprenyltransferase (EC 2.5.1.-) (4-HB polyprenyltransferase)	 	 	+ 	+ 
YDBH_ECOLI	C6EEW3	B	Putative uncharacterized protein (Putative uncharacterized protein ydbH)	 	 	+ 	+ 
FEOB_ECOLI	C6EFG5	B	Ferrous iron transport protein B	 	 	+ 	+ 
PGPB_ECOLI	C6EFV6	B	Phosphatidylglycerophosphatase (EC 3.1.3.27) (Phosphatidylglycerophosphatase B) (EC 3.1.3.27)	 	 	+ 	+ 
KCH_ECOLI	C6EFY6	B	TrkA-N domain protein (Voltage-gated potassium channel)	 	 	+ 	+ 
YIFK_ECOLI	C6EG16	B	Amino acid permease-associated region (Predicted transporter)	 	 	+ 	+ 
ATP6_ECOLI	C6EG65	B	ATP synthase subunit a (ATP synthase F0 sector subunit a) (F-ATPase subunit 6)	 	 	+ 	+ 
GALU_ECOLI	C6EGN1	B	Glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (UTP-glucose-1-phosphate uridylyltransferase)	 	 	+ 	+ 
POTB_ECOLI	C6EGW6	B	Binding-protein-dependent transport systems inner membrane component	 	 	+ 	+ 
ARCB_ECOLI	C6EH17	B	Hybrid sensory histidine kinase in two-component regulatory system with ArcA (EC 2.7.3.-) (Multi-sensor hybrid histidine kinase)	 	 	+ 	+ 
ETK_ECOLI	C6EHM6	B	Capsular exopolysaccharide family (EC 2.7.10.2) (Cryptic autophosphorylating protein tyrosine kinase Etk)	 	 	+ 	+ 
MUTS_ECOLI	C6EJD4	B	DNA mismatch repair protein mutS	 	 	+ 	+ 
ATKB_ECOLI	C6EJN7	B	Potassium-transporting ATPase B chain (EC 3.6.3.12) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)	 	 	+ 	+ 
PHEP_ECOLI	C6EKC5	B	Amino acid permease-associated region	 	 	+ 	+ 
NARQ_ECOLI	C6EKP3	B	Histidine kinase (EC 2.7.13.3) (Sensory histidine kinase in two-component regulatory system with NarP (NarL)) (EC 2.7.3.-)	 	 	+ 	+ 
YFCA_ECOLI	C6ELC6	B	Conserved inner membrane protein (Putative uncharacterized protein)	 	 	+ 	+ 
HISQ_ECOLI	C6ELE5	B	"Histidine/lysine/arginine/ornithine transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)"	 	 	+ 	+ 
PTA_ECOLI	C6ELF6	B	Phosphate acetyltransferase	 	 	+ 	+ 
PROY_ECOLI	C6ELI2	B	Amino acid permease-associated region (Predicted cryptic proline transporter)	 	 	+ 	+ 
CODB_ECOLI	C6ELP4	B	Cytosine transporter (NCS1 nucleoside transporter family)	 	 	+ 	+ 
YEEE_ECOLI	C6EB70	B	Predicted inner membrane protein (Putative uncharacterized protein)	 	 	+ 	 
COBS_ECOLI	C6EB80	B	Cobalamin synthase (EC 2.-.-.-)	 	 	+ 	 
MCP4_ECOLI	C6EBU2	B	Methyl-accepting chemotaxis sensory transducer (Methyl-accepting protein IV)	 	 	+ 	 
UHPB_ECOLI	C6EDA1	B	Histidine kinase (EC 2.7.13.3) (Sensory histidine kinase in two-component regulatory sytem with UhpA) (EC 2.7.3.-)	 	 	+ 	 
DPPC_ECOLI	C6EED8	B	Binding-protein-dependent transport systems inner membrane component (Dipeptide transporter)	 	 	+ 	 
KUP_ECOLI	C6EG56	B	Potassium transporter (Potassium uptake protein)	 	 	+ 	 
PSTC_ECOLI	C6EG76	B	"Phosphate ABC transporter, inner membrane subunit PstC (Phosphate transporter subunit)"	 	 	+ 	 
OPPB_ECOLI	C6EGM3	B	Binding-protein-dependent transport systems inner membrane component (Oligopeptide permease ABC transporter membrane protein)	 	 	+ 	 
PPPA_ECOLI	C6EID8	B	Prepilin peptidase (EC 3.4.23.43)	 	 	+ 	 
MDFA_ECOLI	C6EIU1	B	Major facilitator superfamily MFS_1 (Multidrug efflux system protein)	 	 	+ 	 
GSID_ECOLI	C6EIV0	B	Binding-protein-dependent transport systems inner membrane component (Predicted peptide transporter subunit: membrane component of ABC superfamily)	 	 	+ 	 
FEPD_ECOLI	C6EKA5	B	Iron-enterobactin transporter subunit (Transport system permease protein)	 	 	+ 	 
CYOC_ECOLI	C6EL36	B	"Cytochrome o ubiquinol oxidase subunit III (EC 1.10.3.-) (Cytochrome o ubiquinol oxidase, subunit III)"	 	 	+ 	 
CYSW_ECOLI	C6EL54	B	"Sulfate ABC transporter, inner membrane subunit"	 	 	+ 	 
HISM_ECOLI	C6ELE6	B	"Histidine/lysine/arginine/ornithine transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)"	 	 	+ 	 
YFBS_ECOLI	C6ELG1	B	Citrate transporter (Predicted transporter)	 	 	+ 	 
SBCC_ECOLI	C6ELI7	B	"Exonuclease SbcC (Exonuclease, dsDNA, ATP-dependent)"	 	 	 	+ 
DEDA_ECOLI	C6ELD6	B	Conserved inner membrane protein (SNARE associated Golgi protein)	 	 	 	+ 
CYST_ECOLI	C6EL53	B	"Sulfate ABC transporter, inner membrane subunit (Sulfate/thiosulfate transporter subunit)"	 	 	 	+ 
IMDH_ECOLI	C6EKK1	B	Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)	 	 	 	+ 
CUSA_ECOLI	C6EKC6	B	"Copper/silver efflux system, membrane component (Heavy metal efflux pump, CzcA family)"	 	 	 	+ 
EMRB_ECOLI	C6EJU0	B	"Drug resistance transporter, EmrB/QacA subfamily (Multidrug efflux system protein)"	 	 	 	+ 
YGDL_ECOLI	C6EJ54	B	Putative uncharacterized protein ygdL (UBA/THIF-type NAD/FAD binding protein)	 	 	 	+ 
YBHL_ECOLI	C6EIZ6	B	Predicted inner membrane protein (Putative uncharacterized protein)	 	 	 	+ 
ARTQ_ECOLI	C6EIB9	B	"Arginine transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)"	 	 	 	+ 
LRP_ECOLI	C6EI93	B	"DNA-binding transcriptional dual regulator, leucine-binding (Transcriptional regulator, AsnC family)"	 	 	 	+ 
FTSK_ECOLI	C6EI92	B	Cell divisionFtsK/SpoIIIE (DNA-binding membrane protein required for chromosome resolution and partitioning)	 	 	 	+ 
YQJK_ECOLI	C6EHP3	B	Putative uncharacterized protein (Putative uncharacterized protein yqjK)	 	 	 	+ 
WRBA_ECOLI	C6EHK3	B	Flavoprotein wrbA (Trp repressor-binding protein)	 	 	 	+ 
PANF_ECOLI	C6EGK2	B	Sodium/panthothenate symporter (Sodium/pantothenate symporter)	 	 	 	+ 
ATPL_ECOLI	C6EG66	B	ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c) (Lipid-binding protein)	 	 	 	+ 
FDOI_ECOLI	C6EF07	B	"Formate dehydrogenase, gamma subunit (Formate dehydrogenase-O, cytochrome b556 subunit) (EC 1.2.1.2)"	 	 	 	+ 
YHIH_ECOLI	C6EEJ8	B	ABC transporter related (Fused ribosome-associated ATPase: ATP-binding protein/ATP-binding protein/predicted membrane protein)	 	 	 	+ 
MDTF_ECOLI	C6EEH0	B	"Multidrug transporter, RpoS-dependent (Transporter, hydrophobe/amphiphile efflux-1 (HAE1) family)"	 	 	 	+ 
YDHK_ECOLI	C6EDK0	B	Conserved inner membrane protein (Fusaric acid resistance protein conserved region)	 	 	 	+ 
UHPT_ECOLI	C6EDA3	B	Phosphoglycerate transporter (Sugar phosphate antiporter)	 	 	 	+ 
CADC_ECOLI	C6ECZ1	B	"DNA-binding transcriptional activator (Transcriptional regulator, CadC)"	 	 	 	+ 
GPMB_ECOLI	C6EBH6	B	Phosphoglycerate mutase	 	 	 	+ 
SHIA_ECOLI	C6EB88	B	"Metabolite/H+ symporter, major facilitator superfamily (MFS) (Shikimate transporter)"	 	 	 	+ 
GUAC_ECOLI	C6EAV2	B	GMP reductase (EC 1.7.1.7)	 	 	 	+ 
GATD_ECOLI	C6EAL9	B	"Alcohol dehydrogenase GroES domain protein (Galactitol-1-phosphate dehydrogenase, Zn-dependent and NAD(P)-binding) (EC 1.1.1.251)"	 	 	 	+ 
RTN_ECOLI	C6EA21	B	Diguanylate phosphodiesterase (Putative uncharacterized protein rtn)	 	 	 	+ 
