Entry Name K12		Entry Name BL21(DE3)	Category	Suggested Category 	Suggested Category		Description	Protein Length	UNTREATED	TREATED		Cellular Component	Biological Process	GO Annotation	GO ID				Ishihama2008		Masuda2009		Taniguchi2010	
TREC_ECOLI	P28904	C6ECA9	A	F1? This study	F1?	This study	Alpha,alpha-phosphotrehalase (Trehalose-6-P hydrolase) (EC 3.2.1.93)	551	Y			cytoplasm		metabolic process	GO:0008152			501	9,95E-01	2,89E+02	16,43	712,46		
YAEH_ECOLI	P62768	C6EAC1	A	F1? This study	F1?	This study	UPF0325 protein yaeH	128	Y									3919	6,20E+00	8,35E+02	9	398	0,10524	10524
YBEB_ECOLI	P0AAT6	C6EK56	A	F1? This study	F1?	This study	Iojap-related protein (Putative uncharacterized protein ybeB)	105	Y			cytoplasm						2338	9,00E+00	1,04E+03	9	398	0,055747	5574,7
YGAU_ECOLI	P0ADE6	C6EJW0	A	F1? This study	F1?	This study	Contains Peptidoglycan-binding LysM and phospholipid binding Bon domain/No signal peptide/F2?F1?	149	Y									234	1,85E+00	4,14E+02	1,15	54,08		
YGGL_ECOLI	P38521	C6EIF1	A	F1? This study	F1?	This study	Putative uncharacterized protein (Putative uncharacterized protein yggL)	108	Y									401	3,64E+00	6,13E+02	4,18	188,99		
YIFE_ECOLI	P0ADN2	C6EG45	A	F1? This study	F1?	This study	Putative uncharacterized protein (Putative uncharacterized protein yifE)	112	Y									7932	6,80E+02	1,28E+04	73,99	3064,53		
YJGA_ECOLI	P0A8X0	C6ECB5	A	F1? This study	F1?	This study	UPF0307 protein yjgA	183	Y			cytoplasm						1606	3,06E+01	2,11E+03	2,16	99,64	0,026091	2609,1
GATD_ECOLI	P0A9S3	C6EAL9	A	F1? This study	F1?	This study	Alcohol dehydrogenase GroES domain protein (Galactitol-1-phosphate dehydrogenase, Zn-dependent and NAD(P)-binding) (EC 1.1.1.251)	346	Y					oxidation-reduction process|galactitol catabolic process|galactitol metabolic process	GO:0019402|GO:0055114|GO:0019404			346	3,33E+00	5,82E+02	2,41	110,81		
ACON2_ECOLI	P36683	C6EAT9	A	F1? This study	F1?	This study	Aconitate hydratase 2 (EC 4.2.1.3)	865	Y					propionate catabolic process, 2-methylcitrate cycle|tricarboxylic acid cycle|regulation of translation	GO:0006099|GO:0006417|GO:0019629			4030	1,97E+01	1,63E+03	33,55	739,77	0,097198	9719,8
PYRG_ECOLI	P0A7E5	C6EJ92	A	F1? This study	F1?	This study	CTP synthase (EC 6.3.4.2) (CTP synthetase) (UTP--ammonia ligase)	545	Y			cytosol		glutamine metabolic process|pyrimidine nucleotide biosynthetic process|CTP biosynthetic process	GO:0006541|GO:0006221|GO:0006241			1010	1,60E+01	1,45E+03	13,03	569,03		
TYPH_ECOLI	P07650	C6EBI9	A	F1? This study	F1?	This study	Thymidine phosphorylase (EC 2.4.2.4) (TdRPase)	440	Y					thymidine phosphorylase activity|transferase activity, transferring glycosyl groups|transferase activity	GO:0016757|GO:0009032|GO:0016740			5031	4,48E+02	1,00E+04	1,33	62,27		
				 																				
				 																				
				 																				
				 																				
				 																				
				 																				
YEFI_ECOLI	P37751	C6EB51	F1	 curated		curated	Glycosyl transferase group 1 (Putative glycosyltransferase WbbC)	370	Y	Y		plasma membrane	biosynthetic process	lipopolysaccharide biosynthetic process	GO:0009103			2510					0,025102	2510,2
FTSA_ECOLI	P0ABH0	C6EAW1	F1	 curated		curated	Cell division protein (Cell division protein FtsA)	420	Y	Y			cell cycle::cell division	regulation of cell shape|cell cycle|cell division|cytokinesis	GO:0051301|GO:0000910|GO:0007049|GO:0008360			1293			1,82	84	0,025021	2502,1
FTSE_ECOLI	P0A9R7	C6EFB1	F1	 curated		curated	Type II (General) Secretory Pathway (IISP) Family protein	222	Y	Y		cytoplasm	cell cycle::cell division	response to antibiotic|cell cycle|cell division|cytokinesis	GO:0046677|GO:0051301|GO:0000910|GO:0007049			60			1,28	60		
FTSZ_ECOLI	P0A9A6	C6EAW0	F1	 curated		curated	Cell division protein ftsZ	383	Y	Y		cytoplasm::protein complex	cell cycle::cell division	protein polymerization|barrier septum formation|cell cycle|cell division	GO:0051258|GO:0051301|GO:0000917|GO:0007049			856	7,96E+00	9,66E+02	17,23	746,07		
MURG_ECOLI	P17443	C6EAW5	F1	 curated		curated	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	355	Y	Y		plasma membrane	cell cycle::cell division	regulation of cell shape|peptidoglycan biosynthetic process|cell cycle|cell division|cellular cell wall organization	GO:0009252|GO:0051301|GO:0008360|GO:0007049|GO:0007047			235	3,59E-01	1,60E+02	0,26	12,79	0,0053294	532,94
MREB_ECOLI	P0A9X4	C6EGL0	F1	 curated		curated	Cell shape determining protein, MreB/Mrl family (Cell wall structural complex MreBCD, actin-like component MreB)	347	Y	Y			cell morphogenesis	regulation of cell shape	GO:0008360			3903	1,68E+01	1,49E+03	28,55	1217,34	0,090006	9000,6
BETA_ECOLI	P17444	C6ELS0	F1	 curated		curated	Choline dehydrogenase (EC 1.1.99.1)	556	Y			plasma membrane	response to stress	oxidation-reduction process|glycine betaine biosynthetic process from choline|response to osmotic stress|response to stress	GO:0019285|GO:0006970|GO:0006950|GO:0055114									
RPOE_ECOLI	P0AGB6	C6EK14	F1	 curated		curated	RNA polymerase sigma factor	191	Y				response to stress	regulation of transcription, DNA-dependent|transcription, DNA-dependent|response to stress	GO:0006355|GO:0006950|GO:0006351			229	6,68E-01	2,29E+02				
YADG_ECOLI	P36879	C6EAT0	F1	 curated		curated	ABC transporter related (Predicted transporter subunit: ATP-binding component of ABC superfamily)	308		Y			transport	transport	GO:0006810			308	3,34E-01	1,53E+02			0,0046328	463,28
FRDA_ECOLI	P00363	C6ECW9	F1	 curated		curated	Fumarate reductase (EC 1.3.99.1) (Fumarate reductase, flavoprotein subunit)	602	Y			cytoplasm	transport	oxidation-reduction process|transport|electron transport chain	GO:0006810|GO:0022900|GO:0055114			186	2,41E-01	1,27E+02	5,47	245,29		
PTNAB_ECOLI	P69797	C6EC13	F1	 curated		curated	Fused mannose-specific PTS enzymes: IIA component/IIB component (EC 2.7.1.69) (PTS system, mannose/fructose/sorbose family, IIA subunit) (EC 2.7.1.69)	323	Y			cytoplasm::plasma membrane	transport	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation	GO:0006810|GO:0016310|GO:0008643|GO:0009401			1217	3,92E+00	6,40E+02	12,69	554,63	0,024573	2457,3
PLSB_ECOLI	P0A7A7	C6EDX9	F1	 curated		curated	Glycerol-3-phosphate acyltransferase (GPAT) (EC 2.3.1.15)	807	Y	Y				phospholipid biosynthetic process	GO:0008654			647	3,01E-01	1,44E+02	2,95	135	0,016615	1661,5
PLSC_ECOLI	P26647	C6EHX6	F1	 curated		curated	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	245	Y	Y				phospholipid biosynthetic process	GO:0008654			49			1,03	49		
PSS_ECOLI	P23830	C6EK01	F1	 curated		curated	Phosphatidylserine synthase (EC 2.7.8.8) (Phospholipase D/Transphosphatidylase)	451	Y	Y		cytoplasm::plasma membrane		phospholipid biosynthetic process	GO:0008654			1322	4,25E-01	1,76E+02	2,16	99,64	0,036911	3691,1
PUTA_ECOLI	P09546	C6EHJ3	F1	 curated		curated	Delta-1-pyrroline-5-carboxylate dehydrogenase (Fused DNA-binding transcriptional regulator/proline dehydrogenase/pyrroline-5-carboxylate dehydrogenase) (EC 1.5.1.12) (EC 1.5.99.8)	1320	Y	Y				oxidation-reduction process|transcription, DNA-dependent|proline catabolic process to glutamate|regulation of transcription, DNA-dependent|proline metabolic process|metabolic process	GO:0008152|GO:0006355|GO:0006351|GO:0010133|GO:0055114|GO:0006560			373	1,25E+00	3,29E+02	5,74	257,02	0,0053439	534,39
UGPC_ECOLI	P10907	C6EFC4	F1	 curated		curated	ABC transporter related	356	Y	Y		plasma membrane		carbohydrate transport|glycerol-3-phosphate transport|transport|glycerol-2-phosphate transport	GO:0070811|GO:0006810|GO:0008643|GO:0015794									
DNAA_ECOLI	P03004	C6ECH7	F1	 curated		curated	Chromosomal replication initiator protein dnaA	467		Y		cytoplasm		regulation of DNA replication|DNA replication|DNA-dependent DNA replication	GO:0006260|GO:0006261|GO:0006275			428	1,94E-01	1,12E+02	0,48	23,18	0,011497	1149,7
HFLD_ECOLI	P25746	C6EGV9	F1	 curated		curated	High frequency lysogenization protein hflD	213		Y				response to heat	GO:0009408			54			1,15	54,08		
MLAF_ECOLI	P63386	C6EH32	F1	 curated		curated	ABC transporter related (Predicted toluene transporter subunit: ATP-binding component of ABC superfamily)	269		Y		plasma membrane		transport|phospholipid transport	GO:0006810|GO:0015914			37			0,78	37,12		
PYRD_ECOLI	P0A7E1	C6EI37	F1	 curated		curated	Dihydroorotate dehydrogenase (EC 1.3.5.2) (DHOdehase) (Dihydroorotate oxidase)	336		Y		plasma membrane		oxidation-reduction process|cellular amino acid biosynthetic process|pyrimidine nucleotide biosynthetic process|diaminopimelate biosynthetic process	GO:0008652|GO:0006221|GO:0019877|GO:0055114			306	4,13E-01	1,73E+02	9,96	438,54		
RNFB_ECOLI	P77223	C6EDL8	F1	 curated		curated	Electron transport complex protein rnfB	192		Y				transport|electron transport chain	GO:0006810|GO:0022900			205					0,0020498	204,98
YBJX_ECOLI	P75829	C6EIA4	F1	 curated		curated	Putative uncharacterized protein (Putative uncharacterized protein ybjX)	330		Y								259			3,33	152	0,003654	365,4
ACP_ECOLI	P0A6A8	C6EHC0	F1	 curated		curated	Acyl carrier protein (ACP)	78	Y			cytoplasm		lipid biosynthetic process|fatty acid biosynthetic process	GO:0006633|GO:0008610			24209	4,63E+02	1,02E+04	999	38218,95		
MDH_ECOLI	P61889	C6EGZ6	F1	 curated		curated	Malate dehydrogenase (EC 1.1.1.37)	312	Y			cytoplasm::cytosol		oxidation-reduction process|glycolysis|malate metabolic process|tricarboxylic acid cycle|fermentation|anaerobic respiration	GO:0006099|GO:0006096|GO:0009061|GO:0055114|GO:0006108|GO:0006113			1986	6,92E+01	3,39E+03	86,99	582,65		
ODP2_ECOLI	P06959	C6EAU2	F1	 curated		curated	Dihydrolipoamide acetyltransferase (EC 2.3.1.12) (Pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase) (EC 2.3.1.12)	630	Y			cytoplasm		glycolysis	GO:0006096			16408	3,04E+02	8,02E+03	17,84	2785,78	0,38417	38417
PPK_ECOLI	P0A7B1	C6EKL0	F1	 curated		curated	Polyphosphate kinase (EC 2.7.4.1)	688	Y			cytosol::plasma membrane		phosphorylation	GO:0016310			533			0,14	7,02	0,010591	1059,1
PSPA_ECOLI	P0AFM6	C6EFS8	F1	 curated		curated	Phage shock protein A, PspA (Regulatory protein for phage-shock-protein operon)	222	Y					response to heat|response to stress	GO:0006950|GO:0009408									
SEQA_ECOLI	P0AFY8	C6EJP7	F1	 curated		curated	Regulatory protein for replication initiation (SeqA family protein)	181	Y					negative regulation of DNA replication	GO:0008156			1444	1,19E+01	1,22E+03	11,59	507,96	0,026038	2603,8
ODP1_ECOLI	P0AFG8	C6EAU3	F1	 curated		curated	Pyruvate dehydrogenase E1 component (EC 1.2.4.1)	887	Y			cytosol		oxidation-reduction process|glycolysis|acetyl-CoA biosynthetic process from pyruvate	GO:0006096|GO:0055114|GO:0006086			17442	8,47E+02	1,45E+04	47,33	3842,58	0,33982	33982
SRP54_ECOLI	P0AGD7	C6EJY2	F1	 curated		curated	Signal Recognition Particle (SRP) component with 4.5S RNA (Ffs) (Signal recognition particle protein)	453	Y	Y				protein targeting to membrane	GO:0006612			346	1,45E+00	3,59E+02	7,48	332,24		
EFTU2_ECOLI	P0CE48	C6EE39	F1	 curated		curated	Elongation factor Tu	394	Y	Y				translational elongation|response to antibiotic|translation	GO:0046677|GO:0006412|GO:0006414			91672					0,91672	91672
LEPA_ECOLI	P60785	C6EK18	F1	 curated		curated	Elongation factor 4/GTP-binding protein LepA	599	Y			plasma membrane		translational elongation|translation	GO:0006412|GO:0006414			1266	5,19E+00	7,53E+02	8,28	366,63	0,02678	2678
PCNB_ECOLI	P0ABF1	C6EAE1	F1	 curated		curated	Poly(A) polymerase (EC 2.7.7.19)/RNA degradasome component/PAP I also localizes to the inner membrane during exponential growth	472	Y					plasmid maintenance|mRNA processing|mRNA polyadenylation|transcription, DNA-dependent|RNA modification	GO:0006397|GO:0006276|GO:0009451|GO:0006351|GO:0006378			426	4,92E-01	1,92E+02	0,39	18,96	0,010659	1065,9
				 																				
AAS_ECOLI	P31119	C6EJ32	B	 			2-acyl-glycerophospho-ethanolamine acyltransferase (EC 2.3.1.40) (EC 6.2.1.20) (AMP-dependent synthetase and ligase)	719		Y		plasma membrane		fatty acid metabolic process|metabolic process|phospholipid biosynthetic process	GO:0008654|GO:0008152|GO:0006631									
KDTA_ECOLI	P0AC75	C6EDF8	B	 			3-deoxy-D-manno-octulosonic-acid transferase (Three-deoxy-D-manno-octulosonic-acid transferase domain protein)	425		Y		plasma membrane		lipid A biosynthetic process|lipopolysaccharide biosynthetic process	GO:0009103|GO:0009245			290	3,34E-01	1,53E+02			0,0042705	427,05
UBIA_ECOLI	P0AGK1	C6EDY0	B	 			4-hydroxybenzoate octaprenyltransferase (EC 2.5.1.-) (4-HB polyprenyltransferase)	290		Y				ubiquinone biosynthetic process	GO:0006744									
MDLA_ECOLI	P77265	C6EL15	B	 			ABC transporter related (Fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components)	590		Y				transport	GO:0006810			75					0,00074814	74,814
MDLB_ECOLI	P0AAG5	C6EL14	B	 			ABC transporter related (Fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components)	593		Y				transport	GO:0006810			223					0,0022272	222,72
CYDD_ECOLI	P29018	C6EI95	B	 			ABC transporter, CydDC cysteine exporter (CydDC-E) family, permease/ATP-binding protein CydD (Fused cysteine transporter subunits of ABC superfamily: membrane component/ATP-binding component)	588	Y	Y				transport	GO:0006810			323			0,28	13,75	0,0063273	632,73
YBHR_ECOLI	P0AFP9	C6EIZ0	B	 			ABC-2 type transporter (Predicted transporter subunit: membrane component of ABC superfamily)	368		Y				transport	GO:0006810									
FADE_ECOLI	Q47146	C6EA67	B	 			Acyl-CoA dehydrogenase (EC 1.3.99.3) (Putative uncharacterized protein)	814	Y	Y				oxidation-reduction process|fatty acid metabolic process|lipid metabolic process	GO:0006631|GO:0055114|GO:0006629			247			0,17	8,47	0,004858	485,8
KGTP_ECOLI	P0AEX3	C6EJZ9	B	 			Alpha-ketoglutarate transporter (Metabolite/H+ symporter, major facilitator superfamily (MFS))	432		Y				transport	GO:0006810			392	1,68E+00	3,92E+02				
AROP_ECOLI	P15993	C6EAU5	B	 			Amino acid permease-associated region	456		Y				amino acid transport|transport	GO:0006810|GO:0006865									
LYSP_ECOLI	P25737	C6EAF7	B	 			Amino acid permease-associated region (Lysine transporter)	489		Y				amino acid transport|transport	GO:0006810|GO:0006865									
YIFK_ECOLI	P27837	C6EG16	B	 			Amino acid permease-associated region (Predicted transporter)	461		Y				amino acid transport|transport	GO:0006810|GO:0006865									
YCEG_ECOLI	P28306	C6EHB7	B	 			Aminodeoxychorismate lyase (Predicted aminodeoxychorismate lyase) (EC 2.7.4.9)	340		Y														
ACRD_ECOLI	P24177	C6EKP2	B	 			Aminoglycoside/multidrug efflux system (Transporter, hydrophobe/amphiphile efflux-1 (HAE1) family)	1037		Y		plasma membrane		transport	GO:0006810									
DCUA_ECOLI	P0ABN5	C6ECY7	B	 			Anaerobic c4-dicarboxylate antiporter, Dcu family (C4-dicarboxylate antiporter)	433		Y				transport	GO:0006810			136			2,98	136,13		
LNT_ECOLI	P23930	C6EK38	B	 			Apolipoprotein N-acyltransferase	512		Y		plasma membrane		transferase activity|acyltransferase activity	GO:0008415|GO:0016740			99	4,68E-01	1,86E+02	0,26	12,79		
ASMA_ECOLI	P28249	C6EAP3	B	 			AsmA family protein (Predicted assembly protein)	617		Y								69					0,00069466	69,466
YHJG_ECOLI	P37645	C6EEF9	B	 			AsmA family protein (Predicted outer membrane biogenesis protein)	691		Y		plasma membrane												
YICH_ECOLI	P31433	C6EDD4	B	 			AsmA family protein (Putative uncharacterized protein yicH)	569		Y								76					0,00076455	76,455
ATPF_ECOLI	P0ABA0	C6EG67	B	 			ATP synthase subunit b	156	Y	Y				transport|proton transport|ion transport|ATP synthesis coupled proton transport|ATP biosynthetic process	GO:0006810|GO:0015986|GO:0006754|GO:0015992|GO:0006811			4435	6,94E+00	8,92E+02	198,53	7978,89		
FTSH_ECOLI	P0AAI3	C6EH49	B	 			ATP-dependent metalloprotease FtsH (EC 3.6.4.3)	647	Y	Y		plasma membrane	cell cycle::cell division	proteolysis	GO:0006508			1459	3,30E+00	5,79E+02	7,89	349,88	0,034483	3448,3
QMCA_ECOLI	P0AA53	C6EKX5	B	 			Band 7 protein (Predicted protease, membrane anchored)	305		Y		plasma membrane												
POTB_ECOLI	P0AFK4	C6EGW6	B	 			Binding-protein-dependent transport systems inner membrane component	285		Y				transport|polyamine transport	GO:0006810|GO:0015846									
DPPB_ECOLI	P0AEF8	C6EED7	B	 			Binding-protein-dependent transport systems inner membrane component (Dipeptide transporter)	339		Y		plasma membrane		dipeptide transport|transport|protein transport|peptide transport	GO:0006810|GO:0042938|GO:0015833|GO:0015031									
METI_ECOLI	P31547	C6EA86	B	 			Binding-protein-dependent transport systems inner membrane component (DL-methionine transporter subunit)	217		Y				amino acid transport|transport	GO:0006810|GO:0006865									
PROW_ECOLI	P14176	C6EJU7	B	 			Binding-protein-dependent transport systems inner membrane component (Glycine betaine transporter subunit)	354		Y				amino acid transport|transport	GO:0006810|GO:0006865									
OPPB_ECOLI	P0AFH2	C6EGM3	B	 			Binding-protein-dependent transport systems inner membrane component (Oligopeptide permease ABC transporter membrane protein)	306		Y				transport|protein transport|tripeptide transport|peptide transport	GO:0006810|GO:0042939|GO:0015833|GO:0015031			125			2,73	125,04		
OPPC_ECOLI	P0AFH6	C6EFZ1	B	 			Binding-protein-dependent transport systems inner membrane component (Oligopeptide transporter subunit)	302		Y				transport|protein transport|peptide transport	GO:0006810|GO:0015833|GO:0015031			28			0,58	27,85		
SAPB_ECOLI	P0AGH3	C6EFT9	B	 			Binding-protein-dependent transport systems inner membrane component (Predicted antimicrobial peptide transporter subunit)	321		Y				transport|protein transport|peptide transport	GO:0006810|GO:0015833|GO:0015031									
GSID_ECOLI	P75799	C6EIV0	B	 			Binding-protein-dependent transport systems inner membrane component (Predicted peptide transporter subunit: membrane component of ABC superfamily)	303		Y				transport	GO:0006810									
POTC_ECOLI	P0AFK6	C6EGW7	B	 			Binding-protein-dependent transport systems inner membrane component (Spermidine/putrescine ABC transporter membrane protein)	264		Y		plasma membrane		transport|polyamine transport	GO:0006810|GO:0015846									
DCTA_ECOLI	P0A830	C6EEF5	B	 			C4-dicarboxylate transport protein (Sodium:dicarboxylate symporter)	428		Y				L-aspartate transport|carbohydrate transport|transport|fumarate transport	GO:0015741|GO:0006810|GO:0008643|GO:0070778			83			1,78	83		
YJIY_ECOLI	P39396	C6EBM6	B	 			Carbon starvation protein CstA (Predicted inner membrane protein)	716	Y	Y		plasma membrane						2027	8,48E-01	2,63E+02	2,59	118,82	0,056983	5698,3
CLS_ECOLI	P0A6H8	C6EFY7	B	 			Cardiolipin synthase (CL synthase) (EC 2.7.8.-)	486		Y				phospholipid biosynthetic process	GO:0008654									
CDH_ECOLI	P06282	C6EEY0	B	 			CDP-diacylglycerol pyrophosphatase (EC 3.6.1.26) (CDP-diacylglycerol phosphatidylhydrolase) (CDP-diglyceride hydrolase)	251		Y		plasma membrane		phospholipid biosynthetic process	GO:0008654									
PGSA_ECOLI	P0ABF8	C6EBF0	B	 			CDP-diacylglycerol/glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5) (Phosphatidylglycerophosphate synthetase) (EC 2.7.8.5)	182		Y		plasma membrane		phospholipid biosynthetic process	GO:0008654			1285					0,01285	1285
RODA_ECOLI	P0ABG7	C6EK59	B	 			Cell cycle protein (Cell wall shape-determining protein)	370		Y		plasma membrane	cell cycle	regulation of cell shape	GO:0008360									
FTSB_ECOLI	P0A6S5	C6EJB9	B	 			Cell diviision protein FtsB (Septum formation initiator)	103		Y				cell cycle|cell division	GO:0051301|GO:0007049									
FTSL_ECOLI	P0AEN4	C6EAX2	B	 			Cell division protein FtsL (Membrane bound cell division protein at septum containing leucine zipper motif)	121		Y		plasma membrane	cell cycle::cell division	cell cycle|cell division	GO:0051301|GO:0007049									
FTSN_ECOLI	P29131	C6EE76	B	 			Cell division protein FtsN (Essential cell division protein)	319		Y		plasma membrane		barrier septum formation|cell cycle cytokinesis|cell cycle|cell division	GO:0051301|GO:0033205|GO:0000917|GO:0007049			12			0,25	12,32		
FTSQ_ECOLI	P06136	C6EAW2	B	 			Cell division protein FtsQ (Membrane anchored protein involved in growth of wall at septum)	276		Y		plasma membrane	cell cycle	barrier septum formation|cell cycle|cell division	GO:0051301|GO:0000917|GO:0007049									
FTSW_ECOLI	P0ABG4	C6EAW6	B	 			Cell division protein FtsW (Integral membrane protein involved in stabilizing FstZ ring during cell division)	414		Y		plasma membrane	cell cycle::cell division	regulation of cell shape|peptidoglycan biosynthetic process|cell cycle|cellular cell wall organization|cell division|cytokinesis	GO:0009252|GO:0051301|GO:0000910|GO:0008360|GO:0007049|GO:0007047									
ZIPA_ECOLI	P77173	C6EL66	B	 			Cell division protein zipA	328	Y	Y			cell cycle	barrier septum formation|cell cycle|cell division	GO:0051301|GO:0000917|GO:0007049			32			0,67	32,03		
TOLA_ECOLI	P19934	C6EJJ8	B	 			Cell envelope integrity inner membrane protein TolA (Protein TolA)	421		Y				transport|bacteriocin transport|protein transport|protein import	GO:0006810|GO:0043213|GO:0017038|GO:0015031			216	1,85E+00	4,14E+02	0,35	17,07		
MREC_ECOLI	P16926	C6EGL1	B	 			Cell wall structural complex MreBCD transmembrane component MreC (Rod shape-determining protein MreC)	367		Y				regulation of cell shape	GO:0008360			21			0,43	20,84		
YHJU_ECOLI	P37659	C6EEE5	B	 			Cellulose synthase operon protein YhjU (Predicted inner membrane protein)	559		Y								15			0,33	16,12	0,00013216	13,216
BCSB_ECOLI	P37652	C6EEF1	B	 			Cellulose synthase subunit B	767		Y		plasma membrane		cellulose biosynthetic process	GO:0030244									
BETT_ECOLI	P0ABC9	C6ELR7	B	 			Choline transporter of high affinity (Choline/carnitine/betaine transporter)	677		Y				transport|response to stress	GO:0006810|GO:0006950									
BETT_ECOLI	P0ABC9	C6EC73	B	 			Choline/carnitine/betaine transporter	665		Y														
DEDA_ECOLI	P0ABP6	C6ELD6	B	 			Conserved inner membrane protein	219		Y		plasma membrane												
LPTG_ECOLI	P0ADC6	C6EC89	B	 			Conserved inner membrane protein (Permease YjgP/YjgQ family protein)	360	Y	Y				transport|lipopolysaccharide transport	GO:0006810|GO:0015920			21			0,44	21,31		
LPTF_ECOLI	P0AF98	C6EC90	B	 			Conserved inner membrane protein (Permease YjgP/YjgQ family protein)	366		Y				transport|lipopolysaccharide transport	GO:0006810|GO:0015920			61			1,31	61,36		
YAGU_ECOLI	P0AAA1	C6EA36	B	 			Conserved inner membrane protein (Putative uncharacterized protein)	204		Y		plasma membrane		response to acidity	GO:0010447									
YCCF_ECOLI	P0AB12	C6EI20	B	 			Conserved inner membrane protein (Putative uncharacterized protein)	148		Y														
YCIS_ECOLI	P0ACV4	C6EFV5	B	 			Conserved inner membrane protein (Putative uncharacterized protein)	102		Y														
CPTA_ECOLI	P0CB39	C6EE54	B	 			Conserved inner membrane protein (Sulfatase)	577	Y	Y				lipid biosynthetic process|lipopolysaccharide biosynthetic process	GO:0009103|GO:0008610			66	1,79E-01	1,06E+02	0,53	25,52		
YJCH_ECOLI	P0AF54	C6ED57	B	 			Conserved inner membrane protein involved in acetate transport (Putative uncharacterized protein)	104		Y														
YBJT_ECOLI	P75822	C6EIB2	B	 			Conserved protein with NAD(P)-binding Rossmann-fold domain (NAD-dependent epimerase/dehydratase)	476		Y														
YOJI_ECOLI	P33941	C6E9Y8	B	 			Cyclic peptide transporter (Fused predicted multidrug transport subunits of ABC superfamily: membrane component/ATP-binding component)	547		Y				response to antibiotic|transport|peptide transport	GO:0046677|GO:0006810|GO:0015833									
CCMF_ECOLI	P33927	C6EA04	B	 			Cytochrome c assembly protein (Heme lyase, CcmF subunit)	647		Y		plasma membrane		cytochrome complex assembly	GO:0017004									
CCMH_ECOLI	P0ABM9	C6EA06	B	 			Cytochrome C biogenesis protein (Heme lyase, CcmH subunit)	350		Y		plasma membrane		cytochrome complex assembly	GO:0017004									
CYOB_ECOLI	P0ABI8	C6EL35	B	 			Cytochrome o ubiquinol oxidase subunit I (EC 1.10.3.-) (Cytochrome o ubiquinol oxidase, subunit I) (EC 1.9.3.1)	663	Y	Y				oxidation-reduction process|electron transport coupled proton transport|transport|aerobic electron transport chain|proton transport|electron transport chain|ion transport	GO:0006810|GO:0019646|GO:0022900|GO:0015990|GO:0055114|GO:0015992|GO:0006811			267	1,42E+00	3,56E+02	3,92	177,58		
KDGL_ECOLI	P0ABN1	C6EDX8	B	 			Diacylglycerol kinase (EC 2.7.1.107)	122	Y	Y				phosphatidic acid biosynthetic process|phosphorylation|phospholipid biosynthetic process	GO:0008654|GO:0016310|GO:0006654									
YEAJ_ECOLI	P76237	C6EC44	B	 			Diguanylate cyclase (Predicted diguanylate cyclase)	496		Y		plasma membrane		diguanylate cyclase activity|transferase activity|metal ion binding	GO:0046872|GO:0052621|GO:0016740									
YFEA_ECOLI	P23842	C6EL75	B	 			Diguanylate cyclase/phosphodiesterase (Predicted diguanylate cyclase)	729		Y														
YHJK_ECOLI	P37649	C6EEF4	B	 			Diguanylate cyclase/phosphodiesterase with extracellular sensor (Predicted diguanylate cyclase)	649		Y		plasma membrane	signal transduction											
YEGE_ECOLI	P38097	C6EAP0	B	 			Diguanylate cyclase/phosphodiesterase with PAS/PAC sensor(S) (Predicted diguanylate cyclase, GGDEF domain signalling protein)	1105		Y			signal transduction	diguanylate cyclase activity|GTP binding|transferase activity|nucleotide binding|metal ion binding	GO:0046872|GO:0052621|GO:0000166|GO:0016740|GO:0005525			96					0,00095931	95,931
RTN_ECOLI	P76446	C6EA21	B	 			Diguanylate phosphodiesterase (Putative uncharacterized protein rtn)	518		Y								389					0,0038853	388,53
PSPC_ECOLI	P0AFN2	C6EFS6	B	 			DNA-binding transcriptional activator (Phage shock protein C, PspC)	119		Y				transcription, DNA-dependent|regulation of transcription, DNA-dependent|response to stress	GO:0006355|GO:0006950|GO:0006351									
WZZE_ECOLI	P0AG00	C6EG27	B	 			Entobacterial Common Antigen (ECA) polysaccharide chain length modulation protein (Lipopolysaccharide biosynthesis protein)	348		Y				lipopolysaccharide biosynthetic process|enterobacterial common antigen biosynthetic process	GO:0009103|GO:0009246			37			0,78	37,12		
FEOB_ECOLI	P33650	C6EFG5	B	 			Ferrous iron transport protein B	773		Y				transport|ion transport|iron ion homeostasis	GO:0006810|GO:0055072|GO:0006811			162	3,69E-01	1,62E+02				
FLK_ECOLI	P15286	C6ELD2	B	 			Flagella assembly protein (Predicted flagella assembly protein)	331		Y								13			0,26	12,79		
