Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein Length	UNTREATED	TREATED		BAES_ECOLI	transferase activity|protein histidine kinase activity|nucleotide binding|kinase activity|ATP binding
MURG_ECOLI	C6EAW5	F1	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	355	Y	Y		MURG_ECOLI	regulation of cell shape|peptidoglycan biosynthetic process|cell cycle|cell division|cellular cell wall organization
DNAJ_ECOLI	C6EB39	A	Chaperone protein dnaJ	376	Y			DNAJ_ECOLI	protein refolding|response to heat|protein unfolding|DNA replication|response to stress
TALB_ECOLI	C6EBG1	A	Transaldolase (EC 2.2.1.2)	317	Y			TALB_ECOLI	pentose-phosphate shunt
SUHB_ECOLI	C6EKH4	A	Inositol monophosphatase	267	Y			SUHB_ECOLI	inositol phosphate dephosphorylation
PPK_ECOLI	C6EKL0	F1	Polyphosphate kinase (EC 2.7.4.1)	688	Y			PPK_ECOLI	phosphorylation
NUOCD_ECOLI	C6E9R6	F1	NADH dehydrogenase I, D subunit (NADH:ubiquinone oxidoreductase, chain C,D) (EC 1.6.5.3)	600	Y	Y		NUOCD_ECOLI	oxidation-reduction process|transport|metabolic process|anaerobic respiration
CLPB_ECOLI	C6EJZ8	A	ATP-dependent chaperone ClpB (Protein disaggregation chaperone)	857	Y			CLPB_ECOLI	response to stress
LOLD_ECOLI	C6EGX5	F1	Lipoprotein releasing system, ATP-binding protein (Outer membrane-specific lipoprotein transporter subunit)	233	Y	Y		LOLD_ECOLI	transport|lipoprotein transport
HSLU_ECOLI	C6EE78	A	ATP-dependent protease ATPase subunit HslU (Heat shock protein HslU) (Unfoldase HslU)	443	Y			HSLU_ECOLI	response to heat|response to stress
PPIB_ECOLI	C6EKU1	A	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	164	Y			PPIB_ECOLI	protein folding
GPMA_ECOLI	C6EJI9	A	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.1)	250	Y			GPMA_ECOLI	glycolysis
GYRB_ECOLI	C6ECI0	A	DNA gyrase subunit B (EC 5.99.1.3)	804	Y			GYRB_ECOLI	response to antibiotic|DNA topological change|response to drug|DNA-dependent DNA replication
GLRX3_ECOLI	C6EDH9	A	Glutaredoxin 3	83	Y			GLRX3_ECOLI	transport|deoxyribonucleotide biosynthetic process|electron transport chain
ACCA_ECOLI	C6EAA0	A	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2)	319	Y			ACCA_ECOLI	lipid biosynthetic process|fatty acid biosynthetic process
RS11_ECOLI	C6EGG9	A	30S ribosomal protein S11	129		Y	ribosome	RS11_ECOLI	translation
HTPG_ECOLI	C6EKZ1	F1	Chaperone protein htpG (Heat shock protein htpG) (High temperature protein G)	624	Y			HTPG_ECOLI	protein folding|response to heat|response to stress
HRPA_ECOLI	C6EEV0	A	ATP-dependent helicase HrpA	1300	Y		mRNA processing	HRPA_ECOLI	mRNA processing
DADA_ECOLI	C6EGS8	F1	D-amino acid dehydrogenase small subunit (EC 1.4.99.1) (D-amino-acid dehydrogenase) (EC 1.4.99.1)	432	Y	Y		DADA_ECOLI	oxidation-reduction process
NUSG_ECOLI	C6EE37	A	Transcription antitermination protein nusG	181	Y			NUSG_ECOLI	transcription, DNA-dependent|regulation of transcription, DNA-dependent|transcription antitermination|transcription termination, DNA-dependent
FRDA_ECOLI	C6ECW9	F1	Fumarate reductase (EC 1.3.99.1) (Fumarate reductase, flavoprotein subunit)	602	Y			FRDA_ECOLI	oxidation-reduction process|transport|electron transport chain
PGK_ECOLI	C6EII3	A	Phosphoglycerate kinase (EC 2.7.2.3)	387	Y			PGK_ECOLI	glycolysis|phosphorylation
PPSA_ECOLI	C6ECQ5	A	Phosphoenolpyruvate synthase (EC 2.7.9.2)	792	Y			PPSA_ECOLI	gluconeogenesis|phosphorylation
KAD_ECOLI	C6EKZ0	A	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase)	214	Y			KAD_ECOLI	purine ribonucleotide interconversion|purine ribonucleotide biosynthetic process|nucleotide biosynthetic process|phosphorylation
DHNA_ECOLI	C6EGY3	F1	FAD-dependent pyridine nucleotide-disulphide oxidoreductase (Respiratory NADH dehydrogenase 2/cupric reductase) (EC 1.16.1.-) (EC 1.6.99.3)	434	Y	Y		DHNA_ECOLI	oxidation-reduction process|transport|aerobic electron transport chain|electron transport chain|aerobic respiration
NUOG_ECOLI	C6E9R9	F1	NADH-quinone oxidoreductase (EC 1.6.99.5)	908	Y	Y		NUOG_ECOLI	oxidation-reduction process|aerobic respiration|anaerobic respiration
RPOE_ECOLI	C6EK14	F1	RNA polymerase sigma factor	191	Y			RPOE_ECOLI	regulation of transcription, DNA-dependent|transcription, DNA-dependent|response to stress
AMPA_ECOLI	C6EC91	A	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (Leucyl aminopeptidase)	503	Y			AMPA_ECOLI	plasmid recombination|peptide catabolic process
ACCD_ECOLI	C6ELD7	A	Acetyl-CoA carboxylase subunit beta (EC 6.4.1.2) (Acetyl-CoA carboxylase, carboxyl transferase, beta subunit)	304	Y	Y	regulation of translation	ACCD_ECOLI	lipid biosynthetic process|negative regulation of translation|fatty acid biosynthetic process|regulation of translation
