K12 Accession_Subcellular Location(this study)	Subcellular Location(this study)	Accession (UNIPROT)	K12 Accession	BL21(DE3) Accession	GOs	Description (Uniprot)	NG001	1DG010_flot	1DG011_flot (L1) wt	1DG011_IMVs (L3) wt
CHAA_B	B	P31801	CHAA_ECOLI	C6EGP8	B	Calcium/proton exchanger (Calcium/sodium:proton antiporter)	 	+ 	+ 	+ 
AAEA_B	B	P46482	AAEA_ECOLI	C6EGL9	B	p-hydroxybenzoic acid efflux pump subunit AaeA (pHBA efflux pump protein A)	 	+ 	+ 	+ 
MREC_B	B	P16926	MREC_ECOLI	C6EGL1	B	Cell wall structural complex MreBCD transmembrane component MreC (Rod shape-determining protein MreC)	 	+ 	+ 	+ 
PURP_B	B	P31466	PURP_ECOLI	C6EG89	B	Predicted inner membrane protein (Xanthine/uracil/vitamin C permease)	 	+ 	+ 	+ 
PSTA_B	B	P07654	PSTA_ECOLI	C6EG77	B	"Phosphate ABC transporter, inner membrane subunit PstA (Phosphate transporter subunit)"	 	+ 	+ 	+ 
WECA_B	B	P0AC78	WECA_ECOLI	C6EG28	B	UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-phosphate transferase (EC 2.4.1.-) (Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphatetransferase)	 	+ 	+ 	+ 
OPPC_B	B	P0AFH6	OPPC_ECOLI	C6EFZ1	B	Binding-protein-dependent transport systems inner membrane component (Oligopeptide transporter subunit)	 	+ 	+ 	+ 
CLS_B	B	P0A6H8	CLS_ECOLI	C6EFY7	B	Cardiolipin synthase (CL synthase) (EC 2.7.8.-)	 	+ 	+ 	+ 
YCIS_B	B	P0ACV4	YCIS_ECOLI	C6EFV5	B	Conserved inner membrane protein (Putative uncharacterized protein)	 	+ 	+ 	+ 
YCJF_B	B	P0A8R7	YCJF_ECOLI	C6EFR0	B	UPF0283 membrane protein ycjF	 	+ 	+ 	+ 
GNTT_B	B	P39835	GNTT_ECOLI	C6EFF9	B	"Gluconate transporter (Gluconate transporter, high-affinity GNT I system)"	 	+ 	+ 	+ 
GLPG_B	B	P09391	GLPG_ECOLI	C6EFF0	B	Predicted intramembrane serine protease (Rhomboid protease) (EC 3.4.21.105)	 	+ 	+ 	+ 
RMUC_B	B	P0AG71	RMUC_ECOLI	C6EF64	B	Predicted recombination limiting protein (Putative uncharacterized protein)	 	+ 	+ 	+ 
TATC_B	B	P69423	TATC_ECOLI	C6EF58	B	"Sec-independent protein translocase, TatC subunit (TatABCE protein translocation system subunit)"	 	+ 	+ 	+ 
YIHY_B	B	P0A8K8	YIHY_ECOLI	C6EF15	B	Ribonuclease BN	 	+ 	+ 	+ 
FIEF_B	B	P69380	FIEF_ECOLI	C6EEY3	B	Cation diffusion facilitator family transporter (Ferrous iron efflux protein F)	 	+ 	+ 	+ 
YHJG_B	B	P37645	YHJG_ECOLI	C6EEF9	B	AsmA family protein (Predicted outer membrane biogenesis protein)	 	+ 	+ 	+ 
DCTA_B	B	P0A830	DCTA_ECOLI	C6EEF5	B	C4-dicarboxylate transport protein (Sodium:dicarboxylate symporter)	 	+ 	+ 	+ 
YHJK_B	B	P37649	YHJK_ECOLI	C6EEF4	B	Diguanylate cyclase/phosphodiesterase with extracellular sensor (Predicted diguanylate cyclase)	 	+ 	+ 	+ 
BCSB_B	B	P37652	BCSB_ECOLI	C6EEF1	B	Cellulose synthase subunit B	 	+ 	+ 	+ 
YHJU_B	B	P37659	YHJU_ECOLI	C6EEE5	B	Cellulose synthase operon protein YhjU (Predicted inner membrane protein)	 	+ 	+ 	+ 
MENA_B	B	P32166	MENA_ECOLI	C6EE79	B	"1,4-dihydroxy-2-naphthoate octaprenyltransferase"	 	+ 	+ 	+ 
YJBB_B	B	P0AF43	YJBB_ECOLI	C6EE04	B	Predicted transporter (Sodium-dependent inorganic phosphate (Pi) transporter)	 	+ 	+ 	+ 
YDHJ_B	B	P76185	YDHJ_ECOLI	C6EDK1	B	Secretion protein HlyD family protein (Undecaprenyl pyrophosphate phosphatase)	 	+ 	+ 	+ 
PTM3C_B	B	P00550	PTM3C_ECOLI	C6EDJ3	B	"Fused mannitol-specific PTS enzymes: IIA components/IIB components/IIC components (PTS system, mannitol-specific IIC subunit)"	 	+ 	+ 	+ 
YJCE_B	B	P32703	YJCE_ECOLI	C6ED59	B	Na+/H+ antiporter (Predicted cation/proton antiporter)	 	+ 	+ 	+ 
ACTP_B	B	P32705	ACTP_ECOLI	C6ED58	B	Cation/acetate symporter ActP (Acetate permease) (Acetate transporter ActP)	 	+ 	+ 	+ 
BASS_B	B	P30844	BASS_ECOLI	C6ED12	B	Histidine kinase	 	+ 	+ 	+ 
DSBD_B	B	P36655	DSBD_ECOLI	C6ECY9	B	Thiol:disulfide interchange protein dsbD (EC 1.8.1.8) (Protein-disulfide reductase)	 	+ 	+ 	+ 
BETT_B	B	P0ABC9	BETT_ECOLI	C6EC73	B	Choline/carnitine/betaine transporter	 	+ 	+ 	+ 
YEAJ_B	B	P76237	YEAJ_ECOLI	C6EC44	B	Diguanylate cyclase (Predicted diguanylate cyclase)	 	+ 	+ 	+ 
HTPX_B	B	P23894	HTPX_ECOLI	C6EC00	B	Protease HtpX (EC 3.4.24.-) (Heat shock protein HtpX)	 	+ 	+ 	+ 
YEBT_B	B	P76272	YEBT_ECOLI	C6EBZ5	B	Mammalian cell entry related domain protein (Putative uncharacterized protein yebT)	 	+ 	+ 	+ 
MSBB_B	B	P24205	MSBB_ECOLI	C6EBX2	B	Lipid A biosynthesis (KDO)2-(Lauroyl)-lipid IVA acyltransferase	 	+ 	+ 	+ 
TYPH_B	B	P07650	TYPH_ECOLI	C6EBI9	B	Thymidine phosphorylase (EC 2.4.2.4) (TdRPase)	 	+ 	+ 	+ 
SMP_B	B	P0AGC7	SMP_ECOLI	C6EBI4	B	Putative uncharacterized protein (Putative uncharacterized protein smp)	 	+ 	+ 	+ 
FTSQ_B	B	P06136	FTSQ_ECOLI	C6EAW2	B	Cell division protein FtsQ (Membrane anchored protein involved in growth of wall at septum)	 	+ 	+ 	+ 
AROP_B	B	P15993	AROP_ECOLI	C6EAU5	B	Amino acid permease-associated region	 	+ 	+ 	+ 
DHG_B	B	P15877	DHG_ECOLI	C6EAT3	B	"Glucose dehydrogenase (EC 1.1.5.2) (Membrane-bound PQQ-dependent dehydrogenase, glucose/quinate/shikimate family) (EC 1.1.5.2)"	 	+ 	+ 	+ 
YEGH_B	B	P76389	YEGH_ECOLI	C6EAP4	B	Fused predicted membrane protein/predicted membrane protein (Integral membrane protein TerC)	 	+ 	+ 	+ 
MDTC_B	B	P76399	MDTC_ECOLI	C6EAM9	B	"Acriflavin resistance protein (Multidrug efflux system, subunit C)"	 	+ 	+ 	+ 
PTKC_B	B	P69831	PTKC_ECOLI	C6EAL8	B	"Galactitol-specific enzyme IIC component of PTS (PTS system, galactitol-specific IIC subunit)"	 	+ 	+ 	+ 
SANA_B	B	P0AFY2	SANA_ECOLI	C6EAG8	B	Putative uncharacterized protein (Putative uncharacterized protein sanA)	 	+ 	+ 	+ 
LYSP_B	B	P25737	LYSP_ECOLI	C6EAF7	B	Amino acid permease-associated region (Lysine transporter)	 	+ 	+ 	+ 
CLCA_B	B	P37019	CLCA_ECOLI	C6EAC9	B	Chloride channel core (Chloride channel protein)	 	+ 	+ 	+ 
METI_B	B	P31547	METI_ECOLI	C6EA86	B	Binding-protein-dependent transport systems inner membrane component (DL-methionine transporter subunit)	 	+ 	+ 	+ 
YAGU_B	B	P0AAA1	YAGU_ECOLI	C6EA36	B	Conserved inner membrane protein (Putative uncharacterized protein)	 	+ 	+ 	+ 
YEIU_B	B	P76445	YEIU_ECOLI	C6EA23	B	Phosphoesterase PA-phosphatase related (Undecaprenyl pyrophosphate phosphatase)	 	+ 	+ 	+ 
YEJE_B	B	P33915	YEJE_ECOLI	C6EA18	B	Binding-protein-dependent transport systems inner membrane component (Predicted oligopeptide transporter subunit)	 	+ 	+ 	+ 
YEJM_B	B	P0AD27	YEJM_ECOLI	C6EA09	B	"Predicted hydrolase, inner membrane (Sulfatase)"	 	+ 	+ 	+ 
CCMH_B	B	P0ABM9	CCMH_ECOLI	C6EA06	B	"Cytochrome C biogenesis protein (Heme lyase, CcmH subunit)"	 	+ 	+ 	+ 
NUON_B	B	P0AFF0	NUON_ECOLI	C6E9S6	B	"Proton-translocating NADH-quinone oxidoreductase, chain N"	 	+ 	+ 	+ 
NUOM_B	B	P0AFE8	NUOM_ECOLI	C6E9S5	B	"NADH dehydrogenase subunit M (EC 1.6.5.3) (Proton-translocating NADH-quinone oxidoreductase, chain M)"	 	+ 	+ 	+ 
NUOL_B	B	P33607	NUOL_ECOLI	C6E9S4	B	"NADH dehydrogenase subunit L (EC 1.6.5.3) (Proton-translocating NADH-quinone oxidoreductase, chain L)"	 	+ 	+ 	+ 
YFEH_B	B	P39836	YFEH_ECOLI	C6EL69	B	Bile acid:sodium symporter (Predicted inner membrane protein)	 	+ 	+ 	 
YQHA_B	B	P67244	YQHA_ECOLI	C6EHZ0	B	UPF0114 protein yqhA	 	+ 	+ 	 
CVRA_B	B	P76007	CVRA_ECOLI	C6EGS6	B	Potassium/proton antiporter (Sodium/hydrogen exchanger)	 	+ 	+ 	 
NARX_B	B	P0AFA2	NARX_ECOLI	C6EGP2	B	Histidine kinase (EC 2.7.13.3) (Sensory histidine kinase in two-component regulatory system with NarL) (EC 2.7.3.-)	 	+ 	+ 	 
CSRD_B	B	P13518	CSRD_ECOLI	C6EGK8	B	Conserved inner membrane protein (Diguanylate cyclase/phosphodiesterase)	 	+ 	+ 	 
RSMB_B	B	P36929	RSMB_ECOLI	C6EGH8	B	"16S rRNA m5C967 methyltransferase, S-adenosyl-L-methionine-dependent (EC 2.1.1.61) (Sun protein)"	 	+ 	+ 	 
KEFB_B	B	P45522	KEFB_ECOLI	C6EGB3	B	Glutathione-regulated potassium-efflux system protein kefB (K(+)/H(+) antiporter) (NEM-activatable K(+)/H(+) antiporter)	 	+ 	+ 	 
ENVZ_B	B	P0AEJ4	ENVZ_ECOLI	C6EFH0	B	Histidine kinase	 	+ 	+ 	 
C561_B	B	P0ABE5	C561_ECOLI	C6EEU4	B	Cytochrome B561 (Cytochrome b561) (EC 1.2.2.4)	 	+ 	+ 	 
TEHA_B	B	P25396	TEHA_ECOLI	C6EET4	B	C4-dicarboxylate transporter/malic acid transport protein (Potassium-tellurite ethidium and proflavin transporter)	 	+ 	+ 	 
RFAL_B	B	P27243	RFAL_ECOLI	C6EDG8	B	"Lipid A-core, surface polymer ligase (O-antigen polymerase)"	 	+ 	+ 	 
YICN_B	B	P0ADL3	YICN_ECOLI	C6EDA6	B	Putative uncharacterized protein (Putative uncharacterized protein yicN)	 	+ 	+ 	 
MDTK_B	B	P37340	MDTK_ECOLI	C6ECU0	B	Multidrug resistance protein mdtK (Multidrug-efflux transporter)	 	+ 	+ 	 
YJIN_B	B	P39385	YJIN_ECOLI	C6EBP2	B	Conserved inner membrane protein (Putative uncharacterized protein)	 	+ 	+ 	 
YEDV_B	B	P76339	YEDV_ECOLI	C6EBA0	B	Heavy metal sensor signal transduction histidine kinase	 	+ 	+ 	 
KEFC_B	B	P03819	KEFC_ECOLI	C6EB06	B	Glutathione-regulated potassium-efflux system protein (Potassium efflux system protein)	 	+ 	+ 	 
CCMF_B	B	P33927	CCMF_ECOLI	C6EA04	B	"Cytochrome c assembly protein (Heme lyase, CcmF subunit)"	 	+ 	+ 	 
YOJI_B	B	P33941	YOJI_ECOLI	C6E9Y8	B	Cyclic peptide transporter (Fused predicted multidrug transport subunits of ABC superfamily: membrane component/ATP-binding component)	 	+ 	+ 	 
YPDA_B	B	P0AA93	YPDA_ECOLI	C6EL88	B	"Predicted sensory kinase in two-component system with YpdB (Signal transduction histidine kinase, LytS) (EC 2.7.13.3)"	 	+ 	 	+ 
YLAC_B	B	P0AAS0	YLAC_ECOLI	C6EL06	B	Predicted inner membrane protein (Putative uncharacterized protein)	 	+ 	 	+ 
PTYBC_B	B	P77272	PTYBC_ECOLI	C6EKS4	B	N-acetylmuramic acid phosphotransfer permease (Phosphotransferase system EIIC)	 	+ 	 	+ 
PERM_B	B	P0AFI9	PERM_ECOLI	C6EKL8	B	Predicted inner membrane protein (Putative uncharacterized protein)	 	+ 	 	+ 
YGAP_B	B	P55734	YGAP_ECOLI	C6EJV7	B	Predicted inner membrane protein with hydrolase activity (Rhodanese domain protein)	 	+ 	 	+ 
PROW_B	B	P14176	PROW_ECOLI	C6EJU7	B	Binding-protein-dependent transport systems inner membrane component (Glycine betaine transporter subunit)	 	+ 	 	+ 
FTSB_B	B	P0A6S5	FTSB_ECOLI	C6EJB9	B	Cell diviision protein FtsB (Septum formation initiator)	 	+ 	 	+ 
ARTM_B	B	P0AE30	ARTM_ECOLI	C6EIC0	B	"Arginine transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)"	 	+ 	 	+ 
GLPF_B	B	P0AER0	GLPF_ECOLI	C6EEX1	B	Glycerol facilitator (MIP family channel protein)	 	+ 	 	+ 
YDIK_B	B	P0AFS7	YDIK_ECOLI	C6ECR8	B	Predicted inner membrane protein (Putative uncharacterized protein)	 	+ 	 	+ 
YNIB_B	B	P76208	YNIB_ECOLI	C6ECN2	B	Predicted inner membrane protein (Putative uncharacterized protein)	 	+ 	 	+ 
YTFB_B	B	P39310	YTFB_ECOLI	C6ECD8	B	Opacity-associated protein A (Predicted cell envelope opacity-associated protein)	 	+ 	 	+ 
YTFN_B	B	P39321	YTFN_ECOLI	C6ECC4	B	Putative uncharacterized protein (Putative uncharacterized protein ytfN)	 	+ 	 	+ 
YEBO_B	B	P64499	YEBO_ECOLI	C6EC05	B	Putative uncharacterized protein yebO (Uncharacterized protein YebO)	 	+ 	 	+ 
YOBH_B	B	Q2MB16	YOBH_ECOLI	C6EC03	B	Putative uncharacterized protein	 	+ 	 	+ 
PGSA_B	B	P0ABF8	PGSA_ECOLI	C6EBF0	B	CDP-diacylglycerol/glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5) (Phosphatidylglycerophosphate synthetase) (EC 2.7.8.5)	 	+ 	 	+ 
NHAA_B	B	P13738	NHAA_ECOLI	C6EB35	B	Na+/H+ antiporter NhaA (pH-dependent sodium/proton antiporter)	 	+ 	 	+ 
FTSL_B	B	P0AEN4	FTSL_ECOLI	C6EAX2	B	Cell division protein FtsL (Membrane bound cell division protein at septum containing leucine zipper motif)	 	+ 	 	+ 
YEHU_B	B	P0AD14	YEHU_ECOLI	C6EAI6	B	"Predicted sensory kinase in two-component system with YehT (Signal transduction histidine kinase, LytS) (EC 2.7.13.3)"	 	+ 	 	+ 
DSBE_B	B	P0AA86	DSBE_ECOLI	C6EA05	B	Periplasmic thioredoxin of cytochrome c-type biogenesis (Redoxin domain protein)	 	+ 	 	+ 
MQO_B	B	P33940	MQO_ECOLI	C6E9Y9	B	Probable malate:quinone oxidoreductase (EC 1.1.5.4) (MQO) (Malate dehydrogenase [quinone])	 	+ 	 	+ 
FLK_B	B	P15286	FLK_ECOLI	C6ELD2	B	Flagella assembly protein (Predicted flagella assembly protein)	 	+ 	 	 
YBBJ_B	B	P0AAS3	YBBJ_ECOLI	C6EKX6	B	Putative uncharacterized protein	 	+ 	 	 
YFGG_B	B	P64545	YFGG_ECOLI	C6EKK6	B	Putative uncharacterized protein (Putative uncharacterized protein yfgG)	 	+ 	 	 
CUSS_B	B	P77485	CUSS_ECOLI	C6EKD1	B	"Heavy metal sensor signal transduction histidine kinase (Sensory histidine kinase in two-component regulatory system with CusR, senses copper ions)"	 	+ 	 	 
RSEA_B	B	P0AFX7	RSEA_ECOLI	C6EK15	B	"Anti sigma-E protein, RseA (Anti-sigma factor)"	 	+ 	 	 
YGFX_B	B	Q46824	YGFX_ECOLI	C6EIL2	B	Putative uncharacterized protein (Putative uncharacterized protein ygfX)	 	+ 	 	 
YGGT_B	B	P64564	YGGT_ECOLI	C6EIF9	B	Predicted inner membrane protein (Putative uncharacterized protein)	 	+ 	 	 
ALX_B	B	P42601	ALX_ECOLI	C6EHQ7	B	"Integral membrane protein TerC (Predicted inner membrane protein, part of terminus)"	 	+ 	 	 
EFEU_B	B	P75901	EFEU_ECOLI	C6EHJ0	B	FTR1 family protein	 	+ 	 	 
MDTG_B	B	P25744	MDTG_ECOLI	C6EHG0	B	Major facilitator superfamily MFS_1 (Predicted drug efflux system)	 	+ 	 	 
SAPC_B	B	P0AGH5	SAPC_ECOLI	C6EFU0	B	Binding-protein-dependent transport systems inner membrane component (Predicted antimicrobial peptide transporter subunit)	 	+ 	 	 
DHAS_B	B	P0A9Q9	DHAS_ECOLI	C6EFE1	B	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)	 	+ 	 	 
YHHJ_B	B	P0AGH1	YHHJ_ECOLI	C6EEJ9	B	ABC-2 type transporter (Predicted transporter subunit: membrane component of ABC superfamily)	 	+ 	 	 
ZRAS_B	B	P14377	ZRAS_ECOLI	C6EE15	B	Histidine kinase (Sensory histidine kinase in two-component regulatory system with ZraR)	 	+ 	 	 
RSTB_B	B	P18392	RSTB_ECOLI	C6EDN9	B	Histidine kinase (Sensory histidine kinase in two-component regulatory system with RstA)	 	+ 	 	 
RNFD_B	B	P76182	RNFD_ECOLI	C6EDL6	B	Electron transport complex protein rnfD	 	+ 	 	 
GLTS_B	B	P0AER8	GLTS_ECOLI	C6EDD6	B	Glutamate transporter (Sodium/glutamate symporter)	 	+ 	 	 
FRDC_B	B	P0A8Q0	FRDC_ECOLI	C6ECX1	B	Fumarate reductase subunit C (Fumarate reductase 15 kDa hydrophobic protein)	 	+ 	 	 
FTSW_B	B	P0ABG4	FTSW_ECOLI	C6EAW6	B	Cell division protein FtsW (Integral membrane protein involved in stabilizing FstZ ring during cell division)	 	+ 	 	 
BAES_B	B	P30847	BAES_ECOLI	C6EAM7	B	Histidine kinase (Sensory histidine kinase in two-component regulatory system with BaeR) (EC 2.7.3.-)	 	+ 	 	 
MDTB_B	B	P76398	MDTB_ECOLI	C6EAN0	B	Multidrug resistance protein mdtB (Multidrug transporter mdtB)	 	 	+ 	+ 
ODP1_B	B	P0AFG8	ODP1_ECOLI	C6EAU3	B	Pyruvate dehydrogenase E1 component (EC 1.2.4.1)	 	 	+ 	+ 
YEEF_B	B	P0AA47	YEEF_ECOLI	C6EB69	B	Amino acid permease-associated region (Predicted amino-acid transporter)	 	 	+ 	+ 
OPGB_B	B	P39401	OPGB_ECOLI	C6EBL1	B	Phosphoglycerol transferase I (EC 2.7.8.20) (Phosphatidylglycerol--membrane-oligosaccharide glycerophosphotransferase)	 	 	+ 	+ 
YEBA_B	B	P0AFS9	YEBA_ECOLI	C6EBX1	B	Peptidase M23	 	 	+ 	+ 
DTPA_B	B	P77304	DTPA_ECOLI	C6EDL1	B	Amino acid/peptide transporter (Putative tripeptide transporter permease)	 	 	+ 	+ 
RNFE_B	B	P77179	RNFE_ECOLI	C6EDL4	B	Electron transport complex protein rnfE	 	 	+ 	+ 
UBIA_B	B	P0AGK1	UBIA_ECOLI	C6EDY0	B	4-hydroxybenzoate octaprenyltransferase (EC 2.5.1.-) (4-HB polyprenyltransferase)	 	 	+ 	+ 
YDBH_B	B	P52645	YDBH_ECOLI	C6EEW3	B	Putative uncharacterized protein (Putative uncharacterized protein ydbH)	 	 	+ 	+ 
FEOB_B	B	P33650	FEOB_ECOLI	C6EFG5	B	Ferrous iron transport protein B	 	 	+ 	+ 
PGPB_B	B	P0A924	PGPB_ECOLI	C6EFV6	B	Phosphatidylglycerophosphatase (EC 3.1.3.27) (Phosphatidylglycerophosphatase B) (EC 3.1.3.27)	 	 	+ 	+ 
KCH_B	B	P31069	KCH_ECOLI	C6EFY6	B	TrkA-N domain protein (Voltage-gated potassium channel)	 	 	+ 	+ 
YIFK_B	B	P27837	YIFK_ECOLI	C6EG16	B	Amino acid permease-associated region (Predicted transporter)	 	 	+ 	+ 
ATP6_B	B	P0AB98	ATP6_ECOLI	C6EG65	B	ATP synthase subunit a (ATP synthase F0 sector subunit a) (F-ATPase subunit 6)	 	 	+ 	+ 
GALU_B	B	P0AEP3	GALU_ECOLI	C6EGN1	B	Glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (UTP-glucose-1-phosphate uridylyltransferase)	 	 	+ 	+ 
POTB_B	B	P0AFK4	POTB_ECOLI	C6EGW6	B	Binding-protein-dependent transport systems inner membrane component	 	 	+ 	+ 
ARCB_B	B	P0AEC3	ARCB_ECOLI	C6EH17	B	Hybrid sensory histidine kinase in two-component regulatory system with ArcA (EC 2.7.3.-) (Multi-sensor hybrid histidine kinase)	 	 	+ 	+ 
ETK_B	B	P38134	ETK_ECOLI	C6EHM6	B	Capsular exopolysaccharide family (EC 2.7.10.2) (Cryptic autophosphorylating protein tyrosine kinase Etk)	 	 	+ 	+ 
MUTS_B	B	P23909	MUTS_ECOLI	C6EJD4	B	DNA mismatch repair protein mutS	 	 	+ 	+ 
ATKB_B	B	P03960	ATKB_ECOLI	C6EJN7	B	Potassium-transporting ATPase B chain (EC 3.6.3.12) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)	 	 	+ 	+ 
PHEP_B	B	P24207	PHEP_ECOLI	C6EKC5	B	Amino acid permease-associated region	 	 	+ 	+ 
NARQ_B	B	P27896	NARQ_ECOLI	C6EKP3	B	Histidine kinase (EC 2.7.13.3) (Sensory histidine kinase in two-component regulatory system with NarP (NarL)) (EC 2.7.3.-)	 	 	+ 	+ 
YFCA_B	B	P0AD30	YFCA_ECOLI	C6ELC6	B	Conserved inner membrane protein (Putative uncharacterized protein)	 	 	+ 	+ 
HISQ_B	B	P52094	HISQ_ECOLI	C6ELE5	B	"Histidine/lysine/arginine/ornithine transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)"	 	 	+ 	+ 
PTA_B	B	P0A9M8	PTA_ECOLI	C6ELF6	B	Phosphate acetyltransferase	 	 	+ 	+ 
PROY_B	B	P0AAE2	PROY_ECOLI	C6ELI2	B	Amino acid permease-associated region (Predicted cryptic proline transporter)	 	 	+ 	+ 
CODB_B	B	P0AA82	CODB_ECOLI	C6ELP4	B	Cytosine transporter (NCS1 nucleoside transporter family)	 	 	+ 	+ 
YEEE_B	B	P33015	YEEE_ECOLI	C6EB70	B	Predicted inner membrane protein (Putative uncharacterized protein)	 	 	+ 	 
COBS_B	B	P36561	COBS_ECOLI	C6EB80	B	Cobalamin synthase (EC 2.-.-.-)	 	 	+ 	 
MCP4_B	B	P07018	MCP4_ECOLI	C6EBU2	B	Methyl-accepting chemotaxis sensory transducer (Methyl-accepting protein IV)	 	 	+ 	 
UHPB_B	B	P09835	UHPB_ECOLI	C6EDA1	B	Histidine kinase (EC 2.7.13.3) (Sensory histidine kinase in two-component regulatory sytem with UhpA) (EC 2.7.3.-)	 	 	+ 	 
DPPC_B	B	P0AEG1	DPPC_ECOLI	C6EED8	B	Binding-protein-dependent transport systems inner membrane component (Dipeptide transporter)	 	 	+ 	 
KUP_B	B	P63183	KUP_ECOLI	C6EG56	B	Potassium transporter (Potassium uptake protein)	 	 	+ 	 
PSTC_B	B	P0AGH8	PSTC_ECOLI	C6EG76	B	"Phosphate ABC transporter, inner membrane subunit PstC (Phosphate transporter subunit)"	 	 	+ 	 
OPPB_B	B	P0AFH2	OPPB_ECOLI	C6EGM3	B	Binding-protein-dependent transport systems inner membrane component (Oligopeptide permease ABC transporter membrane protein)	 	 	+ 	 
PPPA_B	B	Q46836	PPPA_ECOLI	C6EID8	B	Prepilin peptidase (EC 3.4.23.43)	 	 	+ 	 
MDFA_B	B	P0AEY8	MDFA_ECOLI	C6EIU1	B	Major facilitator superfamily MFS_1 (Multidrug efflux system protein)	 	 	+ 	 
GSID_B	B	P75799	GSID_ECOLI	C6EIV0	B	Binding-protein-dependent transport systems inner membrane component (Predicted peptide transporter subunit: membrane component of ABC superfamily)	 	 	+ 	 
FEPD_B	B	P23876	FEPD_ECOLI	C6EKA5	B	Iron-enterobactin transporter subunit (Transport system permease protein)	 	 	+ 	 
CYOC_B	B	P0ABJ3	CYOC_ECOLI	C6EL36	B	"Cytochrome o ubiquinol oxidase subunit III (EC 1.10.3.-) (Cytochrome o ubiquinol oxidase, subunit III)"	 	 	+ 	 
CYSW_B	B	P0AEB0	CYSW_ECOLI	C6EL54	B	"Sulfate ABC transporter, inner membrane subunit"	 	 	+ 	 
HISM_B	B	P0AEU3	HISM_ECOLI	C6ELE6	B	"Histidine/lysine/arginine/ornithine transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)"	 	 	+ 	 
YFBS_B	B	P0AFU2	YFBS_ECOLI	C6ELG1	B	Citrate transporter (Predicted transporter)	 	 	+ 	 
SBCC_B	B	P13458	SBCC_ECOLI	C6ELI7	B	"Exonuclease SbcC (Exonuclease, dsDNA, ATP-dependent)"	 	 	 	+ 
DEDA_B	B	P0ABP6	DEDA_ECOLI	C6ELD6	B	Conserved inner membrane protein (SNARE associated Golgi protein)	 	 	 	+ 
CYST_B	B	P16701	CYST_ECOLI	C6EL53	B	"Sulfate ABC transporter, inner membrane subunit (Sulfate/thiosulfate transporter subunit)"	 	 	 	+ 
IMDH_B	B	P0ADG7	IMDH_ECOLI	C6EKK1	B	Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)	 	 	 	+ 
CUSA_B	B	P38054	CUSA_ECOLI	C6EKC6	B	"Copper/silver efflux system, membrane component (Heavy metal efflux pump, CzcA family)"	 	 	 	+ 
EMRB_B	B	P0AEJ0	EMRB_ECOLI	C6EJU0	B	"Drug resistance transporter, EmrB/QacA subfamily (Multidrug efflux system protein)"	 	 	 	+ 
YGDL_B	B	Q46927	YGDL_ECOLI	C6EJ54	B	Putative uncharacterized protein ygdL (UBA/THIF-type NAD/FAD binding protein)	 	 	 	+ 
YBHL_B	B	P0AAC4	YBHL_ECOLI	C6EIZ6	B	Predicted inner membrane protein (Putative uncharacterized protein)	 	 	 	+ 
ARTQ_B	B	P0AE34	ARTQ_ECOLI	C6EIB9	B	"Arginine transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)"	 	 	 	+ 
LRP_B	B	P0ACJ0	LRP_ECOLI	C6EI93	B	"DNA-binding transcriptional dual regulator, leucine-binding (Transcriptional regulator, AsnC family)"	 	 	 	+ 
FTSK_B	B	P46889	FTSK_ECOLI	C6EI92	B	Cell divisionFtsK/SpoIIIE (DNA-binding membrane protein required for chromosome resolution and partitioning)	 	 	 	+ 
YQJK_B	B	Q47710	YQJK_ECOLI	C6EHP3	B	Putative uncharacterized protein (Putative uncharacterized protein yqjK)	 	 	 	+ 
WRBA_B	B	P0A8G6	WRBA_ECOLI	C6EHK3	B	Flavoprotein wrbA (Trp repressor-binding protein)	 	 	 	+ 
PANF_B	B	P16256	PANF_ECOLI	C6EGK2	B	Sodium/panthothenate symporter (Sodium/pantothenate symporter)	 	 	 	+ 
ATPL_B	B	P68699	ATPL_ECOLI	C6EG66	B	ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c) (Lipid-binding protein)	 	 	 	+ 
FDOI_B	B	P0AEL0	FDOI_ECOLI	C6EF07	B	"Formate dehydrogenase, gamma subunit (Formate dehydrogenase-O, cytochrome b556 subunit) (EC 1.2.1.2)"	 	 	 	+ 
YHIH_B	B	P37624	YHIH_ECOLI	C6EEJ8	B	ABC transporter related (Fused ribosome-associated ATPase: ATP-binding protein/ATP-binding protein/predicted membrane protein)	 	 	 	+ 
MDTF_B	B	P37637	MDTF_ECOLI	C6EEH0	B	"Multidrug transporter, RpoS-dependent (Transporter, hydrophobe/amphiphile efflux-1 (HAE1) family)"	 	 	 	+ 
